date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0092848495,0.0074155709,0.0064471468,0.0084832317,0.0073698548,0.0087994335,0.0070794883,0.0092834261,0.0091554338,0.0133346486
07/03/1963,0.0083226886,0.0032361971,0.0070207669,0.0053227216,0.007625406,0.0078506599,0.0092615692,0.0058361217,0.0036873947,0.0037607685
07/05/1963,0.0039042953,0.0050510235,0.0085707724,0.0026583628,0.0023398575,0.0057317351,0.0065392996,0.0061452098,0.0003716249,0.0048542224
07/08/1963,-0.007444308,-0.006585321,-0.007534236,-0.004677272,-0.004479708,-0.005002527,-0.002781499,-0.009854714,-0.007248518,-0.010058655
07/09/1963,0.0045796933,0.0032475428,0.0038300077,0.0032972461,0.0087341289,0.0022756264,0.0054079353,0.004980546,0.0066112073,0.005541495
07/10/1963,-0.00281934,-0.001387999,-0.000709172,-0.000699619,-0.002168233,-0.001699502,-0.002474162,-0.002546967,-0.003046051,-0.005278772
07/11/1963,-0.003093988,-0.000862026,0.00098065,-0.001690619,-0.000610959,-0.003172483,0.0020435219,-0.004469123,-0.000028306,-0.007214493
07/12/1963,-0.001927452,-0.004028359,0.0040304611,-0.000825023,-0.003608467,-0.000836372,0.0056784705,-0.004500942,-0.001478913,-0.001589517
07/15/1963,-0.003968122,-0.006815689,-0.008257124,-0.006410454,-0.006083417,-0.008387445,-0.008983892,-0.005775125,-0.007458289,-0.007075539
07/16/1963,-0.00100059,0.0003210155,-0.002543328,0.0011465062,-0.000330917,-0.002811446,-0.002586104,0.0009480144,0.0003801845,0.0001755961
07/17/1963,-0.003294725,-0.003172885,-0.0040589,-0.002197041,-0.001131785,-0.002018454,-0.005070689,-0.003651286,-0.002012515,-0.003821935
07/18/1963,-0.006864131,-0.00648851,-0.008032132,-0.001166167,-0.005262561,-0.002765541,-0.000799942,-0.005275237,-0.010106474,-0.004620383
07/19/1963,-0.001779766,-0.000739742,-0.001434561,-0.000586338,-0.001523188,-0.007287618,-0.006657242,-0.001007277,-0.001680865,-0.004403121
07/22/1963,-0.005304542,-0.007719809,-0.006581698,-0.005909418,-0.006492891,-0.00970265,-0.007884749,-0.005492622,-0.011444235,-0.010672339
07/23/1963,-0.002344974,0.000795995,0.0022655673,0.0033035542,0.0015248048,0.0022572402,-0.000922835,0.0035215596,0.0026479201,-0.007115996
07/24/1963,0.0043945299,0.0051630919,0.0052222492,0.0024263866,0.0044676301,0.0100335064,0.0106558586,0.0054401347,0.0029826429,0.0077522119
07/25/1963,-0.001834725,-0.000476607,0.0048703142,-0.003189918,0.0030169342,0.0004411438,-0.000171487,-0.005550036,0.0025734438,0.0039444203
07/26/1963,0.0026684979,0.0077451634,0.0007476582,0.0036452419,0.0052878384,0.0021510249,0.0017787324,0.0048064701,0.0082851732,0.0043104889
07/29/1963,0.0015936332,0.0025510811,0.0009786934,0.0017463962,-0.001539401,0.0009007251,0.0026912715,0.0031104182,0.0004786605,0.0035636609
07/30/1963,0.0115346899,0.0153262619,0.0089814293,0.0036152554,0.0081916251,0.0106151,0.0060577648,0.0083507159,0.0075063681,0.0056043174
07/31/1963,-0.00213734,-0.001647531,-0.001193618,-0.000628008,-0.000636032,-0.000856058,0.002304383,-0.00413778,-0.001682976,-0.003150914
