date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0099398554,0.0062648043,0.007665628,0.0073562195,0.010237192,0.0077472816,0.0058619375,0.0084636139,0.0070140187,0.0136068437
07/03/1963,0.0086707972,0.0064421886,0.0002826448,0.0059328167,0.0077669616,0.0089023609,0.0084568429,0.0030460631,0.0034310278,0.0045648858
07/05/1963,0.0040058983,0.0073241099,0.0050730651,0.0021111317,0.0036438549,0.0082854472,0.003944362,0.0002454435,0.0022643719,0.0039738055
07/08/1963,-0.00744566,-0.00929694,-0.002069941,-0.004354722,-0.006232469,-0.005529907,-0.003498151,-0.005363418,-0.006744057,-0.00964453
07/09/1963,0.004706717,0.0034287942,0.0039455914,0.0027605807,0.0086444386,0.0054427018,0.0014765423,0.0053280795,0.0051217626,0.0069847705
07/10/1963,-0.002956392,-0.000311757,-0.000842484,-0.001099545,-0.002917489,-0.002141716,-0.000858101,-0.002655682,-0.003310309,-0.005136974
07/11/1963,-0.00324377,-0.002188575,0.0029971406,-0.000724104,-0.0011977,0.000055605,-0.003268229,-0.002447334,-2.039976E-6,-0.006413174
07/12/1963,-0.002159642,-0.002553326,0.0032277651,-0.000841096,-0.002866087,0.0021573938,-0.000052839,-0.000148891,-0.000318449,-0.0012675
07/15/1963,-0.004269806,-0.007983339,-0.005844564,-0.006985585,-0.005072253,-0.009646795,-0.008638429,-0.005054324,-0.006807532,-0.006599653
07/16/1963,-0.000866619,0.0000593015,-0.002462962,0.0006865786,-0.00046662,-0.000383684,-0.002839848,-0.000111629,-0.000290191,-0.000217282
07/17/1963,-0.003102431,-0.00283137,-0.005300549,-0.002615171,-0.000577026,-0.005549383,-0.003633568,0.0003152159,-0.002244154,-0.00324637
07/18/1963,-0.006343712,-0.00868347,-0.005211967,-0.000891411,-0.004900346,-0.00361961,-0.002637881,-0.001529712,-0.010145419,-0.004470982
07/19/1963,-0.001929651,0.0002552302,-0.003586472,-0.000039046,-0.003802941,-0.00442111,-0.00420155,-0.00412714,-0.000713033,-0.00414564
07/22/1963,-0.005310007,-0.008109191,-0.005906338,-0.006239319,-0.006217167,-0.007328771,-0.008804511,-0.005362116,-0.011617178,-0.011395387
07/23/1963,-0.002512856,0.0008451705,0.0031741595,0.0044302549,0.0001170781,-0.000141868,0.0028339922,-0.001200395,0.0010810134,-0.003819321
07/24/1963,0.0040535661,0.0079784938,0.0015625409,0.0015420441,0.0075811973,0.0095300284,0.0080341642,0.000425973,0.0033449449,0.0074604044
07/25/1963,-0.001412204,0.0003506035,0.0037330638,-0.002677938,-0.000080337,0.0001873795,-0.001528361,0.0007986345,0.0032599029,0.0032222267
07/26/1963,0.0022693867,0.0070881009,0.0018758625,0.0019720105,0.0075025439,0.0032595816,0.0020900198,0.0014550585,0.0069768284,0.0043814582
07/29/1963,0.0017907286,0.0033864537,-0.001589264,0.0010655541,0.0007920147,0.0018472252,-0.000345673,0.005213322,0.0007959023,0.0029018382
