date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,9994540,9483451,9216190,18792531,29583443,34374740,53288757,15532154,29232766,24608433
07/03/1963,10037414,9526935,9225634,18939817,29956440,34667549,53808653,15718534,29646612,24725774
07/05/1963,10126951,9577986,9316347,19129226,30238344,34993377,54243990,15812409,29864544,24740182
07/08/1963,10125004,9610731,9387208,19193872,30305352,35331293,54548737,15840704,30012025,24856042
07/09/1963,10107336,9536365,9377950,19128887,30164482,34995267,54186276,15675003,29628449,24614736
07/10/1963,10148083,9593134,9423239,19205043,30386415,35132514,54308305,15778971,29853288,24698117
07/11/1963,10101372,9535339,9444838,19114274,30341290,35120144,54213799,15679430,29719369,24675260
07/12/1963,10094900,9519947,9369427,19059999,30321926,35021310,54213151,15637079,29602227,24574375
07/15/1963,10057869,9504677,9357656,18964900,30220161,35008903,54248998,15633515,29511942,24454010
07/16/1963,9996630,9373137,9291237,18882620,30061684,34692291,53836816,15518703,29458378,24239282
07/17/1963,9972610,9382820,9257794,18908289,30049179,34584297,53836164,15538749,29542332,24275906
07/18/1963,9928608,9303740,9277366,18887322,30042794,34527702,53658147,15464802,29381705,24233993
07/19/1963,9794964,9243226,9238018,18824967,29903240,34313753,53530879,15333599,29202897,23937548
07/22/1963,9810046,9215965,9254824,18721595,29801575,34277393,53419475,15300737,29214944,23952981
07/23/1963,9746309,9159971,9187705,18572607,29590137,34094599,53035777,15212160,29048861,23727948
07/24/1963,9782608,9131830,9178170,18532415,29656098,34054084,53239862,15201502,29019291,23808456
07/25/1963,9817663,9209707,9237870,18683166,29887778,34302622,53387190,15343262,29081075,23976980
07/26/1963,9836770,9196463,9230534,18593473,29880199,34208070,53325796,15380125,29125729,23909346
07/29/1963,9862719,9211600,9227701,18626203,30066560,34355894,53482978,15484902,29225029,24230702
07/30/1963,9859012,9193480,9250255,18621345,30038028,34492135,53501815,15550878,29327935,24343690
07/31/1963,9950688,9224230,9299898,18772858,30266033,34759081,53816748,15639229,29692888,24970581
08/01/1963,9916695,9224163,9257457,18818689,30189476,34701925,53762818,15558530,29431883,24890871
08/02/1963,9933795,9209348,9224779,18883441,30119555,34579927,53818724,15517576,29398840,24822724
08/05/1963,9929981,9254433,9297315,18926123,30230036,34716797,53956588,15572462,29414237,24913336
08/06/1963,10019781,9272486,9364669,19039147,30484814,34876390,54063577,15689300,29676540,25066863
08/07/1963,10085461,9336002,9381221,19141462,30757060,35071010,54666979,15815161,29913380,25098068
08/08/1963,10081243,9353250,9399713,19093558,30616430,35017815,54465373,15762213,29756852,24865528
08/09/1963,10113123,9374296,9396649,19101991,30667501,35120774,54566380,15748148,29788804,24940414
08/12/1963,10128119,9407891,9491817,19272271,30635175,35448666,55063755,15899420,30024389,25156028
08/13/1963,10130147,9401154,9511681,19336725,30496039,35508120,55170630,16039599,30147999,25070137
08/14/1963,10184603,9420739,9547886,19400140,30567667,35543524,55210146,16130917,30435540,25125162
08/15/1963,10537777,9469866,9586693,19523554,30671280,35513245,55406724,16157944,30581169,25125605
08/16/1963,10478557,9505259,9606017,19547713,30813914,35631177,55754732,16300295,30537133,25522353
08/19/1963,10401757,9519352,9702361,19544840,30794348,35710066,55804287,16351343,30566227,25605644
