date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,340638452,,,,,,,,10409503,32493287
07/03/1963,343547022,,,,,,,,10485107,32647448
07/05/1963,345790051,,,,,,,,10541013,32563502
07/08/1963,347060036,,,,,,,,10449545,32924156
07/09/1963,344901744,,,,,,,,10526739,32869509
07/10/1963,346363096,,,,,,,,10590964,33126380
07/11/1963,345604807,,,,,,,,10576616,33181327
07/12/1963,345040526,,,,,,,,10534336,33179831
07/15/1963,344459594,,,,,,,,10518614,33368902
07/16/1963,342425012,,,,,,,,10419721,33158197
07/17/1963,342151266,,,,,,,,10404513,33142676
07/18/1963,341133891,,,,,,,,10330867,33039370
07/19/1963,339370041,,,,,,,,10259544,32787804
07/22/1963,338735432,,,,,,,,10213202,32708160
07/23/1963,336402592,,,,,,,,10148226,32528165
07/24/1963,336457957,,,,,,,,10092551,32559988
07/25/1963,338057045,,,,,,,,10143505,32670434
07/26/1963,337974399,,,,,,,,10168145,32653505
07/29/1963,339197057,,,,,,,,10172315,32762178
07/30/1963,339712750,,,,,,,,10182652,32729472
07/31/1963,342545689,,,,,,,,10266070,33037230
08/01/1963,342117419,,,,,,,,10823376,32384247
08/02/1963,341951526,,,,,,,,10769456,32337230
08/05/1963,342997300,,,,,,,,10788472,32453909
08/06/1963,344861749,,,,,,,,10821127,32676078
08/07/1963,346942780,,,,,,,,10860737,32661900
08/08/1963,346122420,,,,,,,,10857767,32712780
08/09/1963,346618253,,,,,,,,10875275,32763761
08/12/1963,348811120,,,,,,,,10927349,32863842
08/13/1963,349450428,,,,,,,,10885207,33121454
08/14/1963,349582003,,,,,,,,11034271,33094541
08/15/1963,351566540,,,,,,,,11081900,33127259
08/16/1963,353110029,,,,,,,,11158306,33230042
08/19/1963,353648897,,,,,,,,11178996,33261698
08/20/1963,353483365,,,,,,,,11169458,33355789
08/21/1963,353192317,,,,,,,,11165769,33379282
08/22/1963,352589907,,,,,,,,11213375,33429124
08/23/1963,353963961,,,,,,,,11274555,33655126
08/26/1963,355167499,,,,,,,,11300109,33802170
08/27/1963,355881693,,,,,,,,11290652,33859788
08/28/1963,353951037,,,,,,,,11220866,33715162
08/29/1963,356450472,,,,,,,,11343908,34062512
08/30/1963,357086462,,,,,,,,11390222,34137003
09/03/1963,358735363,,,,,,,523455,13188353,31943490
09/04/1963,359443829,,,,,,,523374,13247965,32223369
09/05/1963,359275940,,,,,,,521320,13243721,32205218
09/06/1963,361187541,,,,,,,518944,13289800,32094139
09/09/1963,360302468,,,,,,,513343,13276071,31850044
09/10/1963,359071479,,,,,,,512404,13232369,31773952
09/11/1963,360969984,,,,,,,514852,13308667,31867571
09/12/1963,361923727,,,,,,,519396,13287703,31987188
09/13/1963,361612356,,,,,,,517383,13251103,31950922
09/16/1963,361641620,,,,,,,520331,13272900,32048709
