date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,33096146,50669535,73523192,43739098,11184270,20095442,38458516,20421743,17868772,13436360
07/03/1963,33265437,51059154,74184584,44310580,11282390,20226403,38728560,20596947,18003504,13501029
07/05/1963,33307911,51389115,74882366,44575460,11356185,20333361,38859871,20776244,18164802,13636149
07/08/1963,33374456,51521755,75412165,44704085,11384795,20500759,39056987,20830292,18158320,13694792
07/09/1963,33374087,51180660,74850624,44298318,11293591,20437789,38735397,20742279,18064005,13652466
07/10/1963,33465987,51358092,75286715,44582726,11348094,20574017,38855635,20843705,18088932,13685458
07/11/1963,33413574,51220814,75269126,44479909,11331669,20508985,38814006,20759617,18030364,13622601
07/12/1963,33446708,51159692,75319735,44345249,11291184,20418811,38700863,20714916,17965884,13583520
07/15/1963,33450956,51108363,75451337,44259382,11202468,20407976,38556564,20631242,17909255,13588608
07/16/1963,33341342,50794197,74822977,44050581,11178292,20256831,38240583,20537569,17824051,13475461
07/17/1963,33310442,50818758,74599600,44064068,11168425,20226555,38239611,20611139,17778792,13463565
07/18/1963,33229597,50671051,74334270,43980453,11128203,20216403,38099310,20565559,17687931,13404448
07/19/1963,33162037,50572087,73821772,43776945,11144876,20129575,37735644,20482416,17494819,13304417
07/22/1963,33190063,50516912,73603896,43636213,11077208,20107348,37728318,20401685,17474656,13271172
07/23/1963,33046679,50135779,73022744,43401988,11024106,20010796,37366670,20298129,17338711,13174380
07/24/1963,33045426,50278620,73103282,43452624,11003027,19944558,37418844,20203903,17380181,13186802
07/25/1963,33040737,50411280,73693202,43632162,11036823,20042123,37710524,20339481,17471584,13221320
07/26/1963,33219303,50306322,73753521,43644523,11059216,20027376,37564578,20222280,17542705,13206911
07/29/1963,33233236,50471412,74206634,43826054,11039057,20050856,37885839,20274014,17545226,13227868
07/30/1963,33278022,50494923,74306812,44012553,11024873,20066180,37952471,20274484,17547399,13223009
07/31/1963,33423489,50710802,74953097,44486356,11120486,20276171,38594708,20499976,17718690,13252618
08/01/1963,33485975,50668027,75001781,44173247,11108896,20285960,38506860,20435657,17703256,13200638
08/02/1963,33423376,50698218,74906077,44107207,11138660,20230073,38395086,20454355,17708257,13201099
08/05/1963,33507787,50799387,75290456,44123754,11165763,20305774,38621435,20485204,17729096,13273248
08/06/1963,33579330,50721538,76010808,44500149,11233201,20411207,38813931,20587220,17859915,13290977
08/07/1963,33639941,51244275,76494592,44829108,11279333,20470041,38942190,20817597,17970862,13330179
08/08/1963,33723717,51101448,76102425,44717524,11240348,20488610,38752985,20729556,17956517,13290794
08/09/1963,33806995,51278932,76131036,44773556,11239524,20571801,38853067,20734419,17981239,13312146
08/12/1963,33946057,51636671,76441819,45129051,11345387,20746293,39171117,20953090,18044866,13350623
08/13/1963,34059546,51805118,76409417,45139595,11431929,20786711,39166751,21006855,18067729,13398956
08/14/1963,33249268,51842817,76407540,45540070,11399091,20895722,39232793,21114683,18129768,13444729
08/15/1963,34123537,52098737,76511625,45791941,11445548,20985718,39233332,21147841,18457428,13485715
08/16/1963,34305152,52413908,76744465,45884826,11490446,21134364,39731030,21168191,18419553,13519517
08/19/1963,34413689,52437625,76739777,45856598,11517947,21201970,39874106,21259996,18383874,13589025
08/20/1963,34531720,52389937,76600767,45844364,11555778,21227578,39739914,21224472,18421658,13602418
08/21/1963,34627188,52257630,76681269,45672565,11541308,21221136,39724427,21205493,18429427,13600816
08/22/1963,34559565,52070978,76465849,45767140,11532119,21199934,39532710,21209119,18473597,13618654
08/23/1963,34606933,52069036,76780729,46022979,11569159,21313111,39976927,21264789,18528111,13653362
08/26/1963,34658654,52297312,76952239,46036692,11631323,21324847,40462471,21352739,18604941,13725062
08/27/1963,34671644,52400310,77065053,46125885,11680166,21354099,40640089,21394593,18598285,13740851
08/28/1963,34596307,51916208,76772634,45806921,11623818,21243727,40433229,21192345,18522314,13699010
08/29/1963,34620479,52291640,77550851,46071695,11725976,21323591,40726274,21486916,18605442,13772053
08/30/1963,34697540,52299387,77661222,46182636,11774311,21455212,40697658,21595140,18683323,13835700
09/03/1963,34805387,52685085,77611342,46429396,11823999,21566121,41087252,21788319,18721625,13908622
09/04/1963,34837563,52646426,77812285,46587135,11813810,21565920,41205653,21880994,18830104,13985034
09/05/1963,34875277,52437509,77825098,46435937,11848251,21500887,41236750,21708547,18987551,14012429
09/06/1963,35023510,52614263,78270011,46863275,11965950,21611878,41437143,21795328,19107677,14032430
09/09/1963,34816689,52532443,77931247,47001481,11904467,21543086,41509874,21679674,19048443,13974379
09/10/1963,34753976,52361122,77787106,46737215,11845949,21453034,41382986,21564980,19017411,13942523
09/11/1963,34807189,52606921,77744425,46992866,11983153,21562413,42188122,21708221,19099332,14006154
09/12/1963,34791863,52703235,77985413,47003653,11995313,21721380,42445515,21823518,19172161,14021355
09/13/1963,34779220,52769587,77861798,46834055,11983644,21804661,42288684,21894927,19153611,13928888
09/16/1963,34644060,52705595,77881194,46954592,12028661,21881383,42127705,21926259,19233076,13942810
09/17/1963,34596831,52586721,77883565,46906649,11946365,21882573,42193353,21850058,19108981,13931213
09/18/1963,34548117,52567562,78058315,46865712,11903778,21895238,42252947,21928360,19112844,13936238
09/19/1963,34421058,52561182,77641077,46570391,11872597,21789640,42001307,21866021,19014221,13866931
09/20/1963,34500896,52755225,78102285,46787769,11955171,21987079,42342013,22141993,19121681,13866294
09/23/1963,34430920,52508386,78176972,46813425,12004525,22039930,42585921,22172215,19136610,13842812
09/24/1963,34332419,52371561,77865579,46615424,11959624,21893908,42241912,22058850,19054731,13717288
09/25/1963,34297693,53399674,77983721,46890115,11885367,21822386,42249664,22137971,19172014,13713777
09/26/1963,34121768,53283044,77633412,46519081,11784467,21514944,42083987,21940474,19045323,13615430
09/27/1963,33931946,53077393,77170326,46110718,11677217,21348317,41413236,21587767,18841580,13533393
09/30/1963,33870508,53047421,76798226,46044874,11656718,21319614,41324531,21614813,18843833,13538530
10/01/1963,33767593,53020086,75633353,45935130,11624168,21224662,40951514,21540939,18780552,13510116
10/02/1963,33881343,53511630,76142737,45997559,11688664,21477992,41506222,21677402,18881983,13610268
10/03/1963,33923837,53540097,76289114,45991081,11666241,21471001,41777252,21650584,18909170,13611593
10/04/1963,34000132,53718992,76894770,46452487,11742366,21726022,42048199,21828250,19002465,13706910
10/07/1963,33940536,53519967,77258909,46548530,11752204,21746217,41926195,21898652,18926784,13711239
10/08/1963,33853392,53387989,76993017,46681712,11745980,21615371,41843152,21741764,18910678,13704911
10/09/1963,33889274,53288633,76574259,46372812,11709713,21664174,42028245,21887268,18942605,13680490
10/10/1963,33757192,53138070,75824221,46127133,11618199,21598538,41759543,21729659,18840178,13579713
