date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,18995267,42175563,64843972,85912641,34402782,40517442,27614648,15114870,12275453,6215541
07/03/1963,19315967,42856331,65309651,86510960,34692106,40780099,27775739,15182413,12354531,6248185
07/05/1963,19556890,43153150,65792163,87092132,34877033,41085889,27852330,15255332,12364424,6264860
07/08/1963,19748964,43318339,65945644,87372623,35000736,41381522,27856825,15148156,12412718,6274452
07/09/1963,19516506,42846813,65533011,86948549,34816160,41085195,27757156,15228624,12396391,6269133
07/10/1963,19659001,43117316,65811285,87265841,34957049,41254235,27924981,15241477,12411285,6273229
07/11/1963,19652681,42780235,65609500,87156689,34912938,41227701,27902511,15226967,12406764,6263934
07/12/1963,19480932,42589573,65579594,87125686,34850244,41063751,27934769,15227135,12420865,6271445
07/15/1963,19360822,42456895,65452240,87005417,34837325,41042647,27910256,15211361,12395604,6285478
07/16/1963,19189111,42236407,65018267,86434268,34650167,40771537,27750867,15179802,12347736,6270748
07/17/1963,19198946,42354187,65097955,86171141,34567417,40732127,27687174,15148943,12349855,6258883
07/18/1963,19068466,42237397,64902264,85888023,34460343,40662027,27631108,15111025,12309133,6246161
07/19/1963,18901493,41987932,64609233,85305047,34304103,40385986,27604347,15087586,12279257,6237486
07/22/1963,18866136,41904271,64611711,85014265,34225025,40348701,27505529,15077529,12232450,6247872
07/23/1963,18766668,41597636,64198090,84306605,34037549,40090358,27277314,14985193,12189650,6211679
07/24/1963,18735720,41393863,64331184,84474831,33972389,40076706,27298582,15005928,12183587,6219297
07/25/1963,18860949,41675088,64553222,85093869,34064620,40321922,27269975,15023243,12227778,6228125
07/26/1963,18805900,41587177,64489993,85020929,34061767,40456242,27307987,15058364,12219867,6239719
07/29/1963,18815202,41834905,64682359,85561699,34164302,40546084,27348914,15041198,12222522,6250179
07/30/1963,18809194,41901481,64721642,85672235,34219354,40666886,27444681,15066101,12239819,6251346
07/31/1963,19084331,42524991,65051059,86687338,34459468,40900647,27499783,15135510,12281523,6269912
08/01/1963,19611802,41719656,85179103,67033730,36127921,38695025,27967656,15202914,12590171,6380814
08/02/1963,19538397,41719798,85208874,67014962,36093721,38573099,27981999,15198003,12588761,6370841
08/05/1963,19543526,41831153,85347007,67222222,36298821,38759994,28098544,15244210,12614008,6394122
08/06/1963,19736641,42238352,85610038,67784075,36410422,39028444,28214752,15288962,12648328,6290202
08/07/1963,19900883,42561980,86167828,68354333,36601166,39086264,28308296,15309269,12693781,6378429
08/08/1963,19848816,42305363,85836526,68139238,36632241,39062533,28289429,15319572,12707977,6400567
08/09/1963,19915595,42328198,86147121,68209812,36584886,39174380,28271476,15316155,12694513,6405446
08/12/1963,20190220,42771230,86833183,68310426,36786078,39422219,28471451,15365295,12730151,6401943
08/13/1963,20285727,42962587,86912791,68306815,37028267,39409126,28503172,15276822,12784607,6404955
08/14/1963,20308774,43366965,86986649,68521895,37163273,39462342,27740567,15393154,12802671,6405489
08/15/1963,20375381,43635133,87555405,68686784,37273481,39457939,28562855,15434647,12799628,6397779
08/16/1963,20402354,43673380,88187086,68932550,37432573,39623074,28757506,15481777,12855295,6432730
08/19/1963,20520138,43669540,88292615,68980107,37464415,39744220,28864616,15499580,12904882,6403133
08/20/1963,20490316,43555352,88243118,68835316,37460158,39790575,28871780,15557144,12937541,6417750
08/21/1963,20521445,43352875,88147259,68838963,37414762,39863031,28899290,15498059,12923122,6411446
08/22/1963,20573827,43501534,87719639,68663218,37339783,39799094,28908604,15488332,12919243,6401398
08/23/1963,20791852,43743659,88088159,69047432,37414631,39866063,28928721,15503575,12953117,6404131
