date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,78718502,18339603,52842960,36238648,38013007,41539709,17994481,16710604,12782845,12420597
07/03/1963,79467703,18438151,53247295,36478621,38506949,41748608,18173508,16783597,12870094,12576315
07/05/1963,80083293,18577220,53581243,36758010,38730700,41826228,18333792,16952968,12919252,12650385
07/08/1963,80390702,18658362,53711691,37081590,38886340,42024923,18433699,16975491,12924366,12684764
07/09/1963,79810959,18556809,53408782,36869352,38772148,41695118,18384244,16879526,12792820,12591885
07/10/1963,80164094,18646747,53497373,37037438,39001271,41931388,18453338,16998587,12844152,12647004
07/11/1963,79959692,18568203,53393450,37025943,38910533,41931697,18420513,16979943,12789185,12576450
07/12/1963,79710060,18591596,53391325,36985961,38849223,41876254,18437579,16904655,12797564,12550464
07/15/1963,79547324,18536326,53306719,36992675,38764082,41891656,18464055,16910218,12755113,12539690
07/16/1963,79246202,18452957,52963172,36665244,38575635,41540645,18344344,16715825,12707904,12448442
07/17/1963,79168288,18457269,52994267,36567605,38549803,41524876,18303927,16677462,12725298,12434675
07/18/1963,78921966,18411426,52843338,36413982,38516485,41364328,18198214,16660384,12688176,12432554
07/19/1963,78395772,18364975,52799831,36161099,38351004,40996009,18132694,16614222,12588914,12333908
07/22/1963,78273902,18293939,52855982,36180767,38274689,40873028,18008534,16449841,12611316,12311316
07/23/1963,77853127,18214290,52484253,35951377,38048100,40500600,17840571,16306588,12512876,12225068
07/24/1963,77666889,18193108,52645238,35915370,38125436,40608444,17828731,16341223,12560101,12245171
07/25/1963,77948782,18320330,52679172,36113394,38289714,40981577,18005446,16479862,12578315,12316033
07/26/1963,77857370,18346387,52639795,36249722,38316081,40844427,18046417,16407223,12543067,12403051
07/29/1963,78022076,18409960,52750604,36216361,38579422,41207082,18111049,16492047,12591940,12492297
07/30/1963,78167843,18399117,52743664,36353674,38632384,41217818,18124836,16507020,12607233,12545051
07/31/1963,79043544,18448986,52996852,36599508,39007140,41900892,18214176,16599192,12671616,12680526
08/01/1963,78869727,18430600,52954607,36598776,38988785,41835229,18201760,16542857,12598139,12681494
08/02/1963,78884200,18448897,52952552,36477673,38956091,41791234,18137973,16511373,12565676,12674612
08/05/1963,79073556,18477260,53003982,36655390,39116363,42005636,18204326,16559651,12596259,12747288
08/06/1963,79614836,18452353,53176122,36857363,39348351,42167794,18339510,16654149,12740560,12814450
08/07/1963,80184753,18587884,53662644,36894902,39592418,42298057,18499182,16738693,12791247,12902561
08/08/1963,79973326,18584688,53523392,36849137,39441019,42057254,18483838,16723872,12752664,12872461
08/09/1963,80263732,18642803,53620601,36949148,39399596,42148810,18501656,16736716,12693630,12880619
08/12/1963,80887359,18816642,54033228,37198460,39420252,42370649,18576277,16812209,12839650,12964116
08/13/1963,81080021,18937011,54197230,37143450,39352118,42224098,18653859,16849228,13031861,12970002
08/14/1963,80672470,18886562,54217313,37259447,39374872,42265971,18688427,16979427,13061964,13025696
08/15/1963,82157745,18983852,54410094,37174955,39453707,42268981,18747857,17007230,13223126,13033365
08/16/1963,82149238,19079022,54639497,37336854,39610660,42823350,18813468,17108835,13292255,13172690
08/19/1963,82178054,19085784,54809369,37496851,39556506,42959863,18849591,17083068,13314686,13171007
08/20/1963,82281786,19105008,54833155,37594875,39438350,42801359,18853572,17084294,13242807,13142144
08/21/1963,82142136,19174733,54764235,37651761,39424918,42788301,18882392,17070372,13203842,13082034
08/22/1963,82262854,19130498,54526209,37585794,39333108,42582066,18871115,17114106,13226682,13021131
08/23/1963,82517961,19196673,54479955,37625631,39572319,43010818,18949395,17214383,13422580,13033223
08/26/1963,82513186,19220172,54701195,37664891,39684732,43611975,19027337,17229614,13524826,13105212
08/27/1963,82652694,19179917,54783410,37621323,39811919,43752834,19080696,17258360,13636398,13130579
08/28/1963,82043266,19138728,54382070,37485007,39688924,43459967,19009283,17255732,13479803,13093216
08/29/1963,82601453,19209481,54771094,37696383,39830524,43928002,19096008,17382378,13684740,13222506
08/30/1963,82855832,19300193,54870663,37793176,39961573,43907079,19026997,17451365,13690735,13276968
09/03/1963,83252049,19335016,55335933,37827203,40047548,44176500,19060713,17535823,13761811,13352714
09/04/1963,83507238,19357253,55389798,37816533,40134580,44334167,19092802,17601647,13849306,13361834
09/05/1963,83449604,19388535,55135108,37717700,40048501,44438217,19109782,17631816,13893122,13335852
09/06/1963,84087662,19441324,55391544,38005192,40183148,44564753,19243654,17619047,14069725,13393765
