date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,11708883,50070589,51462252,32822037,66506464,26603101,18989597,25781976,47757255,8831744
07/03/1963,11900965,50448930,52105556,33058622,67188428,26724958,19073464,26053258,47995717,8890995
07/05/1963,12021969,50867572,52480467,33323839,67628802,26850976,19209850,26147444,48215318,8936226
07/08/1963,12049337,51015138,52832800,33544515,67813659,27006719,19158769,26265733,48330896,8935883
07/09/1963,11964725,50689073,52477319,33309626,67417078,26930081,19116428,26116258,47926429,8848714
07/10/1963,12024218,50843485,52717533,33403255,67829431,26963593,19200924,26226287,48130691,8918915
07/11/1963,11973762,50755716,52506091,33350204,67562584,26903079,19215251,26204057,48124949,8904606
07/12/1963,11965247,50649585,52479377,33323795,67488638,26812656,19188593,26158713,47982673,8887156
07/15/1963,11951306,50576546,52469454,33310714,67275684,26756674,19205315,26129238,47858038,8821585
07/16/1963,11878778,50233320,52324086,33008506,66866999,26644997,19034824,25974028,47531895,8821781
07/17/1963,11861163,50285855,52297288,32947281,66829755,26645962,18942553,25983321,47410628,8842350
07/18/1963,11778814,50151182,52035676,32896058,66703208,26549814,18917316,25914163,47276247,8806262
07/19/1963,11715180,50018829,51796861,32718204,66383801,26459630,18846769,25694843,46872218,8758967
07/22/1963,11680560,49988113,51604958,32699459,66209266,26489357,18770208,25674863,46767056,8746496
07/23/1963,11608524,49634459,51398131,32475666,65797373,26399080,18622095,25414363,46274887,8670739
07/24/1963,11549494,49866374,51457348,32452551,65727311,26362490,18613137,25496596,46177954,8647834
07/25/1963,11671499,49959212,51686207,32797703,66051764,26461261,18673930,25564328,46419950,8664289
07/26/1963,11679487,49901697,51816262,32885018,65993250,26327065,18636121,25654171,46283201,8690257
07/29/1963,11728025,50047298,51917106,32984529,66342842,26328890,18680464,25715646,46643965,8699030
07/30/1963,11702960,49994000,52032780,33084494,66454868,26348080,18725299,25795078,46751312,8713525
07/31/1963,11752417,50199899,52512543,33248454,67015697,26515445,18843312,26079960,47502120,8762676
08/01/1963,13345633,51551350,35383301,43509738,49532073,24154722,73363381,18292002,24492675,8523389
08/02/1963,13316109,51608840,35324557,43340074,49591958,24170176,73317028,18284641,24534321,8496087
08/05/1963,13389657,51638364,35322739,43518568,49768302,24263429,73595960,18375379,24638705,8519847
08/06/1963,13431558,51675811,35577055,43829295,50052403,24455452,73981291,18502389,24823492,8566755
08/07/1963,13484035,52151221,35770520,43947738,50382490,24575248,74563814,18591103,24941865,8568489
08/08/1963,13494926,52029930,35729562,43900223,50362242,24505713,74188638,18541962,24803028,8599420
08/09/1963,13507035,52172480,35793054,44058306,50360835,24571486,74199849,18492951,24886861,8609301
08/12/1963,13574259,52626506,36034387,44448698,50739536,24677477,74503781,18662690,24942295,8637150
08/13/1963,13606751,52732057,36289029,44511305,50882636,24750167,74284906,18774353,24972616,8681944
08/14/1963,13600395,52800586,36535221,44613715,50205134,24825248,74514501,18808618,25001838,8712116
08/15/1963,13621883,52998219,36706086,44674959,51161964,24827865,74859671,18959585,25058937,8733137
08/16/1963,13689110,53300805,36695932,44881688,51263229,24988772,75342014,19088889,25118088,8777756
08/19/1963,13710770,53375014,36704568,44991605,51437539,25128481,75268931,19060129,25191878,8817058
08/20/1963,13677969,53400382,36757972,45098779,51415770,25186565,75091725,18981418,25107618,8808919
08/21/1963,13655005,53269382,36536381,45085849,51504438,25151072,75134619,18960101,25127321,8812973
08/22/1963,13644962,53103426,36604474,45060703,51391988,25106770,74842880,18960539,25090638,8824630
08/23/1963,13696475,53065718,36815752,45162287,51490850,25184675,75340338,19172219,25207716,8865863
08/26/1963,13800294,53315912,36727959,45226639,51688738,25232336,75808875,19230549,25255406,8920658
08/27/1963,13867855,53405029,36735785,45369765,51824459,25305106,75900803,19351994,25233060,8925237
08/28/1963,13793851,52890953,36505622,45095929,51586127,25194734,75761103,19229820,25063710,8869686
08/29/1963,13888168,53304570,36671817,45386506,51957831,25389439,76261376,19455635,25255838,8921574
08/30/1963,13972429,53403065,36730428,45460968,52016990,25483066,76387147,19463408,25275249,8935232
09/03/1963,11768702,53531932,30113461,31217485,68520072,39782740,36155161,20725329,56102798,10916562
09/04/1963,11826065,53483471,30123964,31271536,68674007,39905282,36220205,20781579,56305511,10951319
09/05/1963,11881494,53293741,29919720,31349203,68795531,39858689,36070601,20801961,56427097,10976553
09/06/1963,11954764,53589154,30214717,31453482,69187197,40018457,36194070,20932044,56753020,10987822
09/09/1963,11891519,53642791,30142916,31390228,69033345,39788256,35980708,20874735,56755816,10898624
09/10/1963,11795708,53564566,30039306,31288260,68868672,39634775,35759752,20801293,56524424,10893876
09/11/1963,11879869,53907688,30209049,31384364,69057300,39816631,35727219,20896591,57201784,10989107
09/12/1963,11880479,54071042,30197733,31454522,69130276,39928405,35899775,20940135,57514260,11005037
09/13/1963,11905933,53975325,30146720,31403180,69047277,40050155,36012844,20924999,57291823,10955420
09/16/1963,11922867,53878300,30191326,31420724,69072768,40125269,36063239,20952822,57133797,10983040
09/17/1963,11869195,53717771,30175311,31293714,68854981,40082976,36145040,20898868,57143356,10942705
09/18/1963,11849442,53676214,30152894,31242425,68810208,40098568,36354593,20943657,57245465,10927535
09/19/1963,11766491,53679277,30105004,31145453,68348569,39995319,36278479,20821215,56811037,10846097
09/20/1963,11830176,53927577,30219646,31298912,68728996,40192919,36516984,20897829,57227331,10932082
09/23/1963,11759729,53841758,30201731,31258469,68709038,40261417,36621666,20911071,57459571,10950830
09/24/1963,11639977,53666502,30013340,31189306,68527903,40018129,36406441,20782387,57103306,10869806
09/25/1963,11688941,54593148,29948809,31114867,68829694,40066573,36506472,20837257,57198657,10859089
09/26/1963,11532039,54318570,29624224,31029580,68393278,39827917,36409060,20723939,57023511,10783834
09/27/1963,11435431,54101882,29447800,30792576,67709753,39449612,36128389,20588732,56388700,10679652
09/30/1963,11470973,54099290,29324525,30719063,67730164,39400377,35861720,20521901,56254356,10672889
10/01/1963,13056868,53493492,22787490,43631073,52843095,54272689,25072573,48071016,30251132,10435470
