date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,5405926,8208334,19713308,26942858,37644720,20059981,20771249,18847118,81153625,27934344
07/03/1963,5476874,8324621,19837948,27223544,38004550,20159794,20874913,18999676,81999677,28053681
07/05/1963,5523267,8364997,19903146,27417203,38379633,20214417,20932617,19052727,82827906,28112336
07/08/1963,5555422,8435260,19957646,27434411,38441425,20273686,20995728,19044241,83511094,28279436
07/09/1963,5493483,8377894,19814445,27304480,38243907,20203760,20913511,19026256,82780933,28013810
07/10/1963,5509784,8389116,19918218,27387639,38576918,20287222,20998252,19101561,83047875,28112532
07/11/1963,5500877,8361207,19945223,27254180,38422263,20234397,20950073,19082266,82885867,28097915
07/12/1963,5453265,8330285,19953379,27224470,38367693,20238657,20913536,19036238,82713085,28041697
07/15/1963,5420593,8353244,19917771,27219905,38240425,20170714,20929120,18955150,82667571,27905897
07/16/1963,5388939,8338147,19811855,27064740,37943688,20113465,20789360,18954428,82049617,27656192
07/17/1963,5413315,8330174,19729737,27019862,37980768,20109560,20828124,18945329,82027022,27671013
07/18/1963,5367093,8327758,19701524,26906508,38011349,20002825,20806901,18895688,81744729,27582087
07/19/1963,5326866,8292363,19645909,26636760,37823914,19895346,20781600,18861459,81395327,27225867
07/22/1963,5312819,8280512,19579810,26606775,37662717,19900022,20749302,18841795,81408804,27211160
07/23/1963,5278614,8228114,19463296,26429174,37344052,19832264,20668962,18719975,80938935,26961727
07/24/1963,5274942,8212072,19547402,26479826,37312331,19832462,20640862,18705770,81083434,27037931
07/25/1963,5324564,8262654,19566387,26575572,37555747,19946539,20709378,18718316,81542526,27272147
07/26/1963,5282780,8197483,19592041,26652944,37576763,19946710,20783213,18762857,81393579,27159611
07/29/1963,5325579,8276941,19587114,26689990,37848838,19978899,20810516,18760493,81671191,27482932
07/30/1963,5347689,8338199,19567411,26720867,37817414,20029164,20908461,18798360,81795581,27571334
