date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,43205459,31801292,66770103,16089490,23206384,30487405,31468391,8877634,5823045,10438187
07/03/1963,43738948,31995741,67365678,16161070,23437300,30776017,31651605,8926117,5846401,10546867
07/05/1963,44090966,32305979,67908569,16284415,23486474,31023080,31714507,8978559,5864243,10563497
07/08/1963,44335420,32667179,68120290,16329852,23613954,31093124,31842460,9003255,5867545,10555591
07/09/1963,43903091,32359952,67742460,16292846,23570050,30959979,31576848,8985212,5840545,10431692
07/10/1963,44122332,32563594,67992083,16362300,23552375,31210637,31646431,9013137,5875407,10486864
07/11/1963,43929228,32527359,67880790,16287337,23514720,31151199,31647873,9011031,5862962,10417252
07/12/1963,43687042,32422290,67858301,16300261,23530077,31158523,31574895,8987359,5856978,10383916
07/15/1963,43489386,32409892,67890621,16337553,23488010,30998639,31475921,8977329,5811758,10379146
07/16/1963,43382076,32093790,67329976,16256653,23371880,30854152,31225604,8929135,5837586,10305116
07/17/1963,43394850,32071977,67340966,16208128,23320034,30836568,31275289,8936761,5828236,10320043
07/18/1963,43153339,32006840,67339753,16108311,23160104,30818859,31198797,8935290,5800774,10301064
07/19/1963,42783530,31837752,67231330,16002885,23001007,30676458,30900029,8906840,5784159,10229604
07/22/1963,42732317,31877211,67064903,15956454,23021589,30574475,30893192,8893214,5765799,10232374
07/23/1963,42578273,31647330,66632572,15881587,22881715,30381429,30601386,8841868,5727180,10139654
07/24/1963,42586457,31598408,66690741,15884991,22967912,30441394,30683046,8825553,5727361,10157640
07/25/1963,42763237,31827408,66969608,16024352,23046237,30649759,30873909,8827335,5747215,10184770
07/26/1963,42741174,31912962,66682545,16062611,23095172,30674307,30787773,8820949,5766280,10243548
07/29/1963,42835953,32020199,67011524,16030548,23091053,30852019,31115981,8859472,5767914,10281191
07/30/1963,42883059,32182813,67067206,16100459,23112660,30805839,31254094,8865602,5762998,10295167
07/31/1963,43482131,32325338,67400205,16206577,23282262,31023291,31884561,8931398,5796390,10324900
08/01/1963,43157398,32301354,67345337,16242661,23266098,30998441,31786732,8940860,5781609,10263750
08/02/1963,43075079,32138237,67466301,16263949,23260427,30935045,31735061,8947621,5797553,10219613
08/05/1963,43086444,32279124,67627839,16326108,23404836,31076350,31821442,8963089,5793922,10243292
08/06/1963,43449427,32566040,67676402,16343982,23585364,31326784,31959218,8918977,5845584,10323226
08/07/1963,43745143,32624469,68396865,16381500,23744212,31577358,32030070,9061104,5890379,10337158
08/08/1963,43645103,32644166,68108686,16387564,23749574,31426782,31798896,9050106,5871533,10285089
08/09/1963,43790351,32804471,68225800,16399754,23726185,31436547,31860113,9074816,5875550,10252616
08/12/1963,44158845,33037682,68880149,16464133,23830844,31397675,32079449,9133159,5904609,10379577
08/13/1963,44374904,32964857,68994643,16544156,23868349,31314115,31989309,9201707,5932757,10460513
08/14/1963,43929266,32907405,69125692,16601676,23940964,31391844,32080921,9182865,5957833,10462081
08/15/1963,45239742,32929775,69349253,16611757,23981498,31482618,32089701,9226815,6004388,10580129
08/16/1963,45173698,33070830,69690251,16753961,24042912,31617281,32518265,9281446,6013958,10656099
08/19/1963,45218324,33160445,69676489,16841656,24133573,31594299,32608988,9247721,6018863,10704965
08/20/1963,45252972,33342262,69694905,16816324,24121234,31550593,32435548,9239155,6031522,10635037
08/21/1963,45101367,33376898,69612444,16811965,24161922,31551376,32466354,9236945,6025405,10578050
08/22/1963,45228476,33361452,69326412,16775261,24144418,31492845,32269231,9233414,6016216,10605270
08/23/1963,45466035,33365240,69284450,16821969,24147046,31674188,32701504,9259131,6071905,10720226
08/26/1963,45411262,33457939,69433697,16849395,24234716,31778556,33140003,9307423,6097933,10826766
08/27/1963,45510274,33578846,69487741,16927049,24230431,31867602,33230500,9290205,6121524,10890481
