date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,45037914,47248780,60358669,27357180,48226922,26140931,13398596,20586328,30940703,9246834
07/03/1963,45600685,47558798,60858918,27472347,48680366,26334093,13454313,20736051,31147927,9394067
07/05/1963,45960557,47930967,61219440,27602039,49141553,26407663,13506901,20921570,31201015,9453390
07/08/1963,46293317,47988499,61433817,27690346,49438518,26475288,13476266,21082313,31333387,9506213
07/09/1963,45852763,47761935,61031633,27661331,49136740,26297175,13521592,20980409,31052789,9415689
07/10/1963,46126373,47941925,61210209,27672839,49446857,26454182,13558181,21118449,31163597,9474306
07/11/1963,45990011,47819984,61038871,27570128,49422937,26460904,13538411,21136982,31096976,9414027
07/12/1963,45772346,47739678,61044533,27537447,49394737,26402184,13558390,21214462,31001597,9371684
07/15/1963,45696127,47638750,60911301,27525319,49320164,26382478,13549887,21427494,30821142,9368992
07/16/1963,45551265,47356895,60526245,27405811,48914842,26250415,13469921,21213342,30611222,9306199
07/17/1963,45553283,47207706,60554305,27473831,48824701,26187447,13456129,21115061,30669598,9316274
07/18/1963,45405359,47054397,60343606,27337023,48817968,26180859,13389044,20976758,30604363,9296306
07/19/1963,45007223,46947739,60179648,27284785,48452573,26120735,13326903,20873962,30246359,9226230
07/22/1963,45018712,46642370,60146796,27240262,48488981,26017793,13320558,20694827,30289531,9189817
07/23/1963,44856208,46274412,59789768,27059633,48171990,25868237,13213100,20471735,30034926,9108543
07/24/1963,44872618,46103974,59945679,27041029,48202953,25861593,13222532,20555143,30122092,9120956
07/25/1963,44993701,46400783,60134112,27150872,48514081,25909183,13242029,20809584,30294679,9206389
07/26/1963,45023206,46255588,60161365,27131587,48691411,25838480,13261966,20786473,30217811,9214350
07/29/1963,45137291,46368305,60316841,27119203,48876019,26004704,13272330,20865480,30592151,9262194
07/30/1963,45260638,46370789,60317227,27198231,48910301,26068566,13277434,20818939,30721385,9283222
07/31/1963,45851231,46743767,60705850,27328256,49260303,26160926,13351632,20916549,31425453,9342747
08/01/1963,45500755,46916793,60647253,27325171,49220374,26118707,13363074,20909778,31325131,9295267
08/02/1963,45386025,47039700,60654796,27378645,49067969,26117160,13315515,20835004,31285407,9248950
08/05/1963,45444144,47133134,60792935,27491558,49321650,26188802,13362103,20977108,31394918,9281621
08/06/1963,45789178,47415089,60919671,27512613,49602560,26330615,13469719,21156646,31576858,9350068
08/07/1963,46088233,47784745,61396515,27565640,49855870,26491133,13542186,21354904,31663311,9387947
08/08/1963,46008448,47661946,61292220,27530591,49700967,26394628,13555038,21298822,31407226,9378093
08/09/1963,46192703,47797847,61386882,27577612,49821336,26332880,13513547,21354389,31421552,9393745
08/12/1963,46586577,48154819,61944050,27707853,49952491,26466874,13539637,21383000,31688174,9467982
08/13/1963,46768718,48207805,62200226,27757736,49847635,26616641,13594962,21309865,31590904,9513430
08/14/1963,46219333,48329934,62208057,27864742,49920429,26646782,13652140,21360431,31671660,9518530
08/15/1963,47599591,48417011,62485624,27970053,49914710,26784129,13669844,21409061,31681282,9507648
08/16/1963,47541909,48517021,62756829,28121214,50171463,26975940,13685723,21521932,32104480,9597532
08/19/1963,47515127,48631243,62850823,28246833,50262042,26957654,13743342,21473725,32194944,9620863
08/20/1963,47694682,48549815,62838503,28290481,50296531,26907624,13737605,21418616,32070721,9593312
08/21/1963,47491498,48587175,62883261,28209028,50346270,26888623,13706826,21436547,32073155,9555791
08/22/1963,47621740,48501470,62644845,28198582,50216906,26935536,13719033,21389096,31870336,9551255
08/23/1963,47857919,48599665,62599283,28330301,50393055,27089600,13758916,21539842,32292064,9566523
08/26/1963,47757716,48712925,62930127,28462244,50466657,27137540,13817588,21610946,32746870,9660329
08/27/1963,47845409,48676028,63024382,28545254,50583020,27180792,13853791,21605698,32937065,9690080
08/28/1963,47489654,48330930,62591797,28371631,50433888,27038255,13802526,21631805,32719014,9653358
08/29/1963,47742644,48693847,62934287,28498657,50697272,27260516,13902308,21922982,33076718,9734736
08/30/1963,47858651,48925311,63050203,28553621,50858185,27261208,14008174,21878740,32978951,9776373
09/03/1963,48119236,49132627,63523192,28691370,50868507,27314820,14103121,21807566,33282654,9834891
09/04/1963,48316317,49268218,63561041,28681316,50931815,27398060,14155775,21882170,33394803,9856424
09/05/1963,48468309,48914340,63377411,28719519,50834990,27564224,14187500,21820534,33438952,9846895
09/06/1963,48871373,49352252,63625062,28882538,51009556,27728542,14259259,21840509,33589780,9882339
09/09/1963,48951696,49194145,63459261,28739007,50677113,27767590,14222138,21748888,33564595,9922844
09/10/1963,48738206,48973110,63321728,28692982,50501884,27659158,14136184,21705912,33488753,9909031
09/11/1963,48980819,49175723,63640122,28813489,50441509,27816593,14207826,21719788,34142475,10041740
09/12/1963,48996046,49475989,63930931,28868430,50477419,27861291,14216968,21747504,34297947,10036777
09/13/1963,48982303,49574733,63886676,28882079,50562373,27752384,14167523,21688397,34058335,9970321
09/16/1963,49098769,49598562,63871773,28912005,50593500,27744289,14171110,21734817,33887194,9955770
09/17/1963,48940531,49433548,63694169,28831462,50655720,27644693,14107659,21773212,34046551,9949951
09/18/1963,48891126,49511571,63629871,28881970,50715353,27589895,14099127,21817804,34160639,9960593
09/19/1963,48580149,49207082,63528550,28824966,50596616,27388579,14062928,21776533,33940474,9888266
09/20/1963,48997943,49564204,63716740,28989150,50855021,27447741,14141645,21820997,34230119,10012993
09/23/1963,49101508,49529803,63560901,28990847,50977203,27359116,14126798,21761788,34483942,10026478
