date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,43420,,,,,,,,,
07/03/1963,43680,,,,,,,,,
07/05/1963,44200,,,,,,,,,
07/08/1963,44785,,,,,,,,,
07/09/1963,44720,,,,,,,,,
07/10/1963,44200,,,,,,,,,
07/11/1963,44720,,,,,,,,,
07/12/1963,44200,,,,,,,,,
07/15/1963,43680,,,,,,,,,
07/16/1963,43940,,,,,,,,,
07/17/1963,43030,,,,,,,,,
07/18/1963,42380,,,,,,,,,
07/19/1963,43160,,,,,,,,,
07/22/1963,43680,,,,,,,,,
07/23/1963,41860,,,,,,,,,
07/24/1963,42250,,,,,,,,,
07/25/1963,43030,,,,,,,,,
07/26/1963,42640,,,,,,,,,
07/29/1963,43160,,,,,,,,,
07/30/1963,43160,,,,,,,,,
07/31/1963,43550,,,,,,,,,
08/01/1963,43680,,,,,,,,,
08/02/1963,44720,,,,,,,,,
08/05/1963,43940,,,,,,,,,
08/06/1963,44460,,,,,,,,,
08/07/1963,45240,,,,,,,,,
08/08/1963,44720,,,,,,,,,
08/09/1963,44720,,,,,,,,,
08/12/1963,45110,,,,,,,,,
08/13/1963,45500,,,,,,,,,
08/14/1963,45760,,,,,,,,,
08/15/1963,45760,,,,,,,,,
08/16/1963,46800,,,,,,,,,
08/19/1963,46800,,,,,,,,,
08/20/1963,47580,,,,,,,,,
08/21/1963,47060,,,,,,,,,
08/22/1963,47840,,,,,,,,,
08/23/1963,49140,,,,,,,,,
08/26/1963,49010,,,,,,,,,
08/27/1963,49920,,,,,,,,,
08/28/1963,49400,,,,,,,,,
08/29/1963,50180,,,,,,,,,
08/30/1963,50570,,,,,,,,,
09/03/1963,50180,,,,,,,,,
09/04/1963,50180,,,,,,,,,
09/05/1963,49920,,,,,,,,,
09/06/1963,49400,,,,,,,,,
09/09/1963,48360,,,,,,,,,
09/10/1963,46800,,,,,,,,,
09/11/1963,49400,,,,,,,,,
09/12/1963,49530,,,,,,,,,
09/13/1963,50310,,,,,,,,,
09/16/1963,51870,,,,,,,,,
09/17/1963,51610,,,,,,,,,
09/18/1963,51480,,,,,,,,,
09/19/1963,50830,,,,,,,,,
09/20/1963,50960,,,,,,,,,
09/23/1963,52130,,,,,,,,,
09/24/1963,51480,,,,,,,,,
09/25/1963,50700,,,,,,,,,
09/26/1963,50050,,,,,,,,,
09/27/1963,49920,,,,,,,,,
09/30/1963,50830,,,,,,,,,
10/01/1963,49920,,,,,,,,,
10/02/1963,49920,,,,,,,,,
10/03/1963,50310,,,,,,,,,
10/04/1963,50570,,,,,,,,,
10/07/1963,50180,,,,,,,,,
10/08/1963,50440,,,,,,,,,
10/09/1963,50830,,,,,,,,,
10/10/1963,50830,,,,,,,,,
10/11/1963,51350,,,,,,,,,
10/14/1963,52520,,,,,,,,,
10/15/1963,54080,,,,,,,,,
10/16/1963,52520,,,,,,,,,
10/17/1963,52650,,,,,,,,,
10/18/1963,53300,,,,,,,,,
10/21/1963,53040,,,,,,,,,
10/22/1963,52390,,,,,,,,,
10/23/1963,52780,,,,,,,,,
10/24/1963,52260,,,,,,,,,
10/25/1963,52520,,,,,,,,,
10/28/1963,53040,,,,,,,,,
10/29/1963,53300,,,,,,,,,
10/30/1963,53560,,,,,,,,,
10/31/1963,53040,,,,,,,,,
11/01/1963,52780,,,,,,,,,
11/04/1963,53300,,,,,,,,,
11/06/1963,53300,,,,,,,,,
11/07/1963,52000,,,,,,,,,
11/08/1963,52260,,,,,,,,,
11/11/1963,52000,,,,,,,,,
11/12/1963,52390,,,,,,,,,
11/13/1963,52780,,,,,,,,,
11/14/1963,52650,,,,,,,,,
11/15/1963,53170,,,,,,,,,
11/18/1963,52000,,,,,,,,,
11/19/1963,52000,,,,,,,,,
11/20/1963,52520,,,,,,,,,
11/21/1963,52260,,,,,,,,,
11/22/1963,52780,,,,,,,,,
11/26/1963,47840,,,,,,,,,
11/27/1963,50960,,,,,,,,,
11/29/1963,51610,,,,,,,,,
12/02/1963,53300,,,,,,,,,
12/03/1963,52260,,,,,,,,,
12/04/1963,51740,,,,,,,,,
12/05/1963,52520,,,,,,,,,
12/06/1963,53560,,,,,,,,,
12/09/1963,53820,,,,,,,,,
12/10/1963,53560,,,,,,,,,
12/11/1963,54080,,,,,,,,,
12/12/1963,54080,,,,,,,,,
12/13/1963,54080,,,,,,,,,
12/16/1963,54470,,,,,,,,,
12/17/1963,55120,,,,,,,,,
12/18/1963,54860,,,,,,,,,
12/19/1963,55380,,,,,,,,,
12/20/1963,56030,,,,,,,,,
12/23/1963,55640,,,,,,,,,
12/24/1963,55900,,,,,,,,,
12/26/1963,54860,,,,,,,,,
12/27/1963,52000,,,,,,,,,
12/30/1963,49920,,,,,,,,,
12/31/1963,50050,,,,,,,,,
01/02/1964,48880,,,,,,,,,
01/03/1964,49140,,,,,,,,,
01/06/1964,49920,,,,,,,,,
01/07/1964,52000,,,,,,,,,
01/08/1964,53690,,,,,,,,,
01/09/1964,53430,,,,,,,,,
01/10/1964,52910,,,,,,,,,
01/13/1964,52520,,,,,,,,,
01/14/1964,52780,,,,,,,,,
