date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,7652118,10488065,16328702,13095496,61170061,36596857,33279502,29210663,40213091,73798865
07/03/1963,7697383,10574403,16512488,13182113,61710255,36846024,33572678,29411346,40383595,74606334
07/05/1963,7788105,10643831,16589494,13218240,62068419,37197195,33793897,29602229,40627858,75090339
07/08/1963,7796412,10698280,16627448,13239369,62211770,37544101,33853299,29762044,40726310,75519520
07/09/1963,7760642,10596491,16478814,13198482,61824759,37166180,33771968,29696851,40602541,74871863
07/10/1963,7797498,10623866,16563644,13272831,62189097,37344540,33911994,29742298,40715902,75269466
07/11/1963,7774142,10582638,16492147,13214134,62075062,37322276,33836232,29655650,40708404,75133244
07/12/1963,7767039,10539253,16426398,13217057,61992193,37142229,33759083,29744699,40608436,75094023
07/15/1963,7753303,10512924,16410731,13143258,61714093,37185522,33678463,29836584,40628053,75047445
07/16/1963,7648357,10441675,16300394,13116388,61235076,36819329,33514699,29652362,40479143,74659712
07/17/1963,7626462,10459483,16305857,13102884,61322285,36690671,33434933,29526937,40398396,74757520
07/18/1963,7589966,10402550,16266240,13018428,61264894,36654594,33277700,29356059,40298920,74537344
07/19/1963,7546487,10347146,16153278,12949783,60800732,36479158,33013260,29366937,40105290,74214943
07/22/1963,7501397,10334583,16089900,12921430,60685947,36388617,32958982,29224757,40145228,74112676
07/23/1963,7428940,10285702,15939278,12796245,60187249,36153237,32732236,29079955,39866293,73710320
07/24/1963,7425379,10297614,15932211,12766567,60218186,36067456,32874372,29073998,39778932,73942139
07/25/1963,7457148,10328040,15994909,12818563,60771651,36401196,33033657,29178178,39858021,74117103
07/26/1963,7458881,10328176,16050737,12813099,60628003,36327535,33145862,29212871,39923351,74016848
07/29/1963,7503570,10358638,16110753,12812692,61136352,36521159,33191759,29292936,39910392,74277147
07/30/1963,7503824,10366190,16131328,12826133,61163199,36652280,33219026,29374591,40069340,74229581
07/31/1963,7532894,10404971,16232555,12928055,62115435,36946504,33553846,29418048,40287148,74963325
08/01/1963,7512689,10361857,16130744,12904739,62004790,36929986,33551228,29492656,40473597,74557287
08/02/1963,7502191,10340936,16084370,12875579,61967919,36825990,33559644,29419624,40408562,74632299
08/05/1963,7532346,10372371,16143056,12925502,62179429,37012594,33656352,29577087,40574404,74681623
08/06/1963,7560733,10432526,16230186,13053770,62564880,37128545,33910680,29683510,40785716,75004396
08/07/1963,7577187,10507025,16316979,13163315,62905506,37341283,34124346,29854177,40911285,75668516
08/08/1963,7554288,10459789,16251251,13135366,62525880,37236773,34109460,29912376,40931464,75339593
08/09/1963,7568588,10428826,16233966,13147182,62603816,37230322,34123841,29886628,41110518,75702862
08/12/1963,7584045,10477643,16424414,13184714,62824965,37493194,34323020,30062850,41318657,76422267
08/13/1963,7629761,10564182,16541190,13239475,62592844,37517189,34329905,30191296,41381003,76629372
08/14/1963,7600745,10617162,16599305,13290469,62862812,37607781,34402908,30252706,41521159,75844587
08/15/1963,7605222,10642425,16734346,13370483,62977775,37501007,34749414,30337677,41590212,77113643
08/16/1963,7614084,10676459,16908340,13412793,63546897,37705349,34742793,30443548,41723897,77373240
08/19/1963,7628770,10729430,16967998,13427646,63570234,37778397,34753856,30534621,41939302,77285386
08/20/1963,7639052,10707720,16861207,13418911,63315595,37869136,34767726,30567854,41952533,77376105
08/21/1963,7649888,10721782,16806928,13408721,63325137,37828487,34759857,30562513,41909729,77328351
08/22/1963,7691914,10732819,16802043,13373535,63069575,37807708,34767119,30475681,41835906,77217090
08/23/1963,7745530,10831328,16952822,13458170,63554676,37865092,34831721,30636253,41952634,77300573
08/26/1963,7771929,10907798,17095659,13517731,64134018,37884685,35044307,30658059,41944758,77430082
08/27/1963,7797880,10965596,17173587,13544510,64294228,37932032,35079413,30647352,41959080,77620865
08/28/1963,7759629,10888659,16991209,13479128,63968188,37810041,34917001,30619489,41711643,77004267
08/29/1963,7794441,11023000,17166089,13525810,64521610,38022068,35134221,30804087,41872684,77643977
08/30/1963,7851596,11046910,17202330,13629950,64635898,38046711,35227213,30902171,41905580,77765735
09/03/1963,7880503,11076957,17293377,13708554,65076048,38110471,35394213,30969502,42083164,78162819
09/04/1963,7863346,11165451,17427434,13791891,65380935,38164574,35475014,30958820,42080233,78189801
09/05/1963,7877231,11161697,17456800,13777166,65258273,38303220,35409165,31006607,42014029,77926579
09/06/1963,7897907,11212532,17615453,13848761,65545035,38465701,35630582,31165823,42331926,78326447
09/09/1963,7884244,11156322,17643371,13820069,65393239,38224761,35516189,31138358,42245645,78245577
09/10/1963,7879318,11107247,17662038,13740326,65142273,38068864,35412236,30964748,42229730,77965512
09/11/1963,7932336,11223508,17852009,13816023,65765913,38182917,35559228,31061236,42326317,78304624
09/12/1963,7967888,11234295,17889712,13837577,66071108,38250819,35712760,31002424,42353199,78662510
09/13/1963,7907916,11167237,17778558,13813532,66111153,38211553,35715702,30995962,42397705,78519797
09/16/1963,7917345,11202638,17716050,13858012,66030955,38200900,35845301,30979462,42412502,78473654
09/17/1963,7927309,11242698,17627003,13843594,66027448,38232440,35737054,30817007,42438379,78311167
09/18/1963,7912727,11252383,17641895,13855130,66309916,38180985,35760915,30853302,42397088,78227908
09/19/1963,7835279,11213548,17457339,13815030,65945105,38041295,35699091,30817874,42178044,77930789
09/20/1963,7846834,11318697,17680260,13871536,66464481,38158339,35878014,30947489,42361114,78358089
09/23/1963,7833225,11347041,17745489,13849459,66739575,38062146,35836876,30928477,42322123,78370262
09/24/1963,7734764,11302931,17509858,13807985,66260425,37886617,35727194,30814530,42164891,78230585
09/25/1963,7750747,11376490,17618865,13822919,66281643,37908460,35933086,30665771,42186649,79335662
09/26/1963,7697119,11290879,17434387,13685683,66025134,37768418,35758501,30542156,41882388,78794070
09/27/1963,7645771,11157055,17235532,13498719,65111919,37646731,35400560,30336841,41772070,78220638
09/30/1963,7640227,11142952,17247886,13498543,64776704,37679775,35370693,30269845,41702542,78056080
10/01/1963,7595251,11129868,17174884,13366872,63810402,37412720,35229683,30144884,41415179,78040903
10/02/1963,7667530,11228849,17333189,13468951,64734113,37455156,35376299,30367275,41582596,78489594
10/03/1963,7686008,11240352,17310786,13526751,65029081,37490607,35347924,30413502,41609898,78501701
10/04/1963,7752027,11393926,17608576,13678814,65443661,37775167,35591388,30578295,41705054,78922587
10/07/1963,7730720,11418458,17574540,13677048,65577628,37890026,35505407,30735561,41659608,78789608
10/08/1963,7724786,11399349,17535079,13663000,65392563,37747155,35469724,30569969,41570862,78730965
10/09/1963,7714663,11470660,17589939,13734344,65468175,37549570,35429390,30466287,41547115,78386081
10/10/1963,7665043,11355444,17431312,13652136,64995498,37225463,35277137,30261647,41440050,77992213
10/11/1963,7648771,11364916,17573334,13674198,64883750,37257640,35256857,30169028,41487914,78284620
10/14/1963,7696679,11364798,17581654,13726199,64897390,37130181,35391029,30278260,41522381,78476040
10/15/1963,7704054,11334813,17575721,13726655,64775940,37263886,35372064,30268891,41547357,78750278
10/16/1963,7719047,11335562,17551100,13672434,64840147,37249023,35499826,30347451,41698422,78939221
10/17/1963,7781881,11462398,17816544,13828687,65692195,37533276,35592592,30591929,41755765,80005905
10/18/1963,7793844,11452133,17821702,13862186,65652032,37621247,35782324,30626205,41837810,80123473
10/21/1963,7836608,11445628,17815956,13858670,65682011,37640174,35936257,30696699,41888470,80050487
10/22/1963,7851671,11435486,17839381,13866503,65639482,37565860,35925442,30719727,42129555,80141506
10/23/1963,7841268,11349243,17568877,13763303,65459453,37388293,35848965,30577669,41955750,79383446
10/24/1963,7828665,11368496,17522471,13800432,65440116,37259248,35875672,30503251,42170071,79604335
10/25/1963,7842069,11597700,17607170,13838052,65977973,37480167,35808741,30586813,42263132,79689352
10/28/1963,7896060,11553145,17602257,13826215,67800797,37553921,36003022,30546619,42364850,81016155
10/29/1963,7861695,11475419,17717564,13846505,69183866,37519677,36083178,30541549,42311139,81488038
10/30/1963,7856271,11384875,17771324,13789018,69531355,37430906,36203147,30500730,42318123,81173245
10/31/1963,7807467,11304207,17542112,13733955,68294660,37386412,35896589,30416759,42154019,80426335
11/01/1963,7798421,11330461,17610897,13775545,68572249,37288002,35900290,30399145,42152322,80939218
11/04/1963,7829444,11322634,17598470,13785505,68213023,37250185,35815091,30294756,42230969,80689156
11/06/1963,7783975,11233185,17529632,13674461,67789856,37051065,35589422,30238931,42113941,80361625
11/07/1963,7739828,11158425,17344348,13572485,67006560,36453104,35286017,30053566,42016085,79775872
11/08/1963,7826095,11171939,17404343,13609575,67224976,36669433,35458908,30165151,41996477,80090189
11/11/1963,7904959,11297629,17522560,13706391,66752010,36976224,35612128,30254694,42184152,80781685
11/12/1963,7934921,11407710,17634951,13755858,66747443,37016429,35789952,30315476,42255736,80810278
11/13/1963,7927634,11309572,17542052,13653162,66410079,36894407,35603188,30116805,42158023,80579157
11/14/1963,7924442,11346908,17556522,13667683,66002808,36889018,35749233,30019932,42200603,81090183
11/15/1963,7910445,11219749,17510695,13631392,65449756,36787011,35638150,29822960,42203580,80714608
11/18/1963,7839648,11119551,17335058,13550503,64338537,36550977,35265740,29874057,42078283,80290716
11/19/1963,7770744,10997198,17246911,13457576,63936037,36051148,35023090,29564928,41795911,79916944
11/20/1963,7794947,10975602,17237920,13477177,64547063,36106978,35070023,29592592,41862049,79481628
11/21/1963,7777022,11001840,17249148,13478844,65127183,36351385,35095808,29563893,42138284,81397814
11/22/1963,7704835,10805861,16953125,13289783,64114408,36011655,34855311,29250373,40376964,80032007
11/26/1963,7381242,10474387,16266603,12830091,62381580,34771429,33853459,28759164,38598972,77329551
11/27/1963,7761234,10904537,17235899,13399775,64980236,36084244,35039898,29477684,40811272,80644070
11/29/1963,7767908,10877035,17224324,13363177,64816859,35858962,34922811,29466215,40772944,80602166
12/02/1963,7954094,11088589,17582535,13558767,65829313,36483161,35321105,29785112,41176781,81524177
12/03/1963,7938443,11111883,17697212,13590310,66313038,36601756,35453263,30083905,41329836,82095874
12/04/1963,7918494,11086951,17593604,13553122,65996325,36531244,35460145,30123824,41610854,82242426
12/05/1963,7932783,11189492,17610470,13518051,66265434,36722292,35487798,30158984,41768816,82098963
12/06/1963,7958941,11287846,17593770,13639522,66748518,37004621,35889074,30245781,42139223,82583057
12/09/1963,7939172,11241906,17507680,13614085,66381405,36857634,35838396,30217663,41971810,82305290
12/10/1963,7920267,11221932,17408244,13619634,66479384,36809172,35813975,30252887,41819616,82193252
12/11/1963,7904933,11209732,17384615,13572246,66727499,36833999,35894455,30294524,41874078,82067367
12/12/1963,7858152,11130778,17345618,13580740,66549247,36881474,35881950,30256293,41686732,81964793
12/13/1963,7867881,11079796,17363874,13564737,66652650,36927700,35835583,30302020,41621965,81945310
12/16/1963,7856791,11122803,17417644,13606473,66701249,37066429,35973156,30401088,41646309,81864860
12/17/1963,7854072,11105513,17456968,13581648,67452642,37136405,36073946,30489123,41645451,81952186
12/18/1963,7859607,11206449,17491967,13580285,68248531,37212336,36327162,30595008,41759137,82370313
12/19/1963,7804920,11137665,17626506,13607363,67668581,37368803,36360457,30571716,41752601,82031764
12/20/1963,7787742,11090185,17443140,13542197,67331633,37346872,36306567,30430006,41601984,82025692
12/23/1963,7785232,11060248,17361878,13470864,67113025,37271735,36234752,30416834,41674383,81904912
12/24/1963,7742177,10993017,17217690,13454036,66565024,37037697,36133900,30196713,41384250,81578519
12/26/1963,7745341,10992486,17295745,13465368,66967486,37228012,36103793,30125271,41336021,81797729
12/27/1963,7781855,10999381,17391864,13557724,67249649,37427550,36227831,30274780,41579811,82134797
12/30/1963,7792485,11008503,17436468,13567007,67099648,37498324,36336670,30342508,41801967,82241623
12/31/1963,7776525,10967924,17401478,13527809,67445758,37565820,36382651,30306770,41681708,82650288
01/02/1964,7884227,10964564,17895119,13807048,68291961,37881970,36611126,29350476,42146251,83550017
01/03/1964,7962584,11139771,18236703,13947255,68774629,38054976,36686033,30816225,42202814,84028499
01/06/1964,8030615,11144877,18257772,13927744,68703613,38230038,36809355,31037276,42351831,84054711
01/07/1964,8035102,11152388,18410959,13953536,68367893,38466329,36905235,31048879,42520528,84617904
01/08/1964,8060172,11200312,18496807,13929362,68267797,38645712,36928569,31070080,42497400,84576882
01/09/1964,8076282,11289067,18569402,13951250,68650850,38742256,36895532,31163664,42631810,84969742
01/10/1964,8051088,11265835,18556457,13927216,68967925,38705470,37067438,31269718,42700788,85671946
01/13/1964,8045981,11208650,18515181,13895134,68735573,38625737,36725785,31443262,42681214,85911955
01/14/1964,8024121,11137365,18575875,13870817,68324532,38490075,36926028,31499602,42701218,86128212
01/15/1964,7982852,11259811,18701539,13896510,68524307,38448419,37032036,31513006,42758764,86277406
01/16/1964,7981641,11194443,18631668,13966646,68579048,38559118,37014146,31648190,42805375,87023844
01/17/1964,8012683,11162831,18565046,13995836,68273782,38629642,36999176,31671523,43063089,86641828
01/20/1964,8025444,11125658,18568995,14034791,68011270,38477872,36950796,31585715,42995921,87108684
01/21/1964,7971026,10988256,18480425,13980308,67848084,38347854,36845130,31440008,42907147,87403206
01/22/1964,7974882,11021784,18534328,13998683,68072627,38674333,37006545,31460207,43219703,87346194
01/23/1964,8011240,10990898,18608507,14047986,68401400,38882438,37334907,31763267,43336230,87684089
01/24/1964,7988829,11093327,18630337,14100801,68509855,39066253,37363074,31763235,43391797,87523225
01/27/1964,8063768,11097305,18661566,14080799,68919565,39028938,37313259,31752172,43179637,87465307
01/28/1964,8057129,11036640,18651911,13998003,69226681,39171565,37370773,31604896,43065199,87231591
01/29/1964,8045063,11076415,18597953,13980779,69563285,39261658,37349383,31542920,43151647,86915221
01/30/1964,8018630,11009690,18480794,13904198,69375581,39050898,37164824,31543871,42917869,85975614
01/31/1964,8003151,10930708,18498026,13863979,69378706,38920847,37228427,31627511,43128844,86093926
02/03/1964,8035548,10940268,18558806,13859355,70165562,39022806,37201224,31678794,43183163,86633143
02/04/1964,8088749,11015269,18637794,13881188,70090332,39197131,37051628,31684771,43175785,86426722
02/05/1964,8065686,10995100,18516317,13871932,70099814,39186578,36950300,31592712,43238648,86184278
02/06/1964,8067334,10994960,18422838,13869301,69753648,39143014,36962816,31569488,43330112,85912495
02/07/1964,8103582,11096746,18485683,13925544,69664834,39144264,37093721,31549061,43577809,86212158
02/10/1964,8155561,11110057,18505618,13971458,69666308,39172729,37254388,31560366,44090655,86547294
02/11/1964,8138969,11104459,18466808,13993047,69470434,39109509,37133342,31559568,43826194,86727814
02/12/1964,8166596,11136932,18543626,13985921,69638522,39127025,37191921,31565966,44083260,87300389
02/13/1964,8210764,11178678,18577956,13993125,69780276,39097452,37327677,31573390,44055189,88052424
02/14/1964,8203154,11199693,18533320,13960018,69875850,39178668,37428488,31540593,44160407,89325421
02/17/1964,8211990,11169582,18516708,13968661,69592682,39116248,37575863,31585503,44276326,89159623
02/18/1964,8185093,11145793,18482728,14030109,69500308,39171014,37622964,31730198,44462955,88868886
02/19/1964,8166743,11150442,18590999,14016808,69643069,39173004,37684435,31900056,44294057,88695955
02/20/1964,8186537,11159746,18676180,14104442,70048572,39259954,37700403,31852975,44146225,88544715
02/24/1964,8202928,11187358,18870107,14120150,70251675,39321696,37694321,31972642,44033581,88387239
02/25/1964,8210022,11234173,18914003,14094248,70410168,39342000,37691433,32043979,44038050,88492254
02/26/1964,8201335,11233537,18950160,14105220,70368347,39289924,37511707,32040148,44044054,88515620
02/27/1964,8265716,11293042,19043570,14161325,70544267,39263529,37645111,32151157,44182474,88713045
02/28/1964,8275005,11264108,18926405,14142800,70404837,39121578,37547610,31997866,44067650,88440762
03/02/1964,8274782,11330341,19073382,14138390,70590239,39173304,37631330,32060762,44102322,88522155
03/03/1964,8344296,11446510,19279522,14260650,70652889,39214440,37686071,32029052,44232367,88535904
03/04/1964,8366847,11500665,19308868,14252062,71020456,39266729,37751973,32091062,44309966,88975546
03/05/1964,8361821,11455115,19237782,14248067,71176482,39343687,37814157,31976835,44134654,88256244
03/06/1964,8362701,11511598,19294734,14269215,70995479,39322721,37724297,32078086,44053773,88207000
03/09/1964,8408106,11623342,19311040,14344615,71281376,39577459,37846462,32123383,44136741,88398524
03/10/1964,8429659,11679599,19501641,14369356,71472641,39570435,37910009,32096866,44096276,88085959
03/11/1964,8414209,11712023,19581084,14388514,72247648,39701132,37863091,32166963,44163555,88174081
03/12/1964,8401982,11763051,19608139,14453170,72736998,39922383,37923698,32258161,44262874,88787038
03/13/1964,8420298,11782185,19631322,14449792,72646901,39960472,38011436,32381296,44289724,89311221
03/16/1964,8498899,11707814,19741708,14540818,72672191,39921100,38004717,32386485,44318212,89325707
03/17/1964,8516943,11795650,19749766,14563029,72722556,39876400,38118715,32562942,44319045,89250206
03/18/1964,8523196,11788587,19783748,14630248,73087950,39918061,38179917,32774570,44322065,89137640
03/19/1964,8565032,11865208,19940579,14734560,72933126,40162232,38248070,32927803,44273863,88994217
03/20/1964,8526869,11833057,19893609,14687303,73055952,40167597,38260900,32851060,44209920,88869946
03/23/1964,8498541,11757097,19827586,14608325,72510342,39977295,38060528,32712540,44112556,88592851
03/24/1964,8457315,11773698,19775680,14575282,72445933,40048174,38053818,32722069,43982641,89013481
03/25/1964,8456173,11798568,19765466,14554780,72485031,39903001,37872023,32718091,43971421,88670320
03/26/1964,8489663,11908947,19863049,14684950,72514137,39931662,38052996,32783343,43949253,88770005
03/30/1964,8568636,11985234,20011946,14736861,72868871,39917936,38245325,32919615,43980242,88672643
03/31/1964,8596181,11959260,19893536,14723099,72504325,39942787,38284849,33029462,44036564,88620029
04/01/1964,8589161,11846334,19767570,14704086,72115443,39910499,38301345,33071220,43939510,88699914
04/02/1964,8670446,11989908,19916329,14752832,72421611,39985488,38478320,33164713,44016388,88876402
04/03/1964,8744968,12038317,20020078,14795766,72804663,40218351,38646754,33422794,44173073,89521280
04/06/1964,8764397,12037421,19997412,14813772,73400844,40351553,38754383,33514742,44252879,89378411
04/07/1964,8766974,12049361,20119293,14852623,73389808,40468210,39016032,33580504,44215640,89095701
04/08/1964,8728504,11928800,19909506,14823596,73224529,40286086,39067010,33501178,44089838,88606564
04/09/1964,8717600,12031985,19853589,14792248,73169368,40343229,39131734,33559709,44075057,88623103
04/10/1964,8702922,12064000,19813127,14734582,73217676,40223971,39191843,33557011,44032965,88823724
04/13/1964,8736104,12127209,19910330,14754987,73201374,40244166,39252782,33545261,44050212,89142776
04/14/1964,8694592,12187562,19899235,14742670,72983775,40186772,39263607,33610766,44161448,88960674
04/15/1964,8712358,12156416,19894460,14713341,73255766,40395989,39383153,33721398,44136869,89285459
04/16/1964,8715577,12111082,19857465,14693056,73187829,40693585,39580790,33795456,44251055,89391509
04/17/1964,8700130,12091234,19861866,14714025,73164945,40742586,39626805,33763102,44333280,89644547
04/20/1964,8724526,12110794,19986178,14757417,73343818,41005826,39896952,33720751,44504686,90173527
04/21/1964,8688793,12070305,20011363,14750801,73269035,40741767,39860934,33785023,44380951,90416741
04/22/1964,8666805,11921662,20047170,14766469,73387911,40918683,39829504,33802618,44475576,90201914
04/23/1964,8637299,11891732,20021296,14687179,73224457,40921477,39832993,33757893,44454479,90363066
04/24/1964,8612047,11775900,19967320,14600335,73598073,40833798,39780147,33554772,44411883,90039697
04/27/1964,8518288,11637843,19709337,14522156,73031877,40492549,39303231,33434643,44255560,89419493
04/28/1964,8447163,11658332,19571207,14460758,72466329,40164400,39170682,33217650,43946477,89227770
04/29/1964,8490753,11766156,19797806,14474722,73224683,40497242,39368562,33386255,44136760,89705790
04/30/1964,8421116,11671230,19470341,14419859,73427291,40603739,39319227,33389209,43721757,88996500
05/01/1964,8417316,11648727,19415632,14350163,73335079,40613674,39191406,33345715,43622916,88678557
05/04/1964,8471910,11789621,19710221,14459112,74629197,40722783,39497678,33444920,43862023,89109478
05/05/1964,8548747,11881861,19768107,14525788,74914730,40903177,39788958,33582549,44111254,89350536
05/06/1964,8555459,11940088,19828419,14578425,75699139,40919036,40119273,33772158,44211621,89528753
05/07/1964,8559647,11889404,19851672,14564702,75703854,40913243,40208281,34003522,44295173,89901744
05/08/1964,8548927,12042275,20048021,14620901,75675346,40952532,40092174,34002224,44357342,89909507
05/11/1964,8576644,12056204,19920394,14604288,75434828,40929992,40142181,33962947,44254573,89673674
05/12/1964,8564418,12027939,19930051,14540444,75122172,40830404,40320707,33891695,44398579,89575517
05/13/1964,8575227,12057005,19926122,14522431,75460896,40859672,40417001,34000026,44627687,89939464
05/14/1964,8531732,11989802,19861456,14479537,75245151,40812011,40333211,33925129,44368743,89872986
05/15/1964,8526962,12037182,19886896,14460396,75069654,40709570,40290364,33904290,44267491,89748354
05/18/1964,8540452,12040869,19898255,14456697,74958734,40792386,40430416,33986903,44541735,89798136
05/19/1964,8531068,11991813,19840923,14378840,74443711,40731874,39978895,33924776,44283206,89797453
05/20/1964,8504007,11910237,19641724,14361085,73478787,40498326,39998986,33844348,44166610,89868001
05/21/1964,8527483,11941882,19733956,14350789,74035781,40574899,40174124,33883439,44204185,90250572
05/22/1964,8545577,11912149,19580021,14318416,74245279,40483706,40139570,33839308,44220197,90562633
05/25/1964,8527280,11972786,19593070,14329001,74376385,40542282,40099376,33724771,44293563,90635760
05/26/1964,8509648,12055452,19611910,14303673,74370417,40369417,40099310,33660354,44274886,90027131
05/27/1964,8484709,12065394,19635801,14226832,74124222,40472522,39975288,33622299,44122880,89704997
05/28/1964,8463878,12002359,19688832,14198001,74186937,40438188,39935231,33545006,44045702,89312551
06/01/1964,8471494,12050376,19817112,14248420,74178365,40377521,40010716,33591632,44094436,89542682
06/02/1964,8452040,11983065,19713399,14263667,73907556,40287801,39860172,33572989,43975008,89085826
06/03/1964,8385865,11912876,19591693,14150578,73603795,40128042,39602292,33324918,43811239,88665494
06/04/1964,8389614,11878965,19525247,14118209,73349155,40064040,39525407,33294154,43724065,88452516
06/05/1964,8318289,11734627,19263336,14003368,72463225,39783543,39086630,32988441,43366502,87576843
