date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,6661262,50281818,65048267,38092560,29865508,25505141,20953452,12557166,9449218,7743482
07/03/1963,6715412,50790064,65687023,38355152,30184423,25699626,21081604,12694862,9490896,7765836
07/05/1963,6732678,51115497,66226717,38693549,30363459,25922520,21096688,12739615,9536274,7837829
07/08/1963,6768743,51441267,66363357,39062984,30415616,26109576,21178053,12802948,9542004,7806613
07/09/1963,6755906,50928866,65922288,38721685,30253981,26042047,21121103,12752991,9457544,7750411
07/10/1963,6814780,51204001,66246546,38857683,30340595,26086965,21135561,12845496,9544742,7824419
07/11/1963,6766599,51115187,66095849,38777012,30227455,26045018,21132190,12778824,9508725,7843359
07/12/1963,6774971,50849592,65977122,38688033,30175409,26053489,21107014,12820296,9521400,7827892
07/15/1963,6737934,50639431,65768676,38739987,30100935,26164796,21065990,12754454,9520867,7824903
07/16/1963,6671891,50353711,65392062,38449524,29920938,25958401,20927490,12707207,9469319,7771789
07/17/1963,6651178,50421377,65423782,38397967,29954270,25884442,20912599,12719971,9475541,7725920
07/18/1963,6607684,50281391,65274440,38281621,29962066,25782200,20805288,12673539,9435122,7741281
07/19/1963,6566809,49830783,64969553,38062175,29799822,25701993,20718170,12625158,9371956,7743648
07/22/1963,6544081,49804410,64975749,38104647,29751129,25548343,20717888,12565901,9355184,7675024
07/23/1963,6478355,49434936,64580551,37922665,29592191,25388507,20566041,12502677,9248033,7620612
07/24/1963,6483509,49524671,64877875,37841999,29474919,25410000,20606057,12470898,9232256,7644960
07/25/1963,6533885,49964321,65092844,38095352,29624198,25577687,20633503,12484026,9245575,7671648
07/26/1963,6510161,49890300,64931763,38056056,29672439,25632756,20712461,12472741,9280843,7645624
07/29/1963,6523846,50260872,65279699,38202309,29716794,25707561,20745120,12435634,9310213,7701771
07/30/1963,6553348,50409665,65196908,38402773,29766844,25794345,20742749,12446327,9339530,7704722
07/31/1963,6608857,51343344,65571336,38637202,30009733,25912364,20923716,12540834,9425524,7731832
08/01/1963,6581766,51017488,65356000,38622098,30007383,25944705,20946630,12536071,9416183,7691520
08/02/1963,6563997,50904285,65421136,38445626,30027615,25911002,20928796,12532228,9396836,7709609
08/05/1963,6591969,50958007,65472159,38692317,30168881,25997572,21009294,12569758,9425076,7743554
08/06/1963,6621158,51313357,65687019,38907966,30338636,26098142,21176221,12690584,9504555,7655438
08/07/1963,6658871,51531565,66362157,39009748,30488537,26319953,21345714,12703024,9542029,7817479
08/08/1963,6653736,51193526,66040435,38949329,30380542,26373947,21351278,12710419,9533430,7783403
08/09/1963,6685128,51384049,66264777,39038542,30427386,26351790,21235833,12759023,9520685,7783277
08/12/1963,6744025,51755811,66598064,39265832,30679295,26537601,21357465,12818914,9663597,7865195
08/13/1963,6780990,51569085,66687422,39343805,30667320,26596095,21404566,12905852,9799153,7930599
08/14/1963,6780203,51897418,65855057,39377486,30831891,26721619,21460958,12932457,9798859,7975680
08/15/1963,6822911,51976926,67241843,39377430,30925811,26778883,21481729,12950147,9931984,8053887
08/16/1963,6812470,52446386,67442107,39571741,31111928,26814351,21561073,13049353,9940234,8110636
08/19/1963,6843306,52604354,67386783,39673726,31159488,26838501,21647009,13077081,9904580,8086356
08/20/1963,6860358,52485750,67356667,39736614,31152411,26815802,21665917,13102429,9838096,8092733
08/21/1963,6873435,52311445,67323353,39690492,31131672,26904153,21636051,13115100,9826154,8113351
08/22/1963,6863962,52207382,67108043,39658306,31169010,26785484,21603643,13091643,9818132,8152403
08/23/1963,6886908,52746817,67153322,39672981,31248496,26902638,21587925,13137287,9959358,8209521
08/26/1963,6919308,52989536,67444042,39686552,31398598,27064550,21666085,13187744,10002738,8166087
08/27/1963,6953170,53197284,67523337,39684387,31553758,27127605,21654719,13198311,10032822,8182188
08/28/1963,6937652,52756299,67059638,39701250,31352796,27074529,21580491,13119005,9969663,8142717
08/29/1963,6992559,53155660,67657568,39933637,31524235,27191855,21735759,13133563,10064833,8224929
08/30/1963,7029451,53109420,67866059,39999145,31592761,27222319,21879425,13118947,10130321,8238421
09/03/1963,7060098,53557738,68394638,40047258,31704043,27302919,21961556,13147613,10218252,8302235
09/04/1963,7075374,53768516,68462922,40121290,31671575,27339421,22058000,13145983,10280026,8351809
09/05/1963,7044117,53621601,68253852,40228722,31596174,27287288,22114985,13157867,10334504,8394242
09/06/1963,7073355,54041133,68602072,40460347,31809770,27403890,22184999,13155198,10445024,8409125
09/09/1963,7032714,54273329,68355149,40214545,31691538,27327181,22093133,13116622,10478805,8406339
09/10/1963,7001507,54146365,68123743,39987884,31633027,27212731,22046533,13059017,10494999,8378670
09/11/1963,7019767,54917437,68352305,39987805,31852492,27314935,22161490,13074337,10581064,8510706
09/12/1963,7052742,55047010,68668663,39960877,32024439,27375100,22208594,13085491,10633386,8494358
09/13/1963,7058020,54810996,68754565,39872240,32122264,27392690,22221743,13081242,10564829,8389534
09/16/1963,7104828,54762745,68902089,39830940,32046491,27333807,22203324,13098756,10585837,8405278
09/17/1963,7099941,54850570,68793614,39868912,31818312,27320166,22165008,13057770,10529634,8352891
09/18/1963,7090060,54940055,68964324,39791284,31824554,27340625,22165116,13080792,10510368,8306126
09/19/1963,7057799,54501336,69007784,39716582,31585160,27219622,22160131,13015708,10417524,8191088
09/20/1963,7111032,54851629,69349102,39809681,31866828,27314836,22335660,13085175,10580087,8213264
09/23/1963,7109901,55228275,69310862,39678510,31866130,27338694,22343619,13093855,10588606,8195775
09/24/1963,7074422,54816203,69176826,39519699,31653534,27239022,22285699,13057070,10479190,8156763
09/25/1963,7035553,54960431,70368847,39590049,31596665,27218337,22303773,13053023,10561380,8177845
09/26/1963,6941501,54603408,70108521,39430458,31368177,27104698,22191277,12963551,10428914,8129418
09/27/1963,6861850,53754172,69653579,39182251,31024201,26925501,21979910,12840134,10268013,8132365
09/30/1963,6859768,53582461,69355520,39165360,31024620,26817009,21988445,12829898,10313668,8145391
10/01/1963,6818239,53237010,68858808,38942466,30846323,26600631,21965736,12789975,10256171,8155257
10/02/1963,6861925,53741340,69746346,38992346,31153165,26795899,22026650,12829497,10331612,8189818
10/03/1963,6880340,54053242,69689694,39120923,31075264,26869555,22034048,12859715,10355985,8138381
10/04/1963,6935908,54609344,70019595,39251780,31160279,26952260,22208243,12961771,10690887,8244166
10/07/1963,6948595,54694449,69877620,39433732,31034206,26987584,22267301,12975759,10717959,8213824
