date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,5614124,7729273,14511404,53433289,55009040,32786879,18303284,27190524,11131505,5737075
07/03/1963,5673639,7790060,14706210,53813010,55447517,33304791,18433232,27450001,11190547,5777877
07/05/1963,5707710,7834227,14853904,54089282,55994981,33552497,18585473,27671646,11234060,5840477
07/08/1963,5728884,7871305,15009529,54309407,56402488,33683402,18709326,27705204,11243338,5860298
07/09/1963,5698260,7861402,14916840,53962448,55826088,33215886,18659200,27576684,11201714,5826078
07/10/1963,5776211,7887820,14956796,54240090,55975511,33515498,18713505,27662018,11261841,5858229
07/11/1963,5761418,7835145,14941328,54163127,55892734,33366241,18704617,27540311,11203943,5853768
07/12/1963,5749008,7825580,14990765,54129930,55796540,33188340,18571475,27450535,11197499,5843850
07/15/1963,5728254,7828904,15046865,53856088,55744673,33126761,18568181,27403652,11124256,5872953
07/16/1963,5661590,7771807,14904348,53487175,55174382,33002627,18490397,27270854,11104968,5832565
07/17/1963,5669089,7759526,14876482,53501698,55142741,33064975,18447215,27292491,11094392,5845118
07/18/1963,5657679,7732833,14740942,53384421,55026874,32992178,18393319,27235841,11070410,5810430
07/19/1963,5630018,7707772,14661367,52949568,54754863,32827473,18376622,27024846,10959365,5784707
07/22/1963,5596499,7676113,14588436,52891368,54849343,32742973,18335714,26950046,10941401,5773751
07/23/1963,5516272,7622601,14500905,52501589,54464819,32562603,18202366,26815030,10834918,5736953
07/24/1963,5536387,7628381,14519906,52636295,54630558,32526602,18256025,26709161,10838194,5717038
07/25/1963,5542597,7648598,14652426,53065071,54901021,32611149,18358581,26890671,10872000,5779072
07/26/1963,5528878,7631252,14613675,52984630,54834981,32645735,18342103,26792722,10922345,5781978
07/29/1963,5553267,7643244,14643001,53459697,55024491,32780413,18363013,26915095,10973308,5812335
07/30/1963,5558608,7652214,14713954,53537990,55029064,32897391,18431981,26924611,11017077,5807118
07/31/1963,5636212,7722325,14730337,54370490,55368073,33269402,18597957,27124128,11135096,5813982
08/01/1963,5634343,7675195,14710934,54239614,55305350,32936976,18553576,27155913,11133796,5799526
08/02/1963,5646433,7653521,14651644,54149968,55232928,32916606,18533041,27223545,11082982,5804427
08/05/1963,5642707,7700783,14730774,54376274,55372625,32972195,18626979,27237631,11129196,5800503
08/06/1963,5698148,7779900,14807865,54774382,55624871,33193215,18663902,27321193,11222209,5847143
08/07/1963,5746355,7831255,15003739,55048759,56039631,33399545,18711912,27654105,11290543,5892970
08/08/1963,5735001,7831806,14966951,54754132,55784808,33283323,18716954,27524024,11277391,5899548
08/09/1963,5748426,7862368,14970316,54806474,56022208,33371106,18739031,27493247,11221456,5940636
08/12/1963,5808444,7870238,15118816,54955742,56475846,33686682,18936111,27692431,11312259,6008253
08/13/1963,5823695,7913993,15163277,54730130,56577376,33809201,18977009,27702847,11366301,6085474
08/14/1963,5839830,7947166,15195846,54840167,56534380,34142182,19048297,27823622,11439223,6077012
08/15/1963,5863362,7975236,15246972,54960275,56682383,34217122,19101134,28136086,11572499,6113605
08/16/1963,5874513,7999542,15308235,55539415,56921372,34246224,19157350,28161418,11653161,6130302
08/19/1963,5879857,7996752,15354433,55624515,57056842,34282957,19256073,28086021,11646751,6105459
08/20/1963,5872688,7998390,15327226,55405605,57129664,34280072,19258226,28107466,11575635,6099427
08/21/1963,5896181,8029371,15396249,55364508,57000056,34121819,19225976,28089829,11567507,6126570
08/22/1963,5875422,8020738,15379807,55119276,56805439,34193636,19233051,28121562,11533944,6135626
08/23/1963,5892614,8038121,15520655,55646402,56682983,34330741,19305191,28139175,11618110,6173115
08/26/1963,5934990,8085880,15535011,56105226,56934937,34270453,19394269,28198985,11648086,6193587
08/27/1963,5968614,8111963,15671104,56233768,57066556,34396603,19423496,28126635,11684376,6185089
08/28/1963,5937271,8087326,15609704,56071034,56659543,34067158,19352259,27982347,11586114,6192731
08/29/1963,5974635,8106070,15757489,56497388,57166867,34229355,19456989,28212069,11734418,6250614
08/30/1963,5987065,8144990,15763478,56644802,57188367,34212646,19544965,28326178,11831304,6221872
09/03/1963,6007551,8144564,15764613,57042647,57529815,34365199,19725059,28503777,11945076,6253491
09/04/1963,6055029,8152776,15761552,57252099,57458062,34547456,19711682,28636801,11992858,6253915
09/05/1963,6060403,7971588,15688925,57221980,57315744,34544530,19660876,28736672,12036825,6278325
09/06/1963,6094487,8177396,15798370,57371288,57613072,34745998,19734621,28958910,12152130,6334533
09/09/1963,6052591,8143303,15721298,57308966,57400853,34959693,19727997,28804958,12158648,6286470
09/10/1963,6017082,8100459,15619156,57105633,57270630,34929048,19636650,28682724,12092248,6296039
09/11/1963,6087549,8133799,15744385,57642442,57484588,35169948,19750638,28803539,12175174,6370803
09/12/1963,6090033,8133126,15779535,57903944,57605730,35120082,19790494,29082129,12296662,6351701
09/13/1963,6090705,8113201,15794832,57834951,57448191,35039621,19792191,29210830,12300004,6269774
09/16/1963,6066354,8165117,15802376,57789452,57399804,35005298,19859259,29322543,12300141,6290765
09/17/1963,6033394,8175362,15789549,57858221,57360022,34873206,19840301,29164694,12284729,6311383
09/18/1963,6032127,8179075,15824245,58150589,57278708,34824857,19793712,29205357,12299295,6260926
09/19/1963,6017338,8140234,15763263,57909251,57197792,34576260,19785308,29086458,12187724,6197063
09/20/1963,6057148,8176997,15845561,58382420,57385481,34799184,19966221,29258984,12313299,6232636
09/23/1963,6037992,8162711,15888169,58743475,57221654,34866049,19998138,29188464,12309424,6225419
09/24/1963,5974203,8097698,15914640,58381963,57118779,34670619,19816409,29125968,12184428,6191588
09/25/1963,5972756,8072416,15926323,58338836,58070051,34987004,19761658,29304703,12258634,6221124
09/26/1963,5918455,7953147,15841189,58263518,57837271,34727556,19612881,29074425,12104534,6178858
09/27/1963,5832955,7861420,15636708,57601284,57501336,34366686,19485753,28718296,11920615,6093365
09/30/1963,5839648,7864394,15590243,57181474,57599610,34338901,19434578,28691032,11928506,6055021
10/01/1963,5797534,7802332,15500867,56259647,57473168,34417045,19348156,28561754,11811523,6021097
10/02/1963,5820876,7882081,15672271,57134291,57966114,34451176,19501455,28718953,11895956,6065718
10/03/1963,5842069,7929376,15697425,57462362,58105241,34360649,19510240,28651246,11883607,6072113
10/04/1963,5901376,7982292,15774947,57876543,58353952,34655319,19730153,28792047,12177196,6168649
10/07/1963,5927456,7990639,15847809,58078352,58319030,34704674,19692301,28752280,12173491,6148899
10/08/1963,5907892,7975515,15853027,58023622,58010697,34889580,19620428,28516519,12094092,6154587
10/09/1963,5927270,7973731,15916996,58055687,57718290,34733578,19530611,28526211,12110159,6149147
10/10/1963,5900613,7944606,15763307,57616458,57455443,34656715,19467386,28269757,11990099,6091235
10/11/1963,5921214,7967052,15706089,57431378,57637468,34705681,19594721,28263240,12061445,6077007
10/14/1963,5938104,8015683,15694761,57431147,57571493,34842002,19640106,28395496,12110391,6134800
10/15/1963,5961960,8020771,15644078,57363311,57592194,35003196,19688418,28435388,12116860,6118207
10/16/1963,5963367,7999082,15696185,57406265,57577958,35038935,19686404,28566174,12141407,6142963
10/17/1963,6031989,8061038,15932732,58149347,58178605,35633598,19813615,28717832,12320137,6237454
10/18/1963,6066728,8072266,15959581,58138107,58244750,35876709,19837107,28944059,12276672,6242974
10/21/1963,6098605,8092676,15926051,58243262,58022625,36011672,19916972,28974867,12230928,6223554
10/22/1963,6116885,8113415,15893983,58141036,58105627,36062591,19975011,28911164,12194292,6226788
10/23/1963,6104611,8103450,15720862,57953117,57692421,35679826,19925729,28719963,12000651,6182025
10/24/1963,6150715,8121096,15681606,57784408,57832756,35529975,20189500,28737408,11984233,6152313
10/25/1963,6190215,8113228,15806420,58445309,57870628,35747965,20262969,28717113,11953320,6234867
10/28/1963,6209816,8117567,15788144,60149909,58792806,36039056,20242181,28883947,11998060,6245780
10/29/1963,6260391,8096703,15693925,61316882,59214497,36305442,20200717,29206598,11987902,6229480
10/30/1963,6221264,8066939,15665365,61531819,58976974,36107531,20336111,29323082,11991014,6212411
10/31/1963,6181104,8034985,15612998,60441621,58535902,35661849,20114121,29070438,11865830,6172362
11/01/1963,6205170,8049111,15578348,60637571,58693498,36007440,20162771,29092630,11916444,6140583
11/04/1963,6198766,8054005,15543670,60302639,58590202,35874365,20108306,28972676,11874892,6164661
11/06/1963,6146571,8017948,15528983,59842099,58413169,35596378,19964190,28780803,11833607,6120968
11/07/1963,6065386,7937970,15434749,59176300,57691284,35300902,19794824,28414705,11748483,6076209
11/08/1963,6069619,8003198,15566788,59489823,58033883,35382120,19856751,28375122,11762083,6099001
11/11/1963,6108562,8013620,15637844,58929819,58717555,35617504,20006591,28595186,11840567,6121709
11/12/1963,6170538,8053535,15731093,58843231,58762383,35817096,20033439,28685879,11860032,6144776
11/13/1963,6144682,8042792,15570553,58356608,58650573,35802569,20061537,28469622,11754341,6121907
11/14/1963,6149434,8062873,15526104,58018982,59029789,35837367,20105087,28419369,11733414,6113469
11/15/1963,6141028,8050162,15332109,57253915,58709936,35785323,20118603,28331061,11635986,6092664
11/18/1963,6111514,8009803,15198528,56373535,58444804,35456293,20014569,27980435,11439235,6094928
11/19/1963,6068256,7947321,14937950,56094125,58114937,35062786,19923460,27653876,11331264,6055812
11/20/1963,6085842,7915481,14998225,56701967,57816719,34833015,19850589,27731228,11351247,6065510
