date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,3861052,7505255,68651890,72831799,32297779,22437791,32791113,33011413,66791418,42724127
07/03/1963,3881739,7573045,69166161,73270575,32566737,22467981,33081914,33550670,67411410,43068826
07/05/1963,3913544,7632759,69663041,73275335,32811694,22595402,33356575,33767615,68035457,43200671
07/08/1963,3924395,7688640,69811783,73725297,32830014,22687983,33429973,33946767,68402355,43341738
07/09/1963,3921789,7650761,69327738,73561348,32891239,22591973,33308714,33560317,68004782,42841346
07/10/1963,3939908,7661996,69501042,73764474,33021600,22697039,33393238,33879757,68477716,43106258
07/11/1963,3932564,7604463,69368527,73609572,32949351,22647283,33344247,33712759,68478409,43078949
07/12/1963,3917653,7603493,69287016,73645141,32862642,22630124,33314369,33567391,68464333,42825183
07/15/1963,3898906,7557381,69307197,73596788,32732273,22571027,33243936,33430254,68705717,42667422
07/16/1963,3867280,7523577,68942043,73244438,32522227,22460721,33060631,33333091,68134136,42283599
07/17/1963,3853338,7515876,68869151,73124239,32510876,22481864,32989752,33377884,68004164,42333540
07/18/1963,3857103,7498457,68528935,72851410,32502812,22402404,32845143,33231642,67934969,42215517
07/19/1963,3828674,7449682,68302892,72684135,32327155,22291687,32581795,33059139,67486625,41771459
07/22/1963,3818566,7433108,68091551,72681805,32306034,22221537,32569276,32923800,67229681,41750369
07/23/1963,3777485,7386432,67693145,72321460,32069660,22105293,32375790,32724873,66692338,41306523
07/24/1963,3758794,7329554,67815613,72334043,31906100,22101340,32363041,32699303,66932824,41244816
07/25/1963,3766647,7357619,68026002,72376903,32047888,22192686,32475378,32865005,67561130,41570096
07/26/1963,3762780,7381029,67845731,72583655,31963859,22212848,32488186,32873128,67590948,41457838
07/29/1963,3757774,7408456,68027335,72634917,32010636,22203856,32516663,32973863,68080384,41886288
07/30/1963,3773531,7386065,68024734,72824467,32000782,22237081,32543723,33005967,68103287,42087865
07/31/1963,3794374,7445995,68476960,73263594,32288262,22307530,32772060,33443070,68643257,42764624
08/01/1963,3710233,6167681,36169952,58195852,65133191,43207406,19973521,40853214,4557155,106717520
08/02/1963,3697805,6134263,36211616,58269198,65115133,43188274,19960927,40780749,4580862,106487341
08/05/1963,3715608,6128693,36346749,58402344,65255115,43183433,20079044,40797514,4598651,107096646
08/06/1963,3774637,6151702,36610937,58526797,65476293,43488279,20179465,41090860,4524718,107873476
08/07/1963,3755827,6174677,36801632,59037769,65706054,43736464,20264550,41366753,4647581,108309698
08/08/1963,3746851,6160227,36687636,58905193,65687589,43696359,20302790,41371116,4654992,107816800
08/09/1963,3759453,6155884,36724515,58973218,65762194,43807436,20332773,41424334,4675398,107977604
08/12/1963,3775650,6140600,36942100,59358187,66086698,44153329,20530030,41696751,4717523,108531474
08/13/1963,3946287,6169197,36892125,59496068,66335845,44264605,20671446,41853712,4746859,108406222
