date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,14620294,34447338,24881439,39256241,86872199,60990319,56104645,26689602,21882904,17158655
07/03/1963,14763011,34852411,24952909,39531919,87698976,61231290,56722776,26854887,22091865,17334168
07/05/1963,14860267,35175030,25132310,39781988,88294182,61495648,57092549,26801596,22192054,17421693
07/08/1963,14847984,35466765,25212497,39859034,88518620,61730356,57356545,27020794,22272417,17499155
07/09/1963,14911829,35121610,25133335,39619733,87999789,61445082,56931233,26959373,22140829,17375610
07/10/1963,15025085,35279323,25189256,39806082,88370590,61617612,57355652,27084414,22237832,17456553
07/11/1963,15004583,35167321,25190632,39691709,88213458,61573013,57155322,27050724,22227754,17425449
07/12/1963,14996450,35080537,25080005,39634369,88149190,61404409,57144122,26995609,22173797,17432057
07/15/1963,14946903,35166877,25049842,39590050,87981925,61245786,57194163,26989556,22126080,17392689
07/16/1963,14846284,34818086,24900940,39430461,87441942,60919815,56946148,26755664,22028302,17257874
07/17/1963,14786147,34808183,24818759,39352289,87314511,60986847,56948238,26794695,21953338,17271631
07/18/1963,14689928,34690495,24722533,39233103,87101263,60876907,56727414,26738632,21901160,17161201
07/19/1963,14575646,34422876,24604747,38992907,86859893,60451625,56432002,26553341,21851495,17013860
07/22/1963,14560274,34390312,24493720,38865928,86750627,60460858,56099629,26549342,21791167,17039094
07/23/1963,14395554,34170916,24274859,38658983,86167680,60039979,55679402,26381706,21711635,16933832
07/24/1963,14407428,34080458,24256619,38695763,86292710,60116563,55609545,26324699,21697544,16966134
07/25/1963,14495557,34369887,24380382,38778703,86579737,60418638,55941237,26496836,21717728,17022890
07/26/1963,14470655,34473225,24438570,38708454,86403399,60427846,55918147,26496809,21763109,17022055
07/29/1963,14473353,34574420,24493896,38781361,86734233,60784047,56138012,26571078,21807086,17104065
07/30/1963,14525130,34673998,24459028,38803445,86779721,60897083,56133777,26656745,21774518,17158432
07/31/1963,14647986,34841735,24675204,39135821,87346805,61612897,56738715,26816752,21958721,17262091
08/01/1963,16895269,34249446,29901595,59597615,83193818,60978075,37979805,26926111,23186138,11777856
08/02/1963,16859318,34209338,29831148,59536379,83056130,61070557,37926303,26970355,23230231,11702277
08/05/1963,16882127,34325058,29985488,59710258,83267465,61148485,38131564,27087637,23283933,11728714
08/06/1963,17005295,34433728,30065686,60008751,83922597,61339116,38348736,27216909,23451497,11827364
08/07/1963,17116673,34657056,30238229,60203448,84316393,61816743,38500702,27382373,23662177,11828952
08/08/1963,17065336,34700626,30208948,59936682,84099305,61653126,38364885,27408127,23603738,11886053
08/09/1963,17098190,34728109,30324003,59957026,84245055,61806006,38511922,27359969,23605268,11854731
08/12/1963,17310846,34932772,30526928,60307722,84524297,62298539,38674235,27528761,23787901,11937545
08/13/1963,17436730,34954623,30585546,60310006,84448431,62491629,38580392,27761481,23969085,11995515
08/14/1963,17448663,35000984,30560520,60549771,84895954,62516471,37861929,27791243,24147317,12009776
08/15/1963,17454073,35026666,30558084,60576532,85417506,62850555,38808795,27889784,24220719,12032378
08/16/1963,17472000,35132370,30709591,61118293,85599797,63093220,39053298,27974245,24347545,12053011
08/19/1963,17513792,35100348,30701219,61276848,85660711,63189829,39126529,28122434,24319363,12127616
08/20/1963,17528301,35057854,30688723,61135907,85689813,63188860,39116166,28180143,24273243,12126345
08/21/1963,17523437,35069560,30751845,61126478,85576259,63047443,39113416,28081096,24279989,12151085
08/22/1963,17556355,35000838,30779165,60904610,85518634,62874094,39055681,28048667,24305522,12158572
08/23/1963,17784487,35228894,30881077,61260936,85797371,62909679,39183871,28163350,24403169,12242629
08/26/1963,17839286,35371943,30917933,61837770,85864816,63123642,39270565,28268305,24403625,12331935
08/27/1963,17841470,35409259,31041823,62028685,85944288,63239720,39284489,28287109,24515373,12400524
08/28/1963,17733979,35405567,30902889,61694177,85471113,62716595,39018031,28251488,24394733,12265560
08/29/1963,17941185,35597995,31157343,62189007,85901376,63219914,39227156,28487452,24660871,12429420
08/30/1963,18046042,35678938,31129647,62097037,86071061,63321774,39337564,28650923,24728708,12507777
09/03/1963,23339579,34193878,34940572,49832524,94049561,75639266,36208360,28165178,18096368,9210866
09/04/1963,23429973,34282111,34958871,50029887,94218301,75790216,36204921,28290189,18120767,9243530
09/05/1963,23390040,34255385,34690142,50149600,94039017,75790703,36276620,28416189,18110058,9279127
09/06/1963,23679224,34338340,35001745,50188804,94430172,76142657,36368615,28595682,18129613,9328479
09/09/1963,23420941,34181980,34844396,49981142,94420192,76228934,36190235,28422566,18021847,9340666
09/10/1963,23329164,33975466,34666659,49802902,94219067,75961503,36076281,28296999,17978481,9297140
09/11/1963,23624322,34179096,34759368,50105673,95142802,76036980,36108843,28349581,18022186,9343090
09/12/1963,23623879,34233711,34915578,50311785,95518058,76252636,36111906,28366114,18079483,9325536
09/13/1963,23479513,34174991,34914398,50263429,95338792,76295569,35996789,28381310,18167511,9343743
09/16/1963,23549692,34179736,34928219,50446388,95135328,76279484,35999293,28420234,18188960,9387696
09/17/1963,23439815,33955976,34844521,50352810,94992525,76318078,35979504,28389846,18208105,9385639
09/18/1963,23436747,33920432,34817849,50383305,95047397,76464463,35972588,28393263,18238385,9383930
09/19/1963,23278473,33779012,34599847,50161122,94744930,76000829,35842386,28357729,18242631,9345184
09/20/1963,23584742,33919910,34690775,50410388,95283267,76467793,35962140,28463276,18357027,9374611
09/23/1963,23746179,33823182,34710215,50423465,95478301,76638197,35858982,28329477,18366731,9377809
09/24/1963,23512462,33661442,34526855,50237118,94992502,76373119,35760020,28205014,18167617,9315618
09/25/1963,23642485,33713578,34491319,50220551,95981904,76676976,35715415,28276640,18228849,9278984
09/26/1963,23294925,33465576,34187850,49781550,95711648,76352418,35563093,28158107,18176598,9193027
09/27/1963,22942438,33197782,33867432,49382794,94696544,75852182,35470837,27988281,18096233,9139212
09/30/1963,22994983,33103256,33856610,49261167,94710453,75376719,35401521,27913175,18087896,9199194
10/01/1963,16709092,32388135,27471116,83948860,84512509,64911305,33852686,23809179,18977951,11446855
10/02/1963,16802288,32569275,27561231,84631958,85190534,65425077,33844307,23845756,19133733,11531520
10/03/1963,16804461,32529653,27611489,84545669,85530719,65454221,33930925,23950451,19216181,11498702
10/04/1963,16991741,32828861,27743042,84960989,86172066,65871277,34167718,24074795,19361969,11612785
10/07/1963,17030830,32773044,27743419,84774485,86312798,65986572,34114736,24064331,19373803,11612600
