date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/01/1963,21764041,25211147,40637948,29652617,65246573,56288331,38879169,16140562,17123461,18715393
08/02/1963,21681151,25189886,40539596,29651806,65091003,56387159,38900633,16143943,17142722,18757859
08/05/1963,21741940,25276721,40716648,29738490,65271449,56465450,39057917,16213651,17240409,18812261
08/06/1963,21847944,25226821,40975684,29857224,65805265,56598505,39376854,16301234,17298804,18946330
08/07/1963,22022913,25445947,41027232,30068564,66073189,57153534,39523415,16316518,17454879,19090120
08/08/1963,22055790,25435251,40846163,29977467,65864429,56985303,39404728,16285595,17522976,19059184
08/09/1963,22043922,25483726,41008581,29944133,65995667,57113222,39560453,16300606,17469294,19039770
08/12/1963,22194493,25650645,41261198,30107032,66233309,57479004,39801513,16331685,17614816,19202694
08/13/1963,22244344,25678027,41159313,30154464,66097697,57621550,39807643,16454527,17731182,19354169
08/14/1963,22292975,25721408,41214316,30298770,66496025,57640966,39924217,15623278,17775510,19519744
08/15/1963,22346437,25696649,41192782,30349721,66641994,58279775,40039901,16499149,17861033,19560868
08/16/1963,22397563,25821220,41712594,30451281,66897817,58401545,40168711,16623279,17898992,19661408
08/19/1963,22344858,25844790,41850444,30436006,67034406,58372987,40291106,16650892,17987525,19632958
08/20/1963,22322859,25786409,41691755,30443634,67000378,58474936,40237150,16705255,18015990,19602167
08/21/1963,22322833,25824556,41739907,30392151,66868453,58364921,40235517,16677253,17954567,19616685
08/22/1963,22325043,25772802,41500568,30424482,66821204,58175999,40151570,16683038,17912470,19638454
08/23/1963,22507923,25836052,41856617,30447539,67028559,58162439,40291561,16718951,17974513,19741913
08/26/1963,22529711,25995752,42297698,30588591,67002553,58389240,40411233,16780125,18012277,19723646
08/27/1963,22583642,26013100,42480701,30618361,67090705,58407987,40477496,16848960,17982516,19834591
08/28/1963,22611750,25912323,42259126,30463714,66687159,57994977,40167028,16762515,18000944,19748926
08/29/1963,22725738,25998481,42693959,30732205,67121667,58269903,40415465,16847387,18164829,19997181
08/30/1963,22726037,26105076,42527456,30746576,67252027,58404141,40499501,16904139,18305438,20058183
09/03/1963,28429270,26351652,29123897,71471433,56791866,50888729,29801961,17621316,15005810,9256598
09/04/1963,28511173,26421616,29149481,71574143,56983687,51016000,29804307,17671176,15061141,9281411
09/05/1963,28566520,26326295,29110805,71510381,57160870,50938076,29852183,17756396,15115014,9240212
09/06/1963,28699583,26378343,29233372,71892940,57399196,51181299,29939252,17844692,15209219,9259963
09/09/1963,28580672,26290005,29151750,71768719,57650442,51100332,29783311,17738161,15122062,9252221
09/10/1963,28463859,26222763,29062870,71500076,57543104,50943423,29683893,17633158,15127756,9222960
09/11/1963,28648258,26318161,29215782,71879287,58292384,50940937,29715912,17697216,15133840,9261630
09/12/1963,28631821,26423563,29263190,72273133,58421850,51045471,29745110,17766935,15074437,9284925
09/13/1963,28589955,26399965,29243855,72320797,58148717,51106649,29654573,17760030,15083249,9340554
09/16/1963,28580595,26424785,29299696,72361109,57904903,51102930,29676844,17733440,15162925,9344822
09/17/1963,28445393,26342115,29310117,72000239,57920129,51173004,29670320,17744692,15156064,9357738
