date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,9550085,9373614,37297091,82362487,26285200,27635009,10203306,18909534,7639130,4834933
07/03/1963,9625746,9434945,37665561,83213535,26516993,27872826,10239202,19091979,7666996,4909037
07/05/1963,9704180,9513781,38035309,83841775,26651744,28057365,10293860,19253700,7736797,4938148
07/08/1963,9727047,9561079,38332639,84329739,26779421,28147449,10338973,19297699,7731784,4948426
07/09/1963,9710586,9493812,38159823,83351617,26617609,27978104,10291353,19219940,7669857,4905036
07/10/1963,9758336,9507772,38400630,83736324,26799706,28084579,10308513,19273257,7711163,4929928
07/11/1963,9734687,9504499,38345961,83577409,26678165,27999226,10299644,19203972,7692748,4892061
07/12/1963,9727462,9488356,38342157,83332460,26516289,27983313,10277261,19194244,7683029,4852484
07/15/1963,9685561,9444125,38355900,83166418,26504162,27891815,10257953,19090737,7708971,4839531
07/16/1963,9594465,9354591,38141095,82502482,26329332,27780662,10201898,18948467,7663834,4816627
07/17/1963,9561951,9364499,38074912,82591027,26331079,27753154,10191304,18959601,7668299,4834874
07/18/1963,9534172,9333491,37997378,82419587,26281722,27612663,10152824,18914799,7644257,4797930
07/19/1963,9518449,9306079,37800311,81866453,26151613,27299294,10124337,18861088,7600344,4777767
07/22/1963,9449714,9286026,37704471,81877835,26157577,27239014,10077308,18807752,7580453,4771848
07/23/1963,9353077,9228095,37505682,81309003,25951103,27085974,9981874,18667129,7500568,4776288
07/24/1963,9394825,9208873,37544801,81490497,25946834,27150255,10020010,18544533,7515141,4770855
07/25/1963,9497775,9283407,37963087,81919415,26099825,27194848,10034557,18616871,7505115,4794848
07/26/1963,9457660,9299126,37953424,81685969,26061601,27263653,10058341,18570293,7551655,4767331
07/29/1963,9459310,9332409,38248803,82294538,26127588,27269383,10075893,18593231,7578244,4777437
07/30/1963,9477986,9342377,38304717,82515429,26229236,27239631,10067423,18590123,7608266,4785463
07/31/1963,9533962,9354169,38525686,83665041,26348433,27553976,10142967,18804887,7645947,4798199
08/01/1963,9515574,9367601,38542270,83191640,26270367,27526928,10120359,18831287,7625340,4743627
08/02/1963,9466465,9379577,38456426,83135851,26231093,27531598,10109621,18851080,7608803,4720346
08/05/1963,9513490,9420671,38632301,83234159,26348931,27651693,10123342,18872437,7656406,4740104
08/06/1963,9571942,9444482,38854681,83680556,26485199,27845305,10194777,18963178,7709793,4785803
08/07/1963,9663204,9449951,39244410,84114294,26648597,28018234,10305343,19237124,7717867,4848929
08/08/1963,9678616,9433036,39060270,83522141,26655268,28045033,10315406,19169671,7699172,4815753
08/09/1963,9734829,9425697,39080626,83881887,26693267,28088848,10330348,19096161,7654597,4814212
08/12/1963,9741659,9426304,39143012,84732889,26877557,28301891,10452431,19242934,7752706,4838205
08/13/1963,9662564,9465086,39063158,84731226,26905951,28367344,10520074,19339194,7825974,4913288
08/14/1963,9719628,9405648,39102940,85017615,26959028,28552530,10523456,19474238,7858408,4934971
08/15/1963,9757274,9453984,39181190,85222274,26997643,28967804,10583931,19527311,7937320,4927020
08/16/1963,9818113,9510295,39318800,85797013,27154270,28930893,10625713,19592459,7979384,4952264
08/19/1963,9825138,9523582,39347269,85927185,27257276,28865220,10654954,19610019,7985550,4986010
08/20/1963,9841845,9551576,39215058,85854943,27280854,28889629,10628898,19557773,7931452,4995289
08/21/1963,9886027,9555566,39248727,85594451,27287921,28850776,10644186,19512395,7920082,5010456
08/22/1963,9908266,9579744,39131692,85252436,27238808,28865122,10642780,19561809,7913617,5008620
08/23/1963,9932800,9660024,39283170,85625327,27330881,28831935,10701530,19578899,8007657,5079800
08/26/1963,9947845,9686975,39307989,86052240,27473961,28971232,10744112,19646032,8081299,5115907
08/27/1963,9982141,9756181,39404248,86239358,27583256,28949344,10753384,19675963,8127686,5142018
08/28/1963,10035599,9693937,39361032,85484394,27448913,28862404,10743565,19512677,8059896,5075049
08/29/1963,10081919,9762023,39580154,86228592,27655516,28933170,10832352,19740994,8172344,5157052
08/30/1963,10143175,9806053,39648769,86146493,27809914,29008261,10857051,19829922,8164041,5202961
09/03/1963,10161458,9851564,39790588,86789797,28004497,29160177,10868327,19950405,8198757,5263469
09/04/1963,10164509,9808962,39892798,86905779,28081381,29308969,10873248,20051374,8235486,5269423
09/05/1963,9924779,9804958,39864225,86823007,27977796,29480072,10923174,19964893,8291534,5233975
09/06/1963,10148602,9866605,40055230,87153021,28232414,29577109,10970867,20094221,8350327,5311359
09/09/1963,10075635,9855921,39913195,87354310,28159034,29448756,10906518,20022431,8353717,5254772
09/10/1963,10005380,9848710,39764093,87103046,28130043,29324802,10886204,19916699,8362537,5194436
09/11/1963,10028453,9906884,39796386,87912875,28385209,29427922,10960816,20062354,8414902,5266955
09/12/1963,10076499,9960281,39853330,88126560,28516555,29577571,10928560,20232457,8436981,5264945
09/13/1963,10065176,9932162,40026291,87772588,28580219,29594344,10873618,20262131,8367406,5224650
09/16/1963,10166753,9987716,40110982,87546304,28624076,29642359,10897068,20231247,8347007,5241582
09/17/1963,10166081,9958646,40191552,87596489,28544118,29563296,10842598,19988675,8354948,5255885
09/18/1963,10175389,9993535,40298990,87587115,28527504,29574534,10828049,19996788,8357502,5298657
09/19/1963,10118348,9960357,40178679,87237291,28506895,29452730,10772035,19828579,8259081,5316266
09/20/1963,10114075,9994619,40351691,87675674,28708460,29643329,10873816,20082747,8374792,5366912
09/23/1963,10090313,10011117,40397180,87782997,28746513,29623816,10877670,20071624,8404349,5409336
09/24/1963,10070639,9943986,40211553,87410864,28557470,29578003,10817605,19928878,8317160,5392988
09/25/1963,10022563,9912711,40202079,88528949,28597065,29747167,10878961,19926544,8379009,5470308
09/26/1963,9930369,9833328,39961284,88262389,28322201,29604475,10806264,19774537,8305599,5449404
09/27/1963,9825514,9761727,39697767,87382020,28044954,29314241,10697341,19474246,8211959,5337979
09/30/1963,9765290,9724555,39325011,87310813,28029448,29386180,10663291,19514491,8197284,5343809
10/01/1963,9686090,9637795,38535961,87100687,27880884,29274817,10602402,19461006,8178168,5356833
10/02/1963,9744748,9698906,39218568,87865062,28096012,29351973,10658075,19568019,8254410,5393029
10/03/1963,9809777,9698565,39257683,88144113,28118570,29368418,10712107,19529296,8232618,5385275
10/04/1963,9869537,9693379,39367303,88848597,28316129,29516281,10838307,19756145,8460402,5508313
10/07/1963,9872163,9660140,39567582,88926837,28228405,29420610,10854510,19903591,8453629,5523878
10/08/1963,9876930,9654434,39504735,88845611,28092666,29342116,10840375,19706567,8431508,5540546
10/09/1963,9833037,9648740,39356678,88528357,28166504,29318548,10838002,19719255,8408379,5595719
10/10/1963,9741714,9530931,39021319,88255715,28012049,29167783,10727847,19623582,8300727,5544802
10/11/1963,9694378,9537681,38887754,88468755,28100434,29189992,10706219,19653856,8328552,5581107
10/14/1963,9672901,9553435,38932550,88403901,28187910,29283204,10782201,19813447,8355436,5579827
10/15/1963,9585602,9557197,38968030,88723380,28100774,29315542,10768066,19821388,8366556,5536081
10/16/1963,9647871,9555443,39094842,88714148,28036234,29413141,10809920,19867778,8349932,5534378
10/17/1963,9740950,9616474,39504717,90120496,28310315,29503013,10939781,20117624,8448841,5614428
10/18/1963,9763392,9657264,39485176,90176327,28494396,29611180,10960561,20267673,8441856,5626122
10/21/1963,9730660,9678393,39552488,90032382,28527290,29734264,10917444,20377145,8392620,5614572
10/22/1963,9694582,9704886,39447770,90069096,28516047,29667071,10948099,20505090,8422015,5587705
10/23/1963,9622215,9665773,39302860,89461424,28362922,29570349,10864345,20245488,8257709,5537731
10/24/1963,9633205,9727518,39504896,89403946,28315250,29484943,10802380,20299909,8281012,5528409
10/25/1963,9701846,9775900,39651305,89878949,28403779,29423598,10843748,20431164,8335516,5713493
10/28/1963,9769604,9764064,39971425,92543882,28452353,29529340,10845366,20415666,8316551,5682397
10/29/1963,9762100,9737078,40128737,93814646,28724620,29551654,10884202,20775123,8362188,5604612
10/30/1963,9681066,9744787,39929928,93864617,28643561,29609198,10852389,20908554,8433814,5585542
10/31/1963,9553908,9666419,39569257,92637927,28370606,29357672,10767115,20676117,8337929,5575489
11/01/1963,9619861,9649943,39593200,93176152,28425081,29413919,10742766,20723776,8365604,5597254
11/04/1963,9633816,9661080,39587223,92549960,28514623,29382536,10712915,20511491,8373278,5582285
