date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,19913256,,,,,,,,,
07/03/1963,20019744,,,,,,,,,
07/05/1963,20019744,,,,,,,,,
07/08/1963,20126232,,,,,,,,,
07/09/1963,19913256,,,,,,,,,
07/10/1963,19984248,,,,,,,,,
07/11/1963,19984248,,,,,,,,,
07/12/1963,19913256,,,,,,,,,
07/15/1963,19806768,,,,,,,,,
07/16/1963,19629288,,,,,,,,,
07/17/1963,19664784,,,,,,,,,
07/18/1963,19629288,,,,,,,,,
07/19/1963,19345320,,,,,,,,,
07/22/1963,19380816,,,,,,,,,
07/23/1963,19167840,,,,,,,,,
07/24/1963,19238832,,,,,,,,,
07/25/1963,19416312,,,,,,,,,
07/26/1963,19309824,,,,,,,,,
07/29/1963,19629288,,,,,,,,,
07/30/1963,19735776,,,,,,,,,
07/31/1963,20303712,,,,,,,,,
08/01/1963,20232720,,,,,,,,,
08/02/1963,20197224,,,,,,,,,
08/05/1963,20268216,,,,,,,,,
08/06/1963,20374704,,,,,,,,,
08/07/1963,20374704,,,,,,,,,
08/08/1963,20161728,,,,,,,,,
08/09/1963,20232720,,,,,,,,,
08/12/1963,20410200,,,,,,,,,
08/13/1963,20268216,,,,,,,,,
08/14/1963,20303712,,,,,,,,,
08/15/1963,20268216,,,,,,,,,
08/16/1963,20658672,,,,,,,,,
08/19/1963,20729664,,,,,,,,,
08/20/1963,20587680,,,,,,,,,
08/21/1963,20587680,,,,,,,,,
08/22/1963,20374704,,,,,,,,,
08/23/1963,20729664,,,,,,,,,
08/26/1963,21120120,,,,,,,,,
08/27/1963,21226608,,,,,,,,,
08/28/1963,21084624,,,,,,,,,
08/29/1963,21297600,,,,,,,,,
08/30/1963,21191112,,,,,,,,,
09/03/1963,21439584,,,,,,,,,
09/04/1963,21546072,,,,,,,,,
09/05/1963,21617064,,,,,,,,,
09/06/1963,21688056,,,,,,,,,
09/09/1963,21759048,,,,,,,,,
09/10/1963,21723552,,,,,,,,,
