date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,21561694,14629088,54838258,29812541,26560206,40869148,53443797,10789967,13436467,13533341
07/03/1963,22020048,14757341,55113277,29977614,26821453,41308815,53889654,10863988,13579412,13621838
07/05/1963,22229847,14842690,55433826,30355142,27053947,41587732,54284161,10933962,13652312,13635348
07/08/1963,22404872,14888659,55655861,30682861,27158071,41689585,54459732,10959358,13694095,13681172
07/09/1963,22078203,14827311,55236678,30358112,27105221,41469434,54144109,10924122,13618068,13505651
07/10/1963,22281190,14853316,55457343,30530268,27172846,41729347,54280888,10928878,13694267,13690714
07/11/1963,22132407,14813765,55448350,30544556,27095838,41616693,54115018,10929607,13657150,13727467
07/12/1963,22044924,14774380,55351576,30374396,27021819,41609632,54074148,10920650,13618362,13719738
07/15/1963,21992908,14759017,55344659,30376092,26968916,41448320,53956857,10901511,13573064,13838387
07/16/1963,21888790,14611085,54934116,30064365,26792863,41300097,53570710,10821313,13502042,13765783
07/17/1963,21931844,14633669,54732706,30011584,26802563,41278181,53639745,10813443,13487837,13758846
07/18/1963,21823144,14546548,54493802,30028880,26790195,41188618,53454339,10765837,13469034,13675418
07/19/1963,21636134,14527835,54078628,29790183,26677300,40966897,53231346,10716677,13446014,13546029
07/22/1963,21627289,14511419,53895127,29863849,26556715,40845617,53197353,10670991,13363710,13471876
07/23/1963,21527940,14401512,53392537,29698199,26361572,40639434,52851695,10588923,13201087,13345362
07/24/1963,21489572,14352826,53418412,29682554,26277942,40731955,53087523,10568063,13212065,13378643
07/25/1963,21589823,14465161,53805550,29910369,26526161,40971637,53190507,10577017,13288408,13436865
07/26/1963,21569464,14464169,53624164,29984699,26405979,41029379,53124322,10595526,13307710,13373033
07/29/1963,21705344,14495302,54077513,30037818,26508874,41205678,53286544,10600558,13325154,13448809
07/30/1963,21783328,14465717,54235930,30129824,26606442,41176273,53282394,10634318,13330427,13392173
07/31/1963,22187265,14621916,54989845,30310253,26841591,41469175,53616126,10705632,13439156,13532614
08/01/1963,21873307,14556595,55103746,30256673,26903173,41344001,53556498,10714893,13424154,13444760
08/02/1963,21872381,14580341,55148345,30079098,26882455,41292250,53577042,10713827,13362681,13416565
08/05/1963,21837825,14630342,55381422,30256187,26988710,41484918,53657222,10731359,13356017,13520517
08/06/1963,22058770,14682126,55690141,30506957,27216881,41705969,53814084,10654016,13462736,13689544
08/07/1963,22177535,14735073,56054059,30552776,27438259,41948929,54363613,10782336,13602724,13784903
08/08/1963,21986794,14754576,55746511,30507823,27328915,41826606,54155425,10771255,13637043,13702112
08/09/1963,22076882,14799170,55896021,30652071,27264751,41872316,54290633,10759264,13613266,13693655
08/12/1963,22320812,14840251,56255816,30986527,27363204,42030981,54697914,10822986,13732403,13785779
08/13/1963,22459341,14895843,56225821,30941160,27332315,42025577,54803836,10839687,13846449,13834955
08/14/1963,22634229,14893636,56387651,31031527,27461606,42076596,54868364,10921225,13851983,13831396
08/15/1963,22701958,14959496,56382163,31110706,27505430,42178886,55479712,10948141,13897598,13876502
08/16/1963,22588038,15079950,56851743,31179534,27633363,42372704,55630737,11008626,14006125,13978549
08/19/1963,22582635,15126762,56981143,31307014,27615346,42436752,55583491,11081524,14002727,13962460
08/20/1963,22617661,15125518,56720861,31454029,27584217,42322338,55651447,11038747,13983721,13910680
08/21/1963,22535842,15121811,56761284,31411198,27501064,42310812,55499083,11058481,13978288,13971387
08/22/1963,22603547,15116246,56431758,31424128,27547824,42232793,55276623,11057553,14003360,13985225
08/23/1963,22861720,15208931,56980950,31447866,27577560,42305335,55288546,11079776,14056900,14115195
08/26/1963,22783671,15282183,57364155,31488550,27597363,42537721,55518902,11121584,14138769,14279237
08/27/1963,22918153,15346076,57500738,31608736,27581164,42563874,55552373,11130085,14154247,14350822
08/28/1963,22622536,15190401,57224893,31482261,27504747,42502592,55095164,11085822,14077199,14198704
08/29/1963,22747919,15290054,57749920,31735459,27710295,42743129,55432909,11158674,14230061,14486499
08/30/1963,22796596,15388285,57704054,31788699,27723442,43010810,55571742,11194023,14276047,14434143
09/03/1963,22884868,15470460,58082270,31814326,27834956,43225268,55998755,11285731,14331780,14400889
09/04/1963,22981719,15556063,58281959,31789796,27950052,43388428,56006147,11293838,14337548,14446025
09/05/1963,23016684,15525335,58200681,31728411,27889924,43293512,55920769,11312543,14380204,14457311
09/06/1963,23162823,15625829,58627194,32028435,28052165,43382464,56165869,11388904,14447485,14545270
09/09/1963,23308082,15564462,58643684,31887305,27973748,43289776,56048474,11344089,14340011,14474486
09/10/1963,23222325,15544448,58535419,31789463,27817983,43085895,55916900,11275785,14290551,14423949
09/11/1963,23315958,15649458,59268163,31865075,27954115,43159014,56197497,11337503,14424413,14500309
09/12/1963,23304511,15698638,59510522,31802066,28100132,43305030,56523403,11333777,14544771,14542980
09/13/1963,23246373,15686816,59251226,31727884,28195654,43418356,56483875,11330225,14530612,14429267
09/16/1963,23207437,15746146,59139208,31748944,28297560,43439641,56563076,11344819,14542803,14410779
09/17/1963,23133737,15682554,59137083,31760853,28214211,43433019,56417669,11378176,14472803,14458993
09/18/1963,23106012,15727841,59271433,31625745,28283691,43519615,56441954,11380610,14444639,14510716
09/19/1963,22956707,15681887,58803289,31495521,28153686,43417023,56391134,11359474,14335771,14409023
09/20/1963,23177393,15762610,59147419,31651851,28291972,43745764,56657243,11383393,14487919,14555414
09/23/1963,23279222,15718947,59437438,31636589,28161052,43786796,56627411,11403753,14482487,14545347
09/24/1963,23172486,15575038,59161757,31470028,28051808,43546120,56524088,11333537,14347971,14433013
09/25/1963,23357109,15509920,59125687,31405761,28037082,43602631,57619795,11376232,14451967,14575238
09/26/1963,23051401,15381955,58979335,31174379,27813319,43405913,57296379,11289079,14380567,14500025
09/27/1963,22772528,15248199,58249202,31029365,27551535,43158679,56902013,11225382,14246501,14272649
09/30/1963,22762665,15214308,58092826,31016097,27447697,42938370,56951765,11199805,14221556,14257883
10/01/1963,22815610,15124823,57516264,30806923,27251177,42225209,56968199,11095318,14179658,14184144
10/02/1963,22821407,15266462,58204621,30822271,27435169,42732188,57536026,11162564,14251851,14204710
10/03/1963,22735344,15285241,58440976,31001832,27437857,42724979,57581764,11169002,14241172,14266824
10/04/1963,23075068,15401960,58703686,31229441,27580602,42926742,57947399,11230251,14435500,14559933
10/07/1963,23131496,15425711,58761343,31400659,27635174,42973529,57733090,11184369,14471423,14577184
10/08/1963,23354118,15374059,58615308,31296843,27426110,42965463,57513581,11118526,14467914,14477287
10/09/1963,23186169,15348602,58708461,31070878,27330487,42948598,57495834,11174899,14431100,14444432
10/10/1963,23074683,15156721,58441677,30889734,27066901,42627156,57356074,11124800,14299943,14219359
10/11/1963,23146942,15205552,58302930,30970381,26996254,42639208,57523733,11157352,14298396,14333801
10/14/1963,23214333,15285515,58401267,30914817,27095361,42650059,57549215,11206348,14391809,14358163
10/15/1963,23479299,15322480,58420352,30974446,27135991,42593659,57511826,11225306,14393192,14347804
10/16/1963,23513970,15341288,58576501,31024076,27241266,42654258,57457826,11250518,14423645,14415580
10/17/1963,23918347,15438142,59232490,31370221,27412726,43046963,58030207,11323306,14552865,14665991
10/18/1963,24025059,15513729,59357834,31456382,27593701,42958929,58107506,11337335,14594258,14650025
10/21/1963,24163830,15595855,59428889,31483341,27574637,43077291,57977018,11352446,14579266,14615000
10/22/1963,24183421,15717237,59637811,31558127,27484497,42963813,58038851,11327162,14582336,14613415
10/23/1963,23992613,15751735,59365704,31463523,27283058,42851785,57484792,11300759,14474031,14370779
10/24/1963,23936565,15837160,59154769,31720490,27360177,42696032,57708041,11247162,14455060,14363916
10/25/1963,24007389,15884602,59635831,31951895,27480991,42785550,57571919,11277809,14521463,14596232
10/28/1963,24246166,15938815,61349581,31919202,27583529,43090488,58720762,11298324,14496794,14511841
10/29/1963,24351184,15874968,62261072,31776124,27880192,43630605,59102081,11337829,14508833,14445631
10/30/1963,24199024,15771122,62650617,31692270,27939240,43556188,58958784,11296237,14513604,14526295
10/31/1963,23962364,15599546,61864738,31545401,27687067,42979535,58463455,11237669,14442825,14397742
11/01/1963,24224484,15662593,61979364,31453486,27736726,43117674,58724123,11277040,14371671,14387751
11/04/1963,24102097,15647208,61579783,31525422,27653421,43152722,58489627,11267588,14369375,14386941
11/06/1963,23933683,15537214,61083417,31218729,27479582,43186910,58408032,11186704,14235069,14259564
11/07/1963,23779868,15451266,60665644,30757845,27140390,42667310,57847949,11144860,14120761,14205747
11/08/1963,23976923,15533786,60763219,31031002,27073709,42941494,57957238,11220197,14145284,14241002
11/11/1963,24234989,15667576,60292476,31359703,27337244,43060910,58513710,11272532,14189264,14301379
11/12/1963,24382815,15791862,60366218,31328206,27447094,43084153,58570541,11346089,14195483,14391868
11/13/1963,24351526,15721147,60002737,31292754,27248942,42875966,58302630,11332422,14177267,14253551
11/14/1963,24433271,15731951,60022507,31222537,27092497,42718669,58797972,11355143,14152754,14178252
11/15/1963,24321988,15697806,59493193,31187888,27053680,42389022,58458031,11311786,14120657,14136549
11/18/1963,24167930,15534938,58628757,31035261,26798567,42042732,57976106,11273084,14092173,14002220
11/19/1963,23931218,15411128,58343435,30634644,26425444,41640086,57756346,11144876,13968536,13963984
11/20/1963,23663751,15373092,58915545,30525746,26541267,41848224,57579233,11126145,13983934,13997439
11/21/1963,23650482,15370393,59134119,30818625,26640639,42317979,59601489,11117807,13964781,14038294
11/22/1963,23136663,15143724,56631753,30507627,26430347,42083993,58748219,11001783,13750127,13770733
11/26/1963,22787846,14692622,54903726,29503623,25532168,41136200,56072089,10644649,13359114,13219732
11/27/1963,23486465,15310552,57866998,30738664,26616450,42290947,59176533,11030089,13869326,13925607
11/29/1963,23709155,15238930,57702473,30532877,26591416,42247606,59052907,10989277,13890375,13819368
12/02/1963,24160182,15617931,58096455,31131214,27203432,42838232,59794721,11160030,14044470,14112689
12/03/1963,24435282,15734261,58648558,31373610,27261262,43187051,59974335,11195234,14016781,14226718
12/04/1963,24339426,15703023,58727537,31388696,27133896,43105556,60030054,11184417,13975657,14203952
12/05/1963,24187839,15779014,58854849,31540900,27267572,43091239,60205654,11225910,14036456,14263637
12/06/1963,24270327,15866649,59228533,31651579,27489901,43513179,60694229,11283500,14189018,14367044
12/09/1963,24195111,15925156,58767376,31500283,27425074,43544926,60335015,11290388,14086151,14221707
12/10/1963,24158928,15940650,58805397,31379304,27353852,43490412,60460387,11225663,14061831,14082825
12/11/1963,24041499,15965396,58966555,31462927,27382984,43516972,60371333,11226691,14070169,14165617
12/12/1963,24017081,15929917,58491726,31407224,27426008,43565922,60279837,11250946,14050345,14113058
12/13/1963,23889679,15884036,58525392,31406624,27577371,43634698,60209780,11252338,14059290,14092022
12/16/1963,23886407,15913529,58580412,31577818,27669427,43699501,60239453,11269449,14065783,14111777
12/17/1963,23891943,15948626,58833590,31635549,27759689,44103992,60260003,11240402,14096496,14194527
12/18/1963,24229634,15942057,59579274,31817753,27886311,44238344,60251247,11281955,14217170,14371303
12/19/1963,24154544,15935748,59052586,31928244,27804110,44366511,59916612,11315632,14264131,14368566
12/20/1963,24100930,15776664,58834026,31864755,27639329,44309833,59984703,11244154,14164625,14235766
12/23/1963,24071788,15733431,58428081,31753852,27605574,44594544,59806352,11204526,14140528,14289705
12/24/1963,23955624,15634490,58100982,31330935,27374235,44188563,59669732,11143204,14140627,14229413
12/26/1963,24071453,15663229,58704021,31569224,27426084,43882202,59713638,11162293,14164140,14152989
12/27/1963,24380897,15731660,58912080,31791703,27566915,44139961,59823457,11194622,14277051,14179948
12/30/1963,24408662,15750488,58842503,32040327,27620828,44172387,59879097,11222213,14274664,14181012
12/31/1963,24567478,15762359,58946433,32075741,27738383,44129744,60069800,11276987,14207868,14138836
01/02/1964,24966062,15976186,59505632,30942233,28207014,44726044,60627891,11499256,14366285,14192165
01/03/1964,25402117,16062048,60171652,32427680,28297975,44883627,60746868,11594929,14527351,14418288
01/06/1964,25255623,16037916,60277937,32510608,28464013,45121432,60727782,11612627,14614807,14502248
01/07/1964,25366620,16023496,60117274,32549241,28487000,45255083,61077609,11670695,14730267,14624469
01/08/1964,25157881,16015994,59920632,32476292,28465076,45464950,61208514,11694595,14796936,14769209
01/09/1964,25314610,16066995,60207581,32598650,28600701,45452416,61384126,11752742,14860935,14762222
01/10/1964,25826102,16047259,60457275,32789435,28572941,45482386,61595744,11769191,14921319,14803799
01/13/1964,25946454,16017647,60408108,32671394,28516762,45461826,61522589,11785842,14885619,14806190
01/14/1964,26064703,16011508,60156890,32651895,28381441,45361959,61521158,11790160,14956410,14865663
01/15/1964,26129882,15969973,60187757,32749589,28471686,45350231,61688135,11805838,15065592,15111052
01/16/1964,26789255,16006693,60240019,32867337,28499055,45386612,61820497,11779984,15060092,15066859
01/17/1964,26465025,16113238,60220508,32993622,28396623,45429028,61841916,11755269,15013893,14849112
01/20/1964,26591497,16067274,60096528,32758554,28251163,45347262,62173402,11741762,15115776,14808665
01/21/1964,26413974,16002732,59788073,32689719,28066949,45427780,62774738,11700558,14926239,14554034
01/22/1964,26146011,15938889,60157794,32885435,28220694,45672367,62988176,11722768,14965035,14627321
01/23/1964,26263128,15962910,60562182,32911775,28393941,46085905,63411350,11808566,14934129,14616322
01/24/1964,26378427,15949114,60546232,33004495,28496464,46296829,63081515,11826745,14984419,14666690
01/27/1964,26229091,16010555,60700661,33011014,28511210,46343049,63037759,11831757,15009728,14747770
01/28/1964,25952610,15882792,60631434,33040275,28649317,46572727,63058538,11782686,15000117,14696974
01/29/1964,25792913,15838232,60723257,33063342,28669595,46806833,62973019,11734414,14994574,14774529
01/30/1964,25408801,15762574,60600744,32874289,28618453,46491949,62533316,11586945,14897383,14711402
01/31/1964,25574948,15783644,60764440,33177569,28480495,46375488,62540281,11574206,14817742,14640380
02/03/1964,25924334,15841921,61186848,33325514,28603316,46784442,62682904,11540255,14818511,14633502
02/04/1964,25894198,15912838,61020232,33395593,28803977,46921830,62251051,11568857,14824067,14680323
02/05/1964,25741314,15848209,60994054,33313305,28783255,46934427,62098113,11632589,14790645,14573158
02/06/1964,25598521,15854710,61062456,33275612,28676922,46635010,61954326,11639316,14788256,14532179
02/07/1964,25736278,15886914,61283355,33402927,28698656,46536103,62109121,11695820,14778650,14676579
02/10/1964,25784071,15948457,61343140,33518767,28832577,46788269,62437084,11753165,14773635,14687207
02/11/1964,25892033,15877395,61036216,33462398,28749194,46701593,62414435,11735460,14758142,14684417
02/12/1964,25999495,15902736,61139602,33606647,28863445,46738367,62906644,11761840,14863509,14730904
02/13/1964,26124278,15888898,61133457,33595158,28981630,46750374,63575008,11793334,14936379,14831158
02/14/1964,26368188,15879520,61255083,33727588,28951887,46752565,64810389,11761475,14906480,14826708
02/17/1964,26496061,15916251,61286416,33816190,28907234,46608115,64626304,11757905,14882181,14789173
02/18/1964,26371690,15925156,61250477,34093960,28824357,46715953,64622237,11773059,14863150,14748485
02/19/1964,26470688,16013946,61387613,34070738,28732704,46855100,64497007,11749159,14846961,14744657
02/20/1964,26506917,16095951,61429026,34136429,28757486,46976834,64300480,11799282,14879550,14823358
02/24/1964,26516304,16121485,61654649,34138170,28943884,46991360,64018220,11822645,14955509,14925352
02/25/1964,26504401,16161850,61750115,34259021,28878621,47150678,64013793,11865647,14915279,14928970
02/26/1964,26872096,16165755,61649000,34284555,28790507,47125607,63640946,11885133,14948492,14816049
02/27/1964,27100680,16211937,61785613,34368285,28777620,47227518,63710191,11965372,15050692,14950621
02/28/1964,26772606,16205132,61528323,34173231,28693306,47121580,63669269,11986957,15008959,14898992
03/02/1964,26942932,16249866,61691140,34176515,28701557,47345977,63622175,12010796,15062472,14953131
03/03/1964,26917021,16345809,62007089,34242475,28728292,47312372,63820213,12053915,15144285,15027478
03/04/1964,26893887,16316905,62383939,34385287,28742380,47386052,64364926,12071454,15181775,15088496
03/05/1964,26705034,16197738,62306037,34298706,28816506,47377584,64103781,12069040,15170593,15058041
03/06/1964,26901502,16260997,62095350,34278896,28771509,47432951,63790301,12083854,15179713,15047694
03/09/1964,27093410,16273669,62350586,34544245,28871355,47442965,63899138,12129405,15255534,15135576
03/10/1964,27077385,16369747,62833832,34466198,28870905,47297987,63574763,12125957,15337048,15196319
03/11/1964,27173977,16427392,63341943,34593780,29033504,47525667,63536446,12126025,15348963,15265774
03/12/1964,27376284,16428007,63770642,34628358,29175769,47675127,64018522,12218450,15379016,15316619
03/13/1964,27665216,16497508,63654663,34707077,29166611,47686737,64172427,12259040,15424521,15511663
03/16/1964,27696142,16577598,63581389,34676157,29057200,47825751,63993831,12299792,15558785,15695116
03/17/1964,27736503,16523571,63419106,34802556,29090741,48098218,64183692,12332216,15550468,15590560
03/18/1964,27722893,16608807,63546518,34837572,29258718,48435939,64106877,12378608,15557605,15586870
03/19/1964,27644709,16686678,63430975,34959406,29267513,48622820,64166467,12436706,15590127,15702885
03/20/1964,27538343,16678314,63178767,34850102,29274624,48882256,64078085,12447870,15581879,15741616
03/23/1964,27400738,16611662,62700068,34767418,29105812,48704763,63750896,12398548,15558598,15672689
03/24/1964,27617295,16539763,62689579,34767282,29013578,48670197,63907425,12412225,15578736,15704309
03/25/1964,27599715,16518579,62722901,34562918,28895370,48737853,63581696,12381610,15597493,15692855
03/26/1964,27789427,16726232,62904670,34524869,28912219,48751695,63578054,12421561,15739714,15719896
03/30/1964,27846639,16728804,63211446,34568049,29049525,48986152,63434554,12502313,15848389,15822448
