date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/01/1963,8033717,7298320,9074343,14072335,16685648,30617259,29019118,31358248,50104478,188272335
08/02/1963,8007130,7285152,9039476,14059581,16651528,30591036,28976294,31403678,50060527,188173696
08/05/1963,8030815,7305806,9029958,14097058,16689592,30714225,29105662,31516669,50257685,188658184
08/06/1963,8046682,7344102,9095596,14219107,16818504,30766409,29298840,31683015,50470611,189753758
08/07/1963,8067212,7359442,9067128,14323202,16868812,31049645,29462823,31806394,50675608,190915475
08/08/1963,8034878,7331716,9106874,14338448,16815939,31046459,29509481,31824970,50709872,190075016
08/09/1963,8039168,7323715,9104870,14360665,16839610,31080108,29485735,31827835,50719364,190585698
08/12/1963,8126074,7422291,9163475,14449950,16928639,31266176,29606082,32042299,51092450,191646681
08/13/1963,8143519,7499065,9285074,14525843,16915988,31301293,29691694,32252085,51162955,191628690
08/14/1963,8142544,7469511,9259257,14566212,16977441,30501599,29809595,32325149,51269601,192340698
08/15/1963,8153539,7479921,9257873,14602326,17012773,31385380,29899015,32352216,51479729,193095628
08/16/1963,8177249,7492867,9266942,14647861,17073241,31615783,30028040,32433625,51883012,193819891
08/19/1963,8210870,7501896,9304875,14658896,17156448,31585376,30079575,32541811,51948534,194033303
08/20/1963,8183871,7536415,9319581,14644377,17161338,31633370,30097384,32549832,51959843,193780556
08/21/1963,8193462,7522777,9320650,14660531,17168596,31712589,30190006,32537950,51840027,193453173
08/22/1963,8180903,7540147,9356446,14641718,17218685,31710475,30195703,32583940,51730442,192920456
08/23/1963,8256034,7635010,9470609,14711869,17357506,31834652,30249286,32744652,51928762,193549782
08/26/1963,8270911,7673810,9535921,14773660,17387224,31964617,30332502,32900354,52034963,194240164
08/27/1963,8269564,7641876,9612084,14814532,17460248,32000892,30395312,33005264,52253933,194426342
08/28/1963,8224273,7592415,9510271,14717308,17345104,31812129,30330771,32926663,51933049,193352315
08/29/1963,8338664,7709945,9649611,14829015,17462608,32120816,30469231,33129578,52434195,194555666
08/30/1963,8373714,7739677,9699629,14861988,17510751,32178463,30712229,33154474,52678697,194533779
09/03/1963,8564235,10242083,9880446,15573133,24774096,19762512,31894952,44319337,49084369,189266913
