date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,77016603,63873100,69404536,29095823,21814353,20342378,15264086,15387932,11491368,5758372
07/03/1963,77743291,64425238,69974864,29350899,21897970,20455747,15330892,15519616,11653475,5800565
07/05/1963,78409456,64699509,70558077,29530488,22032002,20555842,15360322,15567908,11715089,5847205
07/08/1963,78725476,65222748,70739319,29708212,22061373,20589788,15406649,15576420,11767832,5853201
07/09/1963,78119296,64616670,70387722,29628134,22072798,20526350,15357042,15462373,11654440,5817523
07/10/1963,78481669,64840454,70796293,29701541,22173879,20575259,15435621,15545570,11682672,5863623
07/11/1963,78250293,64857823,70709577,29607344,22104079,20572950,15352294,15483499,11604465,5863674
07/12/1963,78005676,64785347,70633029,29646151,22118562,20534110,15380765,15477723,11530506,5842945
07/15/1963,77867497,64797374,70396054,29734383,22085406,20542547,15387761,15455005,11466463,5836839
07/16/1963,77562433,64291322,69869628,29551755,21976823,20402718,15335807,15331605,11392957,5810947
07/17/1963,77514602,64157568,69900854,29611974,21934519,20315650,15273272,15338985,11408861,5819124
07/18/1963,77286590,63929000,69798259,29487568,21904840,20206966,15259564,15298334,11347935,5810648
07/19/1963,76761173,63360180,69649143,29370127,21855467,20192230,15175602,15180171,11282649,5761353
07/22/1963,76635105,63328687,69500781,29333588,21744298,20088055,15195152,15142211,11274421,5721451
07/23/1963,76240297,62813207,69019149,29146571,21588614,19973304,15086172,15018812,11186317,5672777
07/24/1963,76037266,62924611,69299529,29172716,21590100,19940296,15079725,15067961,11213138,5620126
07/25/1963,76385182,63365215,69521548,29353961,21647399,20160148,15105853,15115936,11259453,5640699
07/26/1963,76257702,63292289,69385181,29492813,21705447,20170317,15130075,15152319,11253345,5640401
07/29/1963,76453749,63722831,69665812,29553154,21741132,20170955,15177116,15224339,11330982,5682090
07/30/1963,76564729,63919218,69575615,29597843,21785500,20198014,15191372,15262319,11338377,5710778
