date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,31899625,67907124,29215815,35924003,39649100,26793545,36835040,48271540,18822543,5215563
07/03/1963,32096704,68690244,29439744,36081968,39997957,26988064,37088676,48761056,19023124,5273357
07/05/1963,32301477,69174815,29588004,36354621,40072429,27151855,37414251,49162737,19131328,5330945
07/08/1963,32399681,69456818,29728676,36610696,40238013,27171298,37559638,49231397,19184363,5372872
07/09/1963,32272102,68846760,29609379,36328002,39983646,27073917,37407174,48939572,18991117,5344060
07/10/1963,32312759,69099303,29792227,36423436,40072929,27227002,37496240,49326783,19120766,5386885
07/11/1963,32229016,68805532,29800358,36355394,40023781,27167179,37484751,49142766,19126468,5365053
07/12/1963,32208467,68680002,29746977,36314733,39965146,27059339,37464808,49056970,19116968,5323024
07/15/1963,32064488,68539513,29654717,36309769,39848129,27075185,37559013,48834044,19114627,5355069
07/16/1963,31959526,68213136,29459646,36072624,39607820,26901270,37262843,48575956,18956374,5310021
07/17/1963,31865452,68349660,29387773,35957808,39665063,26884213,37106873,48644377,18866838,5318100
07/18/1963,31667187,68106849,29348784,35860998,39567279,26842671,36929595,48605095,18813218,5287062
07/19/1963,31410325,67878504,29218617,35628967,39220822,26719015,36704523,48445243,18783943,5255343
07/22/1963,31399253,67807767,29223251,35666438,39242907,26687929,36514973,48261185,18602208,5224425
07/23/1963,31269098,67397253,29042163,35499756,38952398,26529860,36096461,47963527,18383892,5160910
07/24/1963,31249488,67572829,28999973,35488356,39001480,26496883,36082093,47890946,18423637,5145403
07/25/1963,31364573,67680424,29068767,35705605,39230734,26689701,36329244,48167076,18518765,5195254
07/26/1963,31346948,67672550,29151970,35792990,39200058,26663781,36293928,48121813,18430981,5191511
07/29/1963,31379349,67914718,29143077,35826308,39517936,26809595,36407335,48353701,18496832,5238944
07/30/1963,31379621,67927308,29222174,35876692,39645559,26936205,36484976,48338885,18540279,5250700
07/31/1963,31689041,68395964,29438337,36030412,40287370,27063076,36743554,48781352,18713043,5290376
08/01/1963,44447832,56981263,43838987,22118885,37980984,35969501,47945147,25436943,21611913,5816809
08/02/1963,44408483,57067541,43640464,22168562,37945877,36001357,47904425,25478014,21588294,5780775
08/05/1963,44452064,57166414,43822469,22261540,38078141,36107176,48169357,25517959,21657217,5798614
08/06/1963,44892116,57305928,44051158,22364658,38131751,36345830,48476404,25680130,21805244,5842284
08/07/1963,45259873,57737767,44141013,22422561,38286994,36563367,48891901,25835293,21983696,5854059
08/08/1963,45131740,57620962,44154295,22421984,38080178,36443491,48677223,25792800,21970768,5862202
08/09/1963,45201397,57768976,44395052,22433419,38134430,36517721,48673383,25757670,21906993,5863118
08/12/1963,45436378,58316070,44743426,22477872,38426122,36597348,48851901,25971734,22133593,5892336
08/13/1963,45580746,58524856,44644907,22618881,38378287,36597073,48834034,26064556,22306155,5936271
08/14/1963,45890314,58599871,43829097,22614582,38513900,36662664,48991789,26235657,22337064,5942432
08/15/1963,46297419,58835956,44741951,22622577,38479617,36750585,49154835,26270124,22482960,5966282
08/16/1963,46234279,59077878,44957890,22734400,38947665,36948529,49284091,26350391,22643144,5968014
