date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,11199840,10848857,31023309,74857990,48090478,42891616,58040776,44865091,45213504,12129165
07/03/1963,11253468,10990071,31172242,75442625,48329716,43310414,58736458,45318869,45480778,12328238
07/05/1963,11357728,11053836,31245107,75955771,48549197,43553891,59049283,45686656,45682449,12402291
07/08/1963,11396832,11126815,31365544,76207654,48582212,43674267,59655416,45779692,45793329,12471894
07/09/1963,11332745,11073283,31237209,75869808,48349081,43454109,59169787,45547104,45530774,12360579
07/10/1963,11351353,11101550,31246147,76038910,48489349,43690784,59587331,45922609,45790655,12463185
07/11/1963,11303647,11048015,31143464,75980919,48397860,43485039,59503471,45854442,45814686,12427243
07/12/1963,11260130,11027664,31223519,75814866,48423552,43368990,59443644,45792951,45618193,12400232
07/15/1963,11299084,10968944,31142556,75761144,48371032,43244786,59572910,45676901,45534265,12396655
07/16/1963,11225874,10994040,31012591,75404649,48156520,42903552,59141937,45423115,45143129,12264402
07/17/1963,11167062,10953043,31008747,75463198,47977124,42957100,59109758,45369596,45028947,12342515
07/18/1963,11088204,10891370,30906097,75265910,47783803,42875324,58813645,45315377,44968562,12301668
07/19/1963,10968498,10859327,30783818,75061554,47589954,42776581,58257145,45046468,44574679,12240102
07/22/1963,10918076,10817816,30795072,75078793,47461203,42624323,58150416,44858118,44483285,12222997
07/23/1963,10842841,10778086,30679186,74688327,47143508,42266709,57748778,44492461,44071134,12155362
07/24/1963,10821272,10754159,30702100,74885119,47067619,42085859,57743011,44510878,44147522,12178648
07/25/1963,10901179,10774127,30723463,74981117,47205950,42344756,58180379,44825303,44422416,12280749
07/26/1963,10890243,10767009,30802856,74807245,47222861,42310312,58330967,44940351,44249502,12240148
07/29/1963,10927599,10796705,30845394,74967598,47290656,42432376,58545320,45145944,44653343,12314285
07/30/1963,10930082,10774714,30867812,75089492,47405408,42410787,58586958,45030828,44852355,12390905
07/31/1963,10992180,10838482,30933011,75444785,47618817,42740701,59319763,45498917,45627109,12500573
08/01/1963,10590431,25398104,82630722,36972148,34528828,61931221,53329645,45591331,19776509,10193979
08/02/1963,10574088,25335324,82781860,36970981,34456885,61813830,53228098,45551831,19743494,10204734
08/05/1963,10593849,25458628,82961236,37120235,34575531,61954978,53365880,45686219,19878727,10222077
08/06/1963,10610570,25529623,83148127,37297705,34762658,62560534,53667498,46014881,19997551,10313939
08/07/1963,10606488,25699739,83719171,37381045,34947300,62746435,54178933,46184942,20123138,10404951
08/08/1963,10546433,25701680,83367296,37506455,35058184,62542448,54017409,45946834,20142398,10377900
08/09/1963,10549324,25692808,83565805,37653936,35006140,62733389,54048289,46010812,20165333,10363948
08/12/1963,10625610,25808966,84095285,37959646,35189306,63182109,54181147,46373517,20226387,10472469
08/13/1963,10669152,25733342,84290335,38136236,35276625,63276356,54102201,46375422,20333091,10581164
08/14/1963,10660499,25878200,84393792,38228713,35333468,62707633,54319924,46538298,20374648,10591929
08/15/1963,10660006,25963663,84732370,38346751,35478524,63664182,54712825,46485624,20454885,10597472
08/16/1963,10673320,25996241,85062863,38481997,35619597,63711225,54984100,47063095,20567597,10631515
08/19/1963,10729018,26050630,85148015,38622561,35693476,63729514,54875742,47211592,20607141,10705350
08/20/1963,10718283,26165678,85117991,38633658,35653684,63702704,54875108,47070668,20582399,10717918
