date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,12094066,17540926,18393364,58721849,34670063,51237507,32693321,80137158,55991794,17837626
07/03/1963,12154569,17711194,18480782,59219702,34878872,51676691,32933560,81064903,56188870,18105967
07/05/1963,12197943,17834642,18580762,59519310,35044174,52020205,32778271,81854222,56497004,18262800
07/08/1963,12247138,17900700,18620660,59665614,35120099,52333304,32958561,82287011,56630839,18336468
07/09/1963,12182870,17826027,18563785,59362836,35043123,52165357,32907363,81629264,56121703,18170804
07/10/1963,12190032,17855712,18634770,59502265,35214736,52379227,32998772,82199863,56410312,18338003
07/11/1963,12160072,17812087,18575932,59386486,35180147,52283949,32953416,81930309,56388297,18332875
07/12/1963,12142372,17818552,18562842,59338057,35281885,52130555,32850839,81741940,56230027,18302714
07/15/1963,12137438,17781575,18549817,59242242,35286538,52202383,32885013,81520528,56095731,18298789
07/16/1963,12046742,17722218,18476897,58958730,35056930,51917895,32719174,81053659,55641473,18118356
07/17/1963,11995499,17675492,18437097,59033783,35025676,51849772,32697321,81068945,55479267,18151636
07/18/1963,11892003,17613028,18442816,58841824,34861439,51682520,32570947,80991480,55300168,18046269
07/19/1963,11805231,17501355,18366000,58653627,34639993,51534964,32423590,80397686,54878056,17959906
07/22/1963,11788274,17524472,18333655,58709022,34442228,51474661,32334900,80224582,54657212,17919470
07/23/1963,11738895,17411892,18208252,58410106,34214028,51189667,32101454,79726859,54076192,17789507
07/24/1963,11700119,17422739,18180840,58558415,34299452,51157055,32029508,79669975,54077807,17805067
07/25/1963,11721270,17469679,18238026,58601501,34308750,51419870,32243453,80252246,54478389,17903229
07/26/1963,11712999,17439517,18230981,58470881,34353930,51487087,32348371,80369618,54268316,17863767
07/29/1963,11725301,17475317,18276923,58600478,34364677,51683575,32432146,80683470,54697066,17921645
07/30/1963,11736655,17456177,18232769,58590015,34292957,51857038,32468844,80751281,54936084,17965389
07/31/1963,11809380,17541530,18314365,58874126,34531665,52158175,32621889,81634120,55732596,18236272
08/01/1963,10811775,14750034,20572540,81070085,35372472,34763848,37762363,69326319,57949375,18795909
08/02/1963,10751251,14721138,20587345,81095812,35291462,34727377,37724496,69230855,57959188,18781717
08/05/1963,10795639,14751585,20680663,81109405,35412799,34839780,37912469,69485866,58221042,18826989
08/06/1963,10906146,14686221,20706656,81457498,35510604,35081725,38110105,70123391,58564811,18968969
08/07/1963,10946323,14763274,20813072,82053508,35532157,35212124,38449757,70502133,58789504,19145590
08/08/1963,10914702,14751170,20774939,81838271,35626722,35210386,38394582,70210527,58561941,19134090
08/09/1963,10849286,14712340,20858541,82045068,35717525,35252965,38371906,70349081,58651667,19183543
08/12/1963,10898260,14760758,20957091,82783263,35991815,35431215,38640356,70509785,58997295,19356346
08/13/1963,10950968,14741694,20979897,83046892,36114715,35602444,38631807,70496623,58896827,19503443
08/14/1963,10891859,14869239,21006536,83429347,36152273,35814836,38716955,70561731,58220100,19573793
