date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,33174061,54281270,27454618,75333949,33041580,27339501,26212236,33037962,33045273,12340565
07/03/1963,33564677,54725944,27645054,75808532,33342792,27437849,26373379,33269179,33571067,12547500
07/05/1963,33888528,55130656,27794172,76349109,33568881,27545258,26491391,33454304,33771919,12614522
07/08/1963,34035878,55586891,27856977,76357969,33684628,27456592,26554258,33622434,33974081,12681094
07/09/1963,33881070,55010909,27718057,75873559,33542031,27548574,26544911,33477111,33559643,12571646
07/10/1963,34140785,55274636,27849864,76083591,33670149,27648383,26674258,33595998,33716646,12649739
07/11/1963,34069267,55178619,27865277,75980538,33543338,27590622,26582513,33541774,33550448,12616636
07/12/1963,34011288,55090173,27811381,75907685,33453362,27609298,26578766,33362188,33478005,12588091
07/15/1963,33961296,55008758,27858445,75841471,33392173,27539082,26517693,33326733,33358126,12511126
07/16/1963,33768339,54436060,27671016,75368698,33194814,27408643,26421389,33191398,33283335,12402029
07/17/1963,33734926,54381357,27659418,75230590,33248195,27389021,26391184,33142858,33331174,12358987
07/18/1963,33704117,54250055,27614414,75035665,33180689,27279535,26284201,32980780,33163702,12295094
07/19/1963,33544170,53764673,27477769,74754119,33060583,27173505,26193200,32818853,32899319,12257995
07/22/1963,33392925,53682576,27397672,74636431,33022095,27127991,26157535,32759052,32831860,12255240
07/23/1963,33173877,53219668,27196734,74003081,32825680,27050153,26012803,32578141,32626649,12149326
07/24/1963,33246805,53211719,27130284,74171285,32781713,27032926,26002038,32569452,32613576,12101451
07/25/1963,33510920,53744909,27178544,74384174,32939284,27081125,26091364,32716263,32740812,12151960
07/26/1963,33478090,53625045,27275301,74265234,32948793,27119782,26113616,32687564,32807382,12155747
07/29/1963,33722241,54121055,27345372,74467180,32992406,27161875,26140416,32672876,32930986,12174414
07/30/1963,33742380,54411737,27423286,74473157,32994214,27199438,26121798,32748022,33021161,12152373
07/31/1963,34038390,55202147,27641632,74806285,33208004,27323371,26341341,32905676,33474430,12288801
08/01/1963,34362835,25297289,59442715,45172759,56379762,32187767,30428345,30150105,30477370,13549277
08/02/1963,34273565,25290088,59219825,45239937,56434739,32218294,30470385,30053338,30494438,13518175
08/05/1963,34398178,25374602,59450191,45445673,56463689,32351588,30606107,30193572,30451100,13540847
08/06/1963,34523879,25539691,59859704,45688768,56547979,32512529,30798989,30332959,30706860,13710584
08/07/1963,34937529,25665183,59933496,45909410,57150988,32666888,30853609,30493686,30947263,13796077
08/08/1963,34737955,25676050,59673211,45802091,56888068,32716354,30893489,30562010,30824276,13743358
08/09/1963,34759430,25619326,59886781,46000789,56991481,32666899,30965512,30585245,30841230,13727505
08/12/1963,34701894,25668137,60298097,46246541,57537362,32948319,31166076,30825039,31108091,13843651
08/13/1963,34591494,25779410,60217957,46357755,57694202,32952488,31118359,31080950,31229450,13963196
08/14/1963,34622799,25888209,60326859,46497414,57888028,33106310,31319578,30223077,31428064,13960549
08/15/1963,34651294,25886885,60211962,46618679,58196905,33118949,31774383,31228848,31574044,14057722
08/16/1963,34805214,26030750,60799033,46753632,58412857,33179877,31861590,31438120,31612842,14057836
08/19/1963,34735107,26099163,61091458,46816679,58448642,33210978,31901003,31539844,31615694,14066400
08/20/1963,34647347,26078053,60992139,46862136,58455543,33213084,32015437,31474860,31578724,14047019
08/21/1963,34651873,26076563,61017923,46850111,58332613,33237437,31935707,31489434,31456404,14045943
