date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,31066352,58455691,46738019,51254991,48384506,91192110,,,27502732,22394929
07/03/1963,31346830,59046808,47204433,51859306,48689669,91617382,,,27749998,22546493
07/05/1963,31231154,59579563,47629072,52244525,48878392,92003858,,,27899642,22765581
07/08/1963,31604937,59866856,47785415,52419900,49061775,92056354,,,28021907,22927949
07/09/1963,31415166,59417363,47611947,51988383,48724475,91777028,,,27788983,22900142
07/10/1963,31634510,59586740,47914636,52182336,48920411,92174782,,,27958916,22991739
07/11/1963,31663666,59484122,47742721,51950279,48892053,91975898,,,27986868,22950133
07/12/1963,31682286,59380232,47700773,51732589,48741913,91942873,,,27931130,22921661
07/15/1963,31739666,59340429,47575621,51588253,48598794,91822608,,,27889401,23095166
07/16/1963,31541857,58778322,47302810,51403743,48210406,91433436,,,27719932,22980539
07/17/1963,31502749,58805961,47294945,51465027,48152200,91345511,,,27593071,22922549
07/18/1963,31303976,58670454,47281348,51232419,48027434,90974959,,,27562733,22866221
07/19/1963,31116875,58403107,47064490,50815209,47664153,90653611,,,27432755,22757745
07/22/1963,30950632,58461967,47012659,50794361,47541824,90466740,,,27259209,22629073
07/23/1963,30744422,58072370,46752268,50520847,47078308,89885036,,,27067074,22433748
07/24/1963,30818182,58222687,46734018,50478075,47086371,89692679,,,27210675,22375336
07/25/1963,30918849,58550770,46975587,50739943,47430189,89855217,,,27351226,22524822
07/26/1963,30961518,58517675,46970433,50719787,47321698,89879688,,,27335216,22561572
07/29/1963,31027033,58711182,47242997,50842356,47673689,90063970,,,27363328,22653031
07/30/1963,30898328,58785550,47167764,50946693,47802819,90266563,,,27426743,22719729
07/31/1963,31194584,59073601,47732956,51492309,48540125,90687130,,,27606583,22813587
08/01/1963,31182774,58898583,47627656,51202440,48466483,90898106,,,27533999,22846873
08/02/1963,31076793,58833836,47593075,51160587,48392967,90948044,,,27589959,22760278
08/05/1963,31211881,58974613,47799236,51205718,48594034,91182272,,,27695126,22853130
08/06/1963,31362541,59171185,48057111,51647020,48827851,91663401,,,27866033,22953391
08/07/1963,31462238,59516950,48503823,51923052,49081201,92104600,,,28053760,23006359
08/08/1963,31554805,59313241,48318381,51788305,48861673,91933595,,,28041760,23039429
08/09/1963,31593419,59544200,48366648,51933717,48955108,91973412,,,28065363,22991245
08/12/1963,31733477,59979120,48570894,52290170,49327745,92486736,,,28284368,23099127
