date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,20313633,61270468,47755802,47818735,48072891,90214894,,,26980237,18329938
07/03/1963,20556847,61846383,48223214,48460384,48348539,90638670,,,27220066,18466520
07/05/1963,20662252,62438673,48619563,48815680,48530988,91020615,,,27364965,18670310
07/08/1963,20729580,62795593,48742522,48957318,48702504,91077617,,,27480845,18806442
07/09/1963,20612433,62356575,48538205,48536813,48373596,90799566,,,27258218,18791432
07/10/1963,20717208,62536748,48830827,48727101,48568636,91195826,,,27424741,18852380
07/11/1963,20663230,62475053,48622013,48490540,48547619,90997971,,,27456710,18799986
07/12/1963,20609071,62298772,48652643,48276477,48389334,90966192,,,27401730,18811264
07/15/1963,20550911,62242576,48530043,48140704,48234704,90850933,,,27366652,18928405
07/16/1963,20412585,61686538,48230275,47985958,47836009,90465912,,,27201171,18821706
07/17/1963,20406646,61702804,48233931,48052798,47778767,90380827,,,27069174,18804188
07/18/1963,20277782,61598757,48154502,47864242,47634499,90027162,,,27040929,18725713
07/19/1963,20185700,61330855,47917862,47466454,47263348,89717631,,,26925019,18657622
07/22/1963,20100576,61422192,47807078,47471512,47146598,89531635,,,26751747,18530930
07/23/1963,19987167,61035537,47542730,47196930,46685197,88951961,,,26567797,18356648
07/24/1963,19985589,61209087,47498900,47150400,46700928,88758108,,,26719610,18322979
07/25/1963,20037197,61553304,47695814,47442769,47027585,88928330,,,26843132,18505598
07/26/1963,20130604,61516159,47645081,47487105,46894122,88960807,,,26826385,18525919
07/29/1963,20174871,61700229,47902492,47637380,47240203,89144246,,,26857906,18589618
07/30/1963,20189572,61788764,47822422,47741582,47363801,89342285,,,26915351,18671846
07/31/1963,20329742,62089631,48406321,48270739,48082649,89762736,,,27095654,18758003
08/01/1963,24127367,340948859,,,,,,,,15883695
08/02/1963,24112981,340673925,,,,,,,,15869641
08/05/1963,24189884,341692391,,,,,,,,15938438
08/06/1963,24306099,343561715,,,,,,,,16030530
08/07/1963,24386351,345453770,,,,,,,,16150388
08/08/1963,24403716,344696088,,,,,,,,16100630
08/09/1963,24417997,345325588,,,,,,,,16029923
08/12/1963,24612717,347415814,,,,,,,,16078950
08/13/1963,24739921,348001740,,,,,,,,16004860
08/14/1963,24778442,348143393,,,,,,,,16093380
08/15/1963,24839905,350124089,,,,,,,,16096491
08/16/1963,25072273,351534461,,,,,,,,16161594
08/19/1963,25204159,351970722,,,,,,,,16156019
08/20/1963,25191736,351862042,,,,,,,,16126045
08/21/1963,25169316,351674564,,,,,,,,16076503
08/22/1963,25147817,351166611,,,,,,,,16094446
08/23/1963,25291811,352578894,,,,,,,,16190983
08/26/1963,25460847,353746947,,,,,,,,16221090
08/27/1963,25543226,354421138,,,,,,,,16219266
08/28/1963,25332044,352529489,,,,,,,,16182553
08/29/1963,25503073,355164463,,,,,,,,16302109
08/30/1963,25572216,355780120,,,,,,,,16335773
09/03/1963,26073614,357091288,,,,,,,,16523853
09/04/1963,26127922,357822485,,,,,,,,16596658
09/05/1963,26102519,357624351,,,,,,,,16656034
09/06/1963,26227316,359203019,,,,,,,,16716918
09/09/1963,26215677,358173888,,,,,,,,16668284
09/10/1963,26190332,356876988,,,,,,,,16557647
09/11/1963,26412804,358596974,,,,,,,,16641071
09/12/1963,26464026,359583609,,,,,,,,16673887
09/13/1963,26439179,359272745,,,,,,,,16644170
09/16/1963,26435014,359378870,,,,,,,,16686439
09/17/1963,26327530,358836272,,,,,,,,16667554
09/18/1963,26343127,359031106,,,,,,,,16654296
09/19/1963,26262495,357474317,,,,,,,,16592881
09/20/1963,26437332,359427368,,,,,,,,16569841
09/23/1963,26549675,359583816,,,,,,,,16532306
09/24/1963,26281937,357955794,,,,,,,,16426130
09/25/1963,26274835,359367953,,,,,,,,16445752
09/26/1963,26052051,357452743,,,,,,,,16300592
09/27/1963,25796013,354558510,,,,,,,,16250431
09/30/1963,25731235,353898572,,,,,,,,16254184
10/01/1963,24568880,353245587,,,,,,,,15982978
10/02/1963,24620559,355657545,,,,,,,,16039059
10/03/1963,24756659,356093784,,,,,,,,16025034
10/04/1963,24932081,358501069,,,,,,,,16124703
10/07/1963,24925724,358518711,,,,,,,,16129976
10/08/1963,24913277,357564627,,,,,,,,16041627
10/09/1963,24971354,357132206,,,,,,,,16037982
10/10/1963,24806180,355153455,,,,,,,,15870727
10/11/1963,24902056,355339031,,,,,,,,15879780
10/14/1963,24907404,355924602,,,,,,,,15892575
10/15/1963,24723778,356093203,,,,,,,,15988944
10/16/1963,24711657,356700871,,,,,,,,15966545
10/17/1963,24919841,360057700,,,,,,,,16066106
10/18/1963,24947754,360421293,,,,,,,,16040708
10/21/1963,24983254,360924022,,,,,,,,16118584
10/22/1963,25041374,360989420,,,,,,,,16086297
10/23/1963,24838643,358946081,,,,,,,,16020537
10/24/1963,24771312,359315567,,,,,,,,16043341
10/25/1963,24929118,360525276,,,,,,,,16096162
10/28/1963,25029668,363769142,,,,,,,,16191077
10/29/1963,25128956,365490247,,,,,,,,16140744
10/30/1963,24965305,365467175,,,,,,,,16116300
10/31/1963,24816462,362336275,,,,,,,,16140864
11/01/1963,25569335,362255835,,,,,,,,16261264
11/04/1963,25571766,361648540,,,,,,,,16187394
11/06/1963,25427521,359948640,,,,,,,,16185536
11/07/1963,25203341,357036952,,,,,,,,16019566
11/08/1963,25342270,358230890,,,,,,,,16034697
11/11/1963,25511164,359511721,,,,,,,,16156066
11/12/1963,25624737,359859683,,,,,,,,16219757
11/13/1963,25603266,358527197,,,,,,,,16077738
11/14/1963,25641522,358649689,,,,,,,,16126141
11/15/1963,25665005,356954001,,,,,,,,16094735
11/18/1963,25475007,354441728,,,,,,,,15919355
11/19/1963,25244264,351866161,,,,,,,,15785622
11/20/1963,25196132,352325898,,,,,,,,15808580
11/21/1963,25231360,355395094,,,,,,,,15769084
11/22/1963,24891541,349449205,,,,,,,,15618723
11/26/1963,23902813,338483063,,,,,,,,15051890
11/27/1963,24954998,352439465,,,,,,,,15685850
11/29/1963,24987766,351809989,,,,,,,,15658647
12/02/1963,26068800,355479706,,,,,,,,16863827
12/03/1963,26250839,357270819,,,,,,,,16805012
12/04/1963,26161604,357343874,,,,,,,,16843405
12/05/1963,26188382,357833542,,,,,,,,16917615
12/06/1963,26278008,360116796,,,,,,,,17088095
12/09/1963,26288549,358825997,,,,,,,,17069010
12/10/1963,26248508,358575804,,,,,,,,17012672
12/11/1963,26239358,358789527,,,,,,,,17050101
12/12/1963,26214681,358244082,,,,,,,,16993476
12/13/1963,26142990,358322870,,,,,,,,16950764
12/16/1963,26236168,358791638,,,,,,,,17078340
12/17/1963,26271369,359764506,,,,,,,,17103700
12/18/1963,26247597,361600458,,,,,,,,17165095
12/19/1963,26266580,360872415,,,,,,,,17161269
12/20/1963,26033324,359902309,,,,,,,,17145080
12/23/1963,25951063,359146166,,,,,,,,17084953
12/24/1963,25806020,357105946,,,,,,,,16991149
12/26/1963,25881714,357916883,,,,,,,,16984750
12/27/1963,25969625,359647841,,,,,,,,17035940
12/30/1963,26071012,360144614,,,,,,,,17088186
12/31/1963,25994530,360688509,,,,,,,,17067941
01/02/1964,26988966,36816625,79762683,69772818,26081472,105048354,,,29450831,33621529
01/03/1964,27172928,37171421,80235966,71405776,26223524,105927741,,,29454309,33710197
01/06/1964,27207108,37271005,79829521,71611591,26359376,106292171,,,29615175,33949927
01/07/1964,27251928,37278536,80212027,71364030,26482248,106852147,,,29783371,34027738
01/08/1964,27272210,37032546,80170802,71215423,26595943,107140205,,,29877786,34229824
01/09/1964,27311425,37247767,80713662,71548553,26614443,107310840,,,29972222,34228012
01/10/1964,27301547,37333411,81208272,72027978,26643279,107505812,,,30038947,34198643
01/13/1964,27293317,37170336,81442301,71747565,26629578,107437920,,,29957917,34205333
01/14/1964,27255128,37188726,81398838,71635031,26615086,107680272,,,29811434,34143762
01/15/1964,27332902,37257713,81466393,71875639,26619432,108008442,,,29784631,34171394
01/16/1964,27304215,37318682,82205855,71937658,26653068,108124420,,,29917210,34125875
01/17/1964,27299698,37378278,81951595,71867516,26607619,108017389,,,29991675,33994825
01/20/1964,27373724,37310097,82416597,71734120,26636243,108079390,,,29745870,33789534
01/21/1964,27329636,37074592,82901149,71657497,26501203,107335068,,,29630996,33774105
01/22/1964,27398911,37176036,82721193,71749387,26583851,107833549,,,29828258,33959225
01/23/1964,27504102,37313654,83048268,72424713,26761880,108161226,,,29986915,34158133
01/24/1964,27526249,37304988,82880604,72391672,26803635,108357759,,,30150098,34345476
01/27/1964,27489083,37328117,82888605,72666996,26719310,108291755,,,30164191,34430075
01/28/1964,27433560,37250637,82675700,72672908,26661725,108137622,,,30168929,34662499
01/29/1964,27334233,37049677,82327196,72756912,26603950,108232528,,,30287349,34996177
01/30/1964,27204049,36955047,81513609,72675266,26417583,107532810,,,30140281,34777646
01/31/1964,27211621,37041619,81751063,72751759,26464519,107244520,,,30286397,34653346
02/03/1964,28860099,34042776,85953047,73104332,26411373,105498768,,,30268336,35000133
02/04/1964,28856017,34195155,85835218,72705075,26469447,105604579,,,30356724,35140374
02/05/1964,28709925,34136537,85570120,72550224,26517220,105463253,,,30247981,35192815
02/06/1964,28662695,34187963,85242129,72397674,26557440,105491956,,,30248561,34949051
02/07/1964,28832165,34272636,85375526,72505393,26732221,105944720,,,30342222,34846177
02/10/1964,28955110,34508762,85631917,72366269,26741393,106652185,,,30352206,34987399
02/11/1964,29065268,34369216,85607948,72303462,26688270,106142547,,,30383572,34906676
02/12/1964,29151893,34570677,86356010,72395003,26716459,106450325,,,30422763,34867143
02/13/1964,29216036,34644962,87216752,72568755,26737078,106675981,,,30394395,34791651
02/14/1964,29221100,34715595,88484560,72727872,26691426,106578951,,,30528655,34845160
02/17/1964,29325081,34731071,88231409,72765431,26676586,106540161,,,30702553,34761608
02/18/1964,29275827,34721279,88086023,72941334,26682349,106373244,,,30848584,34820283
02/19/1964,29297866,34706286,87832543,73186129,26680159,106303518,,,30893018,34918914
02/20/1964,29400638,34805621,87600400,73530762,26671113,106381681,,,30914864,35023421
02/24/1964,29427155,34921682,87428608,73684116,26676497,106688126,,,30947674,34962797
02/25/1964,29427845,35073376,87296940,73716906,26715651,106866272,,,31003012,35152135
02/26/1964,29513626,35045724,87359845,73487790,26657173,106839348,,,30996228,35209660
02/27/1964,29636682,35147613,87507037,73802940,26736947,107156420,,,30975682,35236184
02/28/1964,29531787,35099623,87197785,73547762,26653779,106968671,,,30811481,35178871
03/02/1964,64872544,36067741,51212241,73640959,26877558,107486286,,,30868706,35322961
03/03/1964,65105424,36188803,51302916,73804544,26989357,107795854,,,30906036,35316493
03/04/1964,65470647,36094666,51386263,74295834,26990044,107963598,,,30979953,35367056
03/05/1964,65179318,36036651,51149668,74421221,26975701,107609945,,,30934245,35310296
03/06/1964,65074640,36078045,51311572,74246939,26955690,107522429,,,30933124,35408097
03/09/1964,65083250,36214259,51592661,74637880,27120773,107757301,,,31110947,35499063
03/10/1964,64736327,36199815,51740554,74938987,27213345,108012886,,,31015232,35282411
03/11/1964,64786177,36215046,52012381,75379302,27221200,108206622,,,31113440,35381758
03/12/1964,65280311,36248620,52317803,75746761,27304100,108527750,,,31129471,35504678
03/13/1964,65348320,36288133,52664040,75853761,27318946,108477371,,,31208147,35570528
03/16/1964,65251495,36226178,52725090,75831264,27325892,108737832,,,31225167,35661920
03/17/1964,65431282,36425938,52548733,75809938,27289850,108594349,,,31338923,35867106
03/18/1964,65374348,36633429,52694532,75994134,27332919,108602878,,,31296081,36138483
03/19/1964,65457030,36781032,52438517,75983281,27435767,108932967,,,31312244,36269383
03/20/1964,65395239,36716453,52275879,75873521,27470710,109004040,,,31201364,36422110
03/23/1964,65107085,36632289,52032134,75215411,27423027,108725710,,,31140163,36252805
03/24/1964,65368600,36643601,52057715,75008519,27423945,108664971,,,31211597,36260142
03/25/1964,65104211,36539311,51935136,75008699,27383196,108626873,,,31094327,36261382
03/26/1964,65231826,36829304,52114720,75175601,27494922,108699645,,,31104089,36243809
03/30/1964,65105439,36986211,52336299,75432442,27575124,109123813,,,31191756,36379824
03/31/1964,64928711,36988647,52397854,75216284,27547941,109119035,,,31259808,36280757
04/01/1964,63786372,36815835,52536977,76675853,27525000,108649887,,,31165112,36258732
04/02/1964,64066574,36939216,52783620,76903167,27578631,108992294,,,31270004,36463537
04/03/1964,64687551,37063015,52919645,77342050,27821679,109391674,,,31532370,36714767
04/06/1964,64491163,37094542,53079728,77634566,27869359,109630775,,,31606727,37045669
04/07/1964,64219970,37185066,53108798,77696642,27934397,109805796,,,31717511,37101194
