date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,34078435,6798346,20366250,10079156,13979479,18315518,6748671,20510303,16015217,26277980
07/03/1963,34404764,6845494,20507108,10181798,14051476,18548039,6751939,20915006,16216418,26455722
07/05/1963,34676540,6896410,20795116,10231872,14218524,18751463,6768386,21110217,16341831,26497017
07/08/1963,34790792,6913112,21031858,10297444,14292718,18794367,6803700,21282413,16358461,26638956
07/09/1963,34528901,6900764,20777220,10219382,14172034,18687310,6788761,21037956,16283566,26356397
07/10/1963,34630676,6908227,20841403,10273756,14270659,18885368,6788932,21208953,16341730,26468217
07/11/1963,34545124,6914033,20836576,10268918,14259122,18855056,6754226,21114001,16260223,26429416
07/12/1963,34512876,6895829,20764020,10244589,14302027,18869053,6750243,20960196,16190414,26312564
07/15/1963,34492507,6908924,20766014,10221117,14409595,18783430,6776927,20863419,16123301,26154402
07/16/1963,34219288,6858399,20482681,10156949,14222494,18708973,6724415,20841365,16011567,25938150
07/17/1963,34250963,6837127,20471642,10117671,14177931,18699897,6721232,20888697,16071534,25984731
07/18/1963,34147928,6815589,20449914,10082058,14104786,18721711,6682160,20845402,16102328,25934328
07/19/1963,34079959,6770974,20251870,10049650,14112746,18608203,6689675,20716853,16022826,25597011
07/22/1963,34076458,6751816,20314250,9991618,13958579,18544812,6707372,20724217,15909336,25632415
07/23/1963,33814471,6676660,20179716,9922433,13860138,18427069,6680929,20642393,15816630,25409152
07/24/1963,33995020,6697235,20208049,9916273,13888364,18480539,6644081,20614649,15712034,25478928
07/25/1963,34089697,6758100,20499038,9923162,14037748,18599270,6661836,20707008,15830113,25668938
07/26/1963,33914188,6825600,20565341,9960510,13990621,18646981,6673522,20728541,15758103,25549244
07/29/1963,34083750,6831806,20585386,9930267,14107222,18818033,6685335,20806230,15817199,25894081
07/30/1963,34059909,6822673,20664823,9928274,14107438,18751949,6696590,20914208,15820796,26009065
07/31/1963,34209228,6863562,20818612,10049629,14092882,18940635,6781712,21237690,15982546,26639954
