date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,24445565,24476249,24818711,69154190,22041433,33027319,35835968,25538899,40899308,21500017
07/03/1963,24571718,24569315,24979468,69840254,22303706,33262808,36071104,25781576,41376097,21643742
07/05/1963,24627648,24658660,25057835,70581078,22479052,33407427,36181106,25997763,41758883,21770946
07/08/1963,24648636,24685407,25164838,70989831,22595680,33430564,36393280,26062024,42020824,21883942
07/09/1963,24614540,24604144,25026556,70407386,22470130,33254482,36072369,25925488,41691813,21797366
07/10/1963,24744555,24659225,25120835,70746340,22649538,33269270,36309355,26021981,41960758,21844759
07/11/1963,24738229,24508889,25082852,70670407,22600430,33190755,36343151,25927000,41854941,21774981
07/12/1963,24746674,24563823,25005826,70572365,22620912,33118398,36268548,25851490,41694980,21745609
07/15/1963,24761274,24566167,24971408,70396466,22618182,33126433,36293905,25804298,41589387,21679696
07/16/1963,24688074,24454305,24843708,69756977,22435321,32939650,35929204,25630748,41471277,21617246
07/17/1963,24625878,24441266,24868160,69751333,22383033,32783372,35898411,25684638,41490900,21598602
07/18/1963,24574707,24347863,24811332,69693615,22225851,32625755,35773419,25646177,41351063,21518464
07/19/1963,24546537,24241986,24704773,69322880,22184727,32562531,35337591,25561494,41049254,21368855
07/22/1963,24519642,24225624,24691537,69241894,22019697,32425569,35287834,25489067,41007684,21358676
07/23/1963,24408644,24071900,24532112,68738473,21854076,32146768,34888970,25326545,40852812,21261957
07/24/1963,24375848,24093028,24502166,68996003,21865867,32098602,35015577,25171673,40926109,21229561
07/25/1963,24418466,24153191,24568510,69450287,22054537,32192746,35270578,25306714,41107465,21329280
07/26/1963,24538674,24272143,24518561,69442541,21966994,32259079,35113348,25262603,41087088,21338229
07/29/1963,24610985,24294392,24619513,69828818,22061385,32287785,35450445,25348028,41141913,21367344
07/30/1963,24651419,24368601,24684537,69834210,22111417,32325488,35493825,25358567,41233524,21377875
07/31/1963,24746747,24443964,24791207,70415517,22195053,32524201,36301602,25601024,41774062,21492003
08/01/1963,24728701,24509476,24832199,70245254,22147289,32655132,36199028,25587414,41434883,21482310
08/02/1963,24697987,24497075,24783204,70065221,22120683,32725414,36200325,25546926,41359446,21521880
08/05/1963,24791983,24580866,24853002,70255027,22225502,32879365,36363612,25595075,41370062,21642782
08/06/1963,24807029,24606578,24959866,70660324,22301577,33157567,36591506,25718879,41744435,21707415
08/07/1963,24886566,24737223,25109574,71214683,22515363,33333676,36675890,25926610,42103117,21764282
08/08/1963,24928809,24762503,25040445,70844955,22493639,33228291,36398262,25855688,42037171,21766809
08/09/1963,24970704,24785868,25046409,71039125,22438671,33208892,36538267,25852665,42238425,21816949
08/12/1963,25065958,24905637,25158323,71409223,22630929,33330107,36815883,26026238,42672081,22001250
08/13/1963,25161315,25032338,25269601,71312298,22754114,33359838,36611367,26127058,42836222,22051567
08/14/1963,25263194,25030134,24416231,71429826,22810152,33407306,36663821,26309493,43119112,22050388
08/15/1963,25295505,25086615,25373737,71654514,22883365,33483801,36647543,26380108,43594330,22120433
08/16/1963,25431238,25253274,25500193,72003928,22926001,33640808,37123249,26418694,43468989,22277180
08/19/1963,25426591,25400444,25490747,72025463,22950450,33782807,37153256,26420853,43486679,22377000
08/20/1963,25511205,25330399,25477488,71978790,22933673,33706429,37004620,26441815,43630946,22360324
08/21/1963,25547731,25359160,25506833,71835163,22935291,33687683,37031645,26386970,43470416,22441509
08/22/1963,25471989,25353818,25530683,71625713,22867718,33560726,36788418,26466195,43574713,22433635
08/23/1963,25558798,25433382,25699741,71604652,23036034,33689725,37259354,26555944,43724327,22464081
08/26/1963,25601177,25536362,25750348,71790807,23083260,33944519,37791338,26623786,43668125,22497766
08/27/1963,25614500,25644233,25826862,71846625,23166928,33950669,37916019,26592342,43794869,22556112
08/28/1963,25502684,25525849,25747799,71433175,23068881,33710772,37652218,26382726,43507989,22512566
08/29/1963,25587648,25643219,25852120,72024932,23303799,33891471,38028407,26629572,43758253,22678625
08/30/1963,25650732,25656595,25878085,72156817,23341473,34077925,37977685,26749962,43815342,22799854
09/03/1963,25669494,25757242,25941945,72522408,23476651,34179169,38252403,26925285,44044763,22876831
09/04/1963,25644301,25809444,26073152,72520674,23562879,34259005,38434440,27035433,44183789,22866886
09/05/1963,25632576,25936658,26195655,72251158,23519544,34054783,38447642,26921380,44275581,22850612
09/06/1963,25672408,26119185,26367545,72535880,23632510,34370687,38590355,27181596,44561582,22904778
09/09/1963,25537205,26049351,26280053,72261155,23554160,34441982,38519886,27112829,44593840,22814629
09/10/1963,25522678,26006818,26133539,72032933,23468636,34393132,38410037,26923675,44434712,22747100
09/11/1963,25577904,26159067,26211474,72080368,23629349,34587473,39013880,27072350,44733641,22854329
09/12/1963,25538179,26180402,26275509,72295900,23654819,34743749,39191492,27128712,44797163,23072091
09/13/1963,25529829,26165978,26255586,72291005,23606532,34654769,38993653,27169248,44729079,23121337
09/16/1963,25473977,26046998,26241202,72323120,23614960,34750686,38867441,27255243,44802006,23153075
09/17/1963,25472709,25943085,26226491,72408859,23569824,34609670,39030358,27123960,44642664,23068888
09/18/1963,25406566,25920599,26226567,72512785,23605037,34680406,39127027,27190521,44570983,23043011
09/19/1963,25274213,25782797,26075192,72443436,23532968,34467634,38890536,27143134,44244889,22971265
09/20/1963,25380760,25897570,26152519,72755570,23618845,34682756,39196323,27412038,44608505,23068039
09/23/1963,25353612,25835575,26066740,72619638,23602138,34782470,39509673,27323617,44753801,23078970
09/24/1963,25276822,25689625,25861417,72366829,23601975,34644560,39206181,27114040,44601748,22969006
09/25/1963,25280219,25796919,25983248,73327196,23681126,34681741,39065951,27117589,44889466,22951210
09/26/1963,25150402,25631414,25849909,73152415,23523111,34480338,38937196,26928892,44337834,22783886
09/27/1963,25031331,25427311,25664249,72819173,23282998,34346194,38270589,26579629,43881594,22619954
09/30/1963,25019921,25420475,25538038,72526025,23318142,34249367,38232081,26524627,43912005,22539228
10/01/1963,24921073,25271383,25411811,71820081,23174289,33946041,37898193,26449887,43926753,22394955
