date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
12/01/1971,,,,,,,,,,128496
12/02/1971,,,,,,,,,,131095
12/03/1971,,,,,,,,,,136666
12/06/1971,,,,,,,,,,143722
12/07/1971,,,,,,,,,,141865
12/08/1971,,,,,,,,,,145208
12/09/1971,,,,,,,,,,145579
12/10/1971,,,,,,,,,,148550
12/13/1971,,,,,,,,,,151892
12/14/1971,,,,,,,,,,151521
12/15/1971,,,,,,,,,,153378
12/16/1971,,,,,,,,,,151521
12/17/1971,,,,,,,,,,155235
12/20/1971,,,,,,,,,,157092
12/21/1971,,,,,,,,,,158206
12/22/1971,,,,,,,,,,152635
12/23/1971,,,,,,,,,,150778
12/27/1971,,,,,,,,,,150778
12/28/1971,,,,,,,,,,150036
12/29/1971,,,,,,,,,,151521
12/30/1971,,,,,,,,,,154492
12/31/1971,,,,,,,,,,154121
01/03/1972,,,,,41355,,,,,381280
01/04/1972,,,,,40473,,,,,381280
01/05/1972,,,,,40350,,,,,383006
01/06/1972,,,,,41867,,,,,377830
01/07/1972,,,,,44283,,,,,383006
01/10/1972,,,,,44497,,,,,379555
01/11/1972,,,,,45058,,,,,376105
01/12/1972,,,,,45042,,,,,376105
01/13/1972,,,,,45636,,,,,376105
01/14/1972,,,,,45042,,,,,374379
01/17/1972,,,,,46312,,,,,367478
01/18/1972,,,,,48151,,,,,372654
01/19/1972,,,,,46650,,,,,377830
01/20/1972,,,,,46147,,,,,370929
01/21/1972,,,,,45240,,,,,369204
01/24/1972,,,,,45149,,,,,376105
01/25/1972,,,,,44134,,,,,365753
01/26/1972,,,,,44679,,,,,365753
01/27/1972,,,,,44572,,,,,365753
01/28/1972,,,,,45009,,,,,364028
01/31/1972,,,,,48142,,,,,370929
02/01/1972,177542,1125404,707222,365783,626500,935426,1214056,1647205,415781,1897420
02/02/1972,175863,1129932,704623,377796,622858,936394,1204963,1679711,406730,1915486
02/03/1972,175411,1143379,706547,387292,622042,954399,1199760,1715903,401515,1936685
02/04/1972,173616,1147372,695012,386546,622940,966115,1208404,1713076,394183,1956378
02/07/1972,175025,1171804,697583,383695,623086,961529,1232102,1746554,400732,1932795
02/08/1972,179501,1170302,699892,387042,628912,952403,1240300,1746798,397566,1917250
02/09/1972,181280,1172411,699980,383296,623763,941225,1250176,1732448,401993,1906806
02/10/1972,182733,1173647,702111,385567,620340,951540,1274685,1710502,405201,1910349
02/11/1972,182854,1146509,711233,389228,633334,942109,1257952,1718351,407044,1949379
02/14/1972,181586,1130633,713681,385951,632917,939282,1258149,1712588,403766,1948811
02/15/1972,179888,1126688,708588,383047,630564,940863,1253436,1708912,399147,1941425
02/16/1972,178675,1129931,701742,381450,633766,949101,1255170,1720561,403822,1952125
02/17/1972,178036,1137016,701242,382108,634896,971355,1256206,1715290,407047,1998610
02/18/1972,176898,1143478,705724,385392,628671,970570,1253689,1733826,421368,2061685
02/22/1972,175302,1141421,710827,384745,616262,968679,1243154,1734199,418693,2034052
02/23/1972,173693,1140914,722917,380400,624507,972423,1242400,1744620,418983,2010660
02/24/1972,172724,1134641,718098,385289,618146,982987,1238341,1758723,415864,1998392
02/25/1972,174738,1160822,717597,388742,612716,980101,1237502,1775019,414531,2002850
02/28/1972,173780,1163005,726820,386198,620448,991399,1248762,1788028,408937,2008661
02/29/1972,173697,1142955,730115,382557,619926,999903,1228070,1783492,407052,2039451
03/01/1972,909793,678606,2200581,2057082,3000599,2312114,2690984,2838142,3748341,4540561
03/02/1972,940083,680472,2194331,2092212,3071265,2325702,2732957,2859639,3776545,4548607
03/03/1972,963898,681414,2210214,2098269,3051166,2336600,2719689,2858770,3804864,4548845
03/06/1972,990012,684394,2232588,2113312,2972390,2374148,2748784,2883721,3804470,4550063
03/07/1972,984860,685822,2221962,2117421,2974820,2413389,2766460,2877879,3790604,4582902
03/08/1972,987925,686618,2198309,2119225,2956416,2392443,2773348,2915241,3789288,4610241
03/09/1972,985492,688139,2181009,2112815,2930283,2386724,2781278,2936252,3792598,4624251
03/10/1972,992917,687116,2187855,2120137,2897147,2406999,2776345,2951267,3795837,4645519
03/13/1972,997152,690739,2188756,2091664,2837610,2375453,2775764,2937320,3797052,4614164
03/14/1972,973562,684297,2147586,2075412,2869484,2324874,2727908,2906647,3795317,4624848
03/15/1972,978816,688101,2174870,2091002,2878190,2307155,2721604,2934018,3810228,4567988
03/16/1972,979251,690712,2180917,2096016,2886699,2312842,2728858,2967573,3839964,4591764
03/17/1972,974151,685236,2180658,2095781,2875069,2316407,2724608,2980229,3834013,4542895
03/20/1972,973324,691720,2195642,2093172,2867149,2290871,2722512,2987583,3858842,4517205
03/21/1972,970891,693409,2195087,2093966,2821297,2271776,2713119,2960981,3842018,4494891
03/22/1972,953405,684262,2163229,2074741,2803326,2240914,2694377,2937810,3773002,4449575
03/23/1972,952556,682459,2184719,2060958,2812565,2236868,2703759,2946580,3739261,4498927
03/24/1972,964399,683481,2239992,2087180,2855985,2263735,2741907,2995796,3797696,4535919
03/27/1972,970348,688347,2224785,2095550,2854312,2267348,2720168,2986599,3799421,4565691
03/28/1972,960972,684507,2227934,2090252,2929330,2255254,2722839,2991005,3795958,4573813
03/29/1972,946805,685096,2226529,2095863,2941407,2254644,2723183,3036365,3787167,4575522
03/30/1972,943318,685621,2211146,2063748,2931265,2214118,2694790,3002544,3762827,4535700
04/03/1972,2061473,1170923,1486986,4797845,3591423,2212789,4751672,2898806,4952824,5006095
04/04/1972,2063574,1176493,1476563,4817612,3615644,2207668,4771092,2896649,4970360,5038443
04/05/1972,2092857,1183973,1502419,4858271,3609100,2237853,4805975,2900279,4978060,5049632
04/06/1972,2131130,1184061,1528058,4887476,3668305,2259697,4859660,2956173,4992379,5084851
04/07/1972,2157428,1190112,1535886,4912228,3625906,2304720,4922049,2983911,5007631,5102690
04/10/1972,2165988,1184722,1555893,4950808,3591839,2335323,4880664,2969204,5046073,5144516
04/11/1972,2163186,1192049,1543272,4951553,3566336,2317234,4880015,2963271,5070204,5136834
04/12/1972,2192107,1188871,1540484,4933062,3563233,2317497,4948025,3024366,5069083,5153082
04/13/1972,2206791,1186076,1541367,4958491,3548417,2308758,5017283,3028886,5125482,5166538
04/14/1972,2199860,1176895,1543314,4954936,3607786,2300865,4994684,2996734,5135958,5172516
04/17/1972,2206767,1178698,1551466,4951222,3664031,2310577,5035922,3004764,5129308,5191094
04/18/1972,2222216,1171876,1559865,4957912,3714295,2314874,5051489,2994458,5133396,5186545
04/19/1972,2226320,1172837,1560897,4939787,3732230,2322954,5048730,2997004,5152151,5184716
04/20/1972,2219495,1173419,1540768,4913627,3700593,2300609,4994854,2945943,5128922,5145254
04/21/1972,2206985,1175571,1564741,4864466,3701160,2306779,4958827,2942638,5127714,5135138
04/24/1972,2207206,1182365,1555089,4855426,3677419,2300850,4925120,2953535,5080177,5112696
04/25/1972,2195328,1181847,1552544,4752122,3654512,2280093,4903226,2934543,4994922,5085780
04/26/1972,2174749,1175607,1527724,4726571,3618854,2253069,4823483,2900899,4943585,5011878
04/27/1972,2199234,1172056,1520314,4733368,3602702,2239696,4738629,2873810,4941987,4967037
04/28/1972,2198187,1163871,1504773,4737606,3622587,2243111,4741506,2868170,4948878,4973088
05/01/1972,6057054,4264482,10998407,8378558,16617037,14509908,26597943,32847474,34346867,89030184
05/02/1972,5970119,4237269,10865584,8279611,16479017,14422530,26257831,32603093,34039123,88065865
05/03/1972,5922633,4227819,10820157,8220266,16272332,14352032,26111094,32661113,33734410,87778688
05/04/1972,5927822,4203334,10769855,8179694,16196182,14331650,26328113,32944193,33835062,87684703
05/05/1972,5885930,4174835,10828698,8188543,16188584,14333660,26227198,33029525,33633235,88161732
05/08/1972,5870178,4166921,10879902,8162400,16213892,14230169,26256031,33003189,33683067,89034243
05/09/1972,5855971,4138200,10793866,8134079,16068725,14105243,26087880,32898569,33412063,88558442
05/10/1972,5704209,4048200,10574601,7964129,15867578,13863086,25800254,32436304,33193968,87333891
05/11/1972,5753376,4066421,10686575,8025688,16097304,14002563,25796481,32692459,33372413,88116406
05/12/1972,5841606,4150016,10807221,8125251,16212748,14047265,25902038,32837178,33584042,88388200
05/15/1972,5926748,4167001,10892461,8201011,16440358,14164550,26086648,33019847,33888876,88739299
05/16/1972,5970189,4176356,10943883,8158928,16531538,14190769,26197916,33165017,34007888,89846703
05/17/1972,5964734,4128998,10918051,8178781,16493758,14157968,26073999,33218939,34007721,89418344
05/18/1972,6032162,4110252,10938396,8137711,16482361,14172989,26179042,33156003,34206985,90044469
05/19/1972,6061759,4097164,11080995,8160894,16664670,14272650,26231364,33384740,34746380,91244544
05/22/1972,6109035,4122964,11156574,8183584,16815962,14496561,26612336,33864439,35352108,92347171
05/23/1972,6105638,4114178,11277330,8255483,16784963,14607195,26830962,34158959,35216378,93450361
05/24/1972,6057770,4087432,11266371,8219642,16781296,14596408,26718701,33963578,35301681,94039060
05/25/1972,6070947,4101298,11337759,8209917,16867616,14648460,26876951,34286946,35600676,94624214
05/26/1972,6028214,4067196,11324790,8164689,16912495,14735716,27031247,34512575,35977704,94706747
05/30/1972,6102807,4065823,11278137,8134877,16974616,14791079,27130205,34719542,36413569,94509523
05/31/1972,6062779,4054000,11191890,8148007,17002051,14759109,27178052,34926950,36483574,92941081
06/01/1972,10306589,10021002,23801347,18734960,30924143,26940058,51210040,58320761,90824367,137220239
06/02/1972,10334663,10000518,23833663,18856943,31002537,27023447,51214216,58492134,91095741,137388709
06/05/1972,10187176,9979060,23848218,18865838,31090257,27080433,51112571,58281656,91161128,137515013
06/06/1972,9973841,9900085,23629175,18723363,30785668,26859524,50733851,57552894,90639366,136498471
