date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,4550302,16874350,22226148,20425633,17523866,51243034,23246547,38495569,46586479,87360970
07/03/1963,4572768,16990334,22328613,20614099,17562126,51651909,23395386,38928003,47037958,88146467
07/05/1963,4583400,17063090,22408149,20658104,17660376,52023652,23548571,39288340,47371556,88729995
07/08/1963,4603610,17101024,22431380,20717458,17731556,52180191,23572335,39441768,47549475,89379412
07/09/1963,4591160,16946728,22369642,20666565,17666473,51903517,23542146,39263505,47365437,88387080
07/10/1963,4614054,17017231,22549979,20710959,17735229,52013553,23587371,39598603,47462738,88867339
07/11/1963,4607930,16965199,22483113,20661698,17661779,51906626,23515542,39575046,47335703,88766685
07/12/1963,4603416,16955445,22449507,20657783,17661955,51854058,23457136,39600912,47263608,88523531
07/15/1963,4585713,16943982,22384698,20619454,17641323,51781130,23447880,39607201,47155494,88465069
07/16/1963,4553723,16865368,22320644,20501839,17538055,51382707,23197852,39332029,46990190,87913986
07/17/1963,4558804,16834042,22255434,20466254,17550830,51447931,23203518,39242184,46955252,87834378
07/18/1963,4532081,16750947,22229257,20394078,17466745,51312882,23138567,39171672,46830028,87569563
07/19/1963,4498394,16637763,22159270,20404261,17373777,51161433,23038222,39047517,46527584,86808132
07/22/1963,4487298,16574119,22166645,20275487,17358568,51176696,23021645,38788650,46395761,86795128
07/23/1963,4458417,16455915,22003836,20161352,17248140,50835863,22796718,38553106,46160433,86165174
07/24/1963,4448596,16408058,21983799,20176065,17284805,51024834,22823891,38639405,46121861,86127676
07/25/1963,4470652,16499019,22003127,20282790,17314534,51139764,22982580,38889080,46399439,86665006
07/26/1963,4463721,16507774,22083643,20285902,17371089,51033474,22999899,38962548,46279894,86584681
07/29/1963,4492347,16604755,22092419,20353603,17379007,51178958,22994726,39222301,46387060,87100015
07/30/1963,4500123,16631772,22107855,20402576,17413133,51165524,22990516,39161304,46492758,87352098
07/31/1963,4494641,16759249,22236916,20543771,17471953,51497736,23148415,39356131,46861369,88706914
08/01/1963,4494867,16776303,22266888,20434317,17485820,51459917,23111614,39310635,46822202,88450191
08/02/1963,4512556,16755206,22212187,20406603,17465064,51480938,23111877,39258595,46779048,88337447
08/05/1963,4538732,16838991,22246411,20421628,17521061,51564153,23258636,39423028,46860854,88704831
08/06/1963,4550038,16920689,22321250,20466364,17637220,51680683,23403388,39655284,47117368,89360830
08/07/1963,4530486,16967443,22413022,20610084,17689914,52121722,23480353,39982974,47523551,89800975
08/08/1963,4534693,16914623,22428441,20617332,17719719,51957794,23512676,39840686,47427560,89264541
08/09/1963,4525214,16887622,22437465,20592897,17768989,52107172,23544823,39811273,47463661,89643232
08/12/1963,4577369,17002526,22527501,20707470,17871714,52453347,23638398,39897483,47903401,90301938
08/13/1963,4585918,17147901,22592875,20845673,17926578,52557228,23684384,39871227,48021748,90164147
08/14/1963,4593203,17178043,22679718,20897381,17932590,51780080,23738446,39894376,48233062,90454673
08/15/1963,4614191,17221985,22838887,20914633,17970638,52905018,23811991,40027946,48557115,90565954
08/16/1963,4629771,17314056,23019576,20965975,18031002,53199367,23965954,40129215,48638537,91089795
08/19/1963,4636430,17320535,23058882,21015352,18174205,53203561,24040071,40102861,48644155,91289691
08/20/1963,4662055,17235276,23073274,21078925,18154416,53226290,24065553,39991724,48680772,91218752
08/21/1963,4643198,17248152,23090904,21082208,18118631,53050011,24040324,40047970,48730373,91115702
08/22/1963,4650245,17246379,23005947,21079907,18129120,52884462,23998563,39957379,48841714,90844383
08/23/1963,4672043,17372760,23136368,21184234,18164348,52957923,24078063,40172984,48825563,91452180
08/26/1963,4684044,17465936,23188593,21323091,18186577,53160939,24251421,40210587,49072053,91748904
08/27/1963,4686294,17529399,23221409,21372016,18226225,53212029,24371212,40303126,49040801,91968260
08/28/1963,4669744,17369812,23152548,21218719,18156481,52830171,24172121,40273409,48885420,91323859
08/29/1963,4716386,17562179,23230410,21318892,18193364,53184748,24312402,40577030,49200263,92157720
08/30/1963,4711229,17649552,23285577,21348165,18250305,53234034,24440572,40676682,49310121,92232432
09/03/1963,4726348,17734171,23349139,21434419,18293292,53661116,24592507,40755885,49539162,92581167
09/04/1963,4751284,17823826,23399834,21418311,18340105,53687351,24699560,40841959,49710511,92762400
09/05/1963,4739952,17888811,23456122,21444772,18327141,53296467,24714031,40740706,49759136,92794427
09/06/1963,4777810,17980816,23561476,21504102,18420721,53714533,24880416,40798790,50044177,93347164
09/09/1963,4723215,17953031,23444674,21369076,18358894,53598180,24784684,40709225,49911698,93383511
09/10/1963,4707931,17905979,23398313,21259991,18318275,53409810,24786544,40553405,49655310,93120266
09/11/1963,4745844,17972984,23497457,21339728,18366652,53641013,25034227,40606059,49995843,93768916
09/12/1963,4706345,17947408,23532828,21348214,18350624,53821989,25170645,40636928,50309213,94073934
09/13/1963,4687853,17932492,23538380,21331959,18334214,53747888,25223630,40631724,50297298,93788423
09/16/1963,4712974,17899860,23549754,21252919,18319119,53721006,25348466,40663279,50402623,93686495
09/17/1963,4680771,17822909,23502026,21254310,18242412,53737469,25312541,40669402,50082306,93761678
09/18/1963,4664555,17843141,23421210,21308220,18238461,53755787,25376442,40773386,50165914,93699258
09/19/1963,4625881,17795165,23288675,21246961,18176146,53746004,25316984,40630572,49895117,93061190
