date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/02/1971,,,,,,,,,,104148
08/03/1971,,,,,,,,,,100893
08/04/1971,,,,,,,,,,91425
08/05/1971,,,,,,,,,,92609
08/06/1971,,,,,,,,,,92313
08/09/1971,,,,,,,,,,90242
08/10/1971,,,,,,,,,,87875
08/11/1971,,,,,,,,,,89650
08/12/1971,,,,,,,,,,92313
08/13/1971,,,,,,,,,,97047
08/16/1971,,,,,,,,,,94680
08/17/1971,,,,,,,,,,97343
08/18/1971,,,,,,,,,,97639
08/19/1971,,,,,,,,,,97935
08/20/1971,,,,,,,,,,96159
08/23/1971,,,,,,,,,,98822
08/24/1971,,,,,,,,,,97639
08/25/1971,,,,,,,,,,100598
08/26/1971,,,,,,,,,,104148
08/27/1971,,,,,,,,,,103556
08/30/1971,,,,,,,,,,104444
08/31/1971,,,,,,,,,,103852
09/01/1971,,,,,40878,,,,,100893
09/02/1971,,,,,41370,,,,,100598
09/03/1971,,,,,40878,,,,,101189
09/07/1971,,,,,42848,,,,,103556
09/08/1971,,,,,43340,,,,,101781
09/09/1971,,,,,43340,,,,,103556
09/10/1971,,,,,43340,,,,,97047
09/13/1971,,,,,43340,,,,,97639
09/14/1971,,,,,42848,,,,,97639
09/15/1971,,,,,42355,,,,,98822
09/16/1971,,,,,41370,,,,,99414
09/17/1971,,,,,41370,,,,,101781
09/20/1971,,,,,41863,,,,,101781
09/21/1971,,,,,41370,,,,,101781
09/22/1971,,,,,41863,,,,,102373
09/23/1971,,,,,40385,,,,,99710
09/24/1971,,,,,40385,,,,,98231
09/27/1971,,,,,39893,,,,,97047
09/28/1971,,,,,39893,,,,,93792
09/29/1971,,,,,39893,,,,,96455
09/30/1971,,,,,39893,,,,,98231
10/01/1971,170198,665345,1930480,1280106,24127101,779392,682288,1145817,2369951,1349266
10/04/1971,171707,663656,1887101,1278991,24262644,778364,686107,1155664,2365775,1409031
10/05/1971,171336,656784,1874129,1273730,24676375,783639,683301,1150263,2372635,1415952
10/06/1971,170125,664503,1866971,1262535,25157474,797513,688013,1138354,2364589,1417885
10/07/1971,169397,668033,1874797,1259581,25155357,798770,695486,1143924,2371632,1453493
10/08/1971,168413,666122,1877719,1256590,25294123,806292,691763,1152955,2396996,1474471
10/11/1971,168283,666991,1887887,1253208,24815007,801447,692010,1142689,2405795,1483112
10/12/1971,168732,661540,1897847,1257920,25022174,804109,700169,1142687,2400480,1467412
10/13/1971,166582,648460,1916110,1265497,25103073,799502,697907,1141987,2395686,1481144
10/14/1971,160807,645783,1903366,1262353,25104367,819832,679914,1134229,2392357,1487121
10/15/1971,159757,649300,1894798,1250967,24565725,812423,680963,1129769,2380907,1425294
10/18/1971,157518,648387,1889402,1259795,24011467,804722,684410,1124094,2384594,1401167
10/19/1971,157530,643883,1892751,1249318,24144053,793592,685529,1117522,2397784,1354145
10/20/1971,156827,646592,1888988,1249087,24000843,786727,688939,1109424,2365221,1354387
