date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,4411068,13225408,14482750,53098166,24435269,44365502,31954611,20044534,44018154,74065265
07/03/1963,4432152,13304460,14585543,53560941,24576150,44811464,32153397,20187138,44423790,74717340
07/05/1963,4456517,13334453,14696345,53986161,24758802,45019301,32377240,20242070,44856994,75090348
07/08/1963,4485252,13355872,14687848,54165668,24930885,45074699,32467500,20265282,45223093,75503111
07/09/1963,4450646,13253895,14647323,53831530,24906871,44896441,32404587,20184628,44802781,74822015
07/10/1963,4483070,13384975,14674330,54016185,25015492,45193071,32523491,20175093,44928776,75252414
07/11/1963,4492522,13316255,14624138,53882933,24968294,45182505,32421560,20098608,44876858,75147126
07/12/1963,4477551,13302474,14596363,53773770,24950080,45191218,32401987,20071304,44792641,74987255
07/15/1963,4463214,13239614,14623817,53671444,25073719,45142755,32278131,20009097,44719546,74937997
07/16/1963,4428931,13152580,14509385,53268092,24837045,44909043,32226998,19909308,44327762,74583919
07/17/1963,4420719,13157646,14449296,53315273,24842070,44875088,32173831,19848892,44284089,74544322
07/18/1963,4387294,13100273,14397171,53181683,24814655,44787616,32079362,19792930,44151245,74283523
07/19/1963,4373877,13022202,14338069,52977907,24796577,44713848,31830370,19716540,43862250,73671312
07/22/1963,4331734,12984293,14233408,52996299,24718418,44564915,31813264,19667567,43776101,73587902
07/23/1963,4306611,12833684,14105682,52630555,24497615,44358906,31670739,19541281,43531536,73054647
07/24/1963,4252569,12821657,14100445,52870087,24527117,44460967,31691450,19525200,43435165,73046054
07/25/1963,4276814,12868239,14258238,53006938,24679083,44658113,31724591,19666505,43685707,73474322
07/26/1963,4271425,12889913,14270486,52858355,24677910,44767844,31815026,19734414,43612511,73328577
07/29/1963,4303408,12951419,14358829,52989498,24712086,44985068,31867341,19770390,43688651,73832973
07/30/1963,4332761,12947798,14381098,52967919,24794825,44986688,31976108,19779058,43706021,74017305
07/31/1963,4347759,13008850,14575960,53242530,24892897,45252582,32118085,19822644,44215769,75213899
