date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/02/1971,,,,,53600,,,,,104148
08/03/1971,,,,,53600,,,,,100893
08/04/1971,,,,,51925,,,,,91425
08/05/1971,,,,,49580,,,,,92609
08/06/1971,,,,,49580,,,,,92313
08/09/1971,,,,,50250,,,,,90242
08/10/1971,,,,,48910,,,,,87875
08/11/1971,,,,,48240,,,,,89650
08/12/1971,,,,,48240,,,,,92313
08/13/1971,,,,,50250,,,,,97047
08/16/1971,,,,,50250,,,,,94680
08/17/1971,,,,,52595,,,,,97343
08/18/1971,,,,,55610,,,,,97639
08/19/1971,,,,,59630,,,,,97935
08/20/1971,,,,,57955,,,,,96159
08/23/1971,,,,,58960,,,,,98822
08/24/1971,,,,,58960,,,,,97639
08/25/1971,,,,,60300,,,,,100598
08/26/1971,,,,,60300,,,,,104148
08/27/1971,,,,,61640,,,,,103556
08/30/1971,,,,,62980,,,,,104444
08/31/1971,,,,,61640,,,,,103852
09/01/1971,,,,100893,,,62310,,,40878
09/02/1971,,,,100598,,,61640,,,41370
09/03/1971,,,,101189,,,62645,,,40878
09/07/1971,,,,103556,,,64990,,,42848
09/08/1971,,,,101781,,,63650,,,43340
09/09/1971,,,,103556,,,62980,,,43340
09/10/1971,,,,97047,,,62310,,,43340
09/13/1971,,,,97639,,,61640,,,43340
09/14/1971,,,,97639,,,63650,,,42848
09/15/1971,,,,98822,,,61640,,,42355
09/16/1971,,,,99414,,,61305,,,41370
09/17/1971,,,,101781,,,60635,,,41370
09/20/1971,,,,101781,,,60300,,,41863
09/21/1971,,,,101781,,,59630,,,41370
09/22/1971,,,,102373,,,59630,,,41863
09/23/1971,,,,99710,,,59630,,,40385
09/24/1971,,,,98231,,,60635,,,40385
09/27/1971,,,,97047,,,59630,,,39893
09/28/1971,,,,93792,,,59630,,,39893
09/29/1971,,,,96455,,,59630,,,39893
09/30/1971,,,,98231,,,60300,,,39893
10/01/1971,235834,1457795,1083928,1185027,2285997,2738749,791619,23861593,685186,920342
10/04/1971,233156,1407212,1115041,1225312,2305097,2733658,797930,24000173,689345,927050
10/05/1971,232458,1384878,1120938,1227903,2315159,2734962,798712,24412168,685684,923636
10/06/1971,231013,1387303,1121220,1240361,2316972,2716262,800309,24893021,688836,914877
10/07/1971,232311,1380173,1168449,1273264,2342851,2719091,801817,24892618,688330,928503
10/08/1971,230223,1402378,1189083,1294190,2328679,2743040,804628,25030544,695286,932194
10/11/1971,231521,1416419,1151783,1310957,2328407,2730750,815597,24550797,691572,917117
10/12/1971,230478,1417864,1111029,1305990,2342297,2737885,809138,24756775,684257,917208
10/13/1971,230560,1425921,1111913,1301909,2350787,2728621,813190,24826540,689299,919840
10/14/1971,227374,1427108,1098221,1324996,2322083,2724398,806577,24824414,685163,922169
10/15/1971,225753,1419272,1080283,1284554,2308951,2705974,804247,24273714,683066,912933
10/18/1971,223305,1406502,1057682,1269210,2313819,2721287,803361,23718334,685595,901755
10/19/1971,224583,1401089,1077022,1236698,2291769,2719280,800190,23854349,683048,892602
10/20/1971,220171,1396812,1096933,1236111,2302462,2697503,788069,23717548,679994,880460
10/21/1971,217418,1386825,1064341,1207282,2282478,2681063,784928,23375311,667475,883987
10/22/1971,220236,1376982,1055653,1246393,2297505,2654074,782502,23443897,665907,886099
10/25/1971,218508,1387822,1024834,1233000,2291517,2646256,786185,23445395,662226,885391
10/26/1971,219256,1379326,1006151,1217997,2273235,2656635,783527,23378070,661786,878984
10/27/1971,216479,1370438,963222,1181185,2256170,2648479,775590,23514442,656970,862032
10/28/1971,212610,1374624,946343,1148751,2211022,2671681,749699,23375941,651747,817312
10/29/1971,207828,1363138,963483,1181128,2225551,2671709,757323,23375314,651272,820031
11/01/1971,14782135,83804361,84887883,41997250,42882971,23960614,25678410,75336739,25828262,10905975
11/02/1971,14531614,81941620,83544497,41308945,42398229,23659149,25308611,74589362,25482432,10578897
11/03/1971,14405585,82617922,84001423,41433132,42510781,23589274,25441519,75019589,25369139,10659473
11/04/1971,14706998,84671020,85730629,42245754,43164209,24040280,25725595,76196061,25697752,10905629
11/05/1971,14585831,84331477,85612661,42405349,43238283,24048730,25701633,76415280,25705039,10842298
11/08/1971,14512731,84043555,85452693,42204912,43176034,23906247,25600951,75838055,25475945,10828598
11/09/1971,14408107,83735233,85426701,42229597,43213580,23792868,25630285,75928664,25469401,10848366
11/10/1971,14301645,83951767,85490673,42250493,43311918,23676354,25628954,75910980,25386901,10848506
11/11/1971,14058717,82983277,84599031,41668352,42813929,23381868,25345698,75319911,24872514,10581447
11/12/1971,13953044,81873693,82707154,41072147,42347810,23134659,24876195,74584675,24772501,10349324
11/15/1971,14092108,82252100,82182115,41063687,42422820,23033307,24715724,74445484,24960497,10336938
