date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,7807000,17027505,30627594,37541463,47952815,63147134,36441816,27676629,36961318,35511362
07/03/1963,7894777,17122154,30850288,37873863,48615228,63629840,36688255,27893104,37150586,35884267
07/05/1963,7936593,17236114,31140560,38062862,49027134,64086795,36784661,28199067,37407843,35963567
07/08/1963,7956375,17307836,31334975,38157977,49244576,64247498,36868854,28495325,37382528,36121162
07/09/1963,7903697,17281284,31278223,37921671,48843073,63930168,36733786,28145854,37167176,35754793
07/10/1963,7947019,17364324,31365965,38022061,49300989,64077338,36861496,28336730,37225011,35919171
07/11/1963,7920921,17328169,31295683,37909817,49177120,63951233,36785256,28318496,37166938,35806235
07/12/1963,7888495,17294007,31308296,37847491,49034083,63901385,36768393,28228919,37136381,35691510
07/15/1963,7863440,17287245,31431942,37823123,48815426,63700606,36767588,28210159,37096238,35521604
07/16/1963,7792986,17207297,31164078,37695310,48730079,63292965,36539986,27891400,36905696,35261415
07/17/1963,7786077,17184824,31095254,37621308,48757695,63355488,36500871,27870516,36730145,35304909
07/18/1963,7719992,17122215,30949565,37461137,48686654,63217396,36379181,27869187,36559978,35222073
07/19/1963,7710642,17040085,30843641,37310757,48435536,62999421,36292189,27690206,36290626,34815490
07/22/1963,7682948,17032594,30651564,37279975,48304814,62990582,36236757,27624732,36219304,34767847
07/23/1963,7637882,16854619,30406089,37121456,48043716,62520718,36089995,27441644,35874860,34461784
07/24/1963,7597695,16876081,30451625,37069343,48010610,62568527,36073694,27423309,35866067,34570830
07/25/1963,7610510,16924512,30733038,37311471,48243874,62719955,36095978,27655655,35951871,34860283
07/26/1963,7618459,16887458,30774050,37341232,48384128,62542403,36156209,27631956,35917068,34771788
07/29/1963,7651593,16917852,30875207,37465793,48617861,62648844,36224486,27744573,35979637,35121180
07/30/1963,7643381,17006632,30903199,37547022,48629988,62642886,36345948,27812365,36026112,35202565
07/31/1963,7696133,17089641,31094774,37760975,49171407,63027528,36562437,28078073,36293368,35818190
08/01/1963,11156155,21559307,44069806,25984355,34544648,101957050,34057170,28887224,25148691,14913254
08/02/1963,11139563,21581504,43976513,25981640,34483195,102054642,33924384,28838915,25203621,14929390
08/05/1963,11190213,21648266,44115108,26051861,34695427,102188165,34055467,29013742,25230142,14971426
08/06/1963,11242613,21816899,44406994,26150038,34838149,102619535,34249222,29123406,25445171,15132914
08/07/1963,11339456,21877923,44804568,26237246,35008473,103394952,34343960,29220641,25587628,15290238
08/08/1963,11323659,21840397,44698558,26255678,34903951,102728678,34319511,29306096,25631973,15276645
08/09/1963,11334476,21902605,44707406,26300622,34805605,103052983,34432780,29322592,25623598,15299369
08/12/1963,11417273,22020477,44799167,26522888,35113553,103813063,34671211,29514991,25709667,15394197
08/13/1963,11421898,22113741,44756815,26564425,35208707,103940734,34661245,29643535,25814733,15489177
08/14/1963,11356499,22201391,44785357,26670434,35297080,104480361,33788977,29673694,25936291,15558162
08/15/1963,11351675,22277035,44935938,26780645,35324826,104775844,34600166,29831670,26254832,15602452
08/16/1963,11423057,22385614,45065165,26895635,35498363,105335068,34814174,29953419,26280765,15627759
08/19/1963,11452640,22390336,44977345,27018252,35486115,105476037,34980457,30117138,26232514,15686749
08/20/1963,11465802,22400312,44882754,26994312,35549810,105247393,35049077,30061327,26287823,15720445
08/21/1963,11483210,22406659,44942725,26895298,35511107,104999813,35090457,30062158,26257802,15719690
08/22/1963,11471965,22439299,44838935,26901211,35460438,104562085,35024965,30080292,26256895,15726782
08/23/1963,11504140,22483898,45076801,27011137,35569423,105035338,35000434,30259176,26346405,15847448
08/26/1963,11526480,22481330,45184254,27120054,35598749,105607929,35131728,30366240,26388915,15934149
08/27/1963,11575039,22519547,45287688,27179850,35677604,105762916,35168305,30443383,26405801,16031861
08/28/1963,11578118,22445837,45286025,27028726,35559725,104699788,35059185,30343077,26245546,15877526
08/29/1963,11700321,22642408,45490114,27158451,35802949,105616708,35303625,30410727,26451696,16048491
08/30/1963,11839901,22691887,45605027,27236934,35781460,105640604,35260456,30482720,26605516,16116129
09/03/1963,10459021,21707283,26108372,32529478,47858732,21997019,74464939,59309722,26600985,37918922
09/04/1963,10471049,21744507,26184772,32552739,48054004,22008585,74550270,59432557,26608141,38057326
09/05/1963,10462478,21761217,26169374,32679435,48198920,21987172,74259957,59280267,26600674,38095356
09/06/1963,10467646,21915203,26505377,32842252,48555654,22046511,74558774,59586049,26663879,38263953
09/09/1963,10414874,21832173,26501365,32585506,48384981,21920164,74423206,59546261,26551855,38358202
09/10/1963,10352523,21671261,26401702,32472351,48278498,21857503,74137024,59343219,26454262,38320066
09/11/1963,10382983,21850634,26538969,32547641,48472503,21942692,74436506,59538666,26455586,39022000
09/12/1963,10388451,21846352,26563604,32588464,48641488,22038586,74719884,59574624,26593318,39186316
09/13/1963,10380009,21852499,26487692,32523281,48619109,21948654,74711507,59676408,26625618,39005179
09/16/1963,10405166,21857896,26497104,32448388,48730242,22045017,74726727,59714787,26613307,38820383
09/17/1963,10396426,21886047,26413692,32484600,48537348,21950334,74524972,59712853,26496572,38837928
09/18/1963,10409928,21828930,26383154,32415501,48597416,21938983,74517598,59964958,26463983,38895514
09/19/1963,10390290,21685592,26224531,32281232,48405723,21818918,74393980,59726662,26377778,38599860
09/20/1963,10461810,21781954,26429607,32523625,48682280,21766441,74731450,60089005,26463621,38956001
09/23/1963,10361681,21776340,26445465,32432829,48756820,21741575,74577799,60309769,26425613,39260594
09/24/1963,10221337,21642989,26273750,32200472,48704144,21621758,74307637,60073705,26372879,38909890
09/25/1963,10243895,21539556,26339035,32217186,48875764,21627551,75334575,60327470,26388945,38860249
09/26/1963,10219044,21322855,26166484,31984708,48586314,21486217,74975645,60013822,26284729,38735211
09/27/1963,10106811,21190508,25857296,31833329,48296505,21403664,74484200,59438317,26130987,38089228
09/30/1963,10115946,21201512,25830693,31798648,48304689,21384019,74365185,58973613,26118710,38070830
10/01/1963,6424664,8099162,15414922,18207421,47385489,76831577,58807488,44412657,40749108,37915837
10/02/1963,6456847,8146333,15533225,18323370,47917021,77802180,59033273,44427998,40964578,38181680
10/03/1963,6453708,8140213,15567830,18346336,48167607,77828905,58931090,44435012,41049875,38256159
10/04/1963,6521374,8204471,15818297,18469585,48653409,78145638,59189355,44856921,41292135,38443678
10/07/1963,6490942,8208418,15857315,18364956,48608098,78082612,59191011,44963262,41162843,38699078
10/08/1963,6489587,8179250,15796301,18291184,48498871,77965758,58919700,45177030,41020804,38530632
10/09/1963,6507200,8157631,15868287,18331716,48703295,77784480,58845122,44958897,40943342,38341636
10/10/1963,6429348,8099507,15772660,18215252,48476775,77463666,58544517,44768185,40688278,37993492
10/11/1963,6447098,8099260,15820473,18283557,48509917,77604841,58614230,44880903,40641278,37822951
10/14/1963,6460568,8144827,15838694,18286473,48513475,77630960,58761034,44966063,40661695,37870737
10/15/1963,6514861,8124782,15824510,18271083,48525987,77606876,58779824,45162828,40550548,37946279
10/16/1963,6534530,8134004,15864843,18269216,48445318,77623620,58982177,45234346,40671780,38121929
10/17/1963,6615163,8204135,16015743,18384383,49014577,78466563,59332754,45717401,40946949,38548411
10/18/1963,6641243,8250618,16120117,18454906,49049915,78300934,59531485,45757311,41030395,38605831
10/21/1963,6641262,8260215,16175118,18451564,49011274,78257893,59666888,45844621,41085614,38615783
10/22/1963,6621844,8275559,16186593,18370541,48812638,78310683,59910091,45857817,41120241,38630641
10/23/1963,6556190,8209816,16110966,18278056,48481859,77908017,59568940,45457682,40920995,38490495
10/24/1963,6563359,8232100,16119240,18249954,48385642,78320770,59633503,45432121,40910029,38279334
10/25/1963,6591350,8266011,16322553,18303958,48776289,78461610,59704064,45625506,41030627,38440861
10/28/1963,6574142,8252316,16246305,18300920,50244488,79581732,59998717,45902179,41164762,38613701
10/29/1963,6545281,8315140,16154281,18409369,51133242,80116264,60346051,45974605,41174348,38607377
10/30/1963,6540092,8270353,16059919,18418904,51684480,79800428,60431492,45826255,41064983,38511051
10/31/1963,6513769,8206313,15925765,18273733,50859313,78970439,60062513,45447104,40875409,38382037
11/01/1963,10994434,39532269,55685297,68361777,31651198,35859243,56466527,32836975,23412003,11328980
11/04/1963,10877498,39506693,55482856,68109769,31685766,35788609,56220134,32895942,23384008,11326057
11/06/1963,10827086,39582333,54929088,68167200,31487863,35551603,55780915,32793943,23204318,11242688
11/07/1963,10724866,39097827,54463653,67831532,31248573,35062044,55374457,32571216,22971213,11189175
11/08/1963,10755340,39225847,54702365,67819321,31313422,35468309,55458050,32732330,22974328,11285262
11/11/1963,10858989,39336447,54004732,68374799,31454906,35818189,55784328,32920544,23184248,11394427
11/12/1963,10917194,39325088,54013695,68464609,31584950,35828321,55641822,33059018,23302515,11423669
11/13/1963,10787760,39126033,53742231,68312878,31562685,35600454,55406970,33018500,23258728,11366533
11/14/1963,10825570,38900226,53593578,68851732,31542982,35556014,55379651,33014966,23330757,11374842
11/15/1963,10769599,38616901,53039619,68577997,31520208,35160846,55239337,32993065,23340446,11353992
11/18/1963,10697249,38204255,52255695,68339325,31316708,35074714,54821372,32722319,23260053,11233706
11/19/1963,10619084,37793917,52053802,68137560,31147754,34662678,54245745,32469746,23055361,11158564
11/20/1963,10616384,38029035,52544290,68084873,31072214,34712320,54129586,32466644,22964886,11188240
11/21/1963,10606632,38476050,52633129,70173751,31206354,34845068,54308635,32448289,22966604,11173955
11/22/1963,10442939,38247165,51808014,67632157,30833534,34504646,53735774,32149865,22641959,10950546
11/26/1963,10193813,37299776,50455171,65018811,30095270,33494290,52427708,31027990,21751977,10460959
11/27/1963,10543577,38405405,52505581,68624868,30875592,34787980,54279095,32378336,22849991,10998225
11/29/1963,10500083,38436065,52364845,68378542,30796004,34622926,54421908,32293663,22767378,11002673
12/02/1963,5935903,15883084,19773392,25610407,26172098,29924073,55646913,55339022,73797508,52865740
12/03/1963,5928531,15936022,19714200,25733350,26251936,30076437,55899500,55792381,74420277,53149580
12/04/1963,5906915,15942673,19704020,25705654,26196005,29976640,55756768,55987722,74340317,53185242
