date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,26137531,16787905,45935173,14138845,35548889,46505785,33370038,30141881,13161160,4409874
07/03/1963,26309337,16933281,46645848,14216191,35743502,46873598,33681639,30369355,13220610,4450502
07/05/1963,26374754,17045569,47106233,14309579,36110473,47212382,33714856,30581207,13319416,4469204
07/08/1963,26511579,17107750,47387218,14351436,36319161,47363107,33884164,30692612,13370944,4481433
07/09/1963,26269626,16977007,46951514,14343836,36025361,47082159,33679997,30594146,13305166,4456736
07/10/1963,26387773,16986852,47357887,14369024,36154832,47234455,33776073,30747118,13390380,4475119
07/11/1963,26350665,16958215,47189746,14359957,36048365,47162554,33675013,30703138,13366525,4455010
07/12/1963,26267977,16908918,47020440,14365115,35935467,47114258,33633066,30731394,13358445,4439226
07/15/1963,26145135,16900030,46828120,14303541,35916061,47098600,33593965,30804728,13278242,4428276
07/16/1963,25889295,16755318,46703979,14268752,35535805,46734867,33456759,30606809,13248945,4400891
07/17/1963,25920728,16701624,46789467,14248028,35518802,46801804,33392239,30538315,13247467,4387300
07/18/1963,25835706,16649546,46653937,14243910,35489375,46730753,33240689,30428879,13194342,4356463
07/19/1963,25527436,16551308,46399439,14158083,35254766,46677406,33060076,30317961,13093931,4328388
07/22/1963,25549911,16479251,46315812,14154449,35265986,46705176,33005952,30170705,13071503,4302336
07/23/1963,25314372,16281291,46153467,14102181,35038919,46421134,32809165,29967504,12958541,4267685
07/24/1963,25366068,16331262,46205973,14099935,34863900,46558012,32840146,30043038,12966528,4271973
07/25/1963,25595601,16523510,46418626,14148789,35231156,46567114,32861945,30231479,13032491,4291536
07/26/1963,25484140,16555451,46478562,14178295,35228422,46473037,32807789,30219945,13071727,4286747
07/29/1963,25819203,16577561,46720781,14185048,35328303,46653646,32900077,30322684,13049403,4305718
07/30/1963,25944464,16586149,46757090,14185959,35405529,46667733,32996002,30436575,13055206,4300743
07/31/1963,26559341,16682232,47303394,14287061,35744550,46871860,33261789,30533264,13120629,4318988
08/01/1963,26470090,16666937,46931894,14303521,35760396,46714903,33279595,30557297,13108523,4305051
08/02/1963,26410484,16582390,46902160,14309049,35723824,46724699,33238034,30559929,13067036,4302010
08/05/1963,26504659,16612552,46895925,14401103,35895468,46793884,33399842,30663532,13131745,4308241
08/06/1963,26632906,16725386,47287235,14475749,36129173,46809256,33654950,30825835,13074562,4356748
08/07/1963,26664475,16842929,47687697,14504551,36247906,47272387,33881557,31085891,13201132,4368914
08/08/1963,26455096,16799818,47415432,14463815,36191479,47143680,33845152,31075081,13202151,4357069
08/09/1963,26546539,16848086,47517439,14468903,36299451,47272095,33742233,31107822,13242421,4384106
08/12/1963,26768558,16905640,47763136,14547097,36544480,47711216,34079908,31242638,13314626,4387102
08/13/1963,26650446,16874806,47830473,14587061,36517056,47904066,34181056,31315164,13375614,4427870
08/14/1963,26662531,16088669,48089952,14620875,36756457,47880231,34277637,31439136,13349445,4445239
08/15/1963,26614228,16961860,48268845,14682709,36813041,48099617,34416273,31774647,13442905,4445912
08/16/1963,27030140,17097204,48417791,14723519,36949366,48278809,34613497,31828311,13439397,4460851
08/19/1963,27156437,17146611,48435726,14784750,37112086,48265625,34612267,31780237,13449121,4456687
08/20/1963,27015187,17131275,48392457,14799338,37105470,48368130,34565986,31779967,13466775,4460797
