date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/02/1973,2484544,6233361,5901432,8943863,18539243,16254682,20865817,19581313,66184408,44776921
01/03/1973,2489956,6414281,5928669,8964800,18937871,16301262,21167068,19449194,67099188,45192944
01/04/1973,2542629,6379777,5900701,8909625,19033349,16350227,21309056,19445917,67372071,45825913
01/05/1973,2556092,6258812,5900112,8879559,18953166,16599044,21322143,19337445,67612870,45541189
01/08/1973,2555533,6263313,5966114,8849238,19189674,16718828,21280930,19358473,68520710,45692816
01/09/1973,2544142,6149398,6017399,8881072,19178091,16755677,21177392,19362153,68716215,45881332
01/10/1973,2563687,6132290,6007018,8854806,19327774,16734740,21224873,19329824,68594787,45620885
01/11/1973,2355435,6076998,6031593,8720121,19223682,16752838,21224965,19158500,67954671,45645023
01/12/1973,2586721,6129943,6110836,8761535,19246974,17060226,21347195,19236440,68641901,45877479
01/15/1973,2332012,5944293,5959029,8652486,18905317,16711304,21060883,19241739,69065601,45823705
01/16/1973,2470506,5927477,5845756,8561463,18423596,16674107,20786649,19231865,69493618,45450736
01/17/1973,2444157,5933639,5864278,8594350,18689170,16595310,20615465,19017904,69446507,45309255
01/18/1973,2470630,6068767,5897852,8686821,18786416,16620818,20971190,19134775,69567956,45470100
01/19/1973,2469473,6136886,5886574,8742063,18797209,16567901,21128418,19275612,70110381,45591997
01/22/1973,2461967,6244155,5866302,8675338,18742165,16473448,21167975,19412460,71334273,45738706
01/23/1973,2434904,6096730,5855849,8603827,18688535,16380342,21332652,19373327,71020809,45406478
01/24/1973,2371153,5942494,5839427,8596787,18812568,16273290,21479529,19523513,71736483,45143079
01/26/1973,2281585,5639433,5744168,8454028,18486975,16156436,21121900,19235068,70624356,44689843
01/29/1973,2281333,5727142,5811810,8488180,18554945,16138352,21236793,18987929,70823457,45016316
01/30/1973,2249202,5679391,5725319,8374085,18527729,16091200,21044746,18837615,71167836,45011957
01/31/1973,2252028,5646982,5726215,8377484,18426736,15944334,21069525,18738362,70875423,45084098
02/01/1973,4158368,12198343,5392643,12765815,24331165,25452398,26881117,30897127,100097589,67370915
02/02/1973,3819118,11901531,5295970,12567896,23888140,25004947,26396365,30380840,98923833,66797898
02/05/1973,4075336,11715872,5248855,12482080,23707978,24907576,26502362,30279534,98730153,66675534
02/06/1973,4157627,11806074,5230169,12479398,23560337,24970875,26744780,30198360,98570876,66322289
02/07/1973,4153774,11996958,5205317,12538829,23700123,25114570,26841717,30307197,99483165,65955728
02/08/1973,4142426,12029930,5115757,12400396,23623848,25023594,26655894,30065804,98960711,64901638
02/09/1973,4147891,12154214,5116004,12350885,23820965,25038827,26692947,30011130,98620733,64924700
02/12/1973,4249860,12385276,5227832,12660585,24182290,25638983,27025204,30326363,100240745,65998980
02/13/1973,4196065,12466930,5314664,12799963,24473456,26239420,27432264,30458559,101103395,65243196
02/14/1973,4176491,12342967,5317412,12889290,24714243,26648444,27781010,30563585,101426978,66340701
02/15/1973,4096669,12088615,5201883,12661669,24333654,26075667,27162725,30233469,99918685,65194984
02/16/1973,4048846,12059857,5109882,12554479,24094787,25998340,26914370,30109333,99073081,64987021
02/20/1973,4130831,12366292,5103482,12526116,24119987,26104128,26999333,30297945,99250306,65315390
02/21/1973,4164986,12434275,5084920,12538824,24096073,26208604,27052112,30337042,100143362,65542972
02/22/1973,4098270,12166835,4985796,12390931,23723553,26139240,26727118,29931317,99369855,65033958
02/23/1973,4082543,12115485,4970682,12402903,23576697,26031115,26876777,30026222,99008005,64637122
02/26/1973,4028824,11892599,4838739,12277904,23347367,25587110,26576588,29678289,97218127,64084697
02/27/1973,4025340,11900094,4785603,12032825,23056667,25187307,26210012,29532465,96201231,63785306
02/28/1973,3897573,11625378,4720293,11710396,23040363,24979832,25748032,29298688,94983519,63320118
03/01/1973,4139502,11644014,9189571,11572395,20335661,25883006,33305927,29252413,71732185,183464681
03/02/1973,4023759,11261127,9133772,11606534,20187429,25586468,32923997,29020943,71439883,182232491
03/05/1973,4115141,11598186,9206405,11676660,20339954,26000783,33305603,29351804,71984938,185363338
03/06/1973,4146093,11857328,9224223,11795502,20317489,26266506,34008713,29308366,72062620,185743475
03/07/1973,4207988,12208189,9428790,11903877,20568453,26964521,34605664,29856282,73188250,187165316
03/08/1973,4213433,12415139,9459892,11982347,20620760,27105414,34746188,30268869,73479761,187654619
03/09/1973,4175164,12201082,9398810,11936562,20618936,26965846,34361383,30079598,73574285,187442185
03/12/1973,4132235,12003871,9379248,11952642,20552421,26804046,34088328,29961424,73555829,186726419
03/13/1973,4114619,12034110,9373954,11888146,20545003,26523059,34245475,29898454,73733620,187110320
03/14/1973,4165110,12207805,9343300,11909660,20631845,26497586,34336768,29909654,74340955,188672178
03/15/1973,4193793,12266769,9300184,12024586,20705550,26491095,34630335,29854141,74317820,189708368
03/16/1973,4158955,11893181,9242611,11940318,20547568,26264724,34358067,29609717,74077645,187884434
03/19/1973,4165336,11837163,9185004,11881264,20519580,26068068,34004243,29684162,73871046,186941954
03/20/1973,4096911,11710527,8991079,11745573,20118843,25625264,33587752,29173010,73024257,184796976
03/21/1973,4093462,11847455,8916398,11736459,20007365,25387113,33512353,29017176,73087709,184967474
03/22/1973,3949656,11366128,8657020,11524168,19800975,24947868,32729860,28763133,72483814,182334131
03/23/1973,3899885,11070724,8582451,11250468,19292810,24521315,32094214,28228340,71402342,179714030
03/26/1973,3932382,11166903,8572331,11318540,19275015,24640845,31725231,28429063,71544612,179659784
03/27/1973,4000142,11501531,8761294,11545478,19414602,25028649,32173417,28432970,72172162,181339432
03/28/1973,4053075,11649198,8861418,11699346,19699845,25494368,32890912,28828761,73173275,184515570
03/29/1973,3981562,11524770,8879376,11689949,19771625,25548839,32627150,28850336,73368692,184781879
03/30/1973,4076486,11813549,9049036,11858307,20059554,25808554,32970705,29224504,73721398,186676975
04/02/1973,3741579,12325928,8568229,13296536,26138293,23936314,29215064,36174396,144197922,112041334
04/03/1973,3656447,12093788,8439270,13033739,25793987,23678099,28822887,35715050,143092086,111093346
04/04/1973,3619215,12015268,8293025,12931757,25530328,23386816,28626109,35280147,142220304,109903578
04/05/1973,3599498,11888618,8162913,12909265,25352271,23079868,28521732,35130771,141881336,109588128
04/06/1973,3580179,12010042,8167888,12817550,25140354,23013220,28492475,34905209,141618461,109418488
04/09/1973,3582191,11943390,8389578,12863124,25440357,23157699,28797527,35224343,142395838,110429396
04/10/1973,3641982,12483039,8589944,12922716,25847393,23615973,29418917,35912390,143993306,112233385
04/11/1973,3637565,12520604,8551114,13085103,25980759,23955531,29697879,36295321,146229435,113673243
04/12/1973,3687590,12540819,8571446,13109831,25999760,23800550,29789249,36539510,146134923,114936796
04/13/1973,3632310,12368853,8457218,13143901,26016725,23693297,29632933,36454780,146496926,114506421
04/16/1973,3617627,12321729,8371364,13160251,26060882,23413056,29563284,36335357,146005358,113677665
04/17/1973,3610666,12262300,8264070,13111640,25951538,23057204,29310228,36138553,144718654,112816057
04/18/1973,3594482,12141678,8185761,13037564,25704542,22747232,28935046,36101638,144439431,112618598
04/19/1973,3640658,12294957,8271448,12993906,25680023,23117215,29159279,36136678,145958265,113192896
04/23/1973,3636950,12388614,8351601,13205688,25959278,23266951,29435652,36489841,146362338,113494390
04/24/1973,3569210,12180227,8252518,13167643,25913091,23170325,29498196,36208179,145353964,113176908
04/25/1973,3467581,11864894,8072224,13049426,25362162,22713711,28784938,35786811,142558990,112406291
04/26/1973,3386171,11558555,7734763,12777952,24938501,22280026,28204198,35353271,140266430,111264413
04/27/1973,3402989,11801666,7855742,12847197,25202535,22575249,28303793,35557376,141379232,111360966
04/30/1973,3278718,11541178,7653745,12635362,24769443,22068327,27650234,34836026,138404102,109527257
05/01/1973,3195411,14337808,6708632,11277138,23878367,34218166,23865306,32101745,140362435,122620305
05/02/1973,3229166,14452786,6695259,11167958,23793143,34457639,23819290,31971835,141092078,122691598
05/03/1973,3317011,14755367,6738386,11123024,24375025,35191053,24171997,32375379,143081997,123946451
05/04/1973,3432534,15266462,6931929,11289702,24798027,35922666,24682500,33114047,145582346,125648888
05/07/1973,3403551,15391701,7003766,11250541,25212765,35775616,24710497,33490084,145830234,126684993
05/08/1973,3360426,15293168,6944096,11010961,25112790,35828607,24400140,33389844,145158290,126275086
05/09/1973,3417127,15667284,6988474,11081899,25277534,36128047,24782770,33504450,146793938,125961266
05/10/1973,3388367,15423200,7051428,11059918,25319563,36151531,24546985,33420270,145311078,124378059
05/11/1973,3336353,15281822,6984740,11083406,25185617,35857362,24484788,33284129,143982869,123195937
05/14/1973,3230564,14845319,6855280,10924439,24835200,34943197,24146903,32878258,142623772,121818495
05/15/1973,2723608,14440329,6604938,10607055,24220177,34110804,23425355,32031720,139518426,119459018
05/16/1973,3105071,14842275,6683074,10674634,24342395,34407459,23678021,32396518,140862672,120142599
05/17/1973,3032880,14680370,6684563,10601996,24373533,34204925,23718697,32329220,140874404,120226437
05/18/1973,2929169,14451462,6590698,10516088,24193361,33916888,23503497,32257088,139612985,119178582
05/21/1973,2835601,14130634,6378934,10360304,23608763,33514677,23038344,31669609,137385221,117757898
05/22/1973,2774366,14095766,6241683,10276124,23677276,33284153,22851296,31191890,135760290,116752041
05/23/1973,2791902,14327078,6391357,10351597,23798977,33763714,22893771,31459163,137221089,117644222
05/24/1973,2797807,14476921,6411276,10570241,23918322,33842071,23109535,31619272,138201881,117897291
05/25/1973,2945969,15233943,6539053,10967385,24749952,35098680,23938776,32667290,141753266,122212691
05/29/1973,3005404,15251968,6632020,11061159,24818400,35309452,24174684,32847840,143130184,122046346
05/30/1973,2945080,15147625,6611255,11044051,24630434,35314788,24082426,32630829,142548873,121533612
05/31/1973,2813331,14742716,6525849,10754084,24112950,34683940,23788360,32121673,140690145,119792257
06/01/1973,3135176,13697516,7509153,17195188,17216614,34717784,25494641,34003172,121447447,137145339
06/04/1973,3067308,13519497,7352910,17165601,16922519,34264682,25204772,33645369,120215636,135345774
06/05/1973,2988066,13467781,7263125,16907549,16807269,33788006,24777607,33131829,119195445,134485163
06/06/1973,3065517,14017660,7372694,17083019,17036130,34437469,25077637,33698297,121626193,136550141
06/07/1973,3059208,13868919,7342079,17041028,16884315,34389732,24885954,33483055,121246110,136794491
06/08/1973,3156427,14293509,7449851,17391198,17069262,35098173,25283965,34107120,123223630,138968464
06/11/1973,3228645,14306598,7459358,17628066,17219887,35416888,25577862,34645738,124444664,140461657
06/12/1973,3173631,14125343,7389721,17432881,17175270,35213042,25603362,34519927,124414611,140011772
06/13/1973,3287214,14586772,7491476,17830715,17410514,35941571,26270130,34974060,126625162,141393973
06/14/1973,3241871,14493937,7478439,17733397,17427614,35877507,26131586,34561329,126004518,139567260
