date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,9948087,11207372,11276677,18160013,14649760,18060250,30365021,44647566,48360776,176284062
07/03/1963,10175096,11339329,11464915,18283062,14701203,18174378,30577539,45225160,48645542,177506587
07/05/1963,10261092,11404093,11570456,18382768,14765072,18254602,30876342,45505125,48847501,178432866
07/08/1963,10343791,11462693,11648686,18318728,14739336,18291926,31017246,45765831,48926361,179321890
07/09/1963,10199501,11337658,11565866,18231104,14758374,18163027,30943560,45344191,48913812,178233308
07/10/1963,10328540,11409804,11649665,18299816,14838634,18269399,31047890,45697355,49013251,178917024
07/11/1963,10292333,11404230,11623952,18215138,14796081,18259047,30982429,45546683,48916235,178715429
07/12/1963,10265291,11383212,11576257,18151112,14758240,18262885,30899575,45360575,48921487,178569327
07/15/1963,10229390,11316953,11574832,18151429,14709884,18190069,30941560,45134320,49068694,178422834
07/16/1963,10100684,11188379,11461377,17992366,14619019,18117065,30722615,45046464,48765254,177389680
07/17/1963,10148657,11224605,11465707,17981154,14584943,18073622,30669485,45072009,48641770,177235284
07/18/1963,10077198,11130601,11429861,17910779,14518730,18044089,30527188,44864708,48491244,176910889
07/19/1963,9999804,11051629,11344670,17763339,14462398,17943514,30385552,44631717,48353051,175888508
07/22/1963,10005344,10996986,11297893,17703561,14417862,17926132,30351147,44530215,48213112,175624649
07/23/1963,9950748,10895248,11178748,17535099,14317534,17755826,30116548,44254077,47900529,174579180
07/24/1963,9943665,10852701,11159545,17580341,14271266,17710482,30087338,44142865,47997291,174771379
07/25/1963,10025404,10932998,11220907,17687161,14318478,17731015,30276940,44246982,48260576,175578470
07/26/1963,9974681,10902358,11237020,17737825,14334133,17779921,30276829,44229395,48413922,175316213
07/29/1963,10049681,10957011,11276897,17792861,14395532,17775689,30341679,44273597,48529414,176145890
07/30/1963,10088034,10916914,11281655,17835683,14424618,17782941,30397969,44293171,48611467,176316684
07/31/1963,10265144,11030454,11431875,17945951,14534132,17850590,30601650,44700846,48875611,177898397
08/01/1963,10385646,10551113,10935073,16040556,17999089,18474842,28715504,44329674,49082738,178641308
08/02/1963,10371923,10523607,10906934,16008481,17950500,18535010,28635193,44305327,49061859,178560412
08/05/1963,10365756,10550643,10929569,16048645,18006544,18627901,28704618,44312838,49308089,179163014
