date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,249224400,51272878,28709320,16121628,11005736,8037480,5947276,4851253,3977177,4362003
07/03/1963,251465125,51591083,28942750,16310852,10982498,8075237,5999078,4867401,4023031,4385713
07/05/1963,253112391,51903768,28893662,16395730,11068985,8107402,6029374,4897256,4046739,4402202
07/08/1963,254297279,52042030,29207453,16318707,11028157,8070890,6053318,4905248,4065800,4407660
07/09/1963,252504788,51813647,29098023,16381133,11040014,8084903,6001359,4876496,4056732,4387175
07/10/1963,253583305,52098473,29241015,16466977,11072014,8138920,6037294,4903856,4079994,4404994
07/11/1963,253161333,51951123,29188587,16438019,11044341,8109045,6046867,4876642,4077010,4410690
07/12/1963,252726755,51871654,29180606,16406479,11023746,8088833,6011891,4894397,4076082,4414384
07/15/1963,252541355,51792641,29097586,16360217,11007319,8081161,6011411,4890905,4081016,4423107
07/16/1963,250971507,51523421,28910122,16241155,10931172,8033114,6016912,4852680,4060516,4401334
07/17/1963,250836734,51562803,28800770,16226445,10915811,8013558,6006453,4838850,4031880,4404968
07/18/1963,250079885,51368011,28714076,16190887,10864936,7989506,5982057,4828562,4030903,4395863
07/19/1963,248659409,51145448,28585134,16118254,10786558,7953099,5920229,4812253,4021655,4357235
07/22/1963,248279508,50969600,28497307,16068402,10760210,7906461,5963471,4798443,4009284,4345419
07/23/1963,246658875,50627192,28278769,15950072,10681989,7863715,5898176,4744511,3973266,4329736
07/24/1963,246948107,50593618,28163692,15903461,10644851,7862777,5882628,4746715,3971710,4321544
07/25/1963,248241322,50836600,28239782,15963369,10659784,7891454,5912250,4759163,3969697,4326190
07/26/1963,248042688,50864650,28238110,15992117,10669934,7910887,5916828,4762067,3982419,4345053
07/29/1963,249127721,50954073,28356271,16007754,10692216,7920351,5926630,4772844,3993984,4307683
07/30/1963,249485218,51077537,28327013,16006365,10697212,7867820,5921024,4764369,3986954,4332598
07/31/1963,251859062,51406015,28497822,16100951,10751301,7966753,5945802,4788132,4005857,4331155
08/01/1963,251534558,51296710,28441600,16084293,10731840,7973563,5939585,4787877,3999310,4345530
08/02/1963,251353084,51279565,28463197,16057594,10705072,7987669,5910546,4765360,3989874,4325886
08/05/1963,252197446,51449679,28524523,16081765,10714586,8011478,5914202,4773161,4003278,4327074
08/06/1963,253702064,51806939,28677470,16160119,10651983,8022849,5943657,4789920,4000117,4336085
08/07/1963,255395661,51955959,28787424,16212122,10795147,7996242,5965101,4798911,3967269,4326069
08/08/1963,254488533,52025463,28777664,16192489,10796576,8062939,5950677,4794447,3993576,4323882
08/09/1963,255024005,52052113,28800353,16194116,10788977,8092916,5934575,4790977,3980370,4312128
08/12/1963,256631840,52347682,28954953,16288296,10877483,8129542,5962797,4815423,4022835,4321384
08/13/1963,256792889,52622282,29039836,16283932,10900799,8178721,5985643,4844994,4037092,4337742
08/14/1963,256824626,52708573,29073497,16414184,10892631,8173773,5985989,4838524,4029557,4334736
08/15/1963,258578005,52836859,29095067,16476320,10928482,8198767,6001762,4846325,4028151,4342668
08/16/1963,259774967,53076388,29217550,16520879,10959806,8217157,6028219,4863801,4034752,4357544
08/19/1963,260056904,53198469,29340174,16553500,10952878,8241961,6043182,4882811,4013725,4349784
08/20/1963,259866904,53233814,29312317,16576416,10964388,8236877,6036171,4881658,4017860,4354020
08/21/1963,259656124,53251719,29272164,16563972,10966316,8223243,6047086,4868297,4017130,4348921
08/22/1963,259065045,53234824,29276011,16611270,10968093,8222716,6080264,4882771,4001781,4352629
08/23/1963,260059983,53447800,29409989,16699058,11027200,8271161,6118698,4911324,4033577,4373489
08/26/1963,260980732,53559598,29545866,16748067,11074854,8313681,6146613,4922184,4051212,4383281
08/27/1963,261551109,53614493,29633830,16744052,11077475,8333199,6152879,4932946,4059667,4394091
08/28/1963,259936969,53451110,29520293,16675887,11012475,8295599,6117564,4917476,4043919,4383013
08/29/1963,261961173,53699828,29742572,16806713,11111878,8370580,6177681,4960316,4075501,4406734
08/30/1963,262349275,53854576,29823364,16834863,11138850,8388840,6205237,4980292,4081807,4415096
09/03/1963,263577870,54041055,29956757,16917982,11166433,8430221,6249031,5003255,4088653,4419629
09/04/1963,264163623,54133506,29989146,16966060,11198337,8445128,6273051,5027999,4102855,4439771
09/05/1963,264132332,54146979,29986594,16785476,11216249,8454348,6272215,5038552,4094244,4439455
09/06/1963,265605576,54311795,29847595,16997472,11244713,8501144,6294359,4997083,4106659,4447240
09/09/1963,265176009,54030293,29709744,16917092,11204547,8415762,6267041,4975923,4090616,4448493
09/10/1963,264401647,53863504,29526622,16846843,11158440,8281886,6231847,4950652,4072655,4427051
09/11/1963,265827216,54126142,29661963,16912195,11223203,8320806,6256627,4974555,4088926,4436037
09/12/1963,266722763,54161755,29690043,16916457,11241028,8394295,6255278,4986931,4090348,4436657
09/13/1963,266466905,54112993,29654055,16908270,11233896,8381788,6249702,4983659,4089986,4428223
09/16/1963,266348269,54210426,29690090,16899238,11264270,8414266,6266983,4984043,4119008,4462710
09/17/1963,265902422,54099833,29721185,16877824,11214959,8429022,6203804,4981814,4120208,4466842
09/18/1963,266087440,54093066,29718654,16879668,11202825,8416414,6256266,4985811,4116326,4460889
09/19/1963,264963775,53875758,29569846,16819494,11149280,8385868,6220262,4978991,4096476,4450470
09/20/1963,266515065,54186231,29710944,16864351,11204861,8405485,6237701,4992949,4084998,4472333
09/23/1963,266729958,54199583,29730636,16827050,11202165,8401227,6254353,4987840,4108704,4469908
09/24/1963,265628130,53842351,29576172,16711737,11125738,8357545,6201051,4951865,4064593,4454407
09/25/1963,266978058,53877266,29647609,16709059,11135086,8343637,6216577,4951659,4076779,4452610
09/26/1963,265594112,53566181,29429324,16594042,11071350,8277478,6150426,4911135,4041574,4414952
09/27/1963,263282884,53175010,29232343,16466040,11004249,8249680,6116063,4868949,4012140,4398106
09/30/1963,262615564,53120785,29263606,16445016,11012567,8255149,6073667,4866292,4009979,4412492
10/01/1963,260857228,52862683,29136697,16393401,10951180,8205675,6054701,4853324,4001575,4386625
10/02/1963,262841321,53140395,29247550,16451451,10900539,8255944,6078233,4878775,4016449,4415791
10/03/1963,263237322,53298048,29206407,16410596,10990583,8250152,6081849,4882890,3999686,4404988
10/04/1963,264948604,53746520,29375130,16554354,11059234,8286612,6146868,4912477,4044588,4406923
10/07/1963,265027923,53730970,29327187,16566708,11060835,8298127,6108369,4915055,4035752,4414819
10/08/1963,264366939,53611677,29275964,16541212,10961254,8291695,6056591,4911904,4013340,4391607
10/09/1963,263853516,53614938,29208201,16547365,11087128,8312120,6107182,4908278,3987708,4392648
10/10/1963,262248940,53292264,29025850,16470383,11020911,8250190,6074831,4890033,3992806,4406098
10/11/1963,262563341,53266618,29045567,16462053,11039488,8237263,6103739,4911936,3970621,4375357
