date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,25151952,31267607,45889562,37141834,41384163,57307527,40799391,51555767,24973738,28069702
07/03/1963,25404128,31528680,46370755,37316986,41633151,57791883,40942872,51891123,25183279,28611875
07/05/1963,25744396,31668689,46739107,37495628,41892465,58147612,40995625,52111785,25274032,28820449
07/08/1963,25930325,31722403,46909998,37569367,42177988,58263937,41337275,52152348,25348102,29017218
07/09/1963,25778824,31584263,46687753,37385044,42005615,57955487,41178326,51864847,25194623,28641626
07/10/1963,25964553,31725367,47005630,37481558,42216343,58082515,41294825,52097865,25321795,28869359
07/11/1963,25928674,31708001,46953410,37358299,42149383,57932992,41287490,51990120,25263632,28764593
07/12/1963,25842010,31713804,46811792,37256850,42202065,57978705,41196245,51836161,25232565,28657694
07/15/1963,25867906,31720383,46754069,37197961,42411389,57868673,41083425,51669645,25161734,28584894
07/16/1963,25559117,31545170,46538663,37006673,42140758,57543299,40874439,51311599,24952419,28504565
07/17/1963,25485606,31480030,46449105,36991525,42108945,57573379,40724812,51369675,24900147,28589185
07/18/1963,25400280,31346506,46435465,36876308,41925126,57396828,40565965,51301042,24784437,28446413
07/19/1963,25144981,31218393,46280270,36606158,41739225,57225745,40359452,50898127,24641742,28278443
07/22/1963,25145276,31111501,46109135,36517598,41590202,57249760,40218433,50815816,24665377,28208922
07/23/1963,24912271,30935893,45827288,36261186,41279386,56888959,39900983,50396503,24531321,28106738
07/24/1963,24874947,30909062,45848613,36279609,41337785,57031145,39858819,50332257,24504857,28095438
07/25/1963,25130954,31034968,46094817,36502324,41564092,57003500,40038745,50687141,24539785,28236898
07/26/1963,25163039,31083316,46091868,36533694,41535627,56941625,40006352,50591370,24547576,28263850
07/29/1963,25247494,31115395,46370827,36596370,41635031,57101771,39998874,51007514,24630481,28389175
07/30/1963,25339346,31141802,46393735,36578631,41649352,57100014,40075113,51150367,24621987,28448904
07/31/1963,25589625,31304872,46725210,36875621,41878562,57452826,40229030,51962394,24781972,28885876
08/01/1963,25901161,41871450,75329386,36254674,75563722,38421484,38619139,24032054,18517207,10814765
08/02/1963,25808017,41816137,75057029,36279213,75537343,38502700,38695415,24101090,18486966,10740171
08/05/1963,25907134,42012611,75327692,36445566,75603522,38543363,38905148,24177550,18526994,10737032
08/06/1963,26096542,42193935,75798904,36585195,75800797,38812965,39164131,24356604,18640510,10831886
08/07/1963,26322075,42386452,76110198,36551951,76443708,38996594,39346752,24584646,18769000,10875786
08/08/1963,26276718,42317868,75836101,36625966,76127927,38951333,39228228,24554141,18831316,10840639
08/09/1963,26341140,42374516,76036265,36654028,76342818,38924078,39300371,24549835,18817482,10814229
08/12/1963,26643013,42605884,76355502,36709330,76986016,39176034,39540754,24684955,18895693,10902335
08/13/1963,26765301,42544544,76125083,36900541,77202134,39263077,39751184,24698587,18968967,10988745
08/14/1963,26746566,42607362,76234185,36952951,77565119,38591346,39902184,24853643,19023387,10982331
08/15/1963,26766427,42602325,76168871,37120414,77915312,39834025,40177559,24877468,19039840,11013664
08/16/1963,26762667,42827476,76810980,37354466,78155183,39848470,40262044,25010429,19171121,11031556
08/19/1963,26762222,42788529,76927565,37475382,78268148,39862056,40330954,25078175,19236921,11089744
08/20/1963,26760841,42735685,76837270,37575554,78290056,39838750,40250085,25097124,19223862,11056430
08/21/1963,26758605,42780773,76848854,37643186,78055387,39811603,40161476,25051453,19194990,11092452
08/22/1963,26718527,42728265,76584880,37686158,77816490,39849528,40181455,25033473,19187109,11092820
08/23/1963,27011387,42877302,77030288,37773714,77976065,39908564,40390813,25139668,19247310,11178987
08/26/1963,27060984,43019354,77450180,37929536,78119748,40099877,40455928,25154768,19352292,11268782
08/27/1963,27089022,43085749,77616153,38081699,78256087,40122923,40526619,25169428,19421536,11308387
08/28/1963,27066351,42969653,77406176,37909780,77525507,39823537,40281109,25059993,19315271,11181544
08/29/1963,27326419,43314386,77950844,37966764,78006880,40160564,40590825,25366493,19488130,11331235
08/30/1963,27346221,43365691,77967777,38003435,78102423,40250055,40564908,25574697,19678149,11406810
09/03/1963,25850305,32963560,31675814,74312430,65734425,51654275,72879191,25341016,11319248,12660398
09/04/1963,25928282,32973132,31816627,74554094,65780178,51724207,73054111,25417131,11331642,12703530
09/05/1963,25862501,32987798,31616494,74715167,65574335,51744021,73022462,25506635,11374847,12708325
09/06/1963,26144176,33184607,31862128,75130761,65487107,51994035,73333399,25579355,11442598,12740926
09/09/1963,25796011,33088941,31743258,75103554,65330515,51850072,73289507,25405682,11417043,12720030
09/10/1963,25623627,32933509,31618061,74967671,65051538,51668124,73099098,25276857,11409532,12655938
09/11/1963,25895941,33245202,31834175,75853723,65202820,51817638,73065446,25359333,11402850,12699742
09/12/1963,25879315,33403171,32034274,76166194,65434055,51988780,73033125,25430127,11371804,12702163
09/13/1963,25803770,33389575,31912502,75985469,65333223,52014907,73018932,25464087,11395406,12744235
09/16/1963,25949149,33334018,31971294,75816532,65403608,52122577,72944848,25454114,11431300,12785846
09/17/1963,25849244,33099878,31943168,75617335,65338880,52007800,73084250,25467766,11386414,12773410
09/18/1963,25837737,33099525,31881982,75703755,65389746,52085432,73115015,25488967,11429799,12729484
09/19/1963,25757814,32837507,31635339,75290641,65381792,51760362,72855713,25412736,11417538,12703356
09/20/1963,26026407,33129365,31744486,75655328,65599592,52081653,73257236,25499880,11479090,12743785
09/23/1963,26162520,33190522,31760556,75928393,65446324,52088870,73250560,25402406,11481872,12744028
09/24/1963,26004850,32955829,31546596,75442829,65250189,51927508,72965437,25313177,11433946,12611120
09/25/1963,26103446,33000664,31486697,75586518,66192580,51915011,73247496,25401103,11391982,12600519
09/26/1963,25748659,32684857,31237384,75093639,66034332,51725589,72891441,25309464,11321282,12536974
09/27/1963,25359850,32359915,31012683,74150789,65690592,51370920,72436178,25214943,11267056,12462815
09/30/1963,25300973,32358629,30900901,74163625,65616297,51321607,72027389,25143677,11264600,12499268
10/01/1963,26915165,64994444,79051717,26923029,40153699,46705177,47150127,35673391,19028973,12122272
10/02/1963,27084168,65593063,79570053,27118520,40314074,46933430,47571447,35665324,19190721,12194564
10/03/1963,27090997,65570818,79844845,27053463,40266300,47126533,47568042,35862208,19190406,12197431
10/04/1963,27363095,66007152,80494269,27300549,40384055,47431785,47698730,36101793,19403648,12305372
10/07/1963,27321973,65899835,80603394,27173139,40373055,47362718,47785013,36231748,19418616,12318795
10/08/1963,27264403,65678377,80684806,27032897,40102986,47207303,47824122,36030793,19313139,12276676
10/09/1963,27363924,65460586,80760692,27092981,40082934,47037798,47811691,35752923,19364235,12288710
10/10/1963,27097098,65259015,80499077,26964429,39786474,46830962,47436142,35387981,19252435,12153159
10/11/1963,27098308,65425933,80619338,26958265,39730128,46805224,47433574,35460176,19253482,12188292
10/14/1963,27162728,65489526,80749448,27047440,39854450,46816266,47456503,35405956,19318345,12260355
10/15/1963,27145592,65561809,80803590,27081831,39839952,46817989,47403095,35404758,19313902,12313148
10/16/1963,27153525,65525010,80867275,27052591,39970437,47028782,47457109,35523352,19365108,12340865
10/17/1963,27334851,66254444,81679495,27193109,40287038,47417151,47889557,35771257,19673825,12463590
10/18/1963,27451330,66369585,81784354,27270218,40397605,47279041,47723202,35790203,19751129,12513897
10/21/1963,27552697,66289866,81806757,27313848,40425178,47456765,47967396,35823900,19783035,12533646
10/22/1963,27527225,66287477,81899040,27393870,40447417,47540593,47967091,35676662,19794439,12492215
10/23/1963,27345698,65534831,81330524,27277462,40200423,47382177,47908811,35580090,19707203,12430176
10/24/1963,27330040,65870096,81141877,27270280,40253116,47606490,47885038,35498483,19715390,12476264
10/25/1963,27503268,65770271,81576499,27289912,40458108,47767429,48074725,35599859,19862105,12551533
10/28/1963,27481728,66692022,83374671,27313660,40633706,47831119,48346143,35684309,19950964,12607053
10/29/1963,27385665,67097331,84456203,27467983,40835296,47821514,48621857,35483069,19878236,12627660
10/30/1963,27324977,66912530,84636948,27548508,40854813,47855328,48457797,35472794,19823587,12539376
10/31/1963,27185031,66266143,83674471,27329151,40583671,47517369,48041312,35425041,19673263,12457798
11/01/1963,46523937,48987382,78101575,37092751,47756737,21584604,47429628,30856892,33121167,17770157
11/04/1963,46246218,48770307,77860901,36929724,47862470,21736053,47279376,30874922,33175368,17799632
11/06/1963,45377722,48379013,77892700,36877530,47733835,21649930,47236361,30718319,33041768,17747592
11/07/1963,44883725,48015020,77034570,36769069,47494066,21493638,46789118,30537647,32601931,17687960
11/08/1963,45059428,48265719,77101066,36826618,47565716,21565244,46806381,30728297,32896893,17855080
11/11/1963,44717203,48657534,77743819,37018217,47712472,21639422,46880667,30871294,33105117,17935781
11/12/1963,44961154,48869042,77797886,36765648,47796838,21527199,47037846,30895738,33114643,18076944
11/13/1963,44673501,48761142,77524087,36655487,47590185,21541838,46731029,30793030,33060958,17977186
11/14/1963,44785414,48799811,77608650,36750702,47515708,21533357,46798984,30776937,32971745,17973449
11/15/1963,44235398,48678631,77114343,36597142,47514751,21495378,46668734,30796269,32839533,17874435
11/18/1963,43261166,48461988,76444697,36624032,47303236,21426614,46259221,30565723,32794344,17793997
11/19/1963,43076285,48107996,75790090,36358066,47018025,21302690,45848401,30390443,32445048,17626762
