date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10/01/1973,,184219,23094,,1416266,36889,,1340469,50301,28793128
10/02/1973,,185625,22883,,1427688,36889,,1353534,51030,28377843
10/03/1973,,201094,22883,,1427688,35892,,1369212,53217,28516271
10/04/1973,,196875,23094,,1421977,34895,,1353534,55404,28654700
10/05/1973,,192656,22247,,1410555,35643,,1348308,58320,28308628
10/08/1973,,191250,22035,,1410555,36640,,1340469,60143,28377843
10/09/1973,,189844,22247,,1416266,37886,,1348308,59049,28447057
10/10/1973,,181406,22671,,1416266,39880,,1356147,63059,28308628
10/11/1973,,178594,22671,,1404845,39382,,1353534,59049,28100986
10/12/1973,,177188,22035,,1404845,41625,,1353534,63059,28170200
10/15/1973,,177188,22459,,1399134,42373,,1337856,61965,28239414
10/16/1973,,171563,22883,,1393423,43868,,1337856,60143,27547272
10/17/1973,,174375,22988,,1399134,42871,,1353534,59414,27478057
10/18/1973,,170156,22671,,1393423,43120,,1358760,58685,27408843
10/19/1973,,171563,22459,,1376291,42373,,1358760,58320,27131986
10/22/1973,,170156,22035,,1382002,42622,,1350921,59049,27201200
10/23/1973,,165938,22035,,1387712,38883,,1330017,57591,27131986
10/24/1973,,167344,21823,,1382002,42871,,1332630,58320,26855129
10/25/1973,,168750,21188,,1387712,42123,,1343082,58320,27201200
10/26/1973,,165938,21188,,1387712,42373,,1350921,59414,27478057
10/29/1973,,161719,20976,,1399134,41874,,1374438,61965,27478057
10/30/1973,,178594,20552,,1404845,41376,,1366599,64881,27339629
10/31/1973,,180000,20552,,1393423,40129,,1348308,63788,26993558
11/01/1973,3456219,8223719,8592289,12060013,6656620,6801862,46428457,25552628,34225919,88075416
11/02/1973,3454041,8243237,8412008,12035911,6553760,6734910,46079170,25575413,34028003,88322932
11/05/1973,3396565,8241143,8229300,12044001,6539925,6619324,45927667,25398790,33708961,87884185
11/06/1973,3283938,8099854,8079522,11953067,6370646,6492809,45483255,24735245,32937788,86893346
11/07/1973,3291548,8066761,8157621,11722824,6261118,6452731,45756463,24513916,32846702,86483002
11/08/1973,3258416,8192694,8172194,11778000,6286797,6511231,46043877,24866236,32849296,87260373
11/09/1973,3320572,8373879,8302310,11908949,6359146,6631011,46122997,25218038,33205085,88556556
11/12/1973,3261039,8099067,8213207,11899211,6309258,6591294,45545919,24717665,32688002,87371326
11/13/1973,3174612,8041388,8052044,11847537,6163747,6430870,45180660,24313530,32518033,87894176
11/14/1973,3124104,8040030,7916819,11978604,6090918,6379820,45602289,24534474,32483628,88678155
11/15/1973,3064926,7814152,7837002,11924492,5999029,6283324,44902400,24001391,32000341,88098766
11/16/1973,3064043,7808382,7597523,11932321,6068556,6251622,44700673,24483525,32381077,87209084
11/19/1973,3067925,7948750,7676763,12024204,6162946,6211237,45023525,24738626,32885245,88685814
11/20/1973,3003058,7635743,7494356,11583041,5991817,6001950,44105949,23655721,31990959,85696824
11/21/1973,2895288,7568541,7417603,11305377,5847444,5881827,43539655,23197980,31277145,83277168
11/23/1973,2935095,7577247,7644316,11371780,5888282,6037309,44778474,23258259,31616271,84069769
11/26/1973,2967858,7486892,7583704,11270781,5921995,6012391,44884953,22859248,31557092,83648072
11/27/1973,2849250,7407042,7470565,10951422,5689701,5846690,43908472,22160290,30759622,81453437
11/28/1973,2863256,7294198,7392331,10885550,5638556,5790601,43706198,21771821,30769869,80343576
11/29/1973,3000587,7334651,7533855,10864496,5673480,5910292,44074179,22575776,31009176,82340303
11/30/1973,3084083,7342252,7570218,10856707,5628794,5881959,43856044,22540797,31060557,81695214
12/03/1973,2870641,8516096,8382212,14940336,7221747,9444488,35817122,26253878,41311757,82101169
12/04/1973,2799571,8232289,8234911,14633621,7116842,9205504,35027705,25623458,40455640,80579839
12/05/1973,2826108,8165726,8221083,14508804,7048217,9284941,35382369,25557154,40758667,79960711
12/06/1973,2776433,8068183,8142135,14416180,7020819,9095320,35017295,25116811,40481030,79400406
12/07/1973,2814603,8341755,8139138,14703806,7068998,9276779,35978749,25902424,41271234,81135756
12/10/1973,2869798,8343476,8247054,15184995,7249612,9705947,36855676,26580553,42284681,82808494
12/11/1973,2929826,8333072,8183578,15463332,7367395,9698523,37188411,26766452,42975492,83507698
12/12/1973,2823672,7688743,8103457,15055187,7377509,9565993,36768092,26459546,42358243,81657450
12/13/1973,2772360,7307708,7935309,14601893,7195395,9231854,35861464,25549852,40796957,80058089
12/14/1973,2717793,7212480,7749986,14128491,6963527,9176486,35685616,25139080,39832955,79996372
12/17/1973,2744502,7369217,7866596,14226989,6866789,9309627,36436105,25327696,40235196,79975884
12/18/1973,2722707,7280728,7780082,14385859,6824851,9341444,36505145,25213520,40088700,79255890
12/19/1973,2700353,7502457,7749538,14693067,6968809,9584941,37391484,25742548,41418840,81434098
12/20/1973,2653117,7375494,7920318,14774186,6954044,9606054,37632425,25877461,41603545,81175990
12/21/1973,2644721,7371232,8042772,14532215,6942036,9587977,37863408,25648234,41827757,79742509
12/24/1973,2652587,7221917,8107022,14588674,6872684,9441267,37486035,25454750,41481021,79113011
12/26/1973,2644538,7037235,8075992,14414158,6785429,9327704,37291084,24992481,40954232,78299143
12/27/1973,2688559,7467674,8305808,14834562,6933413,9536584,38021983,25865010,42278234,81347465
12/28/1973,2740975,7648537,8616509,15127397,7163921,9653212,38393139,26738248,42970805,82794396
12/31/1973,2767622,7562766,8682076,15073949,7171255,9648365,38196778,27047920,42910915,83197110
01/02/1974,2775650,5303299,10993916,14898526,7321048,9230479,39687020,28696306,41769020,83301167
01/03/1974,2809716,5341149,10910598,14877401,7347815,9181175,39651022,28663348,41995379,83061236
01/04/1974,2924278,5480598,10861679,15172053,7545404,9489678,40522340,29045185,43181308,84247039
01/07/1974,2915093,5565335,10648639,15136483,7582628,9617034,40530053,28576645,42286319,83033247
01/08/1974,2922633,5588233,10599088,14968869,7576952,9534120,40149111,27848696,42059361,82463940
01/09/1974,2888144,5555925,10390575,14630410,7539890,9365815,39391647,27129623,41397033,81226226
