date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,32763637,44561888,66533766,27272443,32340972,42007419,29291533,19883843,14565593,9826683
07/03/1963,32895806,44846735,67397853,27398439,32580038,42321786,29503498,20060424,14737488,9938672
07/05/1963,33104806,45164949,67842855,27534486,32812873,42506195,29719745,20217908,14837138,10013977
07/08/1963,33328580,45262181,68147432,27543535,33160593,42682567,29775692,20308887,14821061,10059581
07/09/1963,33160916,45039830,67546597,27518309,32863182,42394257,29667384,20188145,14791583,9955532
07/10/1963,33229573,45161128,67765370,27582392,33081354,42560927,29980864,20330410,14835872,10044927
07/11/1963,33150620,45061773,67533564,27478724,33162116,42506169,29928528,20313546,14796730,10010098
07/12/1963,33039442,45023208,67414664,27503284,33148964,42380658,29929776,20344954,14744955,9935559
07/15/1963,33011376,44958249,67272808,27404594,33300631,42255283,29799763,20440300,14733258,9911333
07/16/1963,32882966,44726445,66929769,27383906,32882839,41909027,29710570,20209457,14596487,9845042
07/17/1963,32809831,44604286,67030640,27393113,32839457,41924333,29664342,20143643,14564958,9868811
07/18/1963,32637585,44496822,66809010,27301035,32767185,41798139,29656484,20083187,14516535,9829325
07/19/1963,32425994,44355303,66695288,27096094,32447528,41472695,29530621,20069232,14409710,9762317
07/22/1963,32414122,44136926,66685509,27095885,32460238,41377731,29474655,19899804,14357856,9731278
07/23/1963,32318929,43856939,66311924,26949870,32174200,41023652,29286027,19735240,14168120,9679579
07/24/1963,32305909,43685483,66402815,27001091,32270831,41044013,29345466,19767332,14229478,9647604
07/25/1963,32356264,43804187,66625412,27057946,32537550,41405255,29475308,19888072,14388391,9706494
07/26/1963,32299237,43794345,66449247,27173267,32624736,41338716,29559571,19871144,14419316,9651349
07/29/1963,32347338,43867105,66727546,27148294,32691806,41705764,29724874,19974070,14508391,9704234
07/30/1963,32425176,43859820,66798757,27270618,32680620,41857607,29638137,20053915,14506573,9745571
07/31/1963,32618901,44196232,67366466,27397071,32998819,42618968,29858552,20148768,14624489,9809739
08/01/1963,49361752,42745962,54080643,38774777,38528753,39823221,20387583,17649009,9316358,10518805
08/02/1963,49452411,42658091,54150955,38705442,38466708,39745321,20295526,17615021,9284424,10517651
08/05/1963,49653575,42757505,54224074,38878290,38574363,39898109,20419760,17659275,9308654,10575883
08/06/1963,49917837,42975236,54312036,39268097,38702267,40095611,20519008,17834345,9359188,10669333
08/07/1963,50210795,43213321,54813240,39329643,38860189,40363205,20712358,17893124,9393193,10811780
08/08/1963,50030926,43149821,54651766,39263076,38651371,40206836,20675464,17886890,9372065,10788462
08/09/1963,50148747,43325285,54745324,39409640,38691949,40215386,20661633,17874727,9374326,10764043
08/12/1963,50438149,43660473,55147884,39688983,39075954,40207333,20763632,17950699,9456945,10840449
08/13/1963,50599590,43737482,55267240,39570612,38997525,40274945,20840289,18004432,9490756,10930540
08/14/1963,50783474,44007634,54287611,39649176,39031944,40494344,20903504,18084535,9498743,10969796
08/15/1963,50953420,44138286,55375621,39950768,38998656,40533232,20957055,18314973,9511013,10988014
08/16/1963,51047073,44191383,55671382,39992069,39460636,40720536,21065753,18457798,9606704,11049061
08/19/1963,51129837,44331642,55737383,40035211,39562625,40694747,21095038,18460458,9637981,11064046
08/20/1963,51077225,44450112,55759766,40155404,39429801,40608013,21082489,18381712,9621102,11059154
08/21/1963,51068890,44365041,55651204,40231423,39428394,40644113,21051166,18350329,9571217,11060476
08/22/1963,51035556,44467131,55455472,40187788,39178932,40601280,20966945,18375535,9576471,11040316
08/23/1963,51150162,44691256,55364506,40260050,39639759,40762420,21110088,18569702,9605326,11075972
08/26/1963,51318069,44498884,55563108,40484792,40107126,40841386,21182828,18620360,9724000,11127808
08/27/1963,51261418,44602342,55664484,40564541,40218049,40961843,21220089,18660197,9742966,11177377
08/28/1963,50918345,44338585,55238764,40370564,40026494,40801423,21170913,18593005,9686073,11066182
08/29/1963,51309785,44471357,55696250,40661107,40294659,41066341,21257624,18774898,9770510,11242816
08/30/1963,51580741,44608564,55719867,40679393,40255831,41269333,21259762,18818132,9793719,11271462
09/03/1963,50955280,36454943,58114897,26928401,46672434,30933003,21374417,31771435,19420805,14148980
09/04/1963,51048423,36633148,58044257,27034425,46820819,31021398,21411283,31887598,19499142,14128098
09/05/1963,50853915,36662632,57810127,27218726,46825443,31039866,21456555,31809592,19456623,14075513
09/06/1963,51250924,36834866,58049609,27384067,47195695,31158593,21547895,31904264,19531982,14164114
09/09/1963,51154552,36986416,57910137,27158111,47250057,30880899,21494261,31858432,19429261,14165514
09/10/1963,51016482,36774222,57792766,27018573,47054835,30824294,21397650,31756520,19423481,14118761
09/11/1963,51241027,36956722,58065161,27144768,47693376,30824145,21494665,31816072,19504335,14253432
09/12/1963,51362204,36955464,58373370,27239256,47926052,30917128,21531364,31884713,19504461,14261453
09/13/1963,51430380,36951111,58360448,27187589,47771924,30864181,21483481,31898230,19467346,14214692
09/16/1963,51573601,36893057,58282086,27254219,47649789,30854974,21518605,31932216,19498894,14185875
09/17/1963,51345670,36813582,58088268,27108070,47737111,30949245,21487152,31908557,19550719,14225053
09/18/1963,51365938,36820294,58112625,27078657,47786870,30887459,21504151,31973076,19613832,14262761
09/19/1963,51051002,36571573,58116181,26906585,47496897,30767230,21506225,31817174,19530318,14198778
09/20/1963,51406499,36784195,58279651,27072505,47763005,30890312,21711833,32042301,19599085,14354561
09/23/1963,51379141,36838208,58131010,27126091,48057519,30777564,21686708,32097562,19581657,14391237
09/24/1963,51139528,36640377,58054989,27046948,47682183,30691643,21585440,31862217,19514900,14251662
09/25/1963,51185726,36771764,59014469,27192417,47574970,30687477,21654549,31956554,19442454,14396834
09/26/1963,50826257,36485534,58768252,26922526,47413652,30493418,21542644,31876729,19340336,14237311
09/27/1963,50508320,36160143,58453681,26682611,46741040,30316444,21419544,31713686,19174168,13977096
09/30/1963,50452014,36018333,58410311,26753988,46628958,30299436,21425839,31488856,19065639,13968401
10/01/1963,32780089,47958790,52757513,39663384,29351262,41497865,34608587,16439858,21289466,16107886
10/02/1963,32925931,48009340,53346628,39849219,29295324,41995325,35068130,16553732,21542921,16248559
10/03/1963,32913201,47929796,53274257,39889032,29454105,42285881,35090256,16514962,21648306,16274545
10/04/1963,33066867,48270781,53400886,40102579,29614871,42627828,35253415,16659085,21997137,16515625
10/07/1963,33017828,48441557,53218323,40068218,29733556,42577695,35360597,16617406,22072906,16518822
10/08/1963,32953546,48465482,53021060,39980231,29588578,42422703,35377438,16583083,22031375,16475393
10/09/1963,32887325,48175105,52944600,40005874,29357207,42603036,35381022,16602101,21925634,16580026
10/10/1963,32824265,47972950,52881295,39698936,28976918,42413434,35080124,16505704,21644777,16451942
10/11/1963,32834290,48012365,53070685,39781136,29089309,42467442,35002634,16478280,21467703,16532142
