date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,25468909,69955707,30659032,36711464,38431844,30466468,46064555,17858194,13448163,8314984
07/03/1963,25572520,70515644,30806102,36920942,38841762,30995971,46281122,18056967,13612754,8394343
07/05/1963,25665594,70888667,31095706,37167661,39095008,31228911,46606364,18213696,13685746,8430376
07/08/1963,25696852,71100917,31382801,37332355,39213576,31385923,46850695,18288280,13751506,8403515
07/09/1963,25686370,70656201,31032049,37225988,38963296,31025968,46528413,18262538,13666223,8394800
07/10/1963,25760491,70742558,31164601,37296201,39341076,31288789,46779481,18362096,13717585,8445333
07/11/1963,25670216,70591676,31168952,37206633,39314401,31145695,46730184,18355726,13644009,8443452
07/12/1963,25696109,70519104,31098277,37172429,39312896,31020514,46691959,18309207,13568824,8393866
07/15/1963,25672195,70520180,31040279,37060481,39282378,30953407,46679770,18284414,13551433,8368763
07/16/1963,25565389,70136770,30809129,36827876,39085325,30786129,46289215,18147153,13432734,8320575
07/17/1963,25523138,70063457,30754774,36806506,39010964,30864047,46261752,18129225,13412381,8339954
07/18/1963,25425647,69768750,30745310,36750580,38921210,30763086,46104244,18065258,13385006,8295336
07/19/1963,25401439,69585162,30522544,36553976,38732727,30613959,45642016,18025600,13284998,8239342
07/22/1963,25371747,69534964,30548351,36466693,38529527,30564955,45490875,17964889,13261299,8241619
07/23/1963,25297962,69067695,30333081,36284712,38199431,30434885,45086494,17803768,13109620,8230984
07/24/1963,25268898,69171687,30231889,36321937,38327223,30341928,45195799,17786986,13139261,8257592
07/25/1963,25283179,69272882,30463632,36458863,38579545,30452930,45582078,18001391,13220766,8268706
07/26/1963,25416046,69073807,30596032,36382975,38602476,30492846,45455441,17995941,13276391,8238256
07/29/1963,25441081,69338347,30688768,36411657,38797578,30524745,45872530,18059394,13342049,8266123
07/30/1963,25511387,69436135,30756834,36433851,38637989,30563934,46029573,18176033,13347603,8286875
07/31/1963,25597144,69755168,30989963,36682871,39092349,31045480,46711512,18291300,13462975,8340902
08/01/1963,28401831,70213757,33516435,30676954,52632097,45754730,22580392,15660284,10691404,9392388
08/02/1963,28367896,70278042,33455213,30627259,52597092,45673886,22568510,15609584,10680109,9369540
08/05/1963,28447044,70441573,33604766,30828074,52739371,45799972,22627620,15650077,10737151,9403355
08/06/1963,28485003,70566672,33788797,30995163,53187794,46048443,22802916,15809598,10794575,9479696
08/07/1963,28539607,71251632,33837636,31071045,53660223,46278133,22924244,15919408,10869201,9556087
08/08/1963,28590945,70953808,33756105,31094227,53372823,46011579,22903500,15941831,10860460,9503248
08/09/1963,28702752,71091272,33824943,31182503,53442046,46035452,22922666,15935896,10861573,9521546
08/12/1963,28812871,71590291,33989860,31442993,53622584,46500973,23084820,15962730,10928774,9608700
08/13/1963,28868498,71721175,34002296,31639272,53557995,46485838,23140949,15947863,10975632,9663451
08/14/1963,28875045,70898835,34129379,31682061,53896601,46558769,23227731,16031607,11025144,9667883
08/15/1963,28897893,72002531,34171366,31790745,54045621,46704352,23552995,16072572,11078861,9684577
08/16/1963,29031968,72234711,34309668,31854586,54215509,47186167,23591950,16219375,11144701,9733510
08/19/1963,29119601,72346705,34386096,31967803,54165279,47229536,23584837,16263630,11165576,9779389
08/20/1963,29214640,72297574,34448565,31984878,54073205,46989300,23664212,16269470,11152351,9775793
08/21/1963,29269920,72281601,34418817,31807623,54067976,47023188,23673642,16257027,11126194,9760284
08/22/1963,29234485,72007917,34438181,31843033,54099391,46754480,23612747,16278784,11093436,9790410
08/23/1963,29336523,71933919,34417009,32048177,54399033,47347020,23717607,16351120,11123119,9813343
08/26/1963,29336047,72218184,34501723,32092319,54504723,47719506,23867084,16376293,11165772,9943586
08/27/1963,29348482,72208419,34507176,32220759,54685505,47937822,23870828,16364500,11196294,9982634
08/28/1963,29263665,71682194,34305936,32061654,54278340,47726575,23741921,16375112,11146265,9887703
08/29/1963,29298302,72086642,34676344,32261942,54575848,48250268,23896072,16473789,11260219,10008819
08/30/1963,29438610,72155153,34790073,32271280,54759424,48219562,23997203,16543017,11259056,10065275
09/03/1963,28104686,67528750,22822587,33717796,51906920,16350999,65215670,23987182,15448403,9928110
09/04/1963,28151401,67565275,22805107,33807410,52120762,16402969,65477447,24070204,15435183,9922700
09/05/1963,28197384,67340837,22898623,33647741,52045973,16415865,65592023,24002994,15413367,9876462
09/06/1963,28328868,67700922,22991027,33952859,52542546,16449251,65798895,24063664,15450533,9966073
09/09/1963,28125028,67674951,22926496,33905724,52523104,16353931,65627316,23996793,15388327,9989304
09/10/1963,28095351,67411152,22844015,33751066,52441111,16304583,65348163,23938142,15320248,9953481
09/11/1963,28155879,67672291,22907776,33978543,52697226,16403099,65979077,23985666,15331349,10103746
09/12/1963,28127201,67897423,22940028,34067719,52794509,16547963,66335830,23983666,15351289,10124549
09/13/1963,28129959,67801144,22913178,34232230,52729726,16550296,66157042,23959963,15318934,10057335
09/16/1963,28078652,67771507,22973427,34236182,52652840,16517108,66178351,24049898,15342887,10042319
09/17/1963,27991412,67649675,22945759,34006322,52617482,16444135,66255995,24096623,15376381,10036208
09/18/1963,27989321,67642445,22981476,33968963,52520176,16491307,66442876,24144567,15345315,10086234
09/19/1963,27836130,67518489,22907891,33812291,52169476,16395126,66053127,24085076,15323570,10079981
09/20/1963,27867812,67817449,22936245,34057579,52595878,16532997,66501624,24178858,15414843,10209664
09/23/1963,27821343,67683117,22906389,33943235,52632142,16594240,66821294,24193855,15413494,10256171
09/24/1963,27665482,67603306,22844831,33789970,52245310,16489160,66488253,24108387,15291654,10173396
09/25/1963,27679205,68598146,22858019,33789542,52617069,16422602,66591614,24021272,15284595,10263373
09/26/1963,27523383,68423725,22686117,33495032,52250316,16239294,66349050,23880731,15175263,10149612
09/27/1963,27355135,68156737,22628661,33177284,51751541,16079677,65633451,23600830,15056298,9956294
09/30/1963,27312272,68161370,22492887,33161547,51699756,16077487,65333260,23469967,15073015,9972170
10/01/1963,24179295,65509551,23452441,31692495,46148660,31652013,52763267,28060468,16507401,10739906
10/02/1963,24264514,66072313,23484290,31744289,46282652,32043742,53341022,28349097,16630880,10869540
10/03/1963,24280081,65992089,23462057,31906272,46243120,32078533,53596105,28442767,16632913,10883011
10/04/1963,24351980,66196795,23598186,32100622,46630894,32244104,54084435,28676278,16844716,11037314
10/07/1963,24254099,66063349,23657815,32195457,46804221,32372196,53948895,28715601,16860006,11023409
10/08/1963,24226052,65835322,23551354,32121482,46877283,32295125,53856003,28581998,16814750,10996874
10/09/1963,24208137,65710950,23460870,31949830,46653969,32214165,54011964,28594498,16803637,11112540
10/10/1963,24127721,65614103,23301509,31726579,46445972,31934291,53615449,28281969,16658352,11014647
10/11/1963,24132985,65764618,23411405,31789968,46449393,31976173,53580531,28133160,16702354,11072111
10/14/1963,24122197,65774722,23449001,31680452,46733318,32045569,53607551,28199782,16736810,11080839
10/15/1963,24066811,65819486,23599571,31681584,46949833,31959287,53628559,28231639,16738707,11030875
10/16/1963,24067766,65805711,23603266,31698674,47044473,32109223,53635277,28436010,16824614,11009895
10/17/1963,24150517,66248976,23627966,31892685,47687808,32561912,54360911,28768868,16909688,11154961
10/18/1963,24109296,66268818,23650305,31971103,47943068,32463042,54542093,28789277,16889639,11211331
10/21/1963,24092173,66193932,23765679,31982692,48033816,32635718,54449593,28715114,17013607,11239704
10/22/1963,24097121,66497297,23739035,31973282,48057683,32758590,54454532,28598585,17070270,11168708
10/23/1963,24028547,66101546,23613613,31906108,47565860,32744956,54129853,28320596,17089867,11049245
10/24/1963,23981026,66311882,23595396,32212074,47486988,32722324,54053451,28266611,17051123,11008195
10/25/1963,24080027,66230826,23607199,32343292,47555472,32911132,54491080,28451640,17046815,11288433
10/28/1963,24105005,67277160,23629474,32279415,47725488,33290180,56225345,28519729,17152235,11262140
10/29/1963,24009659,67699564,23695463,32111224,48118990,33605911,57044008,28632971,17164615,11280287
10/30/1963,23972561,67421654,23800043,32138326,48029214,33362135,57563206,28605532,17151368,11281204
10/31/1963,23913078,67015337,23743763,32049243,47546021,32927175,56664825,28339214,17034829,11116951
11/01/1963,25630715,42646413,58788251,44538086,37087404,47308145,29300491,24128937,19772235,11884688
11/04/1963,25657285,42553160,58619037,44488091,36924504,47004148,29252872,24101627,19815527,11892659
11/06/1963,25701666,42490104,58467203,44558881,36609480,46353613,29121931,23959714,19669011,11771827
11/07/1963,25601998,42312054,57862425,43981518,36401106,45901647,28843304,23772688,19434969,11668415
11/08/1963,25699220,42451527,58172167,44005775,36540237,46089395,28889476,23849382,19537057,11723981
11/11/1963,25719571,42675257,58775297,44311068,36712887,45471518,29051437,24064655,19687984,11826766
11/12/1963,25726832,42625232,58800577,44410390,36904020,45562484,29115008,24141416,19757389,11936128
11/13/1963,25668500,42431972,58637110,44250652,36791885,45387924,28933078,23960053,19637427,11852467
11/14/1963,25717836,42529970,59116950,43921576,36862519,45400997,28786299,23935623,19701871,11822242
11/15/1963,25702394,42468223,58769941,43836469,36795351,44925799,28609692,23694285,19675752,11789743
11/18/1963,25672449,42244813,58523816,43362074,36561786,44091862,28454180,23569114,19487160,11674622
11/19/1963,25563052,42082155,58166342,42802040,36246596,44043375,28099471,23336481,19299604,11548432
11/20/1963,25605143,42281231,57866744,42973893,36085514,44457850,28188201,23325285,19244401,11546905
11/21/1963,25616512,42408468,59878919,43493853,36159222,44500544,28309892,23419318,19273063,11534545
11/22/1963,25420697,40634645,59039468,43163641,35774626,43492617,28080458,22912259,19050895,11329597
11/26/1963,24955407,39796956,56062346,41929554,35146740,42107499,27267469,21919405,18368807,10889388
11/27/1963,25303305,41118334,59571444,43530326,35983850,44257666,28151569,23283355,19140796,11461960
11/29/1963,25236325,40971637,59245092,43415058,35999850,44185002,28204147,23244273,19194288,11442731
12/02/1963,36623913,36426970,26245078,69639851,46146098,23837980,47829095,24555824,13369594,9614063
12/03/1963,36832037,36542272,26346948,70090858,46568897,23920808,48176892,24698598,13449957,9645812
12/04/1963,36875437,36814515,26389840,70053397,46429914,23840570,47901113,24723524,13426999,9599947
12/05/1963,36968419,36852294,26459745,70181576,46370561,23872031,48057758,24751200,13489234,9690741
12/06/1963,37050946,37247796,26648409,70762622,46765672,24053318,48181190,24924530,13626494,9749098
12/09/1963,37010897,37080536,26733695,70445858,46699283,24060314,47633758,24888111,13559183,9692378
12/10/1963,37009498,37021706,26562000,70483823,46618256,24100532,47660035,24829161,13511062,9682405
12/11/1963,37015463,37052486,26640361,70356917,46604784,24113604,47798837,24917331,13486989,9716493
12/12/1963,37002417,36875630,26647451,70262620,46672414,24086652,47489937,24889546,13482929,9686423
12/13/1963,37048230,36895886,26654872,70320445,46680944,24089441,47472885,24791150,13509040,9662673
12/16/1963,37115352,36986761,26689077,70254215,46820334,24125845,47561338,24853236,13510785,9698839
12/17/1963,37251358,36991838,26812140,70582116,46903487,24183912,47932054,24870759,13471277,9710910
12/18/1963,37332908,37051480,26956720,70637565,47208981,24277923,48658048,25103898,13515609,9835207
