date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,29155074,81845263,73702122,40013011,32926729,18431675,14789048,11697598,7659441,7267936
07/03/1963,29289156,82432662,74437801,40487138,33206552,18522771,14820223,11822897,7706523,7381751
07/05/1963,29347642,83047453,74879068,40845590,33435972,18637244,14925215,11904426,7746311,7418672
07/08/1963,29389519,83427682,75129287,41202293,33556389,18710655,14970258,11947463,7726584,7457019
07/09/1963,29412617,82725042,74570262,40810534,33408719,18654009,14972560,11834088,7761394,7403012
07/10/1963,29474260,82940774,75121441,41038695,33569246,18710929,15049869,11884603,7796358,7422401
07/11/1963,29406488,82823303,75054799,40987450,33453956,18615697,15002837,11853695,7800093,7383936
07/12/1963,29468615,82682550,75006423,40811609,33454270,18586307,14963010,11795228,7767405,7357833
07/15/1963,29446442,82686122,74865634,40742196,33428091,18522087,14912832,11791578,7780855,7347808
07/16/1963,29329555,82118408,74240116,40600801,33278452,18404854,14789024,11705386,7741251,7302184
07/17/1963,29303282,81956084,74265983,40599658,33251631,18417678,14727558,11718594,7734478,7300121
07/18/1963,29239434,81666319,74152366,40456911,33117048,18360850,14669546,11665886,7711368,7293181
07/19/1963,29198428,81373910,73596597,40231079,32908853,18251025,14646480,11574844,7683411,7244341
07/22/1963,29182592,81380412,73263583,40175926,32789495,18269186,14563548,11561126,7664288,7232070
07/23/1963,29050769,80809739,72692742,40005731,32568527,18177568,14389650,11458418,7622313,7180554
07/24/1963,29030632,80904630,72747156,40083400,32540472,18143333,14399495,11495989,7621749,7183301
07/25/1963,29034847,81205830,73218527,40294154,32723952,18273816,14557321,11545900,7639480,7197570
07/26/1963,29193258,81094888,73039137,40285992,32820806,18244114,14524650,11564220,7642568,7228995
07/29/1963,29203488,81397391,73627809,40399931,32915162,18262326,14535273,11599374,7653990,7254260
07/30/1963,29268711,81547991,73611079,40434347,33033290,18288892,14558435,11624089,7660483,7258779
07/31/1963,29354422,82017039,74805262,40943692,33218304,18363055,14632179,11718715,7745935,7277800
08/01/1963,29398923,82169123,74586846,40601374,33208276,18330387,14644637,11697257,7737339,7251812
08/02/1963,29353907,82145942,74555149,40485206,33195404,18349357,14610008,11670325,7753656,7213793
08/05/1963,29435992,82419520,74841996,40552251,33278916,18459320,14648882,11739397,7762668,7246318
08/06/1963,29380241,82782237,75330101,40898491,33502454,18527144,14758650,11804865,7796251,7284689
08/07/1963,29532192,83274188,75737952,41230182,33766680,18560375,14886502,11905446,7816675,7302906
08/08/1963,29599909,82913111,75293879,41166734,33724469,18523767,14904540,11889211,7786733,7292626
08/09/1963,29672869,83166146,75343129,41273807,33794729,18531156,14877143,11875086,7816652,7275169
08/12/1963,29793311,83673985,75790014,41632136,34050697,18645306,14904184,11936624,7858634,7368222
08/13/1963,29873774,83753938,75629318,41831675,34169970,18698565,14864942,12027800,7886142,7374544
08/14/1963,29040847,83775947,75870007,42111638,34220718,18777800,14910377,12108505,7909413,7375751
08/15/1963,29914776,83962208,75908900,42276357,34684178,18941032,14989171,12125491,7915774,7390107
08/16/1963,30055742,84305956,76536127,42246172,34710871,19103951,15114436,12170643,7939090,7447432
08/19/1963,30196936,84408993,76501324,42304439,34737984,19190082,15144299,12212483,7965363,7454364
08/20/1963,30289638,84375808,76330134,42371961,34715997,19133871,15127039,12193997,7962713,7478014
08/21/1963,30371827,84306708,76332309,42244683,34744661,19122530,15100989,12158163,7952837,7460037
08/22/1963,30328786,84006009,76098953,42345636,34740865,19091512,15081455,12123981,7966031,7477132
08/23/1963,30417897,83993334,76668722,42558008,34948941,19200459,15172777,12143569,8019496,7470961
08/26/1963,30461694,84233253,77269669,42474185,35044077,19295819,15241297,12216763,8030448,7566683
08/27/1963,30472352,84241163,77489299,42606680,35136976,19356470,15229015,12274790,8033476,7590120
08/28/1963,30397826,83684089,76980694,42256399,34990274,19270748,15252005,12184668,8020043,7541035
08/29/1963,30409341,84272321,77647144,42597904,35236023,19421688,15338328,12329176,8060226,7586077
08/30/1963,30534619,84410844,77755045,42626609,35284587,19505069,15411697,12368095,8101475,7609015
09/03/1963,30626477,84833667,78088379,42866351,35350835,19631300,15514286,12434820,8142102,7640691
09/04/1963,30660849,84823737,78434965,42987902,35389524,19677574,15587584,12496859,8184205,7632345
09/05/1963,30685878,84727192,78311067,42804242,35487525,19735793,15535675,12466277,8178187,7615707
09/06/1963,30821128,85121858,78601910,43270095,35707272,19867142,15575968,12554780,8176081,7663994
09/09/1963,30647255,84956755,78383385,43393754,35649190,19746097,15512592,12476919,8150692,7711667
09/10/1963,30566391,84696559,78106263,43169552,35653494,19657486,15441339,12408307,8105837,7718536
09/11/1963,30631068,84859070,78765814,43457427,35893462,19789116,15526838,12443728,8149643,7815228
09/12/1963,30595785,85120987,79055538,43441795,36198766,19829382,15594534,12465468,8158510,7824488
09/13/1963,30592721,85016287,78957322,43387192,36191010,19888642,15590265,12429599,8118139,7794390
09/16/1963,30472128,84957656,78897215,43459597,36228623,19947063,15671658,12420439,8133457,7771560
09/17/1963,30423669,84840686,78907737,43391752,36034144,19912840,15673315,12468815,8139187,7743623
09/18/1963,30366476,84775612,79192422,43339463,36083033,19893447,15674645,12510752,8156351,7736514
09/19/1963,30246221,84540486,78763294,43026980,35839086,19835928,15661643,12507469,8180497,7695771
09/20/1963,30275578,84806991,79337432,43431885,36117887,19973199,15677095,12597414,8235509,7776770
09/23/1963,30197261,84596497,79552924,43519817,36133834,20052511,15702083,12633343,8204665,7788175
09/24/1963,30057108,84456156,78992349,43316507,36028387,19920102,15629231,12604530,8125562,7684908
