date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,76811598,46489921,36049365,62745473,32086886,15900106,20045729,9454632,12454435,7118209
07/03/1963,77524782,46834488,36278914,63277758,32323361,16039175,20187642,9542403,12568460,7213104
07/05/1963,78169997,46984613,36533062,63614567,32569840,16164978,20374612,9598094,12614805,7240230
07/08/1963,78475196,47209738,36845656,63782608,32643489,16257236,20498752,9593347,12619441,7275376
07/09/1963,77891002,46893283,36562511,63484280,32497256,16175806,20441735,9561811,12527969,7200471
07/10/1963,78241593,47045024,36701455,63693277,32777583,16213058,20552106,9609179,12610794,7239113
07/11/1963,78016892,46978577,36671474,63642533,32704890,16185065,20496049,9584418,12572381,7200899
07/12/1963,77775508,46938384,36707308,63534938,32684815,16134166,20537934,9541584,12572025,7148868
07/15/1963,77625600,46749054,36855127,63482520,32566873,16075933,20654482,9497414,12553432,7137505
07/16/1963,77317572,46429765,36551190,63075568,32368778,15985075,20468924,9442565,12459805,7087003
07/17/1963,77223331,46436068,36455351,63136344,32344489,15939933,20415472,9451517,12463199,7086578
07/18/1963,76968902,46288746,36307212,62997631,32307882,15906849,20311952,9417006,12438116,7059493
07/19/1963,76440577,45988337,36015887,62924165,32137860,15862843,20295703,9367330,12312411,7026876
07/22/1963,76304531,45954196,35964176,62887270,32087471,15747687,20160574,9357894,12281577,6995936
07/23/1963,75899770,45599643,35727557,62513897,31879130,15611931,20001613,9306495,12150551,6921273
07/24/1963,75721680,45635907,35806156,62713264,31918293,15634919,19983154,9339268,12182317,6872021
07/25/1963,76054441,45871379,35993274,62865431,32067509,15789106,20195370,9390075,12218477,6907241
07/26/1963,75914902,45849485,36168357,62664037,32164254,15796397,20191907,9337960,12249920,6952126
07/29/1963,76115960,46197117,36193793,62892371,32334334,15829214,20227465,9382842,12350965,6982093
07/30/1963,76229500,46314846,36227516,62991591,32284558,15844018,20275111,9412027,12356841,7006665
07/31/1963,77108179,47021962,36552891,63219322,32534637,15994919,20355823,9482727,12449596,7024688
08/01/1963,76943372,46944549,36500000,63179619,32513944,15980165,20373494,9443489,12411379,7002554
08/02/1963,76958670,46899985,36351535,63258367,32526350,15925179,20272599,9423849,12413231,6967402
08/05/1963,77146424,47040680,36533865,63414384,32673595,15994031,20347130,9428832,12463479,7013325
08/06/1963,77684350,47310298,36827003,63408761,32850839,16058516,20482129,9532513,12565173,7039844
08/07/1963,78235355,47417566,36942836,63910128,33057294,16150687,20674479,9624034,12593044,7101306
08/08/1963,77985119,47222814,36912289,63675230,32941814,16104076,20681846,9600108,12572902,7086930
08/09/1963,78258824,47304938,37055350,63765533,32957841,16122774,20684706,9563691,12515566,7087073
08/12/1963,78851969,47646229,37289223,64248642,32936426,16185029,20758166,9601415,12670801,7151117
08/13/1963,79084782,47555700,37198058,64440802,32897514,16263570,20749104,9668841,12789321,7173419
08/14/1963,78645726,47620927,37203003,64523958,32976277,16295533,20853191,9692400,12838409,7169282
08/15/1963,80144723,47598194,37143817,64733639,33061036,16293271,20991143,9709617,12991248,7160828
08/16/1963,80119287,48140768,37226138,65179932,33203475,16346421,21066167,9762172,13064113,7262198
08/19/1963,80143409,48284317,37444538,65228337,33172119,16401722,21074370,9782856,13042050,7283066
08/20/1963,80231039,48178963,37498780,65323031,33039282,16405231,21029134,9774745,12975264,7278493
08/21/1963,80122449,48235725,37565779,65180785,33050188,16406943,21027563,9783739,12901000,7256552
08/22/1963,80217441,47985356,37549115,64951818,32972909,16383282,21015927,9781420,12864124,7271528
08/23/1963,80471375,48441719,37566825,64994527,33129456,16456732,21155628,9866637,12980420,7273216
08/26/1963,80447097,48926323,37678799,65187427,33231619,16576520,21178988,9947506,13045854,7356881
08/27/1963,80557062,48973477,37677247,65304663,33377853,16622256,21189146,9992640,13136880,7350004
08/28/1963,79930268,48745043,37584747,64828196,33248383,16522266,21229876,9907901,13040610,7281472
08/29/1963,80429069,49145396,37847005,65245199,33434254,16612214,21337459,10027714,13234553,7342466
08/30/1963,80724227,49258394,37886731,65189572,33593952,16709156,21347090,10062863,13237210,7356013
09/03/1963,81139207,49643341,37848099,65615808,33661967,16809603,21394652,10108031,13298883,7377708
09/04/1963,81428641,49758935,37884944,65593201,33757893,16878938,21477828,10114426,13371846,7383578
09/05/1963,81337466,49854142,37831926,65365534,33672561,16913464,21467598,10084984,13438486,7363885
09/06/1963,81962629,49939098,38072092,65755779,33727697,16997508,21578027,10133646,13561969,7413820
09/09/1963,81934794,49964400,37759540,65657555,33591982,16914263,21482576,10085503,13558696,7460333
09/10/1963,81597140,49715465,37695034,65469390,33456749,16878909,21448641,10021442,13547708,7468224
09/11/1963,81970973,50364175,37685726,65763222,33477969,16955921,21563999,10088994,13661519,7582614
09/12/1963,82324086,50585851,37661866,65971478,33560175,16982862,21603082,10120975,13686574,7578261
09/13/1963,82422442,50345550,37512761,65914216,33697871,16983736,21609744,10114153,13616015,7533207
09/16/1963,82525961,50209709,37449485,65963102,33726386,16993786,21687801,10133910,13572747,7501207
09/17/1963,82232002,50231320,37426785,65844567,33729719,16927172,21750735,10155125,13554730,7481717
09/18/1963,82230197,50335230,37363284,65802692,33824114,16962915,21789587,10209206,13548478,7460549
09/19/1963,81696908,49978669,37226955,65722206,33742099,16978855,21731303,10235471,13369846,7400422
09/20/1963,82358343,50336172,37257997,65823398,34005045,17078863,21819646,10324360,13541764,7479727
09/23/1963,82476713,50615073,37118820,65618500,34133485,17049929,21789279,10351140,13544986,7489159
09/24/1963,82189992,50276714,36975269,65445536,33957961,16906473,21741874,10315100,13395811,7384574
09/25/1963,82476491,50340799,36925308,66350386,33912342,16998094,21676200,10397590,13494707,7423782
09/26/1963,81676166,50231094,36747795,66088524,33816089,16893030,21564004,10331116,13348173,7328311
09/27/1963,80845957,49616990,36526264,65887959,33666664,16773374,21354817,10193791,13158942,7241133
09/30/1963,80734417,49551625,36433103,65860947,33357095,16855684,21225889,10178919,13200738,7230491
10/01/1963,80432933,49185082,36209815,65793206,32738933,16766178,21045506,10141903,13092128,7178550
10/02/1963,80723210,49657468,36240911,66365895,33184603,16845662,21285658,10202869,13188037,7269270
10/03/1963,80587429,49927117,36406431,66289974,33226184,16872858,21398526,10200580,13200602,7291959
10/04/1963,81001306,50358154,36581515,66502397,33384236,16994975,21586719,10356070,13536150,7337160
10/07/1963,81010155,50367666,36660896,66264047,33551195,17008020,21646099,10403378,13561493,7283004
10/08/1963,80978036,50167682,36485867,66023689,33592657,16988375,21617683,10392293,13516387,7264489
10/09/1963,80834953,50263769,36278716,65800525,33538587,16993262,21614746,10473535,13487959,7302512
10/10/1963,80424585,50033275,36029497,65509676,33326690,16817298,21427482,10396603,13368514,7244567
10/11/1963,80490572,50079958,36122239,65729498,33247382,16853487,21225413,10440426,13384461,7289044
10/14/1963,80794966,50116388,36076313,65734782,33267811,16828265,21291163,10440177,13447600,7284205
10/15/1963,81060838,50126295,36039397,65835841,33171060,16846045,21267405,10445110,13506462,7256238
10/16/1963,81367538,50081429,36272865,65834979,33114106,16840930,21322712,10454683,13559272,7240304
10/17/1963,82201368,50617059,36525844,66382494,33455537,16917403,21471950,10581651,13755097,7318657
10/18/1963,82651711,50747377,36525448,66379265,33304772,16945784,21520366,10611039,13697313,7324311
10/21/1963,82851887,50840525,36573006,66246656,33432494,16960399,21438036,10631459,13683091,7329530
10/22/1963,83206262,50828908,36671115,66267488,33427026,16941225,21391736,10589652,13653743,7296752
10/23/1963,82723318,50772710,36637173,65750405,33391308,16819073,21144373,10519352,13426696,7224428
10/24/1963,82894576,50638810,36585377,66006849,33320935,16798211,21118874,10542446,13456544,7182496
10/25/1963,82960049,51041881,36807037,66065825,33458954,16781683,21213920,10789458,13486378,7243743
10/28/1963,83478919,52594500,36864954,67054402,33729671,16806878,21293635,10739317,13523586,7225808
10/29/1963,83921576,53479147,36754961,67423038,34053708,16823948,21297423,10656266,13480320,7309964
10/30/1963,83875712,54042909,36774477,67249797,33767405,16725283,21273929,10627934,13529721,7292608
10/31/1963,83128234,53309296,36598018,66870607,33403280,16649241,21112925,10563146,13373013,7169100
11/01/1963,83538345,53407039,36486449,67067378,33485463,16644868,21126967,10609737,13402612,7182900
11/04/1963,83332249,53178918,36486406,66816297,33468056,16618577,21097002,10588418,13327600,7255627
11/06/1963,82871431,52565697,36233882,66705599,33602180,16529476,21053679,10493140,13314780,7199411
11/07/1963,82361446,52139113,35866538,66096659,33202860,16361378,20872353,10378153,13231497,7137624
11/08/1963,82393353,52538262,36126277,66125095,33392720,16449240,20976928,10387991,13249693,7178896
11/11/1963,83017052,51969190,36386865,66731194,33494711,16519595,21006265,10486821,13360769,7188351
11/12/1963,83310986,51904427,36428168,66870167,33467800,16596113,21041610,10594478,13402539,7226993
11/13/1963,83034520,51678568,36343456,66655285,33270511,16606724,20849043,10521316,13272941,7189663
11/14/1963,83187879,51585020,36394237,67108069,33108982,16577265,20748924,10518534,13248508,7180728
11/15/1963,83187618,51067569,36333836,66681265,32865205,16559596,20628268,10451773,13148131,7202191
11/18/1963,82694920,50204366,36168458,66440694,32458102,16491816,20542529,10341453,12961604,7184578
11/19/1963,81932285,50247059,35829606,66121693,32054586,16438137,20226889,10189978,12870091,7119179
11/20/1963,81758160,50681071,35822251,65960699,32322542,16366349,20310555,10178658,12893906,7125812
11/21/1963,82133341,50713970,36052457,67842679,32709938,16380061,20344135,10211820,12930065,7114513
11/22/1963,79606798,49749427,35724180,67012759,32510169,16236654,20159462,10031829,12685707,7010197
