date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.3913607144,0.5588595116,0.4784590358,0.4118551807,0.5805325608,0.4991697831,0.6092892447,0.8955684402,0.3437783035,0.419286804
08/1963,0.3967483325,0.5806564064,0.4799080106,0.4130286186,0.5743266408,0.4980759488,0.6076618153,0.9011097447,0.3462715997,0.4156157465
09/1963,0.3733816352,0.5419252132,0.4524701946,0.392106541,0.5504117242,0.479540635,0.5813036502,0.8244707299,0.3319978638,0.3913184327
10/1963,0.3634722567,0.562959795,0.4654583346,0.4011583352,0.5688211113,0.4899343211,0.5770818018,0.8238307937,0.3322671311,0.3919661436
11/1963,0.3634387127,0.5533109123,0.4425751389,0.3897602994,0.5565014619,0.4918573239,0.5586482061,0.8122336307,0.3104017337,0.3441209174
12/1963,0.3684727712,0.5519977621,0.447319943,0.3955372831,0.560398894,0.5012615029,0.5505414173,0.8185466361,0.3148296982,0.3763631209
01/1964,0.3646297278,0.5520647,0.4431335798,0.3772554397,0.5467288365,0.4837950559,0.5415924388,0.7986921495,0.4535423324,0.3765089214
02/1964,0.3474380091,0.5627194992,0.4292560579,0.3712466558,0.5064262148,0.4698166349,0.5228719821,0.7789017001,0.438842639,0.3708779597
03/1964,0.3416935379,0.5425098264,0.4225735365,0.3702700356,0.5001816856,0.4654115631,0.5141775167,0.7510864217,0.4289129158,0.3688970441
04/1964,0.3378877462,0.5249790527,0.4203378488,0.3605698302,0.494328593,0.45909606,0.508973585,0.7260763787,0.4096499349,0.3653595469
05/1964,0.3336500831,0.538526204,0.43279436,0.3651385006,0.5011949992,0.4480888515,0.5003836418,0.735973758,0.4182908043,0.3519015718
06/1964,0.3187812471,0.5487021707,0.4411022875,0.3633226442,0.4928616565,0.4515619989,0.4998272933,0.7293489322,0.4102421587,0.3450136113
07/1964,0.2661022436,0.473355634,0.4044980397,0.3669608328,0.4601385936,0.5016466602,0.5569790995,0.529705305,0.6725622233,0.5603133521
08/1964,0.2597642588,0.4716738696,0.3958844455,0.3492670119,0.4529891112,0.4875730598,0.5455430549,0.5360538302,0.6590504952,0.5424685006
09/1964,0.2623052935,0.4796324759,0.4090106999,0.2847167836,0.4622686443,0.5006141746,0.5522368121,0.54786743,0.6704745747,0.5334052809
10/1964,0.2526461393,0.4595414201,0.3962831807,0.2772651053,0.4476125616,0.4860050926,0.5358321052,0.5428204183,0.6478142371,0.509772564
11/1964,0.2491387477,0.4552637919,0.3889718996,0.2788398576,0.4338366655,0.4791150216,0.5357737347,0.5419632703,0.6409120123,0.5122765727
12/1964,0.26383177,0.4570598067,0.3873436163,0.2864437228,0.432072238,0.4724595926,0.5250039242,0.5536134044,0.6436739282,0.509735954
01/1965,0.2568469606,0.4402029442,0.3825638974,0.2818729936,0.4277708886,0.4690971781,0.5262789632,0.5372060273,0.6495114311,0.5069328934
02/1965,0.2463660128,0.4195092818,0.357330339,0.2677544149,0.4355840531,0.463652638,0.5010171095,0.5259714082,0.6206880279,0.4974078735
03/1965,0.2465319061,0.4038384612,0.3530600933,0.3267241456,0.4515421303,0.4741414013,0.4952280346,0.5243821728,0.604452498,0.489954122
04/1965,0.2518042393,0.4088342976,0.3591144191,0.3263361803,0.4600683132,0.4860277681,0.5019633236,0.5320118502,0.6132713119,0.4942677962
05/1965,0.2383774189,0.3886179495,0.3465937684,0.3075491368,0.4471219294,0.4777580027,0.4919630275,0.5134907007,0.5965675005,0.4650435966
06/1965,0.2363084168,0.3934234032,0.3510908191,0.3211189426,0.4510291681,0.4806584044,0.4932460707,0.5075189611,0.5917968863,0.474196046
07/1965,0.3349519644,0.4374148956,0.4312908047,0.4321824015,0.5025875707,0.5398901967,0.4800362195,0.536823857,0.3336302037,0.6026784699
08/1965,0.3369478162,0.4275843102,0.4281243635,0.4243189726,0.4973233845,0.5278769144,0.4796230272,0.5302865934,0.3292134892,0.5761738942
09/1965,0.3274079618,0.412484676,0.4085949648,0.4156023544,0.4903295286,0.5199470872,0.4723020931,0.5162935014,0.3162983114,0.5564032932
10/1965,0.3271682302,0.3965607615,0.3958787847,0.3960168526,0.4790787437,0.4954057942,0.4516880693,0.5064585321,0.3061196066,0.5401442142
11/1965,0.3247313642,0.3781744903,0.41133471,0.373050542,0.4705447523,0.4857212387,0.4397692957,0.5012177452,0.2953457903,0.5062846059
12/1965,0.3159965708,0.3636136585,0.3739450025,0.3908939723,0.4744908623,0.4889157271,0.4395448359,0.5312317872,0.2966070554,0.4896406334
01/1966,0.3127764771,0.3571770855,0.3863476799,0.3826208704,0.4537303491,0.4760084033,0.4368860652,0.5965089328,0.297503087,0.4785593718
02/1966,0.3257180149,0.353340444,0.3750398829,0.377826883,0.4574046007,0.4745989824,0.4327801185,0.5943549876,0.293836347,0.4515374299
03/1966,0.3260900586,0.3513681421,0.38184881,0.3858483199,0.4638169432,0.499821216,0.4464809222,0.5967194821,0.2872860569,0.4603269264
04/1966,0.3339310638,0.3580818545,0.389213685,0.4028272206,0.4739871232,0.5119286136,0.4569435621,0.6264684215,0.2909924882,0.5070314572
05/1966,0.3235395494,0.3523596182,0.3824313165,0.4233846216,0.4778929777,0.5013224364,0.4427085395,0.6178218929,0.2743816542,0.4874180175
06/1966,0.3365923827,0.376074011,0.3964790596,0.4589275428,0.4985965751,0.5321318813,0.4708152717,0.6479816078,0.2868536934,0.4963694829
07/1966,0.4110552547,0.3258028179,0.452623576,0.573454396,0.4825002482,0.3615938934,0.5074410089,0.6459882225,0.4920521201,0.6380742669
08/1966,0.4154158544,0.3509170384,0.4584253728,0.5855800717,0.4853217317,0.4206177369,0.5144759837,0.6495773983,0.4734129676,0.6464487353
09/1966,0.4812336274,0.3737730028,0.4938326716,0.638482923,0.5240440704,0.3971486105,0.566737203,0.690996586,0.5097268515,0.7251050939
10/1966,0.467556114,0.3844838807,0.5094481798,0.6479895584,0.537223798,0.4085181693,0.5586638449,0.6909125797,0.5134019301,0.7221285196
11/1966,0.467389831,0.3724151269,0.5030273151,0.6352554348,0.5278553798,0.3897558359,0.5503988206,0.6379993301,0.4943637571,0.6991356436
12/1966,0.4602326282,0.3594550894,0.4876938219,0.6194975651,0.5054829634,0.3923627459,0.5698762358,0.65913156,0.4857010192,0.6591691103
01/1967,0.4460970441,0.3760376906,0.4655646635,0.5999308389,0.5010440722,0.3914555779,0.5681839909,0.6486062533,0.484589591,0.6477718677
02/1967,0.4027613144,0.3478418655,0.4286844716,0.5583374532,0.4548167566,0.4220799423,0.5147205442,0.6179400647,0.4416821909,0.5991664288
03/1967,0.3967701209,0.3501865417,0.4440465019,0.5529254241,0.4486465711,0.4263275971,0.5240481471,0.6369855777,0.4273920024,0.6043250044
