date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5062821006,,,,,,,,0.4146615812,0.4886184489
08/1963,0.5069403093,,,,,,,,0.4172713812,0.4815788513
09/1963,0.4846578821,,,,,,,0.3435080491,0.3975922116,0.468715675
10/1963,0.4904605533,,,,,,,0.3809830674,0.4196195857,0.4792355649
11/1963,0.4746423269,,,,,,,0.3439628107,0.4413566835,0.4767432174
12/1963,0.4833088265,,,,,,,0.3569838587,0.4406168559,0.4877113435
01/1964,0.4875010629,,,,,,,0.3758977896,0.4228576123,0.4828363516
02/1964,0.4747312443,,,,,,,0.344050063,0.4591676224,0.4716918044
03/1964,0.4666974822,,,,,,,0.3383552746,0.4525240783,0.4662174458
04/1964,0.4602747524,,,,,,,0.3492419536,0.4511463287,0.4499564987
05/1964,0.4588678659,,,,,,,0.3663227224,0.4516013452,0.4488451202
06/1964,0.4555918426,,,,,,,0.3493357829,0.451675362,0.453894007
07/1964,0.4753677217,,,,,,,0.3983343388,0.5096892327,0.4821976101
08/1964,0.4649102731,,,,,,,0.398927195,0.4933840549,0.4767662897
09/1964,0.4563253103,,,,,,,0.4032740408,0.5025053605,0.4882405592
10/1964,0.4443089589,,,,,,,0.3903684396,0.4915558279,0.4632147006
11/1964,0.4407892097,,,,,,,0.390743064,0.4925234515,0.4478671494
12/1964,0.4442889428,,,,,,,0.4003107874,0.4865572972,0.4524176743
01/1965,0.4378154177,,,,,,,0.3972367657,0.4819116349,0.4463440165
02/1965,0.4244598598,,,,,,,0.3812198094,0.4614684472,0.4453219024
03/1965,0.4393004143,,,,,,,0.3678559355,0.4568825774,0.4265806368
04/1965,0.4453711584,,,,,,,0.3784300236,0.4586043552,0.4318236471
05/1965,0.4307838959,,,,,,,0.3695499206,0.4476805458,0.425434517
06/1965,0.4342001377,,,,,,,0.3772229196,0.4421653927,0.4597172715
07/1965,0.4761100553,,,,,,,0.4453023178,0.5040506965,0.4360154619
08/1965,0.4705676301,,,,,,,0.4257375809,0.4955611405,0.4396743609
09/1965,0.4608688397,,,,,,,0.4050644797,0.4748590177,0.432750697
