date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.4605385464,0.597758397,0.5692546193,0.4680065178,0.5637177226,0.4761381351,0.4456504179,0.3794085816,0.3740622057,0.5358135084
08/1963,0.4557309154,0.6004369661,0.5635935871,0.4689488389,0.5733715615,0.4754679936,0.4464344286,0.3830036668,0.3796304233,0.5492718639
09/1963,0.4384207984,0.5774928265,0.54602922,0.4463376011,0.5704505235,0.4471106598,0.418339431,0.3592430109,0.358952273,0.5223936344
10/1963,0.4520521916,0.5732901118,0.5604244543,0.4506803981,0.5761547009,0.4545574624,0.4197771461,0.3631969837,0.3576965023,0.5383830867
11/1963,0.4553118951,0.5586578767,0.5541542015,0.4342910982,0.5435025562,0.4375720771,0.3847278202,0.3421063119,0.3498606139,0.5316848329
12/1963,0.4610967452,0.5452572487,0.570766213,0.4405452722,0.5761774274,0.4440058883,0.4092084456,0.3470478101,0.3523460203,0.5320284987
01/1964,0.4453317669,0.5379030148,0.5476748498,0.546411009,0.5476837956,0.4574044923,0.4054161143,0.3374576595,0.348408144,0.5358952885
02/1964,0.4391232276,0.5223005507,0.5229309023,0.5368399364,0.5411542139,0.4407387246,0.401215072,0.3290254789,0.3382122129,0.5383211393
03/1964,0.43525163,0.5140791008,0.5166042212,0.5239490637,0.5312635181,0.4219527123,0.3946064659,0.3288862634,0.3305753251,0.526495423
04/1964,0.4396770209,0.5161265426,0.5018359132,0.5111113219,0.5120147539,0.4114199541,0.3928745252,0.3217607365,0.3261868661,0.5129546706
05/1964,0.4363530129,0.5115625307,0.4903556153,0.5149470013,0.5154244917,0.4455859651,0.3827422997,0.3312137488,0.3295629306,0.5129386004
06/1964,0.4350614845,0.5162255683,0.4843856513,0.5044557071,0.5213531423,0.4476361089,0.3774846125,0.3308973682,0.3220725524,0.500239227
07/1964,0.4819254817,0.5156847879,0.565823247,0.447207413,0.5480348924,0.396218163,0.5203852144,0.3118630338,0.4605856131,0.4978628246
08/1964,0.459910124,0.5170695058,0.5507272262,0.4404173092,0.5412186438,0.3864845171,0.5153624081,0.2978430511,0.4521587901,0.48778964
09/1964,0.4645120193,0.5252135152,0.4823707724,0.4527487279,0.5504788624,0.393373637,0.5175588576,0.2961443678,0.4567265226,0.4866626862
10/1964,0.4549121979,0.5246546196,0.4730208378,0.4305024392,0.5277543161,0.3861673768,0.4980268875,0.2844740768,0.4453549787,0.4713360426
11/1964,0.4501168435,0.52563868,0.467806963,0.4249464816,0.5191666345,0.3814377651,0.4935379806,0.2840182705,0.4471100787,0.4595742731
12/1964,0.4496375901,0.53585787,0.4644958133,0.4389247477,0.5306809714,0.3792787523,0.4931378659,0.2868894233,0.4456372774,0.4563569026
01/1965,0.4434276304,0.5158614404,0.4642571401,0.4361767964,0.5364316228,0.3808511352,0.4872246516,0.278743936,0.4402521206,0.4434527672
02/1965,0.4274100336,0.5078593746,0.4562844857,0.4133729372,0.5129447928,0.367743988,0.4735537492,0.268937208,0.4200654262,0.4286027809
03/1965,0.4277149492,0.5041092987,0.5493753422,0.4144296554,0.5001950075,0.366610245,0.4651354746,0.2700976741,0.4059145757,0.4246928366
04/1965,0.4311557822,0.5117850002,0.5663822808,0.4230689194,0.5014804221,0.3727988847,0.4718226899,0.269559475,0.4066053423,0.4245628364
05/1965,0.4269192798,0.498999944,0.5589512224,0.4094641013,0.4844774974,0.3595567393,0.444334534,0.2535561644,0.3953941804,0.4063414477
06/1965,0.4329119342,0.4933126704,0.5623120423,0.4089744754,0.4890106291,0.3634202736,0.4522410987,0.2612414863,0.3937921662,0.4098631981
07/1965,0.4754548094,0.5805668696,0.6166109984,0.414946217,0.3714950666,0.4775523115,0.4560057693,0.3179289533,0.4514234394,0.464887843
08/1965,0.4675260976,0.5749768746,0.6124204862,0.4036307725,0.3804801844,0.4751387925,0.4552691771,0.3103459232,0.4377557034,0.458245418
09/1965,0.4644328245,0.5684163348,0.6116599583,0.3861944421,0.3747524209,0.4550376576,0.444508801,0.3010796468,0.419509468,0.4469784811
10/1965,0.4574986991,0.5603551432,0.5857005234,0.3766790663,0.3585656455,0.4419169241,0.438673144,0.2794831053,0.4080482822,0.4369765473
11/1965,0.4516012812,0.561686329,0.5734358417,0.3670701306,0.348055481,0.4209777108,0.4317919342,0.2672959395,0.3913573541,0.4282267607
12/1965,0.4554339219,0.5831974157,0.5833345551,0.3612965239,0.343338253,0.4087378057,0.4255633324,0.2806550558,0.3858949095,0.4177312275
