date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.4162023243,0.4754894451,0.4705247525,0.4853441497,0.5684513121,0.5042690179,0.5505932763,0.5731552079,0.6723127166,0.6953950655
08/1963,0.4354061612,0.4783300729,0.4451605965,0.5192673978,0.5744815371,0.4953657165,0.554918199,0.5750157803,0.6645240323,0.6985882427
09/1963,0.4067404508,0.4562569598,0.4213848357,0.4991331884,0.5445658805,0.4826889994,0.5288829656,0.5486765589,0.6370342296,0.6942202926
10/1963,0.4224051404,0.4605778393,0.417214873,0.5772005569,0.4625187299,0.4932841931,0.5377159527,0.5580168222,0.6555519647,0.6610674851
11/1963,0.3727438235,0.4359531175,0.3933325708,0.5657086312,0.4638303194,0.493547852,0.5371737972,0.555104658,0.660332915,0.6663896041
12/1963,0.4298444935,0.4066511913,0.4033830166,0.5279553259,0.556223695,0.484168786,0.5551575127,0.5676785683,0.662937374,0.6798301529
01/1964,0.4145533938,0.5646949464,0.3934489929,0.5056195128,0.5383444097,0.4670181535,0.5379704083,0.5594692239,0.6438864205,0.6672642766
02/1964,0.4082618696,0.5353767328,0.3803628733,0.4963552126,0.5308497938,0.4525952057,0.5367943364,0.5487401802,0.6351462851,0.6532609358
03/1964,0.4049414823,0.5471755782,0.36887442,0.4824478739,0.5223355223,0.4513285802,0.5299041115,0.5472390183,0.6314621953,0.6447199673
04/1964,0.3956671082,0.5393025751,0.3670449449,0.4699291427,0.514062549,0.4565601598,0.5183814863,0.5249535517,0.6294309918,0.6350750016
05/1964,0.4010211153,0.5766673793,0.374446993,0.4407517078,0.5060153547,0.4299972805,0.5367912412,0.519214371,0.6217659401,0.6303695065
06/1964,0.4123897331,0.5760898174,0.3711256929,0.433547409,0.5019522532,0.4395821752,0.5125421394,0.5178297617,0.6138643866,0.6127328785
07/1964,0.4550145227,0.6029027152,0.3849191458,0.4414399787,0.5429855442,0.4512144804,0.5249665407,0.5489364246,0.6406408642,0.6250210899
08/1964,0.4506484408,0.5907243468,0.3826876819,0.4476709481,0.5018067285,0.4472389046,0.5045208506,0.5191949648,0.5728590278,0.6904441257
09/1964,0.460228898,0.4251527259,0.3844124374,0.4631065877,0.5109167445,0.4509421649,0.5036244779,0.5330505937,0.607540952,0.6012570711
10/1964,0.4430425984,0.4112185769,0.3784783283,0.4458945956,0.4992360618,0.4395035402,0.4893927177,0.5212288088,0.5580719548,0.6634778057
11/1964,0.4073764161,0.4315084976,0.3799419616,0.4356345506,0.5240872842,0.4078828923,0.4688064221,0.5392369158,0.5389117283,0.6727169305
12/1964,0.4004946129,0.4860988027,0.3776579135,0.4434722025,0.5338221332,0.3942917061,0.4709402736,0.514840314,0.5328001457,0.6587230129
01/1965,0.3885380146,0.4883203672,0.3628987358,0.4301177763,0.5187195722,0.4016633247,0.486298005,0.4898671646,0.5723903275,0.5761231509
02/1965,0.3664764148,0.450307923,0.3545814013,0.4227470023,0.4958567564,0.4031053114,0.461347177,0.482707137,0.541999356,0.5679225795
03/1965,0.3854072049,0.6647245951,0.351302613,0.4433228594,0.4918363131,0.4086139236,0.4599493537,0.4823018015,0.5008628183,0.6115395063
04/1965,0.3894010257,0.6672205335,0.3539959758,0.4496298413,0.4950956723,0.4247448866,0.4593727756,0.4974182261,0.5095664301,0.6378576342
05/1965,0.3636879931,0.6418317965,0.3322651844,0.4229561425,0.5132865034,0.4090128019,0.4563460996,0.4994557515,0.4944119273,0.631327106
06/1965,0.3593372258,0.6251273069,0.3422578791,0.4227664197,0.5158294364,0.4079584419,0.4605723842,0.4992888734,0.5017491737,0.6198415234
07/1965,0.4173545092,0.5112094938,0.4033385731,0.4919821714,0.4671339373,0.4990267769,0.525266343,0.5581841999,0.6065309483,0.6005044604
08/1965,0.4751274801,0.4699196144,0.3964971086,0.5092413983,0.4490517996,0.4883918234,0.5193166783,0.5275516849,0.602360131,0.6139226573
09/1965,0.4358829385,0.4488982794,0.3913341671,0.4938119123,0.4369299877,0.4892653042,0.5100800533,0.5151955167,0.6016525172,0.6079448007
10/1965,0.433213771,0.426475911,0.3771487475,0.4994634934,0.3972246121,0.4772684644,0.4998103493,0.5161515886,0.5429646742,0.6459101991
11/1965,0.4154144144,0.400672276,0.3672497974,0.4721713314,0.4130207659,0.4784949978,0.4904928376,0.5058230188,0.5454441766,0.6337354489
12/1965,0.4271906975,0.3965423797,0.3788495845,0.458724287,0.4434125832,0.4573176547,0.4772693596,0.5343494712,0.5339869454,0.6340163408
01/1966,0.3817185859,0.3971503664,0.372607683,0.5156278327,0.4219559953,0.4901988408,0.4554743759,0.5248037347,0.5451475811,0.5958511079
02/1966,0.3678810582,0.3851941471,0.3779833784,0.5103208087,0.4259522067,0.4870393181,0.4670335099,0.5106182777,0.5405316122,0.5855790643
03/1966,0.3845392977,0.3682156457,0.3844301098,0.5183779055,0.4591309866,0.5044263538,0.4791935198,0.5280193827,0.5805304265,0.552894793
04/1966,0.4071888869,0.3666540743,0.3938318759,0.5555346006,0.46195303,0.4968513153,0.4957143321,0.5472637633,0.5908131672,0.5587111886
05/1966,0.3523206971,0.3726632037,0.4012393495,0.5309140245,0.4868142892,0.4615984655,0.4850634184,0.5392735307,0.5767472109,0.5577688291
06/1966,0.3712339875,0.387296638,0.3183613763,0.5332209603,0.5454513054,0.4801863557,0.5095428692,0.5320197682,0.6346865033,0.5625773543
07/1966,0.3750016067,0.36136975,0.4187289798,0.5348494624,0.5779062816,0.5135494249,0.5725956995,0.5811155067,0.6417053712,0.6098892584
08/1966,0.3874056892,0.2776443517,0.5136220334,0.5823235425,0.5879694736,0.482088496,0.5974868036,0.5867135307,0.6140644728,0.614475193
09/1966,0.3812827781,0.3417246288,0.5879501752,0.544738521,0.6621454637,0.5696198337,0.5718371496,0.7448701731,0.6103784521,0.6711202415
10/1966,0.3866110064,0.3437573932,0.5962663127,0.5505239526,0.6449202842,0.5839506946,0.5647765026,0.7236886345,0.6063154229,0.6491548275
11/1966,0.3971819345,0.3441731918,0.580865368,0.5204015926,0.5987574649,0.536404483,0.5393739666,0.6738803647,0.5699580569,0.6250811805
12/1966,0.338828779,0.3163597086,0.5694045645,0.5612526796,0.6150063523,0.5171260815,0.5624178692,0.6409994561,0.6168635761,0.6297722872
01/1967,0.3388821862,0.3029656374,0.5693459872,0.5457455896,0.6082649746,0.5307867674,0.5562152387,0.647534495,0.5925248901,0.6394873363
02/1967,0.304580582,0.2834118526,0.5699196544,0.5366527035,0.5514614725,0.5206689894,0.5168839513,0.6156954542,0.5539247113,0.5932373214
03/1967,0.2834984415,0.2774359105,0.6050656493,0.5395224358,0.5853648451,0.5222111413,0.5192022386,0.6199588069,0.5455803286,0.598399898
04/1967,0.304174882,0.2649885808,0.6050392532,0.5143785234,0.5615785046,0.5274736928,0.4882640208,0.5959094142,0.5504797016,0.5849231392
05/1967,0.2836370395,0.3769909703,0.5807848145,0.4940195989,0.5266918174,0.525793542,0.4716763168,0.585910532,0.5330594216,0.5800380345
06/1967,0.2745886765,0.2613883991,0.4786866972,0.4581290861,0.6350756864,0.539122976,0.5248068981,0.5502101019,0.5517169543,0.58246867
07/1967,0.3206874812,0.5096668875,0.3600511938,0.4443662807,0.5825796272,0.5679719935,0.5624001778,0.5255869409,0.6007876502,0.6027946472
08/1967,0.3128408677,0.4198720735,0.3761300919,0.3963407718,0.5975795119,0.535932879,0.5745140941,0.4743226998,0.5591681092,0.5861847859
09/1967,0.3079498678,0.4861427758,0.361730684,0.3868526948,0.6095228119,0.5483880043,0.5852422552,0.4890944124,0.5592914593,0.5860851505
10/1967,0.3011755693,0.5322942223,0.3237712109,0.400307845,0.5761232543,0.5215557471,0.5651101438,0.4861444185,0.5619618983,0.5844368854
11/1967,0.3125980511,0.5673399702,0.286309953,0.4781298509,0.5732798339,0.5863999665,0.5093019365,0.527354035,0.5607794928,0.635298185
12/1967,0.3198280391,0.5706611121,0.3813301764,0.5364243845,0.5303959959,0.6462176931,0.5093948544,0.5261534806,0.5589448463,0.6325934024
01/1968,0.290728163,0.5294936471,0.3655352999,0.476303174,0.5244954903,0.6062977529,0.5013289904,0.5123533942,0.5273994573,0.6241160103
02/1968,0.322906349,0.5685858626,0.2671227022,0.5226100886,0.5239942131,0.6056683175,0.5051781321,0.5265991782,0.5263855644,0.6061156968
03/1968,0.3217899569,0.5125480708,0.3138940408,0.4927389357,0.5493621464,0.6197979334,0.5353726802,0.5761572389,0.5164945731,0.6000443911
04/1968,0.331059755,0.4893310574,0.4539751795,0.4941942949,0.5135171774,0.674514395,0.5456175442,0.5520101805,0.5409039146,0.6264216507
05/1968,0.2776296021,0.4611100853,0.4061924187,0.5464135164,0.4780447436,0.6562481506,0.5342882268,0.5214852687,0.5223120869,0.6090542876
06/1968,0.2738586334,0.4582821321,0.3951481524,0.5459553545,0.4879959497,0.6573458417,0.5158032954,0.5103151945,0.5270835329,0.6068447675
07/1968,0.3260762313,0.503192552,0.4106694259,0.4747818665,0.4997668256,0.6636728461,0.4872730752,0.5299913891,0.5313911943,0.5877078362
08/1968,0.3508130851,0.5097166424,0.2994987241,0.4431985029,0.5065261018,0.6365435501,0.5392639537,0.5368248528,0.5179344401,0.5968265969
09/1968,0.3487172859,0.4974270358,0.2664589306,0.4353120408,0.4777799908,0.655429546,0.4910914381,0.5360345549,0.5260126619,0.5613572907
10/1968,0.3208506352,0.4757456091,0.251612156,0.4166544791,0.4528511931,0.6333614255,0.4557832506,0.5017950956,0.5340715283,0.5573243887
11/1968,0.328506399,0.4798764518,0.2683242934,0.3964487857,0.4564427279,0.6230716324,0.4598094094,0.5005493607,0.5253016145,0.554641168
12/1968,0.2901529224,0.473427797,0.2020921524,0.4173979847,0.436328986,0.5972159719,0.4421563265,0.4691743869,0.487317538,0.5198972992
01/1969,0.296403361,0.4723909979,0.2091977906,0.430361399,0.4773954689,0.5795378468,0.4248430361,0.4650017128,0.5167382087,0.5394363826
02/1969,0.3065811522,0.4477370801,0.2404034975,0.4153359196,0.4792406981,0.5065613591,0.5288055916,0.4955114331,0.4976426449,0.5470045046
03/1969,0.3385263593,0.4808838474,0.247174082,0.4259719472,0.5329684794,0.5198023718,0.5556630747,0.5399967443,0.5046368494,0.5788366585
04/1969,0.3344350963,0.4834146674,0.2306103574,0.4147474852,0.5389463648,0.465447846,0.5537834841,0.5114426418,0.497821477,0.5895986492
05/1969,0.3294159872,0.4395620943,0.2351703205,0.4047138327,0.5308255373,0.4718352425,0.5186656825,0.513960003,0.5075328625,0.5852396462
06/1969,0.3271058595,0.4543935407,0.2486905197,0.40897863,0.5136168312,0.4734967191,0.5230495555,0.5135825936,0.5030978484,0.5908943047
07/1969,0.4184863986,0.5118640792,0.2968407726,0.4248944179,0.6467315934,0.6066515054,0.5592459277,0.5836031898,0.5622605905,0.6512039546
08/1969,0.4539593398,0.5209899947,0.3360676336,0.4453197188,0.7417460406,0.5883456819,0.5370785704,0.7070083374,0.5694082811,0.6907501485
09/1969,0.4294215337,0.4758099676,0.3118946535,0.4592603697,0.6484755989,0.6102871402,0.4607775249,0.684248927,0.5793833332,0.6995703246
10/1969,0.4271167675,0.4797765426,0.3179628767,0.4595506326,0.6700914013,0.6207388724,0.471774794,0.7066871911,0.5923766913,0.7269478019
11/1969,0.4056616593,0.4678779904,0.3002408474,0.4297085603,0.6730415314,0.6048057969,0.4381134968,0.6404570889,0.5833197455,0.7012853921
12/1969,0.4263694661,0.4845910747,0.3077070256,0.4608477414,0.6558433475,0.6435772559,0.4635444177,0.6541855542,0.6217561124,0.730179045
01/1970,0.4509652954,0.494518969,0.3066619311,0.4567222662,0.6947571361,0.6844618019,0.4559794246,0.6874330693,0.5929117644,0.7384472788
02/1970,0.5096070718,0.6447275475,0.3105999078,0.5142189514,0.6710925036,0.7724324985,0.4672872258,0.7306089096,0.6098339396,0.7601290927
03/1970,0.4921150209,0.5894976207,0.2922265716,0.4842070384,0.6426229643,0.7548420009,0.4410559327,0.6895884199,0.5668411055,0.7318441922
04/1970,0.5176135316,0.6125096559,0.3011018155,0.4777875185,0.6503470443,0.722725268,0.4530358221,0.6583280004,0.5867938939,0.7188300453
05/1970,0.6493905745,0.7364952943,0.3427541169,0.5236524453,0.7125717067,0.7793587879,0.4998956384,0.714231501,0.6757184092,0.763835594
06/1970,0.5673902562,0.7497235566,0.6828636714,0.4098481994,0.6267689735,0.7643716324,0.6071104486,0.7943975122,0.7745179705,0.8019427208
07/1970,0.8733160636,0.7765791515,0.4231445386,0.714385754,0.6505856445,0.8410861949,0.6806116108,0.8775008793,0.8477775543,0.8985095949
08/1970,0.8500746324,0.7114944707,0.4185954129,0.6597315227,0.5952679828,0.8530680312,0.5486100339,0.7962545845,0.7955936515,0.8521022075
09/1970,0.758315223,0.6487490215,0.4153973909,0.6145832989,0.5813234933,0.8441855009,0.4971517951,0.8108491062,0.7732140674,0.8027479776
10/1970,0.6566374469,0.5867858509,0.3769849702,0.6258568998,0.5784892214,0.7803976614,0.4960930834,0.8061409589,0.7491831433,0.799639566
11/1970,0.7248047944,0.6218389166,0.3850914139,0.6543183128,0.5761006535,0.7835463548,0.4823442126,0.8315023624,0.7635099783,0.7950590744
12/1970,0.7096129431,0.5972543231,0.3718337679,0.6264622668,0.5481974959,0.7467604226,0.4576900171,0.7876411148,0.7247525112,0.7484948849
01/1971,0.6276145634,0.5691238655,0.3423988954,0.5834220606,0.5085001402,0.748701979,0.4300985379,0.7349106939,0.6384128864,0.7032500516
02/1971,0.564152851,0.5072837879,0.326506087,0.5610144095,0.4922596619,0.7168605833,0.422492103,0.6880381682,0.6262032429,0.6553034567
03/1971,0.5676431935,0.506005288,0.3151933841,0.5665953,0.4809311074,0.7279154746,0.3804908877,0.7055784669,0.6292348345,0.6358899294
04/1971,0.5571174708,0.4532361575,0.2984542255,0.5372864017,0.4929126593,0.6975726805,0.3909432296,0.7087508767,0.6050270703,0.6312607627
05/1971,0.4998133435,0.4659507679,0.2810609791,0.5196470145,0.4889649799,0.6326503401,0.3873176248,0.7152034636,0.6123891531,0.6407230664
06/1971,0.5356516978,0.4698097051,0.3034241355,0.5360781594,0.5090672117,0.6318373442,0.4297855075,0.7469535614,0.621111363,0.6879775193
