date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2110632472,0.3704473326,0.5111106725,0.4573440223,0.5570145421,0.464064143,0.7978715086,0.8348991329,0.996443162,1.2346575796
08/1963,0.2130692784,0.370172868,0.5123461978,0.4542560956,0.549060424,0.4618633181,0.7943316996,0.8491307774,1.0182328743,1.223026177
09/1963,0.2030613348,0.3545129288,0.490536302,0.4399217178,0.5345755468,0.4374153382,0.7587081752,0.800875041,0.9315345335,1.1606776572
10/1963,0.2045595261,0.3615473605,0.488324745,0.4541053118,0.5493566423,0.439007635,0.7796354438,0.8217903858,0.9202815541,1.1956480031
11/1963,0.1966392588,0.3540242596,0.4701775863,0.4571287925,0.5381195222,0.4060691778,0.7788308156,0.8235912794,0.8984278759,1.1707876128
12/1963,0.2010634639,0.3605288174,0.4621227495,0.4624646237,0.5432716658,0.4326598789,0.7934037313,0.8379150543,0.9181515193,1.1753260487
01/1964,0.2163074373,0.3497871237,0.4542694971,0.4479578909,0.5225621891,0.426009259,0.7738054119,0.7921486685,0.9111484426,1.1307179226
02/1964,0.2098792174,0.3454358526,0.4410265178,0.441123358,0.5014858794,0.4176310474,0.7567608466,0.7821006261,0.8860515693,1.1023504088
03/1964,0.2057389901,0.3378535207,0.4368612255,0.4337355789,0.4993501841,0.4136215577,0.7338330375,0.7701472909,0.8665305418,1.0501148788
04/1964,0.2049316905,0.3367087109,0.4364057653,0.4292714123,0.4921636952,0.4044655058,0.7047336221,0.7498252644,0.8179001596,1.0245852414
05/1964,0.210624023,0.3388338657,0.4333236544,0.4224205344,0.4802641243,0.3942981403,0.6988365913,0.7490611337,0.8416351944,1.0033730708
06/1964,0.208840829,0.3364342631,0.4371917864,0.4190872508,0.4779852856,0.389736817,0.6913274459,0.7356468251,0.8175648661,0.9808103906
07/1964,0.224140423,0.2881002346,0.4429392465,0.411297303,0.5397126167,0.6190444168,0.6934612001,0.7162454557,0.9276417896,1.0549067927
08/1964,0.22030067,0.2786623697,0.4422640129,0.3959768373,0.529321491,0.6048053367,0.6765554933,0.699490955,0.9088291002,1.0369359457
09/1964,0.1994602315,0.2829263223,0.4513615572,0.4004858106,0.5274249217,0.6201456346,0.6958159541,0.6975244397,0.9141099804,1.0626231432
10/1964,0.1950175823,0.2744726899,0.4489164197,0.3888164377,0.5105518694,0.6023354914,0.6773319384,0.6680066996,0.8677601985,1.0068861314
11/1964,0.1959189362,0.2733619684,0.4482648058,0.3786498348,0.5043662382,0.606114951,0.6697499692,0.6619475342,0.8671623984,0.9827176452
12/1964,0.1944567025,0.2863294128,0.4567582117,0.3805492018,0.5057404625,0.6025965905,0.6581842068,0.6531635271,0.89898268,0.9885669567
01/1965,0.190598882,0.2825961548,0.4419632846,0.3746390895,0.5030922485,0.5934493775,0.6625270126,0.6450606568,0.9115268057,1.0005325691
02/1965,0.1800799333,0.2681840674,0.4349371179,0.3701920886,0.4823362758,0.5769794243,0.6440034468,0.6278779958,0.8706517358,0.9550682671
03/1965,0.198667629,0.2691573915,0.431826623,0.37640285,0.4749815853,0.5721911212,0.6479175099,0.6333072492,0.8578680598,0.9438034804
04/1965,0.2016423657,0.2729808083,0.4394752239,0.3820271392,0.478218168,0.5734600559,0.6669085331,0.6438339106,0.8632695807,0.9427533442
05/1965,0.1922151407,0.2683912134,0.4279303367,0.3673554752,0.4687570764,0.5576652491,0.6481653116,0.627233769,0.8268763157,0.907707083
06/1965,0.1941536194,0.2665826603,0.4242691117,0.3760205007,0.4789351868,0.5648105514,0.6452349007,0.6264422865,0.8380374213,0.9095815719
07/1965,0.2150058311,0.2593154446,0.3900854871,0.5182857698,0.5724831908,0.6150464754,0.8251260064,0.8549115752,0.8795478732,1.1864092712
08/1965,0.2127142646,0.2545065189,0.3877979919,0.5197218299,0.5663286842,0.6025198769,0.7883264362,0.8296574445,0.8425011395,1.1521545936
09/1965,0.2057318808,0.2479014704,0.3851570037,0.5100050283,0.5526647045,0.5820500193,0.7618905536,0.8106509664,0.835139134,1.1210525601
10/1965,0.1996102676,0.2393989745,0.3667158411,0.5003169246,0.5468404936,0.5715891728,0.7345163505,0.7756291639,0.7950151009,1.0845911981
11/1965,0.1982597393,0.233557596,0.3550742287,0.4962544052,0.5363588476,0.5631507947,0.7012499634,0.7391732266,0.7547655956,1.0161215931
12/1965,0.1942577141,0.234123146,0.3687935159,0.5140520872,0.539667335,0.554211462,0.6954125254,0.7237045823,0.7284851931,1.0168006773
