date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6270094936,0.545633828,0.4521814105,0.4615621135,0.4408020122,0.4418606818,0.5625702311,0.8145905021,0.4426844232,0.9692503823
08/1963,0.8539131655,0.5520408885,0.3192005955,0.4349402746,0.4120537736,0.5800184155,0.4658329752,0.9047571054,0.5839294842,0.9498873743
09/1963,0.5693406417,0.5798261433,0.3939348424,0.4319302262,0.346671781,0.4683218333,0.6172482649,0.7438379932,0.4449400718,0.7296126872
10/1963,0.8503995367,0.5211622928,0.5203590031,0.3205722013,0.4012963871,0.468229574,0.5566868536,0.5017899305,0.6011756451,0.8230180011
11/1963,0.7862814324,0.5331754627,0.3340729099,0.4720505249,0.3849755535,0.4169998706,0.5696069601,0.6288892267,0.423948826,0.7413798624
12/1963,0.791674559,0.494914955,0.4429872901,0.3979517445,0.3711320682,0.5252770418,0.5861573959,0.3110404879,0.7771410777,0.5212803039
01/1964,0.7272204035,0.4454710149,0.4432129066,0.3578599139,0.4524468026,0.4713442941,0.5437086839,0.5656569705,0.764960045,0.8977808495
02/1964,0.7394830214,0.4650459732,0.4608824357,0.4325969503,0.4074785039,0.4092290608,0.519771919,0.7582771168,0.6609717068,0.4677359054
03/1964,0.6646414564,0.5030207966,0.4348213969,0.3819912418,0.390869701,0.501701718,0.4294352169,0.5277340129,0.6799057837,0.3831792051
04/1964,0.6814404107,0.4802700591,0.4352282188,0.448378148,0.3988239033,0.4492860021,0.5609400438,0.5028301079,0.5239895005,0.3124812934
05/1964,0.6777416047,0.3754846563,0.4362801339,0.3540262094,0.4496871486,0.5234448193,0.4859920716,0.533953438,0.4591476332,0.4301087284
06/1964,0.6606364674,0.4603198783,0.4274104761,0.4315229428,0.3747658551,0.421677395,0.4992657386,0.4214793763,0.4696054858,0.8014366684
07/1964,0.7553937617,0.4465040322,0.4411665012,0.3674204733,0.4597112028,0.4177876591,0.4803155164,0.6549180638,0.6331550203,0.318594874
08/1964,0.6790660279,0.4668445958,0.4071754531,0.4398922857,0.4403037548,0.4149918625,0.4504583021,0.6304965598,0.4426503585,0.4624667077
09/1964,0.7102946446,0.5007432485,0.4314566944,0.3756336396,0.37359857,0.4947289655,0.4958334198,0.4532940425,0.7175777626,0.5073527574
10/1964,0.7212227431,0.5162794359,0.3975080571,0.3101713231,0.3849166064,0.4700804874,0.4738456529,0.4604663669,0.645965895,0.3932239712
11/1964,0.6662091169,0.4703114582,0.5099497588,0.4221018993,0.3368313981,0.4155219052,0.4220458341,0.5589378345,0.4056471126,0.390901475
12/1964,0.6426662659,0.4317038926,0.3954640169,0.3648072162,0.3520021777,0.42892547,0.4814210199,0.6108607187,0.4771658413,0.4643778356
01/1965,0.5720234073,0.4854080239,0.274264291,0.4501916681,0.4090113791,0.4327916806,0.5253655682,0.5784344316,0.6120072626,0.4118489892
02/1965,0.6591290095,0.4323676791,0.3195402446,0.4676881985,0.4099558733,0.4747084083,0.3520402469,0.4185167184,0.6049039366,0.3617780893
03/1965,0.5798780445,0.4518917276,0.4509285854,0.4338019629,0.418976157,0.3536357894,0.4583431273,0.4035488018,0.524459582,0.4197894862
04/1965,0.6488177005,0.4519364273,0.466797332,0.4539800641,0.3184936894,0.4628203997,0.4826465387,0.5209633024,0.4456656642,0.4238358385
05/1965,0.6467509703,0.4643838372,0.3961753374,0.4389352364,0.4548011725,0.3930524078,0.3858333641,0.4517285702,0.4314050686,0.3759803462
06/1965,0.5350932334,0.4396194098,0.4741471472,0.3994014745,0.3404159512,0.3206820951,0.4959353964,0.4395176062,0.6338015694,0.4040792003
07/1965,0.6200962154,0.4551960628,0.4519599169,0.3470063582,0.35970384,0.4780203202,0.5646928624,0.6631021966,0.5147105663,0.427701176
08/1965,0.7268461072,0.4243592849,0.4125400081,0.4894774381,0.3499674477,0.4378716275,0.636845629,0.638170433,0.4348921373,0.4090482185
09/1965,0.6970119877,0.4286913137,0.4440248163,0.2708109117,0.4153752018,0.5367163804,0.5312318509,0.6115912213,0.4866188076,0.4909665546
10/1965,0.7052893768,0.4268681522,0.5119690177,0.2634497792,0.4270008414,0.371964401,0.5407428616,0.5589609955,0.4171625406,0.4853920993
11/1965,0.6763844207,0.5369196599,0.4097577818,0.296791867,0.3800733992,0.3662837302,0.5415512726,0.4849884903,0.6696105917,0.3764407862
12/1965,0.5923957419,0.3966399801,0.3000908947,0.2768693744,0.504856202,0.4227611189,0.4117816537,0.6008373923,0.6201181854,0.4113752934
01/1966,0.53034172,0.3008335144,0.4020357754,0.3823727205,0.4524237292,0.4931998278,0.6123720039,0.5873797554,0.4486091834,0.4515846504
02/1966,0.5013407842,0.4642312663,0.3124536047,0.3971345637,0.4289778577,0.5968530466,0.5500123332,0.4141539157,0.6466050543,0.3754411084
03/1966,0.5771734975,0.3609220495,0.3145893514,0.4819905795,0.4623416401,0.5449678907,0.537841948,0.4546530606,0.5153727106,0.3311282876
04/1966,0.5583643179,0.4617019881,0.3329700492,0.4147768253,0.505436379,0.5031488143,0.5619075051,0.386182069,0.5913957458,0.4889807064
05/1966,0.4983582657,0.3808882817,0.4378623096,0.5179481077,0.4085377466,0.4421052175,0.4626240814,0.5614941802,0.549732653,0.4364791217
06/1966,0.5794659542,0.4392835251,0.4605817975,0.4233229758,0.4297020782,0.5135250537,0.5128106647,0.5265406548,0.5131017833,0.4669581096
07/1966,0.559078841,0.4403732186,0.297286145,0.3517605486,0.5639355893,0.5332939884,0.6268798427,0.6790228256,0.7424425053,0.4554957332
08/1966,0.555486636,0.6372306184,0.3833034799,0.3838014934,0.5516768977,0.5070532326,0.6499077982,0.4837901892,0.6900371063,0.5500642322
09/1966,0.6341936734,0.5648041066,0.4507200715,0.6222213945,0.4232256521,0.5857646027,0.6412134659,0.6618555355,0.7446654076,0.4441936844
10/1966,0.657485781,0.5611931107,0.5904214979,0.481188227,0.3690055239,0.7290140695,0.5511013234,0.5658908308,0.6302253428,0.571174594
11/1966,0.7792104598,0.3273260496,0.3642725682,0.4826334018,0.5688214841,0.5722540219,0.6823179433,0.7155714714,0.6104509362,0.4430023085
12/1966,0.6508651707,0.4516941547,0.3059174773,0.5881280648,0.4648327923,0.3900194133,0.6271605711,0.8564330208,0.7119805338,0.5113105637
01/1967,0.5459829844,0.450173206,0.4003284207,0.4474393744,0.5257270842,0.5515744068,0.6192832393,0.7826095738,0.6394374925,0.5957269637
02/1967,0.4996015915,0.476761915,0.2828394179,0.4708135954,0.4976561835,0.5073107244,0.5385160282,0.6155263554,0.7352563611,0.5687528542
03/1967,0.5617152433,0.4573774396,0.4242184354,0.4344915728,0.4870113652,0.4871967591,0.6472207698,0.6565899938,0.7330158779,0.4592833632
04/1967,0.5149175559,0.2824318167,0.3503638711,0.528390856,0.5462341548,0.5102117891,0.5688868813,0.6020576307,0.5681409165,0.5389072516
05/1967,0.5317215144,0.3734387057,0.3653542581,0.4949859742,0.4434290536,0.4817388642,0.4597070872,0.6363405985,0.7815553789,0.434344962
06/1967,0.4880558997,0.2554809183,0.4043014657,0.5866581827,0.43714956,0.4726761144,0.6322920551,0.6795342377,0.5572165862,0.5209962166
07/1967,0.5565095574,0.4620589157,0.4756728687,0.536833785,0.4131472619,0.4881584279,0.5491245202,0.6072815353,0.5748546372,0.4141261873
08/1967,0.5120106715,0.4146087477,0.4345384142,0.5049341643,0.431244076,0.5150238393,0.5679746739,0.6447935032,0.4632441675,0.4522127945
09/1967,0.530920819,0.2677561209,0.3871206738,0.4840612577,0.4193395845,0.6164770121,0.6311583918,0.6187940763,0.6747964194,0.4343120127
10/1967,0.5084282104,0.4106371314,0.2790123551,0.3974662902,0.5163649804,0.4951778075,0.6198088911,0.4687615474,0.6635368711,0.4626489135
11/1967,0.548074617,0.6331513709,0.2658055571,0.4339253389,0.3775833617,0.4620037636,0.623585635,0.697394172,0.8038303684,0.5280309744
12/1967,0.3885265379,0.5629318536,0.3952226281,0.4991357435,0.5077482981,0.5117141523,0.6733673087,0.7021763075,0.5928733557,0.487276293
01/1968,0.5319679506,0.3490813561,0.5445285794,0.3615768497,0.4490229617,0.6014882872,0.6365912879,0.6690587025,0.5635175937,0.5283966557
02/1968,0.4976683578,0.2477775537,0.4506516313,0.5939122122,0.352916249,0.5526432026,0.607821903,0.6174798884,0.6420071815,0.5362454462
03/1968,0.3813941911,0.5131119531,0.405326678,0.4296153806,0.350690228,0.5228040983,0.621875038,0.7778670003,0.6557573858,0.4733751547
04/1968,0.5701754072,0.384826602,0.456648614,0.5093749218,0.447753841,0.5105048214,0.5530324938,0.7220540685,0.6223511383,0.6053560743
05/1968,0.3899921594,0.4466297617,0.5846634427,0.4005877692,0.5394187223,0.4923010354,0.5278758332,0.8648068287,0.6438723929,0.4356260266
06/1968,0.3802693361,0.4485699529,0.3666525003,0.571934682,0.3957256543,0.6414852506,0.5884252244,0.5669816223,0.6029191618,0.478833835
07/1968,0.4999658858,0.4296580906,0.4422320993,0.5103551682,0.3653975631,0.620494225,0.5816410909,0.6343582534,0.7024978536,0.4492661197
08/1968,0.4100648101,0.2967835691,0.6637193025,0.3734398194,0.4359107294,0.5132252284,0.5673747827,0.6840003298,0.5114356217,0.6816297136
09/1968,0.3795243593,0.5154821281,0.3956937942,0.2765828566,0.5871387163,0.4575783515,0.5206711612,0.7551773442,0.5938224298,0.5366267092
10/1968,0.4790575149,0.3938450075,0.4085189909,0.4291727506,0.4258668618,0.4571057617,0.5023387993,0.640848206,0.6664115246,0.41253591
11/1968,0.3394264233,0.4751585836,0.2666061456,0.3639037359,0.3706292695,0.5532111597,0.5981960988,0.6201000185,0.6482661189,0.527036428
12/1968,0.3709845014,0.4357249879,0.2959056916,0.4063177474,0.4464110926,0.3598080493,0.5010875646,0.5046340143,0.5323913818,0.5139471797
01/1969,0.3046517992,0.4052395113,0.3703538042,0.2575138205,0.500723799,0.4278748105,0.5455786799,0.554202756,0.5350251537,0.5541001317
02/1969,0.3037135235,0.3487382621,0.3215269754,0.4531280798,0.3995932927,0.4297656422,0.5733864489,0.6099723066,0.4577375775,0.5930844336
03/1969,0.3428467337,0.4289707515,0.3193930517,0.2995250702,0.5446383538,0.5250475855,0.5500630417,0.5451244109,0.6828638,0.5809648041
04/1969,0.357914593,0.3973611542,0.2904294909,0.3684824782,0.3591640799,0.6116471593,0.5449964363,0.6050070952,0.5862760968,0.4918203306
05/1969,0.3573427241,0.4343899514,0.3298821529,0.2872146562,0.5151969258,0.378373189,0.5826515609,0.6009544933,0.6065690777,0.5363114938
06/1969,0.3478542335,0.4710809602,0.2235844457,0.299011693,0.3907466696,0.4472603317,0.657852059,0.5543323201,0.5491847914,0.6670578099
07/1969,0.4559640139,0.539303195,0.2747874866,0.3750187426,0.5883197093,0.5242329477,0.6603495505,0.6854605205,0.7647334302,0.5295452227
08/1969,0.5068453635,0.4738040308,0.3276267131,0.4493444427,0.5888926012,0.6124745992,0.5915282854,0.7398362255,0.7890105927,0.6303064893
09/1969,0.4573629983,0.427870852,0.2188418851,0.513856861,0.6189601193,0.4817486007,0.574159798,0.7474499114,0.6959184282,0.6950479384
10/1969,0.4753508281,0.483730143,0.3280420897,0.4281940346,0.4961244811,0.6877376958,0.8022754249,0.6513331488,0.6445852347,0.6986561592
11/1969,0.4234941103,0.5328080271,0.2956311679,0.3397473199,0.6352051144,0.474721367,0.5732299425,0.620110529,0.721360296,0.6762369467
12/1969,0.4456583085,0.5651145037,0.2566316791,0.4628535676,0.4354069849,0.5657352317,0.6279879329,0.7149673631,0.8492013741,0.6005454961
01/1970,0.4329705993,0.4584684309,0.6387008188,0.591305233,0.4616732335,0.5671604156,0.5324025944,0.6307660973,0.6775990426,0.9430417259
02/1970,0.4734531157,0.7165509847,0.5540412872,0.2680262132,0.6218864793,0.6361235959,0.733966288,0.6384681415,0.9256105421,0.9042199995
03/1970,0.4691784951,0.5098706749,0.6217239685,0.2874425763,0.4042586179,0.6908674273,0.5378479821,0.8007874999,0.8041158644,0.7689746333
04/1970,0.4917297993,0.4772225875,0.4889147805,0.5768638223,0.3156198273,0.6245979546,0.639290631,0.5574294971,0.8290598186,0.661104239
05/1970,0.6050729203,0.711408377,0.5378054682,0.3024923501,0.5667417287,0.459629141,0.6029689458,0.8060309266,0.8539116427,0.8991093553
06/1970,0.5987549309,0.6353242443,0.6940571448,0.6089618665,0.365513911,0.5366896323,0.5227093372,0.8414791864,0.8387780346,0.8906131044
07/1970,0.8647706647,0.6117462852,0.9104276869,0.3833158308,0.6098687107,0.9531236415,0.5735385333,0.853079759,0.9642876544,0.9860565665
08/1970,0.7836079722,0.6754306147,0.8107385428,0.3537210241,0.6020673901,0.7338036156,0.6406961022,0.8666365626,1.0189687906,0.8059740955
09/1970,0.739514924,0.534092772,0.6126438581,0.4162808566,0.5911681082,0.5761588875,0.7006427877,0.7555908421,0.8581070468,0.7835445219
10/1970,0.6708747298,0.5321573908,0.5338784905,0.4132336567,0.6969062752,0.5600912766,0.6535939761,0.8380000147,0.9018965604,0.801305935
11/1970,0.7215643041,0.7710642219,0.3801076429,0.4747124217,0.7930387918,0.5017662088,0.6631562495,0.8227807684,0.7929524243,0.967149625
12/1970,0.7140796938,0.588745725,0.3335782889,0.6023073982,0.5720063579,0.6380843634,0.6528135793,0.6657247683,0.6887368363,1.2338146749
01/1971,0.599552177,0.3618327477,0.4870179728,0.3861218165,0.5376627008,0.5743904951,0.7226225029,0.734107942,0.6496035771,1.0441427757
02/1971,0.5338935159,0.4739791346,0.4862683814,0.3966510684,0.3733957505,0.4955213278,0.6607315962,0.7417077012,0.742878549,0.8521627746
03/1971,0.6071482622,0.4337988402,0.4271682163,0.5531964612,0.3529493904,0.4963566594,0.6721540042,0.5279655535,0.6943590607,0.7320787839
04/1971,0.5525093194,0.3616097796,0.4232501657,0.5617312883,0.3306137985,0.537591582,0.7165252925,0.5599339096,0.6192719932,0.7445229093
05/1971,0.5871446906,0.3826607779,0.3969483836,0.4106574601,0.3309950049,0.4129006427,0.5050924974,0.5998085742,0.6759204285,0.8002173655
06/1971,0.5584924529,0.3012461187,0.4948213599,0.3441089585,0.3492449417,0.5357533777,0.6991700671,0.6468734188,0.7978605655,0.7375370566
07/1971,0.5808912924,0.3870650128,0.5659570395,0.3162409848,0.4602939467,0.4332270237,0.5704699936,0.7848797404,0.7303661473,0.7277091648
08/1971,0.7155120845,0.3715083336,0.5359947515,0.4193668391,0.3437341852,0.5294403595,0.6279024819,0.6514515088,0.7384819014,0.9022847412
09/1971,0.5799620428,0.4231139993,0.4212977668,0.488992837,0.3349871879,0.4165580811,0.6237588617,0.8390790189,0.776000926,0.6964520235
10/1971,0.6844400987,0.3993517246,0.465189634,0.4063853105,0.3581112566,0.438971239,0.4594778872,0.5958470905,0.8384929616,0.889030407
11/1971,0.6619502259,0.5072706177,0.6660020287,0.6149837412,0.4643095979,0.5895137127,0.5323542296,0.5440992872,0.7960101427,0.9174135805
12/1971,0.6697177748,0.3971740463,0.4234539494,0.3020762184,0.6539068069,0.6005370642,0.552088141,0.7836621914,0.8249343724,1.0623938074
01/1972,0.5029391694,0.4383152206,0.3999016428,0.3115350791,0.5291803929,0.6022684208,0.7870933076,0.6570101314,0.8500500443,0.7891187708
02/1972,0.485232976,0.4393462109,0.418901417,0.4871590005,0.5255887691,0.3352747111,0.6413337844,0.548831685,0.8069094084,0.9140844937
03/1972,0.5391242961,0.3820017058,0.4235055081,0.43246374,0.3158949921,0.4663295683,0.6764396364,0.7719295893,0.757661192,0.7004601558
04/1972,0.5188733713,0.4430536602,0.4106044343,0.366219277,0.5323086518,0.4153710783,0.5110979448,0.8606748519,0.4728555576,0.717807904
05/1972,0.488577317,0.4323170978,0.4444592827,0.4384281317,0.2946605723,0.5194311914,0.6227239741,0.7504336612,0.7245762189,1.0256984169
06/1972,0.5220373171,0.4871588101,0.3730418734,0.493098646,0.3747834305,0.3296271906,0.654266832,0.63630002,0.9837957648,0.8697290078
07/1972,0.5833889673,0.3661628475,0.4723706717,0.276703236,0.5773213683,0.6403043506,0.6075557711,0.8431700046,0.7676635831,0.7380898166
08/1972,0.591356202,0.5040998091,0.4542724873,0.5591516585,0.2864155965,0.5131228884,0.7048963099,0.7028258819,0.8501085569,1.0770437853
09/1972,0.5966787054,0.4683514341,0.4527614335,0.4938821054,0.5266677217,0.4707240009,0.341013262,0.7007977304,0.9018028502,0.7367134621
10/1972,0.6225070932,0.4877705181,0.539550602,0.5095374452,0.5128400717,0.6230457348,0.4413063057,0.3692953284,0.8264819292,0.8253577818
11/1972,0.6454395295,0.4549632536,0.4636784309,0.4564880644,0.4455897346,0.3812619692,0.5542200559,0.5513759734,0.8217370213,0.8987176551
12/1972,0.4885612306,0.3747769086,0.4009825511,0.4315480338,0.307048216,0.5789090456,0.611046907,0.5925340609,0.7706775192,0.9057616611
01/1973,0.5245997501,0.3909566079,0.3662893012,0.426265232,0.3221836844,0.4401972587,0.5357975165,0.6453625756,0.8099222015,0.9435602771
02/1973,0.6169347874,0.4877767483,0.4156629382,0.5135300963,0.4426534298,0.3666122198,0.4475310728,0.5364359413,0.7025358097,0.9956861482
03/1973,0.658077528,0.5406436586,0.5160112033,0.6100481719,0.6663301834,0.5016549923,0.3301611382,0.4649519344,0.7293447354,0.7999173759
04/1973,0.737760959,0.463716006,0.5190872196,0.415988978,0.3222588628,0.4048315881,0.5928060038,0.8224036078,0.7394489557,0.869398026
05/1973,0.7086200276,0.5443216281,0.4757986116,0.5126238297,0.5078304718,0.3347963234,0.6386768176,0.7467123233,0.8431621095,1.2728387876
06/1973,0.7576611553,0.5326282934,0.3941580355,0.5042318903,0.2992409875,0.4458943263,0.5882311636,0.7472390572,0.8600722721,0.9942772099
07/1973,1.0342967683,0.542458474,0.4748584322,0.6239365104,0.3382802653,0.5873939297,0.6768620163,0.639404248,0.8227708363,0.9574750362
08/1973,0.7957782394,0.5596493585,0.5147421167,0.4595863662,0.4045128816,0.4903356184,0.5259312239,0.6772999105,0.8897795762,1.2122419394
09/1973,0.76503584,0.4389537878,0.5122828327,0.310049032,0.597083781,0.4502888676,0.705568463,0.7167997158,1.0067452978,0.9931954067
10/1973,0.7267761121,0.4510886606,0.5084057155,0.3722657307,0.4230980314,0.5769469038,0.6450599875,0.6533707649,0.7544404423,0.9300197334
11/1973,0.684284656,0.6624781484,0.5606930605,0.4316975859,0.4614523125,0.3819179055,0.543978545,0.8449460589,0.9005976514,1.0473258348
12/1973,0.7661368066,0.5317016109,0.4799955937,0.3805210717,0.4582596784,0.7183050026,0.7047310903,0.922015655,1.0318914078,1.207541298
