date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,,,,,,,,,,0.5035937088
08/1963,,,,,,,,,,0.5039676215
09/1963,,,,,,,,,,0.4818023346
10/1963,,,,,,,,,,0.4880380113
11/1963,,,,,,,,,,0.4730028354
12/1963,,,,,,,,,,0.4815628631
01/1964,,,,,,,,,,0.4851031565
02/1964,,,,,,,,,,0.4727640236
03/1964,,,,,,,,,,0.4647800253
04/1964,,,,,,,,,,0.4583195853
05/1964,,,,,,,,,,0.4571677084
06/1964,,,,,,,,,,0.4538059179
07/1964,,,,,,,,,,0.4757361064
08/1964,,,,,,,,,,0.4652908448
09/1964,,,,,,,,,,0.4577683879
10/1964,,,,,,,,,,0.4456321387
11/1964,,,,,,,,,,0.4421450766
12/1964,,,,,,,,,,0.4453367625
01/1965,,,,,,,,,,0.4389932645
02/1965,,,,,,,,,,0.4253855733
03/1965,,,,,,,,,,0.4385151479
04/1965,,,,,,,,,,0.4444981137
05/1965,,,,,,,,,,0.4302287081
06/1965,,,,,,,,,,0.4335821626
07/1965,,,,,,,,,,0.4760972083
08/1965,,,,,,,,,,0.4702326244
09/1965,,,,,,,,,,0.4598880013
10/1965,,,,,,,,,,0.4456468985
11/1965,,,,,,,,,,0.4358696123
12/1965,,,,,,,,,,0.4392533092
01/1966,,,,,,,,,,0.4405882722
02/1966,,,,,,,,,,0.439241237
03/1966,,,,,,,,,,0.4488230462
04/1966,,,,,,,,,,0.4616820939
05/1966,,,,,,,,,,0.4553822808
06/1966,,,,,,,,,,0.4793653992
07/1966,,,,,,,,,,0.5060571777
08/1966,,,,,,,,,,0.5208706857
09/1966,,,,,,,,,,0.5549773654
10/1966,,,,,,,,,,0.5568363165
11/1966,,,,,,,,,,0.5317357246
12/1966,,,,,,,,,,0.5322678848
01/1967,,,,,,,,,,0.5264257264
02/1967,,,,,,,,,,0.4992595703
03/1967,,,,,,,,,,0.5032379299
04/1967,,,,,,,,,,0.490190085
05/1967,,,,,,,,,,0.4955520282
06/1967,,,,,,,,,,0.4917989735
07/1967,,,,,,,,,,0.5013303331
08/1967,,,,,,,,,,0.4847623668
09/1967,,,,,,,,,,0.4896269289
10/1967,,,,,,,,,,0.4755898916
11/1967,,,,,,,,,,0.4883847934
12/1967,,,,,,,,,,0.5230583577
01/1968,,,,,,,,,,0.4978711313
02/1968,,,,,,,,,,0.4834004015
03/1968,,,,,,,,,,0.4988659683
04/1968,,,,,,,,,,0.5300595671
05/1968,,,,,,,,,,0.5083600506
06/1968,,,,,,,,,,0.5064258657
07/1968,,,,,,,,,,0.508641192
08/1968,,,,,,,,,,0.4862049086
09/1968,,,,,,,,,,0.4796923137
10/1968,,,,,,,,,,0.4616989014
11/1968,,,,,,,,,,0.4572865556
12/1968,,,,,,,,,,0.4368444797
01/1969,,,,,,,,,,0.4463933528
02/1969,,,,,,,,,,0.4497224905
03/1969,,,,,,,,,,0.4732334654
04/1969,,,,,,,,,,0.45921118
05/1969,,,,,,,,,,0.4498519371
06/1969,,,,,,,,,,0.4516153782
07/1969,,,,,,,,,,0.5208166285
08/1969,,,,,,,,,,0.5554977612
09/1969,,,,,,,,,,0.5344235961
10/1969,,,,,,,,,,0.5499106355
11/1969,,,,,,,,,,0.5246302262
12/1969,,,,,,,,,,0.5485649336
01/1970,,,,,,,,,,0.5534867121
02/1970,,,,,,,,,,0.5935286173
03/1970,,,,,,,,,,0.5673323814
04/1970,,,,,,,,,,0.5653915719
05/1970,,,,,,,,,,0.6249754494
06/1970,,,,,,,,,,0.6610828206
07/1970,,,,,,,,,,0.7425131253
08/1970,,,,,,,,,,0.692653075
09/1970,,,,,,,,,,0.663448658
10/1970,,,,,,,,,,0.6402494972
11/1970,,,,,,,,,,0.6523913613
12/1970,,,,,,,,,,0.6240491813
01/1971,,,,,,,,,,0.5833372633
02/1971,,,,,,,,,,0.5574996287
03/1971,,,,,,,,,,0.5514308917
04/1971,,,,,,,,,,0.5383628745
05/1971,,,,,,,,,,0.5226830358
06/1971,,,,,,,,,,0.546105671
07/1971,,,,,,,,,,0.5625957269
08/1971,,,,,,,,,,0.5850305941
09/1971,,,,,,,,,,0.5663438292
10/1971,,,,,,,,,,0.5709745182
11/1971,,,,,,,,,,0.5926755315
12/1971,,,,,,,,,,0.5967096757
01/1972,,,,,,,,,,0.5550132336
02/1972,,,,,,,,,,0.5416119841
03/1972,,,,,,,,,,0.5402910542
04/1972,,,,,,,,,,0.5406533284
05/1972,,,,,,,,,,0.5391023517
