date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.8616965897,0.7030546929,0.7057744026,0.6330335174,0.5612667883,0.479355614,0.4500739638,0.4476179608,0.4348199342,0.3717146117
08/1963,0.8839157104,0.6918859809,0.7120842845,0.6394051176,0.5575577131,0.4767028282,0.4515486743,0.4482883133,0.4333028244,0.3711719781
09/1963,0.8030355772,0.6827778137,0.6759209614,0.5965268584,0.5356981444,0.4449091891,0.4316683462,0.4293990639,0.4164291114,0.3508960107
10/1963,0.7896311237,0.7029349162,0.6837379823,0.5958764812,0.5520173446,0.4577174297,0.4289233398,0.437559446,0.4188572476,0.3539793747
11/1963,0.7502633953,0.7018379784,0.6755353987,0.5849100533,0.5373300981,0.4511579832,0.4241680673,0.4313746744,0.4061536842,0.3169436384
12/1963,0.7732406479,0.7310929213,0.6879964371,0.5933012431,0.5432405312,0.4551755057,0.4282169031,0.4357807325,0.4033494261,0.3440663709
01/1964,0.7657465457,0.7313358666,0.672171391,0.6008310781,0.5210416831,0.4376646031,0.4119528562,0.4241408235,0.4453881956,0.3438996076
02/1964,0.7669589925,0.7025076908,0.6602683569,0.5539869691,0.5034013969,0.4308459512,0.4044895999,0.4155367924,0.4313627618,0.3392246009
03/1964,0.7241464322,0.7107428726,0.6460165939,0.542302028,0.5009686652,0.4243693418,0.3949552044,0.4158529634,0.4240715598,0.3366208134
04/1964,0.7008592751,0.7029934287,0.629116002,0.5296857326,0.4875286593,0.4173752296,0.3871769139,0.4121155006,0.4242320603,0.3353068251
05/1964,0.7186768803,0.6694770208,0.6242574795,0.5530998942,0.4856986231,0.4206799733,0.3846008976,0.4149788437,0.4177822565,0.3227681281
06/1964,0.6993763849,0.6839831717,0.6260226341,0.5418053077,0.4807143673,0.4168192137,0.3780699287,0.4162708543,0.4192168229,0.3152987718
07/1964,0.9472040341,0.6867536817,0.4929502104,0.5260378755,0.4882104098,0.4865899085,0.3965345683,0.4253429459,0.4003916045,0.4659345444
08/1964,0.9322407457,0.6600049337,0.4847726418,0.5078994264,0.4823730281,0.4911066509,0.3856781577,0.4186802873,0.379847432,0.4489963206
09/1964,0.945920668,0.68708311,0.4935020637,0.5035683252,0.4926642654,0.5017570865,0.3876734675,0.4303082917,0.3771806634,0.3390180903
10/1964,0.8815425916,0.6569773914,0.4747088597,0.4799505309,0.4764856095,0.5015316399,0.3772091916,0.422116501,0.3643424795,0.3333433525
11/1964,0.9040392636,0.6319114729,0.4684658907,0.4812718307,0.4723892999,0.5011203737,0.3747307751,0.4142930041,0.3648506198,0.3289443172
12/1964,0.9681686794,0.6303112716,0.4580479594,0.4711194862,0.4680709806,0.5096745414,0.3707362115,0.4133804217,0.3739777089,0.3271943984
01/1965,0.9798321708,0.6122079561,0.4664052089,0.4625761403,0.457399964,0.4862260206,0.3667545524,0.4112285341,0.3655352364,0.33054776
02/1965,0.925056734,0.5764758603,0.4461736443,0.4429001715,0.4459665384,0.48153284,0.3518933221,0.4056576541,0.3519671153,0.3175270512
03/1965,0.9120126013,0.5679688377,0.43829496,0.4367249329,0.4409660011,0.4847180515,0.3491231995,0.4145997438,0.3543726355,0.4361860329
04/1965,0.9075601228,0.5711253164,0.4459514607,0.4410982569,0.4464394123,0.4940623276,0.3496478442,0.4270396395,0.3526766455,0.4435736809
05/1965,0.8935632944,0.5397894078,0.4307289692,0.4182422011,0.4334051237,0.485625041,0.3359272022,0.4164399848,0.3304642692,0.436186265
06/1965,0.9334414848,0.5468482475,0.4258922374,0.4242714429,0.4364365372,0.4764099502,0.3417355331,0.4225815456,0.345454661,0.434705318
07/1965,0.9392162102,0.7895620244,0.7158982206,0.5290774461,0.3681355819,0.4640481602,0.4417240973,0.4378507758,0.4221591415,0.286227995
08/1965,0.8966893586,0.7446839358,0.7056936703,0.5381367363,0.3640693185,0.4520422909,0.4368696541,0.4392921801,0.4145443362,0.2788239223
09/1965,0.8672304507,0.7143516334,0.6883996273,0.5307720266,0.3578642056,0.435611757,0.4323463735,0.4337267819,0.4077620818,0.2697285954
10/1965,0.8486315209,0.6829289803,0.6703821601,0.5225878077,0.3393889939,0.4256292119,0.4271025614,0.4224622166,0.3932126954,0.2558516255
11/1965,0.8054241133,0.6390171372,0.6390217878,0.5262133856,0.3366537269,0.4122651974,0.4213476748,0.4250205313,0.3871808137,0.2422467621
12/1965,0.8093797662,0.62361068,0.6483495556,0.5437443,0.3418221177,0.4157428375,0.425466326,0.409946062,0.3858364174,0.2535373092
01/1966,0.7681326867,0.6068722098,0.629382373,0.5370540061,0.3313408843,0.4847029718,0.4230360619,0.4146361647,0.3867662156,0.2543528455
02/1966,0.7387007498,0.5636033133,0.6154241846,0.5407573883,0.3365820564,0.4882958748,0.4305538809,0.4212427026,0.3837377196,0.2504694773
03/1966,0.7319757021,0.5725615238,0.624618973,0.5465878926,0.3496492291,0.5009087121,0.4465483591,0.4427286539,0.3963823026,0.2495987179
04/1966,0.7657141931,0.5812049383,0.6334083843,0.5743450574,0.3619790719,0.5143800596,0.4518089754,0.4500142016,0.4043746568,0.260051641
05/1966,0.7558116856,0.5621913604,0.6255845566,0.5634020838,0.3598368731,0.5067153095,0.4492120993,0.4381045593,0.3951764484,0.2605054723
