date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2475701481,0.3714002029,0.4931714748,0.5439064433,0.5602385613,0.6130686378,0.453095431,0.8196901354,1.0407178401,1.2907971095
08/1963,0.2504704923,0.3682992212,0.491900758,0.5413500205,0.5607190859,0.6077553487,0.4502558805,0.8187171375,1.0573697383,1.3242182278
09/1963,0.2358458692,0.354272728,0.4729533799,0.5116863986,0.5294483389,0.5843360908,0.4261451916,0.7853087457,0.9950253271,1.2429221381
10/1963,0.2357355638,0.3623928862,0.4728418751,0.5278615451,0.5450311164,0.6004685194,0.4278804065,0.8031635946,1.0149993934,1.2276183693
11/1963,0.2218306527,0.3631895893,0.4608640483,0.5259952919,0.5400017564,0.591587837,0.3875285314,0.7974140184,0.9847828801,1.2246480785
12/1963,0.2249753069,0.3669496862,0.4582388889,0.5266765182,0.549225371,0.5967005973,0.4169933426,0.8097225436,0.999158715,1.2422357924
01/1964,0.2763479519,0.3485519868,0.4473597493,0.5105880816,0.5325060959,0.5708560475,0.4130059726,0.8049890726,0.9777271309,1.2301244509
02/1964,0.2595866314,0.3399799449,0.4313469883,0.5006936668,0.5318749864,0.5509201072,0.4096970915,0.7844142876,0.961281605,1.1875097954
03/1964,0.2573306199,0.3329282848,0.4265730712,0.4928361637,0.5231892809,0.5441101775,0.4067581488,0.7695872496,0.917882735,1.1507010651
04/1964,0.254573628,0.3319176174,0.4253324429,0.4846628411,0.5116497218,0.5358122758,0.4009841734,0.7337736736,0.8760491446,1.0971941473
05/1964,0.2661343415,0.3253998727,0.4231381239,0.4856526839,0.4996643068,0.5276387209,0.3877027429,0.7342459643,0.8862946473,1.0991272478
06/1964,0.2648359872,0.3204287165,0.4258547089,0.4785952778,0.4956203544,0.5186988432,0.3793223536,0.7325658056,0.9059190355,1.0947591002
07/1964,0.3206531906,0.2941531336,0.419405489,0.4321780777,0.487213734,0.5517118231,0.4183471347,0.748307087,0.8545338554,0.9394288448
08/1964,0.3133479533,0.2905859703,0.4177255236,0.4185778069,0.4711885695,0.5369259978,0.3997287437,0.7349802641,0.8411546921,0.9124997353
09/1964,0.2276691022,0.2957694044,0.4252389507,0.426587658,0.4810651303,0.5497176298,0.3974211161,0.740777888,0.8397650133,0.9184446784
10/1964,0.2242589701,0.287949147,0.4203537331,0.4140153316,0.4613714691,0.5361689086,0.3859148118,0.7281195764,0.8148322737,0.8626988848
11/1964,0.2247502447,0.2878826874,0.4210117316,0.3986659661,0.4542761,0.5232346926,0.3860958291,0.7161041264,0.8212855554,0.8742456155
12/1964,0.2263391003,0.2836121446,0.4233305955,0.394728083,0.4624397784,0.5256825477,0.3974406101,0.711603881,0.8362791493,0.8966136544
01/1965,0.2231894551,0.2776152052,0.4070701674,0.3913708415,0.4596465614,0.5259246049,0.3909810065,0.7235914357,0.8576522714,0.8979447603
02/1965,0.2081074401,0.2707862668,0.3965753716,0.3833607007,0.4452323329,0.5202149799,0.3759627608,0.694246264,0.8240874161,0.8723794631
03/1965,0.2793678367,0.2662699839,0.3938932656,0.3867484874,0.4539398264,0.5311653709,0.3785756031,0.677114025,0.8111647518,0.8832666617
04/1965,0.2816810968,0.2731484937,0.3980797152,0.394047227,0.4640564296,0.545449195,0.3753625167,0.6853479285,0.811921187,0.8810064487
05/1965,0.2709784994,0.2574413799,0.3896443925,0.3856927084,0.4555141017,0.5364216606,0.3553561187,0.6642897639,0.7864263705,0.8505704897
06/1965,0.2691850459,0.2608636925,0.3848806725,0.3897888975,0.4519248701,0.5432219857,0.3705037306,0.6754036068,0.8000628345,0.8720294455
07/1965,0.265785835,0.3012080331,0.3709031429,0.5106212333,0.5550234671,0.4921269759,0.6946154555,0.4679115128,0.8043642562,1.006502999
08/1965,0.2624812043,0.29755763,0.3627273719,0.5063605114,0.5479295459,0.4958052924,0.6778915875,0.4592091138,0.7878988255,0.9983836257
09/1965,0.2526325931,0.2837913892,0.3529503527,0.5034938419,0.5330069436,0.4982434356,0.6690558307,0.4521967205,0.7577305893,0.9808590174
10/1965,0.2456656421,0.2749251334,0.3379293204,0.4914080331,0.5186754787,0.4796909003,0.6578640918,0.4346562997,0.7560546959,0.9475112364
11/1965,0.2385137006,0.2717061764,0.3346118409,0.4927500925,0.5018318046,0.4702993828,0.6465634897,0.4108171201,0.7192243505,0.9180808067
