date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2143707471,0.3417091344,0.5389760091,0.6006313642,0.7272755974,0.8375229986,0.901446106,1.1129496197,1.3270121693,1.7887454278
08/1963,0.2158666376,0.3380333569,0.5374341523,0.6120965125,0.7144801625,0.8454559846,0.9113196066,1.1283170211,1.3317789243,1.8187479236
09/1963,0.2042064915,0.3210575657,0.520719659,0.5711024813,0.6860895082,0.7887817411,0.8494465377,1.0521685996,1.2611058921,1.720358646
10/1963,0.205111914,0.3278048679,0.5209084641,0.5822990911,0.6926622118,0.7916255181,0.8504852715,1.0633672946,1.2980770055,1.7547503717
11/1963,0.1964938886,0.3019846154,0.5041072007,0.5740211094,0.7049345045,0.7703170674,0.8331808577,1.0408543994,1.3054522514,1.7307903594
12/1963,0.1993236705,0.3177146083,0.4969205707,0.579169167,0.7246182075,0.7702917186,0.8619451612,1.0444803329,1.3082892029,1.7774479743
01/1964,0.2257851512,0.3107775212,0.4839669687,0.5574917952,0.7061055118,0.7660054545,0.8248819477,1.0336560215,1.26153467,1.7459811725
02/1964,0.2148969537,0.3040278796,0.462728732,0.5522676972,0.6877225595,0.7679982656,0.8193139253,0.9890405929,1.2421013607,1.700344043
03/1964,0.2137821689,0.3010634156,0.4565320177,0.5397176547,0.6754156573,0.7487451566,0.7830712729,0.9666857934,1.1961679211,1.6275030048
04/1964,0.2117143183,0.2971213833,0.4545357585,0.5262725647,0.6477536449,0.7124360971,0.7620080147,0.9042261372,1.1787471267,1.547388394
05/1964,0.2185591423,0.2880094373,0.4442681055,0.5360212159,0.645691128,0.6984842946,0.7519797059,0.9469059554,1.1424438381,1.5475678947
06/1964,0.2170673552,0.2841583405,0.4457202936,0.538767339,0.6396302866,0.6902051908,0.7293784735,0.9259184195,1.1311613838,1.5193339305
07/1964,0.2172062323,0.306485697,0.4487420626,0.5043178528,0.6061476171,0.7000201873,0.7932576988,0.9529159172,1.2311684541,1.5439813595
08/1964,0.2137315892,0.2934173194,0.4495373633,0.4972945297,0.5958944644,0.6671966836,0.7886637596,0.9310562068,1.2203204316,1.5256581403
09/1964,0.1965813997,0.2954445,0.4592185822,0.5095800791,0.5992011953,0.6784263938,0.7973945211,0.940553776,1.2210770619,1.5650641511
10/1964,0.1914693489,0.2857204845,0.4564019868,0.4955727234,0.5808222412,0.649858424,0.7678099393,0.9009350911,1.1480213162,1.4978477761
11/1964,0.1921794302,0.2792227634,0.4570936897,0.4878278125,0.5728281,0.6434823249,0.7619711401,0.8980690125,1.1242253127,1.4608849081
12/1964,0.1953469411,0.2802510921,0.4634691453,0.4909773963,0.5619694623,0.6407456356,0.7571077039,0.9198834742,1.1644086252,1.5124519639
01/1965,0.1913599438,0.2773743767,0.4447456048,0.4826906868,0.5553103463,0.6586298421,0.7467023722,0.9451152994,1.1830171318,1.5623329443
02/1965,0.1811088237,0.2699200149,0.4401388615,0.4797204768,0.5419661171,0.6291195368,0.7267781219,0.9045889892,1.1180399244,1.4519795903
03/1965,0.1983272795,0.2727275487,0.438187828,0.4894775678,0.5292211678,0.6286894772,0.7287802115,0.9032480039,1.1215429369,1.4146391542
04/1965,0.2033086388,0.2737285658,0.4435743366,0.5065832421,0.5370617969,0.6391136178,0.7294619396,0.9074755988,1.1046194957,1.4317083926
05/1965,0.1944016043,0.2603090316,0.4336008654,0.4935298837,0.5260474438,0.614548826,0.7054469416,0.8887306902,1.0275152031,1.3594479762
06/1965,0.1945573843,0.2682188689,0.4280391193,0.4973976488,0.5311277759,0.6157047663,0.70329815,0.8983534789,1.0627624884,1.3801493931
07/1965,0.2101986618,0.3444524902,0.4322820933,0.5406713129,0.6149268272,0.7372994092,0.8192171328,0.9899840119,1.2209069723,1.5811659287
08/1965,0.2069977006,0.343872294,0.4241844818,0.540932626,0.6043110444,0.7205000257,0.7848708445,0.9674889926,1.1781470953,1.5210989897
09/1965,0.2011012447,0.3345673593,0.4078427647,0.5399551787,0.5768708937,0.7022347014,0.7725281402,0.9571949441,1.1335492525,1.5081482795
10/1965,0.1930187093,0.3193622835,0.3972949718,0.5235808544,0.5625898587,0.6915921761,0.7484463046,0.913909943,1.117914466,1.4258195947
11/1965,0.1875586147,0.3110279063,0.3885321593,0.5225347518,0.5457262582,0.6672240642,0.7159728338,0.8739695206,1.0503844835,1.3302181408
12/1965,0.1900697514,0.3139204235,0.3876461006,0.535432495,0.5353273842,0.6614867479,0.7126491867,0.8774403706,1.0565711956,1.3504762736
01/1966,0.1973435312,0.3061538764,0.3805392822,0.5288666081,0.5298619708,0.6324123686,0.6952505162,0.8295211629,0.9750784708,1.2721153477
02/1966,0.1993714605,0.3046271519,0.373671392,0.527406129,0.5357324548,0.6051699297,0.6746437043,0.793031109,0.9426935212,1.2183085567
03/1966,0.2049349584,0.3057277679,0.3841389346,0.536893431,0.5434637102,0.6139800989,0.6780846803,0.8020436409,0.9485963077,1.2231702622
04/1966,0.2109541382,0.3132335306,0.3966868635,0.5603843819,0.5520840137,0.6213799863,0.6955287116,0.8295446229,0.9734078256,1.282248762
05/1966,0.2111277679,0.3077865181,0.3834436257,0.5494364137,0.5370491895,0.6142178764,0.6657912555,0.8016131701,0.9628473005,1.2749725535
06/1966,0.2191889129,0.3266456967,0.4042706548,0.5811419963,0.5708506829,0.651823928,0.7238381725,0.8699297886,1.0493823167,1.3741913009
07/1966,0.1726084386,0.3091520912,0.398135329,0.4625833727,0.596360304,0.6977697085,0.781865156,0.8710515882,1.1384585165,1.6339949374
08/1966,0.1849275744,0.3130828087,0.4042979767,0.4679728109,0.6009996034,0.7072826195,0.7780011015,0.873546264,1.1602353607,1.6658366363
09/1966,0.1892342857,0.3428324958,0.4400151497,0.5109502867,0.6559105443,0.7451111607,0.8476986587,0.9471949989,1.2546320436,1.8303710763
10/1966,0.1935565398,0.3440975583,0.4438305098,0.5101885031,0.671823022,0.7414171346,0.8506016904,0.9358380066,1.2975673288,1.8667604833
11/1966,0.1876257149,0.3446419431,0.4219048521,0.5070658632,0.6299845178,0.6883198504,0.8064993329,0.8981440153,1.2386043988,1.8202558697
12/1966,0.1785430598,0.3468035279,0.4202876185,0.4947898397,0.6499919533,0.7083163062,0.8090816597,0.9108918733,1.2708970669,1.8701676357
01/1967,0.1802324925,0.3475620364,0.4106080147,0.4906603695,0.6424853703,0.6863994613,0.7874401263,0.9286272716,1.2591083921,1.8433449428
02/1967,0.1790118438,0.3124998992,0.3825266909,0.4450396105,0.6139021376,0.6412227113,0.7332690303,0.8359621268,1.0936975451,1.5817402626
03/1967,0.1788110317,0.3139516058,0.3796807238,0.4431887383,0.6138145311,0.6453162685,0.747095871,0.8489637883,1.1096749955,1.5840858852
04/1967,0.1786352231,0.3000481246,0.3619053246,0.4252753948,0.5897564886,0.6243435218,0.7039126155,0.8178027156,1.0466309937,1.49951822
05/1967,0.2051385014,0.2740722329,0.3544548672,0.4085779275,0.5853782533,0.6144822476,0.6859202773,0.7833025492,1.0226533824,1.4471239425
06/1967,0.1718540225,0.2937797873,0.3669053966,0.4242123529,0.6041350153,0.6507819275,0.7134625355,0.8079880034,1.0713035861,1.5003528225
07/1967,0.1461846921,0.2679143322,0.3922669758,0.4665811868,0.6437667624,0.7013461097,0.7195276876,0.8564212959,1.0345469128,1.52541138
08/1967,0.1462764927,0.2498641248,0.3704280751,0.4399708046,0.6025695753,0.7078870398,0.6735365323,0.802130388,0.9483016875,1.4266476941
