date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2224110513,0.2975255014,0.4979369758,0.5176414782,0.5207019991,0.7225456487,0.7213998481,0.767565046,0.5260947468,1.1870531148
08/1963,0.2234469947,0.3017911526,0.4972943751,0.520459929,0.5150379426,0.7275390193,0.7272176148,0.7575347911,0.5224094216,1.1946116471
09/1963,0.2138107831,0.2881402304,0.4753268227,0.4961201756,0.4984138882,0.6958538375,0.6891427573,0.7260032417,0.4915551314,1.129329285
10/1963,0.213108603,0.2936785854,0.4752232928,0.5019423825,0.5140104444,0.7064795797,0.701086196,0.751553929,0.4938119579,1.1554873247
11/1963,0.2030910076,0.2841034202,0.4581286816,0.5054465743,0.5135280855,0.7027816947,0.6893286619,0.7502519978,0.4414038712,1.1420851617
12/1963,0.2061853493,0.2917068268,0.4495386108,0.5136873999,0.5176709046,0.7234759074,0.6988676089,0.774058177,0.4779538743,1.1400529678
01/1964,0.2443960396,0.2802321975,0.4427090175,0.4953874254,0.4988922197,0.713654871,0.686861624,0.7387776285,0.4748906274,1.1035085182
02/1964,0.2350380577,0.2747891302,0.4291193036,0.4947176711,0.4802703766,0.6933613323,0.6846787757,0.7199614271,0.4664867865,1.086074783
03/1964,0.2286299853,0.2728150901,0.4219862512,0.4860986912,0.4729132929,0.692935403,0.6725676094,0.7028051914,0.460216596,1.0287849667
04/1964,0.2286078516,0.2706056529,0.4208806581,0.4825675918,0.4647729151,0.6712566727,0.6396426971,0.6711557245,0.4565440963,1.0059728509
05/1964,0.2376602617,0.2759865533,0.4207157854,0.4757377018,0.4574002253,0.6719796024,0.6347083852,0.6509120638,0.436060468,1.0257359409
06/1964,0.2341528916,0.274684818,0.4232511675,0.4709261783,0.4545482549,0.6712576871,0.6319191566,0.6357350657,0.4242059149,1.0320997376
07/1964,0.2606630472,0.3709179495,0.4461150826,0.5620112313,0.4728500113,0.6208976913,0.5234005691,0.6703198272,0.9127476222,1.0221109328
08/1964,0.2568410671,0.3672307536,0.4366442524,0.5506183999,0.4627000131,0.6069773864,0.4976531894,0.6508526856,0.8952898079,0.999945374
09/1964,0.2230060438,0.3749125501,0.4489095346,0.5550285641,0.472955521,0.6163416284,0.497919142,0.6602088012,0.8946503384,0.9853750339
10/1964,0.2183800445,0.3688830035,0.4337601513,0.5380153604,0.4625145255,0.5959325568,0.4791003412,0.6417603411,0.8645553128,0.9251504219
11/1964,0.2197530111,0.3675621218,0.4238311345,0.5377729473,0.447559329,0.5825829415,0.4792410102,0.6382982063,0.8603718277,0.9186844689
12/1964,0.2187793787,0.378022947,0.4273218843,0.5378675425,0.4394221267,0.577503193,0.4916707617,0.6287648328,0.8739696337,0.9407683073
01/1965,0.214820838,0.3660775071,0.4194436386,0.5371165677,0.440396347,0.5624189325,0.487671704,0.6314818191,0.8940451748,0.9201017112
02/1965,0.2036813792,0.3565959806,0.3974697087,0.5143504371,0.4414564176,0.5382993759,0.471999565,0.6159310341,0.8462669317,0.9014104537
03/1965,0.2328773218,0.3561706664,0.3930828628,0.5033023911,0.4502753152,0.5342231164,0.4815146085,0.6124729306,0.817250347,0.907488229
04/1965,0.2379429206,0.3615253535,0.3954424372,0.5054425677,0.4621201579,0.5451294505,0.4813322927,0.621853526,0.8273765254,0.9054554797
05/1965,0.2239825797,0.354021058,0.3876259923,0.4943996975,0.4545151978,0.5316913272,0.454631584,0.6110498486,0.8016752744,0.8422595584
06/1965,0.2251595528,0.3505658174,0.3932347349,0.5015571744,0.4592053726,0.5337580834,0.4682488821,0.6130296538,0.8048620881,0.8718749304
07/1965,0.2144031334,0.3997128509,0.4164634269,0.5189870514,0.4968063897,0.668176046,0.7877819106,0.8178699404,0.9304327549,1.0830697573
08/1965,0.2108076924,0.3986544023,0.4129318794,0.5207909003,0.4874370325,0.6468964089,0.767001876,0.8022626522,0.9005701263,1.0393183049
09/1965,0.2031835371,0.3944601195,0.4051275386,0.5154810301,0.4777795271,0.6236034672,0.7369810312,0.7713001197,0.8742439638,1.0176428711
