date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.703947536,,,,,,,,,0.5034512125
08/1963,0.5697625422,,,,,,,,,0.503910956
09/1963,0.6363122995,,,,,,,,,0.4817044628
10/1963,0.527537944,,,,,,,,,0.4880149319
11/1963,0.3668434145,,,,,,,,,0.4732879815
12/1963,0.633086617,,,,,,,,,0.4815102958
01/1964,0.4353181432,,,,,,,,,0.4851286991
02/1964,0.5018356842,,,,,,,,,0.4727230114
03/1964,0.3980640501,,,,,,,,,0.4648963659
04/1964,0.3913315265,,,,,,,,,0.4584402077
05/1964,0.4039711535,,,,,,,,,0.4572624118
06/1964,0.3680781891,,,,,,,,,0.4539685812
07/1964,0.436004749,,,,,,,,,0.4758057723
08/1964,0.3869340142,,,,,,,,,0.4654740985
09/1964,0.50307319,,,,,,,,,0.4576681673
10/1964,0.3965245924,,,,,,,,,0.4457141234
11/1964,0.4095518371,,,,,,,,,0.4423128414
12/1964,0.4356108796,,,,,,,,,0.4453541663
01/1965,0.3875676009,,,,,,,,,0.4390982647
02/1965,0.2160295519,,,,,,,,,0.4258040473
03/1965,0.2774987256,,,,,,,,,0.4387491625
04/1965,0.2757097852,,,,,,,,,0.4447353642
05/1965,0.2758064936,,,,,,,,,0.4304297084
06/1965,0.2794682147,,,,,,,,,0.4338093876
07/1965,0.3570266606,,,,,,,,,0.4762671156
08/1965,0.359591582,,,,,,,,,0.470468463
09/1965,0.3158656074,,,,,,,,,0.4601998351
10/1965,0.3147270981,,,,,,,,,0.4458296484
11/1965,0.2974032395,,,,,,,,,0.4360663185
12/1965,0.2548173891,,,,,,,,,0.4394749917
01/1966,0.2408129058,,,,,,,,,0.4408248671
02/1966,0.2177791767,,,,,,,,,0.4393944923
03/1966,0.2322940919,,,,,,,,,0.4489666862
04/1966,0.303488731,,,,,,,,,0.4618012742
05/1966,0.3720130684,,,,,,,,,0.4554594469
06/1966,0.4695663159,,,,,,,,,0.4793725224
07/1966,0.4623235629,,,,,,,,,0.5061209634
08/1966,0.5521755326,,,,,,,,,0.5208288947
09/1966,0.5421000722,,,,,,,,,0.5550038049
10/1966,0.7029205732,,,,,,,,,0.5565232909
11/1966,0.5888444844,,,,,,,,,0.5316092103
12/1966,0.579242407,,,,,,,,,0.5321660459
01/1967,0.4594371155,,,,,,,,,0.5266070181
02/1967,0.3873930168,,,,,,,,,0.4995821446
03/1967,0.3615559025,,,,,,,,,0.5036801741
04/1967,0.3172916596,,,,,,,,,0.4907513145
05/1967,0.2883494145,,,,,,,,,0.4962837509
06/1967,0.2918622596,,,,,,,,,0.4924560767
07/1967,0.3160521572,,,,,,,,,0.5020526615
08/1967,0.3495372564,,,,,,,,,0.4852015124
09/1967,0.2993610166,,,,,,,,,0.490197629
10/1967,0.3313348154,,,,,,,,,0.476026941
11/1967,0.5964429293,,,,,,,,,0.4881709991
12/1967,0.2940855395,,,,,,,,,0.5234627808
01/1968,0.2836964657,,,,,,,,,0.498293683
02/1968,0.3266005296,,,,,,,,,0.483633773
03/1968,0.3505621833,,,,,,,,,0.4991053703
04/1968,0.3520760465,,,,,,,,,0.5303681827
05/1968,0.291546026,,,,,,,,,0.5087295463
06/1968,0.237127867,,,,,,,,,0.5070680366
07/1968,0.3534824573,,,,,,,,,0.5092886101
08/1968,0.3491634265,,,,,,,,,0.4869735578
09/1968,0.3559147234,,,,,,,,,0.480199004
10/1968,0.3198353251,,,,,,,,,0.4622273757
11/1968,0.3158875119,,,,,,,,,0.457819043
12/1968,0.3199638436,,,,,,,,,0.4372002942
01/1969,0.2567949837,,,,,,,,,0.4471653345
02/1969,0.2201751856,,,,,,,,,0.450998581
03/1969,0.2571952657,,,,,,,,,0.4744072369
04/1969,0.2649340815,,,,,,,,,0.4602036109
05/1969,0.2590529368,,,,,,,,,0.4508274425
06/1969,0.2657061438,,,,,,,,,0.4524926137
07/1969,0.276201052,,,,,,,,,0.5225656931
08/1969,0.3218340636,,,,,,,,,0.557031957
09/1969,0.2833922321,,,,,,,,,0.536193414
10/1969,0.2678947843,,,,,,,,,0.5514046701
11/1969,0.2720865483,,,,,,,,,0.5260553901
12/1969,0.2790301571,,,,,,,,,0.5499593076
01/1970,0.344127307,,,,,,,,,0.5541753294
02/1970,0.4553877224,,,,,,,,,0.5938449478
03/1970,0.3841478337,,,,,,,,,0.5677233921
04/1970,0.3924164168,,,,,,,,,0.565748369
05/1970,0.4172527195,,,,,,,,,0.6254246937
06/1970,0.4247595127,,,,,,,,,0.6616511317
07/1970,0.6073600603,,,,,,,,,0.7430134392
08/1970,0.5421225119,,,,,,,,,0.6931258715
09/1970,0.5101189984,,,,,,,,,0.6638292481
