date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.8223136457,0.8173453756,1.0205210786,0.7459734352,0.4664465753,0.5401139557,0.4972586739,0.4930581267,0.3475728199,0.3736908931
08/1963,0.8440418546,0.8365107468,1.0428671107,0.7617286311,0.4628548792,0.539556118,0.4958113056,0.4900974151,0.3476148403,0.3734674546
09/1963,0.8052559971,0.7829107843,0.9725893948,0.7176604914,0.4411620548,0.5228774701,0.470028929,0.4667201037,0.3341429374,0.3597705581
10/1963,0.8371291718,0.7787831823,0.9790826285,0.7346651348,0.4498715073,0.5325412188,0.471960857,0.4794896442,0.339675852,0.3596032614
11/1963,0.8142748888,0.7650396512,0.954474424,0.7101937865,0.4186597463,0.5343902291,0.4630438214,0.4754690411,0.3335717016,0.3451386074
12/1963,0.7975140147,0.7822490284,0.9560535509,0.7229228106,0.4361247189,0.5461956026,0.4704663293,0.4852610436,0.3415006201,0.3446476486
01/1964,0.8046895079,0.7883071205,0.9386637153,0.7197238746,0.4202140288,0.5258066329,0.4540922954,0.4871734925,0.3336133594,0.3854176095
02/1964,0.7890936098,0.7919025073,0.9048631607,0.718212293,0.4087130725,0.5104217852,0.4461049854,0.4562534147,0.3254410225,0.3780096748
03/1964,0.7655594552,0.7642698413,0.8803671033,0.697672163,0.4063661462,0.5085064142,0.4409577012,0.4508131724,0.3186236613,0.3679012873
04/1964,0.7394460594,0.7314754291,0.8494585933,0.6736274658,0.3980218702,0.4992808676,0.433777724,0.4370512771,0.319797954,0.3708190024
05/1964,0.7561681248,0.7434929245,0.8651095611,0.6901635105,0.3915617076,0.4904535169,0.4238919508,0.4502688704,0.3222724414,0.368647046
06/1964,0.7519097685,0.7188047888,0.8477949355,0.6964674104,0.3868552102,0.4932705504,0.4151031013,0.4463991091,0.3187617512,0.3707167977
07/1964,0.8065251953,0.8033117948,0.864140014,0.7488827765,0.4276343169,0.4774604342,0.447898132,0.4400345567,0.3158570788,0.3888895529
08/1964,0.7876904224,0.7858254153,0.85480729,0.7415701221,0.4075357497,0.4692140157,0.4427419751,0.4265602417,0.3066145391,0.3843609163
09/1964,0.7885884628,0.7836989536,0.856234726,0.7483499804,0.4073512126,0.4790533972,0.4487211205,0.4323133615,0.3128535314,0.342648343
10/1964,0.7548947983,0.7574945781,0.8091990279,0.7145030018,0.390676862,0.4651556825,0.4332557418,0.4232665952,0.3028911065,0.3430661331
11/1964,0.7449375331,0.747148211,0.7982738603,0.7173891183,0.3862857545,0.4517948968,0.4322435777,0.4251077233,0.2981383587,0.3462812365
12/1964,0.7418827511,0.7616959397,0.8182951919,0.7378288732,0.3960772686,0.4416214289,0.422601795,0.4233581451,0.3080309461,0.3521359602
01/1965,0.7501862049,0.7433942114,0.8230926578,0.7358944356,0.3846393522,0.4370758678,0.4242766475,0.4252938535,0.3038499555,0.3411560367
02/1965,0.7235242969,0.7225880293,0.7828864374,0.707313778,0.3705872964,0.4334260781,0.4085431647,0.4139451016,0.2858132999,0.3327091918
03/1965,0.7039961208,0.7165384618,0.7729345771,0.6963144851,0.3737089128,0.4387355029,0.4014435232,0.4129137043,0.28918029,0.3834454281
04/1965,0.7006399873,0.7316132252,0.7720716611,0.6919978542,0.3702598303,0.4514455481,0.4102773337,0.4192123788,0.2956885824,0.3893439264
05/1965,0.6597505726,0.6915700959,0.7317366919,0.6686916287,0.3515795335,0.4419020737,0.3937033877,0.4077088955,0.2891356813,0.3813654901
06/1965,0.6541619287,0.7145937498,0.7511879261,0.6747222806,0.3620195464,0.4434746283,0.3969753211,0.4131153045,0.2875161666,0.378371087
07/1965,0.7684968828,0.9134702539,0.7973396562,0.4377267559,0.4835007272,0.5264888785,0.4495884851,0.4789855716,0.30842866,0.3763407247
08/1965,0.7194733363,0.9015054036,0.77383434,0.430372805,0.4649114866,0.5257421703,0.4459518363,0.4769814149,0.3051772983,0.3745051798
09/1965,0.7010445155,0.8656405487,0.7540415338,0.4185473188,0.4484509891,0.5242691415,0.4376920779,0.4655276213,0.2986555234,0.3664644886
10/1965,0.6630281627,0.831896195,0.732283324,0.3984692601,0.4290660551,0.5023480707,0.429824338,0.458943796,0.2875706351,0.360443191
11/1965,0.6317788083,0.7993103366,0.7032545877,0.376852908,0.4193930891,0.4916872587,0.4182276247,0.4467784238,0.2797385281,0.3651414698
12/1965,0.5934910909,0.8141065631,0.685579589,0.3950061379,0.4281180216,0.4947979224,0.4157985776,0.4472350707,0.2802090128,0.3684712453
01/1966,0.5841490085,0.7764110765,0.661263135,0.3858608834,0.4158433352,0.4854225283,0.4092434932,0.4447523025,0.3064654262,0.378066513
02/1966,0.5432522573,0.7445319468,0.6333840786,0.3863396405,0.4136535509,0.4762023898,0.4144357,0.4556997542,0.3086541378,0.381923534
03/1966,0.5468800486,0.7437906744,0.6745383657,0.3969061099,0.4245669203,0.4910079776,0.4203795899,0.4651569557,0.3207617337,0.3834466016
04/1966,0.5662564163,0.7783619561,0.6943880942,0.4141576293,0.431997876,0.5094653431,0.4285904213,0.4692559448,0.32618236,0.3954402899
05/1966,0.5465808347,0.7830835394,0.6829394928,0.4175335713,0.4175625728,0.4917824578,0.4364444941,0.4612210296,0.3209245276,0.3888055044
06/1966,0.602172209,0.8430665952,0.7372550998,0.4516372856,0.4365932102,0.5231759984,0.4553304522,0.4860541488,0.332858283,0.3992362081
07/1966,0.6691389714,0.9440414804,0.8113729347,0.4708719384,0.5503647258,0.4990377462,0.4746741008,0.5120539881,0.3145522201,0.4187503099
08/1966,0.6962984602,0.9558549676,0.8384364326,0.4780047187,0.5513310759,0.5090676066,0.4812515857,0.520669807,0.3631270482,0.4157490977
09/1966,0.7689882813,1.028950256,0.8970841348,0.5297423073,0.6061670591,0.5581451054,0.5191683425,0.5576052416,0.3419555406,0.4471672672
10/1966,0.7983701709,1.0637829949,0.9470129419,0.5192706351,0.6064581967,0.5570164151,0.5211474583,0.5570540822,0.3472282157,0.4436677215
11/1966,0.7949726287,1.0557229801,0.9345545615,0.5139910046,0.5694884053,0.520176888,0.5045772284,0.5357890796,0.3292876891,0.4173785314
12/1966,0.7396127844,1.0748083137,0.9573209415,0.5314557061,0.5770053586,0.5155473839,0.4994717284,0.5321864427,0.326016599,0.4169166829
01/1967,0.7221008049,1.0427173422,0.9307089586,0.5362673556,0.5725009351,0.5187467102,0.4864514803,0.5327842755,0.3203929187,0.4097152481
02/1967,0.6555859199,0.9163991147,0.8120631203,0.4772802329,0.5455120716,0.4840597444,0.4495207353,0.4988530442,0.3508469925,0.3901822136
03/1967,0.64852629,0.9002013102,0.8189177301,0.4812967861,0.5526513202,0.4884762323,0.4755198247,0.5033629197,0.3537129268,0.3871702773
04/1967,0.6087439403,0.8562207761,0.7757482617,0.4652242929,0.5631305413,0.4720721688,0.4551595138,0.487506015,0.3412449742,0.3795180164
05/1967,0.5818554059,0.822934343,0.7527180246,0.4242176644,0.5546325082,0.4533725473,0.4424960357,0.4584789538,0.3345101236,0.4874093016
06/1967,0.5811338127,0.8499769521,0.7760259047,0.4570453428,0.5615022464,0.475603247,0.453128201,0.4877992834,0.3493408099,0.3860739059
07/1967,0.5996081518,0.8636638928,0.5976586523,0.5071817748,0.5523500728,0.5405393088,0.5558850955,0.3831102919,0.3935552694,0.3873721843
08/1967,0.5687119801,0.8134181271,0.5521309119,0.4766478778,0.5242337797,0.5162127218,0.5237224279,0.3668783819,0.3759479449,0.4069681372
09/1967,0.586352651,0.8264391493,0.5583315381,0.4716163478,0.5169751359,0.5163420093,0.531384131,0.371269787,0.3878859189,0.4131797865
10/1967,0.5508893926,0.8105652166,0.5319143635,0.4531081784,0.5120544309,0.5045165923,0.5129690313,0.3664059575,0.3781581389,0.3992122742
11/1967,0.5743948603,0.8539381768,0.5649024979,0.463839332,0.5330537331,0.5249419614,0.5376695462,0.3810769968,0.3890146472,0.3873530865
12/1967,0.5714994002,0.8552465712,0.5768128077,0.4706373057,0.5359405407,0.5313144768,0.5435548294,0.4006430192,0.3763300512,0.5533815945
01/1968,0.5329709002,0.8180165268,0.549729252,0.4457399211,0.5283228406,0.4995695061,0.507519116,0.37006294,0.3644059521,0.5288047734
02/1968,0.5660295948,0.839047127,0.569114879,0.4692567585,0.5289137288,0.5203370055,0.5416033905,0.3792849107,0.38142939,0.3799645643
03/1968,0.5574112996,0.8733444451,0.5888825577,0.4841918772,0.5460615232,0.543459451,0.5622864175,0.3855313282,0.3939577081,0.3939246436
04/1968,0.5742328015,0.8904041938,0.5923152835,0.4868720436,0.5410393504,0.5467012625,0.5614645352,0.3877373172,0.3921072007,0.5481413818
05/1968,0.5198193813,0.7888665576,0.5463020313,0.4312727203,0.504234615,0.5078045828,0.5191908469,0.3571311845,0.4676187142,0.5447517407
06/1968,0.5072138381,0.7725455062,0.5433556942,0.4238215805,0.5116580115,0.5004412274,0.5241234529,0.3588266024,0.4612961643,0.5448918275
07/1968,0.6853613248,0.8098059475,0.4922467242,0.4678944067,0.499275563,0.5781266361,0.5235497733,0.4118298695,0.3525638109,0.4913641887
08/1968,0.7219185136,0.8417586855,0.5076850459,0.4757500386,0.5040670628,0.5562917782,0.5371802359,0.4248812327,0.361579348,0.3666568865
09/1968,0.7174461534,0.8290010867,0.4995741282,0.4589553327,0.4965495996,0.5520828856,0.5310926211,0.4241089103,0.3533633644,0.3654547329
10/1968,0.6710752294,0.7742429302,0.4731477951,0.4363739704,0.4687739396,0.5361700112,0.5043418244,0.4012903638,0.3509255721,0.3600147673
11/1968,0.6719256483,0.75381582,0.4590109299,0.4323437006,0.4608069131,0.5173400677,0.5075573294,0.4002909587,0.3530300988,0.3641584099
12/1968,0.6508747527,0.7223740423,0.4588739699,0.4220919615,0.4331887744,0.4963809094,0.4778236813,0.3837646587,0.3319897889,0.3430626127
01/1969,0.6489185098,0.713518141,0.4657474364,0.420012771,0.4360413251,0.5085888195,0.4847533826,0.3956424844,0.3411935544,0.3580375011
02/1969,0.6588656847,0.716371002,0.4707103048,0.430004611,0.4449298847,0.5163425898,0.487701931,0.3971300326,0.3395129595,0.3600252989
03/1969,0.7190494698,0.7750172759,0.4942043146,0.4424115269,0.475084663,0.5409624994,0.5193481652,0.4174621613,0.354135005,0.3726908885
04/1969,0.7117814294,0.7530956932,0.4754324966,0.428698315,0.4508687436,0.5204585005,0.507531063,0.4093243351,0.3473001037,0.3626490676
05/1969,0.7128762931,0.7352906181,0.4759084618,0.4220254175,0.4361568322,0.5271504396,0.5005246167,0.4042344692,0.3365258282,0.3465596718
06/1969,0.7349383141,0.7374895381,0.4767461731,0.4269755531,0.434945339,0.5177957106,0.5034586907,0.4049751987,0.3385426927,0.3500679185
07/1969,0.8475889669,0.9768950968,0.5721679687,0.5908769479,0.4829609955,0.5954453463,0.5189035955,0.4557399094,0.4096675675,0.3664841421
08/1969,0.9543287276,1.0502061648,0.6145938349,0.6310241552,0.5171992883,0.6618666938,0.5516361019,0.4815350203,0.4291532358,0.3808152519
09/1969,0.9345092531,1.0082096958,0.6031169036,0.6141000053,0.4899323467,0.6333528533,0.5331699895,0.4650402717,0.4152495974,0.3657577067
10/1969,0.9729617626,1.0523482074,0.6023876314,0.6192251716,0.5068337483,0.6684759116,0.5476363677,0.484008019,0.4296144015,0.3708881967
11/1969,0.9081241855,0.9965204067,0.5811870913,0.6002742517,0.4801733097,0.6530568147,0.5284704214,0.4547944998,0.4063366084,0.35397297
12/1969,0.9690840662,1.050083656,0.607345736,0.6167396552,0.5015686265,0.6861829631,0.5496915642,0.4775933484,0.4236208623,0.3679793536
01/1970,0.9870394475,1.0760849175,0.6179634621,0.6153706896,0.5156189384,0.6959771221,0.5763156484,0.4823325138,0.4090570701,0.3674649666
02/1970,1.0777586203,1.1329596326,0.6588195761,0.6906242953,0.5628962802,0.7838496935,0.6090792402,0.5149251773,0.4471652448,0.3800418093
03/1970,1.0326359184,1.0656110298,0.6121763003,0.6464207668,0.5327182381,0.7341385785,0.5884651548,0.491871422,0.4287970373,0.3727034924
04/1970,1.0427588705,1.0630057394,0.5869539104,0.6545975484,0.5380783454,0.7379852972,0.592570712,0.4878184332,0.4330600402,0.3678208928
05/1970,1.1977237285,1.1813032028,0.6392230566,0.7343609344,0.593336701,0.8149119461,0.6476615566,0.5358028175,0.4761832751,0.4086296692
06/1970,1.2759497575,1.2547889384,0.6921313071,0.8075732691,0.6472458704,0.8255254968,0.6940480662,0.5579265486,0.5121627884,0.4279452541
07/1970,1.6170418673,1.3548751956,0.9510621885,0.8060201328,0.7929269583,0.9141288895,0.7374184345,0.6051161682,0.7306073446,0.4366323113
08/1970,1.519508503,1.2986349538,0.8949235634,0.7438463155,0.735115342,0.8210224994,0.6870572773,0.5587642299,0.6777286204,0.4160715628
09/1970,1.4645966788,1.2469501444,0.8580463945,0.6962301067,0.6964167652,0.7788472075,0.6663034655,0.5395235605,0.6507135812,0.4022610074
10/1970,1.3290084418,1.1979593691,0.8276346929,0.6873292379,0.6636924908,0.7623382161,0.6494879148,0.5226123961,0.6355604511,0.3851513502
11/1970,1.4230864758,1.2499090143,0.8565592375,0.7094908561,0.6663450149,0.7727969947,0.6730725683,0.5257157773,0.6380815403,0.3888738035
12/1970,1.3798555232,1.1927183757,0.8469078222,0.6684272288,0.6401658626,0.7396838365,0.6479674033,0.4907531086,0.6065122121,0.3745811265
01/1971,1.2507544015,1.0955306889,0.7610931668,0.6146007063,0.5945272795,0.6922411522,0.5993807871,0.4642869256,0.5634695394,0.3583198207
02/1971,1.1432143025,1.0362402683,0.708523558,0.5849705653,0.5747906319,0.6673260641,0.5652472585,0.4421055115,0.5426686896,0.3431398022
03/1971,1.1086034327,1.0241010357,0.6939155496,0.5823006923,0.5568212772,0.6511728094,0.5586866905,0.441023696,0.5376404749,0.3452065548
04/1971,1.0629948324,0.997756851,0.6671166502,0.5614327386,0.5414571362,0.6263266705,0.5389564371,0.4190166065,0.5592041037,0.3430773035
05/1971,1.028854449,0.9534025175,0.6428031122,0.5290313586,0.5078109445,0.6099979101,0.5143136828,0.4088744523,0.5513915121,0.340586914
06/1971,1.0642976111,0.990263656,0.6777270793,0.5586424038,0.5347069293,0.6340427578,0.5320126584,0.4195846219,0.5778575524,0.3582097851
