date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5641289252,0.330524781,0.4928115206,0.4414908493,0.4963741832,0.5682332141,0.6665222201,0.6678684118,1.0426103073,0.8170852572
08/1963,0.5752260313,0.3288103662,0.493991755,0.4379585374,0.4964539375,0.5609102163,0.6713893256,0.6743101958,1.05192925,0.8313765048
09/1963,0.5369057519,0.3133365652,0.4720403751,0.422375393,0.4698313979,0.5330348007,0.6403619234,0.6431955157,0.9750023491,0.7699213016
10/1963,0.5562207648,0.3149424958,0.4687505803,0.4344535422,0.482399563,0.5470801088,0.6402400429,0.6608624497,0.9710515268,0.7856161539
11/1963,0.5341755517,0.2858038075,0.4541939387,0.4337113523,0.4759104072,0.5400347054,0.6439500338,0.6503211825,0.9513574523,0.7691210048
12/1963,0.5412214013,0.3008702406,0.447534646,0.4371486883,0.4813292745,0.55103789,0.6617620299,0.6540241244,0.9562201507,0.7917693508
01/1964,0.5263032551,0.3584053621,0.4373663201,0.4346679909,0.463959711,0.5340629671,0.6394495676,0.6421035595,0.9485983699,0.7699494713
02/1964,0.529200616,0.3509836116,0.4187211253,0.4097976009,0.4581713639,0.5185478897,0.6360611397,0.6292298438,0.9320907969,0.7439101833
03/1964,0.5183317053,0.3489423327,0.4128320139,0.4026065873,0.4528063773,0.5109160353,0.6274996209,0.6160794488,0.9075227991,0.7305123579
04/1964,0.5049301359,0.3471538308,0.4126640503,0.3994704651,0.450742332,0.497437849,0.6081288072,0.5870793549,0.8518659597,0.7014625206
05/1964,0.4987439035,0.3368280664,0.4078917336,0.4030049576,0.451868821,0.4953296408,0.5933692962,0.5969795851,0.8983114678,0.7245367176
06/1964,0.5048796065,0.3309203248,0.4057318192,0.4014384598,0.4528489701,0.4874206538,0.5906845109,0.5952487801,0.8951459112,0.7155273653
07/1964,0.3731652029,0.4587179203,0.4967933489,0.4406764437,0.4089713938,0.4914179098,0.6210168596,0.6978554759,0.7100346812,0.3520754315
08/1964,0.3688199229,0.4479590529,0.4911562178,0.4257105232,0.401916552,0.4809158545,0.6096063693,0.6669520226,0.6965458365,0.3413350477
09/1964,0.3641867252,0.3214477925,0.50045811,0.4329672956,0.4074923497,0.4935145897,0.6149794525,0.6657669962,0.7026207542,0.3466555209
10/1964,0.3498358698,0.3152927522,0.4834405938,0.4192844937,0.4004143043,0.4811590546,0.5918556974,0.6500307181,0.6942616876,0.3321827285
11/1964,0.3484404427,0.3138564769,0.4838955021,0.4073388168,0.400485497,0.4741467018,0.5885691384,0.6456874879,0.6789255886,0.3327298041
12/1964,0.3450370103,0.3137040918,0.4833453153,0.3962748205,0.4080135202,0.4747786408,0.5916249487,0.6512950479,0.6759099532,0.3603262021
01/1965,0.3319918117,0.3101460334,0.4792873815,0.3943963177,0.3939937663,0.4711406523,0.6008946084,0.6607553326,0.6817775722,0.3568769612
02/1965,0.321624983,0.2953392224,0.4590093613,0.3874406841,0.3842465591,0.4637477291,0.5765933357,0.6320851302,0.6486523657,0.3404585394
03/1965,0.3146483104,0.4198421724,0.4519099289,0.3919487334,0.3849636724,0.4729099832,0.5715468466,0.619934464,0.6395086767,0.3434174522
04/1965,0.3213453502,0.4259937972,0.4512477051,0.3998479383,0.38950307,0.4829415553,0.5802898834,0.6224953779,0.6425740094,0.3498946462
05/1965,0.2963797953,0.4137038055,0.4369774236,0.3886913318,0.3730098843,0.4786770622,0.5671506189,0.6142651491,0.6205175463,0.3424199461
06/1965,0.3006025752,0.4142863784,0.4374716794,0.3898347806,0.3772700326,0.4853035566,0.5701561889,0.623231013,0.6260849763,0.3386644859
07/1965,0.3277094618,0.3036971432,0.4003286219,0.5154177487,0.5124405029,0.5373173209,0.460019284,0.6432482303,0.6689827645,0.4174843251
08/1965,0.3216000183,0.3059237425,0.3947015424,0.5111033307,0.4982056424,0.5280838079,0.4541169926,0.6386917783,0.6523267619,0.4128335819
09/1965,0.3095653217,0.2964343344,0.3840336596,0.5011318271,0.486608176,0.5159001891,0.4488894566,0.630004396,0.6321951573,0.4065137138
10/1965,0.2990413127,0.2898838032,0.3716656124,0.4896297876,0.4718952167,0.5069562149,0.4281031094,0.6175948666,0.6002295042,0.392665131
11/1965,0.2875728997,0.283484823,0.373425799,0.4825567194,0.4646433087,0.4959591981,0.4122797389,0.6087981218,0.5779833683,0.3789335779
12/1965,0.2902629074,0.2780059326,0.3625313471,0.4993639439,0.4595923394,0.4929170094,0.425115748,0.615178002,0.5778938347,0.3824055551
