date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6992390194,0.6401160626,0.6428422868,0.4802056792,0.5255129298,0.4332237545,0.4643385686,0.37805678,0.9059586071,0.9536794371
08/1963,0.7025877259,0.6513152089,0.6411447376,0.4754316289,0.5254572733,0.4380796975,0.4601152423,0.3806725701,0.9128362344,0.9523602867
09/1963,0.6593842269,0.6137221189,0.5982917564,0.452125114,0.5054714766,0.4199714327,0.432779687,0.3625603858,0.8514092238,0.8935794594
10/1963,0.6820636416,0.6404017374,0.6084716275,0.4586062094,0.5051146564,0.4192999526,0.4411876602,0.3617222285,0.8620344887,0.9290933497
11/1963,0.6368719398,0.620767836,0.6054453416,0.425200427,0.4941172843,0.4006703788,0.4233650655,0.3553261106,0.8553876872,0.9091004369
12/1963,0.6413000406,0.6244969608,0.6174661672,0.4472989575,0.4825626126,0.4054805247,0.4299384448,0.3646719084,0.8697009155,0.9029684322
01/1964,0.6225732674,0.6100090108,0.6080998149,0.4315462361,0.4725501727,0.5735349719,0.4420843303,0.3560154858,0.8543669317,0.8683723764
02/1964,0.6075411798,0.6080752451,0.5965877687,0.4174676548,0.4566262219,0.5611112341,0.410413594,0.3427614123,0.8498591356,0.8375855162
03/1964,0.5823188186,0.5988553765,0.5751004002,0.4140145694,0.4475714543,0.5467041604,0.4078088334,0.3452544542,0.8300897557,0.8103586002
04/1964,0.5490197535,0.5811244209,0.5693317976,0.4057447921,0.4469579025,0.5359599339,0.3970061134,0.3438369892,0.7972917236,0.7500521942
05/1964,0.5475974099,0.5756699605,0.5654321273,0.3945308322,0.4408654278,0.5357767631,0.4285613801,0.3417245217,0.7984814746,0.7723220541
06/1964,0.5489467946,0.5714820595,0.5525013067,0.3868359659,0.4455629467,0.5335919489,0.4314757315,0.3381341255,0.7781471957,0.7593963177
07/1964,0.6269544816,0.6238274768,0.3539811991,0.4925545554,0.4750281598,0.4377028913,0.4723076575,0.5170680471,0.5276325786,0.547956382
08/1964,0.6107666284,0.6064305917,0.3457176954,0.4845096013,0.4661957728,0.4293846888,0.4615060741,0.5089524248,0.5236192682,0.5346819874
09/1964,0.6011474141,0.6138743781,0.3558880975,0.490022441,0.478695951,0.4333149204,0.3605303878,0.5243206827,0.5303812305,0.5427709741
10/1964,0.5791658188,0.592160627,0.3445389519,0.4677355436,0.4576633387,0.4299359201,0.3522914529,0.5121178231,0.510064851,0.5294067518
11/1964,0.5770077162,0.5907970471,0.3409016784,0.4599872536,0.4532573523,0.4286619907,0.3529357173,0.4988013598,0.5138523753,0.5216413082
12/1964,0.5782523265,0.5982782258,0.3592451693,0.4618957844,0.4459018837,0.4409852942,0.3475980308,0.4985939978,0.5110664837,0.5188335988
01/1965,0.5575849377,0.5933764118,0.3565897685,0.4607579729,0.4516502229,0.4244387221,0.3441702506,0.4928956936,0.5078971905,0.5168383122
02/1965,0.5349599142,0.5579522035,0.3358786126,0.4630724652,0.4286718072,0.416488869,0.3269909114,0.4914855437,0.4861088655,0.4933781801
03/1965,0.5283971581,0.5489130843,0.3346469319,0.4702370508,0.4300801673,0.4195538557,0.4093204897,0.5048659474,0.4774514559,0.482160079
04/1965,0.5361520163,0.5556685458,0.3445830559,0.4781729409,0.4402662601,0.4200057293,0.4185862141,0.5170707791,0.4753857667,0.4921587002
05/1965,0.502001605,0.5319178558,0.3337055446,0.4596848366,0.4201544834,0.4028563401,0.4109166025,0.5063900193,0.4591067207,0.4735036658
06/1965,0.512079287,0.5291920635,0.3306760524,0.4685047094,0.4197665113,0.4060874941,0.4086309886,0.5142364312,0.4682338744,0.4733096352
07/1965,0.5811438758,0.4333827324,0.5295253778,0.4387312854,0.4669569857,0.4939828869,0.5212306104,0.5102772349,0.3867860777,0.4933872135
08/1965,0.5810157975,0.4336849462,0.5188193734,0.4306768728,0.4566952505,0.4910486678,0.5116603067,0.5016538803,0.3935496897,0.4697611839
09/1965,0.554758765,0.4230469906,0.5034551306,0.4230482574,0.4488210897,0.4810635793,0.4960224789,0.4837226784,0.3907166287,0.4418287779
10/1965,0.5315724344,0.4215161218,0.4875548623,0.4021047418,0.4300236157,0.4712611143,0.4776473323,0.4649748295,0.3779970037,0.4249047844
11/1965,0.5131977699,0.4164117602,0.467232692,0.3815183484,0.4167661901,0.4680888363,0.4691620484,0.4853345573,0.374389931,0.4030545451
12/1965,0.5153509918,0.4108433207,0.4767097271,0.3984695065,0.4182780873,0.4897117154,0.4617325224,0.4339643038,0.3796079469,0.3931197805
01/1966,0.4835702366,0.393606019,0.4759230417,0.3876478868,0.4169320513,0.5429475043,0.4497174485,0.4618667578,0.3756600048,0.3899330357
02/1966,0.4648683945,0.4016976358,0.4716642651,0.3851926412,0.4146177649,0.5473358618,0.4454446522,0.4438939215,0.3763527252,0.3727695729
03/1966,0.4648204132,0.4052982515,0.4786358833,0.3913419711,0.4227452464,0.5505421891,0.4567649669,0.45454233,0.3910089424,0.4044395566
04/1966,0.4785932994,0.4114378807,0.4891717747,0.4067071431,0.4353314677,0.5727572227,0.4705179528,0.4717190623,0.4044706436,0.4082436245
05/1966,0.4691671115,0.4354331521,0.4855451355,0.4074534344,0.4207625828,0.5659735976,0.4535494654,0.448385304,0.4064606609,0.3918054997
06/1966,0.5099917334,0.4578636407,0.5069969486,0.4386175306,0.4396995348,0.5890267834,0.4897661084,0.4752695448,0.4154494059,0.4249583828
07/1966,0.3192623731,0.463017493,0.3277155235,0.3857936736,0.5316661487,0.533405065,0.5715909529,0.6637493519,0.4724176534,0.6482535779
08/1966,0.3377461437,0.4775910056,0.3185349442,0.4410872783,0.549113862,0.5367645722,0.5798360959,0.6659614113,0.4825728473,0.6604143719
09/1966,0.3727960422,0.5258149987,0.3434001343,0.417800711,0.5824593403,0.5839741069,0.6226399624,0.712302312,0.5238665075,0.7794285939
10/1966,0.3860784419,0.5236793051,0.3471945858,0.4239414179,0.6029352745,0.5771840083,0.6373666161,0.7021699923,0.5292859166,0.744581818
11/1966,0.3624309988,0.5268125994,0.3316915731,0.4154172074,0.5994530985,0.5446965625,0.6013474443,0.658703949,0.5194217946,0.7264935491
12/1966,0.3513481425,0.4995501549,0.3231120356,0.4300453578,0.5853617426,0.5415067323,0.6097475387,0.684351721,0.5013469313,0.6924954542
01/1967,0.3638985951,0.499916997,0.3197580653,0.423634839,0.6027484313,0.5356740499,0.5947336942,0.6861633069,0.4841527287,0.6830729881
02/1967,0.3424300124,0.4454965704,0.2965924185,0.4489630765,0.5473854543,0.500136909,0.5515159058,0.6459789325,0.4517856501,0.6371726788
03/1967,0.3438800871,0.4535140569,0.2845799256,0.457685815,0.5379328164,0.4979441775,0.5612141516,0.6546145281,0.4943022807,0.6263316946
04/1967,0.3320171805,0.4553455811,0.2695528848,0.4332773556,0.541775984,0.4974337924,0.5421662831,0.6262351174,0.4768678808,0.5994132672
05/1967,0.3109566321,0.4451714796,0.4834527201,0.4019850872,0.4973524989,0.4902839617,0.5367557323,0.6099065926,0.4597743562,0.5702706585
06/1967,0.3306404506,0.4500910499,0.2603239964,0.4258454096,0.5287622949,0.4990227482,0.5658889292,0.6315693154,0.4816621493,0.5967410579
07/1967,0.5046968542,0.4441677603,0.406183657,0.3756850519,0.2870313788,0.6364545445,0.5985045048,0.4756868593,0.5896186125,0.5859914839
08/1967,0.4747292157,0.4197429388,0.3954131392,0.3679190696,0.287572042,0.5917628274,0.595166767,0.4372394865,0.5619220876,0.5488594932
09/1967,0.4911582694,0.4311388211,0.3958640575,0.3699340123,0.2827254471,0.6092900657,0.6039004009,0.4433012623,0.5639167827,0.5488628575
10/1967,0.4739101327,0.4238166009,0.3770454415,0.3576969133,0.2726309915,0.596716175,0.585859685,0.4256564531,0.5449708528,0.5190097666
11/1967,0.4760529015,0.4401949916,0.3931848418,0.3543713927,0.2670159282,0.6161001924,0.600903653,0.4500047758,0.5854980312,0.5352795972
12/1967,0.4752005328,0.4915383931,0.4018627055,0.365309581,0.4460107732,0.6230408038,0.5981058345,0.459523673,0.598708876,0.5400317511
01/1968,0.4619018632,0.4161431763,0.3766778198,0.3541295264,0.426803243,0.5897933435,0.5779169895,0.4427727898,0.5728526443,0.4810626687
02/1968,0.4919952324,0.4488612297,0.3938970112,0.3795140252,0.2594010247,0.6020093834,0.5911954336,0.4640465479,0.5813902052,0.5408518292
03/1968,0.4711923649,0.4745894661,0.4054456467,0.389176686,0.268641468,0.6260362147,0.6080091848,0.4841972571,0.603779077,0.5778984612
04/1968,0.5103209437,0.4630354947,0.4119978863,0.3816538034,0.4284526632,0.616154129,0.6067656445,0.48339402,0.6189649558,0.5730586328
05/1968,0.4692206937,0.4161197424,0.3850098878,0.4341724477,0.4000326131,0.5871598062,0.5868820481,0.4423657346,0.5713781071,0.5050847663
06/1968,0.4632822857,0.4122371758,0.3873965426,0.4353121412,0.4000947352,0.5896105185,0.5836206684,0.4443722341,0.5587136943,0.5006766045
07/1968,0.4449778088,0.4234176281,0.3715581347,0.4459522458,0.4933773555,0.7302303005,0.451034105,0.4763584323,0.5788110626,0.5528961679
08/1968,0.4631136704,0.4454376947,0.3808738647,0.4446437464,0.5021757914,0.7363465211,0.2713807422,0.4942318201,0.5930248575,0.5595750342
09/1968,0.4525896799,0.4281453448,0.3740846358,0.4372498902,0.4983020923,0.7300049745,0.2697511898,0.4890454236,0.5747709022,0.5461396707
10/1968,0.419910542,0.4079995246,0.3587969511,0.4249301834,0.4802974214,0.7002130055,0.2615514681,0.4558936019,0.5461545982,0.5127117962
11/1968,0.4243942462,0.4069434628,0.3460143582,0.4220631393,0.4698066499,0.6865364041,0.27201138,0.4472512086,0.5373646182,0.5097806116
12/1968,0.408988834,0.3862124151,0.3264858213,0.4017040032,0.4523165472,0.6586679683,0.2546798811,0.4472349763,0.5182307559,0.4723625625
01/1969,0.4000419915,0.3776459693,0.3296914068,0.4269174834,0.4632375749,0.6685643317,0.2598537861,0.4584096569,0.5220895101,0.4683609839
02/1969,0.4106478451,0.3902398381,0.3347828589,0.4245653211,0.4689755879,0.6700994161,0.2688383227,0.4634963281,0.5279056812,0.4723837046
03/1969,0.4424695047,0.4095319779,0.3560962514,0.4458679138,0.4902343382,0.7100945604,0.2782581605,0.4793746465,0.5666334568,0.5126024687
