date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6879143114,0.5274092912,0.4926208016,0.4120243665,0.4343174032,0.4100215576,0.47453916,0.4972313598,0.6477948955,0.5610882392
08/1963,0.5095569291,0.7003442205,0.4303057364,0.5330035774,0.4381403951,0.3245551499,0.3437359,0.6061701183,0.5834180651,0.6041676643
09/1963,0.7564577131,0.5234703643,0.6592565942,0.4809346759,0.3827703531,0.4606885365,0.4442256643,0.2961835662,0.5443104171,0.5721405335
10/1963,0.6669676508,0.5864215164,0.7591673959,0.3935847102,0.4623405862,0.4793409415,0.2389833704,0.528214878,0.4691907832,0.5853911701
11/1963,0.6637656124,0.6618441619,0.6677301503,0.4696868533,0.5470188145,0.4964922901,0.3065941967,0.3484074129,0.8239321714,0.409799209
12/1963,0.8551239294,0.7219788907,0.6469296784,0.4939789074,0.5640417664,0.4590957122,0.4374544077,0.3358960108,0.3971010209,0.4994438307
01/1964,0.686497805,0.6462753068,0.6148783078,0.6245335377,0.4586988499,0.539443619,0.6309902134,0.4147067367,0.4005625991,0.5806575026
02/1964,0.7068048188,0.5482321608,0.6106974527,0.4479139715,0.5627345754,0.5192284287,0.3883345782,0.5155458115,0.4160301227,0.4804128746
03/1964,0.6674821366,0.6026448205,0.4511012428,0.4591367796,0.428127036,0.5166877129,0.3674436034,0.470511649,0.430257835,0.6536619188
04/1964,0.6120522989,0.5540649426,0.4369310794,0.452688634,0.4057359568,0.385827094,0.4988914345,0.5021142537,0.3740774722,0.6511938242
05/1964,0.533161238,0.5166460286,0.39509509,0.433267065,0.4976005051,0.3382227164,0.3992546184,0.7255422366,0.4886145768,0.5462539375
06/1964,0.5670679399,0.3772987775,0.4635895447,0.5427137788,0.4188694147,0.3455819964,0.4516720764,0.4115388109,0.5368489821,0.6185244737
07/1964,0.4870127726,0.4590299087,0.454069922,0.4417741486,0.4300358615,0.3746768238,0.5523716219,0.5716425898,0.3739640273,0.7586286786
08/1964,0.4743077271,0.3888557117,0.4904826822,0.4347992759,0.3166647873,0.464087912,0.5545514808,0.7555882073,0.435562335,0.6135034129
09/1964,0.4162501753,0.5673354724,0.3690024511,0.3910234643,0.5577793993,0.5401199418,0.4426139732,0.5701386913,0.3730645973,0.4342737567
10/1964,0.2710890686,0.4960596485,0.47229239,0.4693065106,0.3504727845,0.447967332,0.6444103957,0.5001648004,0.390373358,0.52539017
11/1964,0.2442702138,0.4494787765,0.6696717201,0.3846841431,0.2978247878,0.5602293795,0.4783362933,0.4662518302,0.4050654266,0.7048608663
12/1964,0.2602482683,0.5570567478,0.379713083,0.7302201354,0.5512655759,0.3175110206,0.5285904934,0.4045625525,0.3904244324,0.5981766961
01/1965,0.2468724928,0.5821830782,0.4306809676,0.4022101971,0.5417597139,0.5474789097,0.4549067192,0.3046514638,0.3985691528,0.5942200372
02/1965,0.3917189886,0.7615113354,0.4844248477,0.4989190757,0.3950593131,0.2908567969,0.3284606545,0.3565344403,0.3210497817,0.4142047262
03/1965,0.4833830339,0.5072868435,0.434151994,0.4457816989,0.4969535534,0.3509299364,0.3044342159,0.3719716518,0.2524827498,0.5793305639
04/1965,0.6005508359,0.4374584619,0.7079701289,0.3541784105,0.4897911418,0.3190382025,0.3602708754,0.501767442,0.2592443218,0.6500738586
05/1965,0.5652062315,0.5071749971,0.3845402113,0.4703518059,0.3896146449,0.3090094875,0.3579404615,0.2587630348,0.5525967162,0.4421503675
06/1965,0.5612038455,0.4046795002,0.4643742511,0.4038328301,0.3940227153,0.4179420057,0.3460689126,0.3180793159,0.4071178825,0.4105604665
07/1965,0.5903455169,0.4683795706,0.4528298344,0.5526817343,0.4215123146,0.5229450779,0.5867816845,0.325250474,0.2958262418,0.4768496103
08/1965,0.4625640162,0.5187630925,0.4539736909,0.4568974136,0.4465900436,0.4900802783,0.6423710524,0.2967582421,0.3235642084,0.4410315374
09/1965,0.5916592469,0.4036490342,0.5875622305,0.4539597622,0.383035273,0.6895694087,0.4621590991,0.2449809072,0.3661732152,0.3693866187
10/1965,0.5308966579,0.46069409,0.3889349841,0.3814739232,0.4642634032,0.4787239466,0.5901790533,0.259954733,0.3335804847,0.3266869377
11/1965,0.4049904658,0.4464729258,0.4866002666,0.3690450808,0.6352950832,0.4996834377,0.2595165014,0.3573700481,0.4210951862,0.3021732282
12/1965,0.4871598112,0.4509176425,0.4102300449,0.5561261851,0.2436313466,0.2445278529,0.3471010618,0.3577204009,0.6287304478,0.2945303265
01/1966,0.4939748478,0.4397355917,0.444403109,0.3882517733,0.4795728141,0.3646173505,0.4310245741,0.6387686794,0.3339265495,0.2961558904
02/1966,0.4805251074,0.294017018,0.4552429303,0.3977182691,0.4566880707,0.5040120615,0.3843337209,0.5368384847,0.4239138889,0.2715596303
03/1966,0.4942053765,0.5500092571,0.3334007371,0.3992678219,0.4872095625,0.3976071279,0.3330406681,0.5548663734,0.36130077,0.2798560743
04/1966,0.5083009336,0.4941387804,0.3212569504,0.3211420228,0.5710892169,0.4052363763,0.4460895445,0.3244685755,0.4591307752,0.3844177575
05/1966,0.5053145575,0.4820651687,0.5228334655,0.3053576058,0.2423133619,0.5600197271,0.432983311,0.5731678804,0.3513784452,0.2707088347
06/1966,0.4995907121,0.4822640951,0.547512136,0.3921023387,0.501853107,0.2199217532,0.6376953284,0.4396310634,0.4125905304,0.431108024
07/1966,0.5301564355,0.4736306198,0.6105583316,0.4216477994,0.5703264633,0.4844227272,0.2890388973,0.4315848509,0.2714288662,0.3187211844
08/1966,0.5983012199,0.4593469445,0.5941234893,0.3934631213,0.5941385865,0.512833497,0.6326578452,0.5008255889,0.2881141981,0.3306823947
09/1966,0.6401807634,0.6268622921,0.5440540145,0.509217108,0.7145578935,0.5689970137,0.5655882411,0.5684317894,0.3515087099,0.3282118153
10/1966,0.6769408218,0.4800640061,0.5424869925,0.4608077753,0.682142685,0.6369835744,0.3968463732,0.5316784714,0.6116090613,0.3925173242
11/1966,0.6237682424,0.5407067908,0.5933369721,0.542139319,0.6205604969,0.58404721,0.2747021998,0.3157226279,0.5163218408,0.5875467549
12/1966,0.5116063231,0.6612571304,0.4953227762,0.5195511163,0.4956585962,0.6314875635,0.3765834668,0.5827915027,0.5049449991,0.2945476983
01/1967,0.6622984583,0.572062953,0.4547549239,0.5231485979,0.5915714215,0.5929614933,0.3686850188,0.624357658,0.4068714467,0.2843735931
02/1967,0.5248303205,0.5161838132,0.4538977883,0.3865708926,0.5853190282,0.4700115132,0.5815540586,0.4533990553,0.3856525237,0.4230491868
03/1967,0.5890974108,0.4609726317,0.4038221341,0.5520946921,0.5546959117,0.7672898538,0.3711106805,0.5262144202,0.406303275,0.1665248277
04/1967,0.5184466211,0.5660858007,0.4580618168,0.4943066889,0.3700795364,0.6731136801,0.5109173137,0.2930614688,0.1910916708,0.2968658724
05/1967,0.5555916986,0.555841569,0.4416165537,0.4239186641,0.5695900835,0.5141659353,0.4619435106,0.2921219442,0.3392176295,0.3018145835
06/1967,0.5777676138,0.5836291594,0.4270546678,0.4378934858,0.5022000625,0.6805758781,0.3645720823,0.1841819634,0.3057701178,0.3866131031
07/1967,0.5727222745,0.6410107746,0.4131286069,0.5346128736,0.5049350192,0.4220797688,0.3237612457,0.1994087865,0.3626501448,0.4548304705
08/1967,0.6047897511,0.5742665605,0.4752935363,0.4365135575,0.5953130458,0.4498786952,0.4331560184,0.2675064438,0.3720754294,0.3190688573
09/1967,0.61287344,0.4224051223,0.562817759,0.4421550813,0.5277662865,0.523477452,0.5969861226,0.273031034,0.3673479768,0.3693179828
