date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.4753703306,0.4098937848,0.4100351177,0.5226297004,0.4732294173,0.3623805255,0.4082234243,0.4533665338,0.7891569559,0.8218680307
09/1963,0.5158632291,0.5189163454,0.3371141635,0.4258809772,0.3398009351,0.600292441,0.4275041036,0.5364003053,0.4314550302,0.609957062
10/1963,0.5704730185,0.3921992235,0.6277572519,0.4220274652,0.4356309737,0.4381502758,0.424537128,0.5582905043,0.4903536851,0.617091436
11/1963,0.5560095834,0.5461589717,0.4373927298,0.4283229372,0.3962996522,0.3367324048,0.49301563,0.4510578106,0.7264641107,0.7486173526
12/1963,0.494027377,0.5659816699,0.5074081039,0.5323534699,0.5000329135,0.3036914089,0.6389800216,0.5173124201,0.5005128027,0.3573040178
01/1964,0.5780111415,0.5002952641,0.4655746912,0.4428335184,0.4344335939,0.3590400997,0.5054769045,0.4227754888,0.6810276084,0.5082073481
02/1964,0.531822804,0.443095012,0.4426713428,0.4479984639,0.4806615382,0.4073007207,0.3896087639,0.6272246876,0.6313224817,0.5770681483
03/1964,0.3911706274,0.4701721997,0.5557886464,0.6003888719,0.4337256676,0.3960628091,0.5626480361,0.4371136112,0.3490621943,0.3603313743
04/1964,0.5205632452,0.4265066101,0.4849304702,0.550151796,0.4374374093,0.3737458604,0.4466000465,0.5079636867,0.3953433742,0.6971683465
05/1964,0.4826100591,0.345331001,0.5401768532,0.4969496679,0.4891262843,0.4363018292,0.4701957991,0.3129803706,0.5041519303,0.6594985773
06/1964,0.4124827342,0.4546942688,0.4548297642,0.3790155,0.4923818805,0.353950655,0.4685227384,0.4604560056,0.5294649608,0.5721966391
07/1964,0.4917174747,0.4120670191,0.454123009,0.4514274429,0.5099771213,0.5413810084,0.4086193024,0.3926842756,0.560465863,0.6267284749
08/1964,0.3696373304,0.3267281001,0.4407699706,0.506043617,0.5644103798,0.6072213217,0.3536982361,0.5071905079,0.4794641785,0.7897023848
09/1964,0.5143789682,0.3665648637,0.2917234469,0.4456698123,0.442703492,0.5561749126,0.4744352625,0.4729545432,0.4115349188,0.6519131889
10/1964,0.3225794819,0.4801092849,0.3896782258,0.5554038195,0.5258504722,0.4616334813,0.5279961492,0.4223360647,0.3272820844,0.5499551152
11/1964,0.4200273376,0.2850477476,0.4360901736,0.3589944537,0.4734765027,0.5698314388,0.4548888226,0.3474051326,0.431392321,0.5497737544
12/1964,0.3868529409,0.2812802892,0.4309301925,0.4701420261,0.3656380003,0.561021175,0.4730315682,0.3621652593,0.5802245968,0.6025164089
01/1965,0.4620835253,0.337423028,0.5672120541,0.3644807326,0.4134527154,0.4369921373,0.3591328549,0.4567148003,0.4616666715,0.6117714842
02/1965,0.5059328902,0.4473977171,0.4242219815,0.527693599,0.3808130615,0.4582160514,0.3770146844,0.3327047222,0.3332238751,0.366719349
03/1965,0.5435675447,0.4353178443,0.450912282,0.3477327439,0.5685495968,0.3527140507,0.5293736918,0.3550105978,0.3621186747,0.2718911413
04/1965,0.6822809478,0.5640415797,0.4519428936,0.4200217514,0.4538784629,0.3820252272,0.3437218265,0.3567326386,0.3414327719,0.3281867587
05/1965,0.4907519659,0.5167671801,0.4592271268,0.3519498909,0.4228432472,0.3691243336,0.3175510153,0.3954010586,0.4409658894,0.37584732
06/1965,0.5191583974,0.3335297979,0.4894684828,0.4633954258,0.3402783382,0.4602747668,0.3949850175,0.3225764163,0.4578013402,0.5511167933
07/1965,0.5612693542,0.4556533552,0.4611487006,0.4432144869,0.5950451273,0.4982433228,0.3155204162,0.486171716,0.3430057464,0.4637258058
08/1965,0.575930654,0.5955813295,0.4132891517,0.3984308676,0.4210112486,0.5321493945,0.4352090658,0.4569051186,0.4767334495,0.4844012238
09/1965,0.4778752626,0.4458890396,0.4969552522,0.4713816143,0.4407648527,0.4138836291,0.4747939456,0.3931715175,0.6289450487,0.4828066345
10/1965,0.3948871018,0.4493715736,0.4023249255,0.3912301925,0.3624630577,0.5258681748,0.4847937205,0.3918046714,0.5842455872,0.5157878313
11/1965,0.4390202262,0.4083417133,0.4914269645,0.4135125553,0.4980640304,0.541796991,0.3370809427,0.5083323397,0.3731941238,0.5110928197
12/1965,0.3512575842,0.5129492921,0.3947066885,0.3754632709,0.4836689395,0.3759909177,0.3189654961,0.6168265128,0.4940895662,0.3688640564
01/1966,0.5765352589,0.4281969509,0.555247754,0.4682267383,0.4134083694,0.2859318246,0.399908787,0.6043571677,0.5511999718,0.3597935557
02/1966,0.467777169,0.4573977865,0.4866113705,0.5391554242,0.34308295,0.4063559863,0.4354264296,0.4683430526,0.4374184825,0.4548507849
03/1966,0.4899695207,0.4261370496,0.5540440387,0.3322780978,0.5720718545,0.3547317138,0.5384075052,0.3175031134,0.4441587007,0.5157156212
04/1966,0.5181939069,0.5225727681,0.4798568977,0.446231113,0.3018434303,0.4955936823,0.4934083952,0.570980552,0.4163020015,0.7829039133
05/1966,0.4217613176,0.5592494051,0.5679432928,0.3079563276,0.341286376,0.3781173682,0.5831690696,0.5817360013,0.4784381112,0.7216738782
06/1966,0.5022413139,0.3622143088,0.498442501,0.6143040461,0.5645918503,0.6302701902,0.4016704191,0.4942495027,0.4749437294,0.5210710008
07/1966,0.5891595185,0.4908908617,0.4748691426,0.6993218609,0.4613859601,0.5123799456,0.6211653218,0.5218221885,0.2979586095,0.4452869011
08/1966,0.5999929676,0.4738171435,0.5212341395,0.6392068485,0.6060838509,0.4716692426,0.59280725,0.6328717888,0.4042290709,0.5336211578
09/1966,0.6515510499,0.7115558874,0.6144160411,0.4275244832,0.5616800941,0.6664242366,0.6651077987,0.4747667154,0.4425167893,0.5966887295
10/1966,0.4930485888,0.4593460089,0.5897380201,0.4454854507,0.6354745836,0.5157508789,0.7567320132,0.5083044331,0.5473484234,0.7265531963
11/1966,0.6970445287,0.5692045482,0.575720764,0.4784320024,0.4924633084,0.3578582017,0.5655341033,0.6373885316,0.5525028718,0.5906651109
12/1966,0.7605387509,0.4315197435,0.5215220829,0.5367878365,0.4976967914,0.358286165,0.53233143,0.6490562498,0.5864439917,0.693841643
01/1967,0.590602512,0.735035261,0.5660885562,0.337035932,0.5682149289,0.5064972447,0.6022943475,0.4113090329,0.6261136835,0.5816369991
02/1967,0.8747575587,0.5885367827,0.4902960157,0.5805314664,0.4824165332,0.4576621579,0.5593403015,0.5806628327,0.4347921964,0.2637232341
03/1967,0.5474597428,0.5815811884,0.4598394685,0.4283803825,0.4191404425,0.6260451978,0.6692935109,0.6342869166,0.3049380409,0.5265955083
04/1967,0.6649306886,0.5834643844,0.4327571496,0.4341185637,0.5895900785,0.543282394,0.5844928926,0.4398667113,0.3073955197,0.507426893
05/1967,0.4776987675,0.353452002,0.650674204,0.579472297,0.5711502203,0.5348787213,0.4213072908,0.6196426837,0.6095344026,0.5146802651
06/1967,0.515924684,0.4947497514,0.5100393205,0.5679998755,0.6514501548,0.5241762127,0.540031339,0.4272561893,0.3015839089,0.5324909919
07/1967,0.5762685001,0.559250621,0.6682633294,0.7013470576,0.5509108829,0.5763587391,0.4565750598,0.3801884596,0.3089600964,0.4912088401
08/1967,0.4953314551,0.6692027969,0.522756361,0.52995336,0.5378635704,0.5086203079,0.384067702,0.516994269,0.3112055664,0.4326545261
09/1967,0.4693499208,0.6513949982,0.6141895794,0.617204677,0.4643503966,0.5430610542,0.385550504,0.572728239,0.3408876913,0.4709882964
10/1967,0.575290623,0.5508515406,0.5469515395,0.568035999,0.5063118763,0.4507381157,0.5227811894,0.3131067506,0.4121509134,0.3578732562
11/1967,0.5158623882,0.6845000184,0.5681976331,0.5330566903,0.501474726,0.3675017898,0.5784032685,0.4760251133,0.2791068914,0.6529333139
12/1967,0.5032686584,0.7181975201,0.5360432976,0.6916053074,0.4073811173,0.4881303879,0.5900694159,0.5114895392,0.4219127705,0.460628488
01/1968,0.6670653191,0.5246655983,0.5707136819,0.521255216,0.5151043072,0.5875044126,0.5009533989,0.4836242526,0.35061313,0.3799771279
02/1968,0.9068005976,0.6761707125,0.58912962,0.4459994805,0.5869527691,0.5263756763,0.4013036912,0.5861465325,0.5098262551,0.2722765672
03/1968,0.5712669548,0.440406192,0.6322702749,0.5475205688,0.5923211428,0.5161978288,0.6343721659,0.4432754361,0.3259303676,0.4596060549
04/1968,0.5493965243,0.4612591722,0.4787868153,0.4103670881,0.6969726976,0.6441379562,0.579294569,0.4396427179,0.6963855617,0.5613841072
05/1968,0.4208226497,0.5284524736,0.5240237506,0.4638813083,0.6335216638,0.4679031537,0.5417062001,0.67604836,0.4124362189,0.5923386722
06/1968,0.4953758708,0.4542374889,0.6758316391,0.5604130005,0.4945782353,0.6163591795,0.469088729,0.432633229,0.405976597,0.5239960212
07/1968,0.5179106227,0.4651208794,0.4717815372,0.6937404128,0.4924651748,0.6124124179,0.4578613423,0.6648265261,0.3667437122,0.4693655566
08/1968,0.7221927713,0.6338498312,0.5662932991,0.5055229432,0.4645316619,0.3650609848,0.5142536677,0.3114075171,0.4178124894,0.519829202
09/1968,0.6376502573,0.5951564823,0.6803327301,0.4039500847,0.4280199153,0.4057930604,0.4527809911,0.4715147424,0.4374934073,0.5620475034
10/1968,0.4949035246,0.5621036713,0.612215322,0.352510215,0.4056505623,0.3921659939,0.5454042735,0.4896878834,0.476935393,0.410298766
11/1968,0.4009907902,0.4179457074,0.6654205928,0.2366163352,0.4617516701,0.5552528165,0.4525797519,0.4662736931,0.5566420714,0.5301738846
